status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
118526656660_10154361043816661,What's in the box?! Help the AFV team find out in our 20 questions super game this FRIDAY at 10am on Facebook LIVE. #facebooklive #whatsinthebox,Cats Try To Discover What's In The Box,video,https://www.facebook.com/AFV/videos/10154361043816661/,2016-06-22 20:00:00,1434,32,510,1153,61,5,215,0,0
118526656660_10154358366941661,"""It's just my allergies."" #notcrying",Little Girl Refuses To Admit She's Crying,video,https://www.facebook.com/AFV/videos/10154358366941661/,2016-06-22 18:00:00,6044,326,856,5159,223,7,624,26,5
118526656660_10154357925136661,"When car trouble threatens date night, keep the AFV app in your back pocket to keep the good times rolling: http://apple.co/JoOYRf",Funny Kid Gets Mad At Toy Car,video,https://www.facebook.com/AFV/videos/10154357925136661/,2016-06-22 16:00:00,2417,115,662,1807,50,8,548,2,2
118526656660_10154355334871661,"You might not consider yourself a cat person, but there furballs make a good case!",The Truth About Cats,link,http://afv.com/funny-cats-are-ready-to-clear-things-up/,2016-06-22 14:00:01,786,26,102,694,26,2,64,0,0
118526656660_10154358359296661,"""Run?! Wouldn't you prefer a nice, relaxing walk?""  #workoutwednesday",Funny Collie Does Not Want To Run,video,https://www.facebook.com/AFV/videos/10154358359296661/,2016-06-22 12:00:00,4590,100,756,3829,246,4,511,0,0
118526656660_10154355957906661,Is it nap time yet?,Funny Kitten Falls Asleep,video,https://www.facebook.com/AFV/videos/10154355957906661/,2016-06-22 10:00:01,18642,919,4961,14908,1067,25,2640,2,0
118526656660_10154355914316661,Love is a complicated emotion.,Funny Kid Has Mixed Feelings Toward Kumquat,video,https://www.facebook.com/AFV/videos/10154355914316661/,2016-06-22 08:00:00,10601,418,1970,8166,267,26,2122,12,8
118526656660_10154355948376661,Two heads are better than one!,Husky Rests On Owners Head,video,https://www.facebook.com/AFV/videos/10154355948376661/,2016-06-21 20:00:00,42387,1063,8738,34806,1907,37,5636,1,0
118526656660_10154358468591661,"""This wasn't on my wish list!""",Kyoot Kids,video,https://www.facebook.com/afvkids/videos/1155857944472840/,2016-06-21 18:09:19,14720,628,1,9779,479,101,4332,10,19
118526656660_10154355904966661,"""How does thing work?"" #famouslastwords",Cute Kid Discovers The Hose,video,https://www.facebook.com/AFV/videos/10154355904966661/,2016-06-21 16:00:00,36984,1794,8152,28674,1256,70,6968,7,9
118526656660_10154355895546661,A new level of multitasking. #lazyorgenius,Woman Spotted Exercising In Traffic,video,https://www.facebook.com/AFV/videos/10154355895546661/,2016-06-21 14:00:00,5966,528,904,4609,79,25,1249,2,2
118526656660_10154347386191661,There's a scaredy-cat in all of us.,You'll Never Guess What Makes This Scaredy-Cat Jump!,link,http://afv.com/scaredy-cat-doesnt-see-beauty-sweets/,2016-06-21 12:00:00,801,24,136,700,24,2,75,0,0
