status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
102289881164_10154613785196165,"السنن
العمرة في رمضان = حجة: ادعو الله أن يمن عليك بعمرة في رمضان .. فقد قال النبي: (عمرة في رمضان تعدل حجة)
 
Umrah during Ramadan is equivalent to Hajj…

 

May God grant you an Umrah during Ramadan. Amen",Timeline Photos,photo,https://www.facebook.com/AmrKhaled/photos/a.122134131164.102452.102289881164/10154613785196165/?type=3,2016-06-23 04:02:37,1970,146,85,1932,32,0,0,6,0
102289881164_10154613761006165,"الحلقة رقم ١٧ | اعمل و امتلك المال 
#طريق_للحياة",الحلقة رقم ١٧ | اعمل و امتلك المال,video,https://www.facebook.com/AmrKhaled/videos/10154613761006165/,2016-06-23 03:00:01,1034,25,112,1012,21,1,0,0,0
102289881164_10154613476731165,"يا رب نرجوك أن تتقبّل دعاءنا وتعتق رقابنا من النار،
#طريق_للحياة",,video,https://www.facebook.com/AmrKhaled/videos/10154613476731165/,2016-06-22 20:27:54,18051,664,1775,17525,453,0,3,68,2
102289881164_10154613319616165,اللهم إِنِّي أعوذ بك من الكفر والفقر وعذاب القبر,,status,,2016-06-22 19:03:59,56501,1535,1228,56034,397,1,2,66,1
102289881164_10154612847621165,"عبقرية سيدنا عمر الإقتصادية 
#طريق_للحياة",عبقرية سيدنا عمر الإقتصادية,video,https://www.facebook.com/AmrKhaled/videos/10154612847621165/,2016-06-22 16:45:00,14119,274,2361,13692,400,21,4,2,0
102289881164_10154612803231165,"بركة ماء زمزم  بسبب سعي السيدة هاجر
#طريق_للحياة",بركة ماء زمزم,video,https://www.facebook.com/AmrKhaled/videos/10154612803231165/,2016-06-22 15:30:00,12322,159,1512,12081,226,9,3,3,0
102289881164_10154612800391165,"""جاك ما"" الملياردير الصيني ومؤسس موقع Alibaba
#طريق_للحياة",Timeline Photos,photo,https://www.facebook.com/AmrKhaled/photos/a.122134131164.102452.102289881164/10154612800391165/?type=3,2016-06-22 14:45:12,32948,391,3181,31859,478,574,26,9,2
102289881164_10154612641706165,"لايف ستريم
اخر يوم في العمرة",,video,https://www.facebook.com/AmrKhaled/videos/10154612641706165/,2016-06-22 13:40:02,41343,9492,3440,34115,6432,137,183,336,139
102289881164_10154612542451165,"اللهم اني أعوذ بك من الكفر والفقر 
#طريق_للحياة",لازم نعمل فلوس,video,https://www.facebook.com/AmrKhaled/videos/10154612542451165/,2016-06-22 13:34:51,12398,232,1383,12175,205,5,8,4,1
102289881164_10154611671356165,"اللهم صلي وسلم على سيدنا محمد 
#طريق_للحياة",Timeline Photos,photo,https://www.facebook.com/AmrKhaled/photos/a.122134131164.102452.102289881164/10154611671356165/?type=3,2016-06-22 12:45:00,19017,419,576,18775,221,19,1,1,0
102289881164_10154611768511165,"أكبر مشكلة عند الشباب إنه معندوش فلوس
#طريق_للحياة",,video,https://www.facebook.com/AmrKhaled/videos/10154611768511165/,2016-06-22 10:00:00,11186,225,1194,10985,158,5,5,30,3
