status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
79298470625_10157068464640626,Difícil derrota. Estamos en la siguiente fase! Mismo objetivo! Vamos equipo!,,status,,2016-06-21 17:29:13,76311,1288,322,73595,1051,111,117,1308,129
79298470625_10157057696865626,Ayer disfruté el día libre con la visita de mis amores!  #AVAPA #familia,Timeline Photos,photo,https://www.facebook.com/AndresIniesta/photos/a.349556690625.350040.79298470625/10157057696865626/?type=3,2016-06-19 04:54:24,422402,5466,3686,409007,12520,518,325,11,21
79298470625_10157050865150626,"Grande equipo! Muy contento después de esta nueva victoria y asegurar la clasificación. A seguir trabajando Selección Española de Fútbol (SeFutbol)!

Alvaro Morata Koke Cesc Fàbregas",Timeline Photos,photo,https://www.facebook.com/AndresIniesta/photos/a.349556690625.350040.79298470625/10157050865150626/?type=3,2016-06-17 17:04:02,268889,3258,3311,260844,7451,316,217,19,42
79298470625_10157033027390626,Empezamos la competición con el mejor pie!!!! A seguir el camino Selección Española de Fútbol (SeFutbol)!!! Grande equipo!!! Grande afición!!!!,Timeline Photos,photo,https://www.facebook.com/AndresIniesta/photos/a.349556690625.350040.79298470625/10157033027390626/?type=3,2016-06-13 11:25:28,212249,2422,2575,206474,5189,151,390,11,34
79298470625_10157017021640626,Con un crack al acabar el primer entrenamiento en Francia!,Timeline Photos,photo,https://www.facebook.com/AndresIniesta/photos/a.349556690625.350040.79298470625/10157017021640626/?type=3,2016-06-09 13:29:25,151469,876,799,149188,1989,174,93,7,18
79298470625_10157012896470626,Camino a la Euro! Grande equipo! Selección Española de Fútbol (SeFutbol),Timeline Photos,photo,https://www.facebook.com/AndresIniesta/photos/a.349556690625.350040.79298470625/10157012896470626/?type=3,2016-06-08 13:11:55,160689,1644,2002,156472,3728,159,292,9,29
79298470625_10157011152150626,Feo resultado ayer en el último partido de preparación pero con ilusión y ganas tremendas de afrontar este nuevo reto!!,,status,,2016-06-08 02:46:58,30752,349,66,30125,396,33,104,68,26
79298470625_10157004079440626,"Muy contento por cómo está quedando la planificación de la tercera edición de mi Campus! Nuevas instalaciones para enseñar la metodología AI8 de la mejor manera. Nos vemos ahí!

Aún podéis hacer las insripciones en http://campus.andresiniesta.es",Timeline Photos,photo,https://www.facebook.com/AndresIniesta/photos/a.349556690625.350040.79298470625/10157004079440626/?type=3,2016-06-06 10:25:01,73297,277,437,71982,1152,124,34,1,4
79298470625_10156999444765626,Muchas felicidades Garbiñe Muguruza!! 🔝,Timeline Photos,photo,https://www.facebook.com/AndresIniesta/photos/a.349556690625.350040.79298470625/10156999444765626/?type=3,2016-06-05 05:07:36,63704,260,465,62602,988,35,72,0,7
79298470625_10156997468750626,DEP Muhammad Ali.,Timeline Photos,photo,https://www.facebook.com/AndresIniesta/photos/a.349556690625.350040.79298470625/10156997468750626/?type=3,2016-06-04 14:44:50,113879,437,3950,108416,1559,47,27,3814,16
