status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
20669912712_10154006545882713,One word: legend,Vieira v Newcastle,video,https://www.facebook.com/Arsenal/videos/10154006545882713/,2016-06-23 09:30:00,25584,269,697,24798,561,208,13,3,1
20669912712_10154006530452713,"Nine years
406 appearances
33 goals
Seven trophies
One Patrick Vieira",Vieira: My Story,video,https://www.facebook.com/Arsenal/videos/10154006530452713/,2016-06-23 07:00:00,30255,261,631,29499,659,84,11,1,1
20669912712_10154006529207713,Happy 40th birthday to the legendary Patrick Vieira!,Timeline Photos,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10154006529207713/?type=3,2016-06-23 05:42:30,102521,1206,1640,100905,1374,187,35,8,12
20669912712_10154004452682713,"... but when Alexis Sanchez plays like this, he's a hard man to stop. 

It's gonna be a big one tonight at the Copa América...",Alexis hat-trick,video,https://www.facebook.com/Arsenal/videos/10154004452682713/,2016-06-22 09:45:00,38961,285,694,37796,969,161,28,0,7
20669912712_10154004427067713,It's David Ospina v Alexis Sanchez at the Copa América Centenario 2016 tonight - and David could be hard to beat in this sort of form...,Ospina save in training,video,https://www.facebook.com/Arsenal/videos/10154004427067713/,2016-06-22 08:19:20,17769,127,196,17474,202,74,15,1,3
20669912712_10154004160707713,Mesut Özil... just doing what Mesut Ozil does,Timeline Photos,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10154004160707713/?type=3,2016-06-22 05:29:38,198259,3500,7502,191605,4418,2094,113,10,19
20669912712_10154001556102713,"Good luck to Mesut Özil, Petr Čech and Hector Bellerin - all in UEFA EURO 2016 action today - make us proud, boys!",Photos from Arsenal's post,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10154001555372713/?type=3,2016-06-21 10:00:00,66847,385,426,66119,628,48,40,6,6
20669912712_10154001777712713,"Dear Mesut Özil,

We miss you.

Love Arsenal x",Mesut Ozil skills 2015/16,video,https://www.facebook.com/Arsenal/videos/10154001777712713/,2016-06-21 07:02:00,70166,797,1681,67521,2276,110,238,13,8
20669912712_10154001582707713,Petr Čech is playing later today... and we love Petr Cech with all of our heart. This is why...,Cech's best saves,video,https://www.facebook.com/Arsenal/videos/10154001582707713/,2016-06-21 04:38:38,44506,372,846,43188,1003,273,32,4,6
20669912712_10154000232607713,"Best of luck to Jack Wilshere and Aaron Ramsey - in UEFA EURO 2016 action for the England Football Team and Wales! 

Predictions, Gooners?",Photos from Arsenal's post,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10154000231117713/?type=3,2016-06-20 13:15:10,46454,249,274,46045,335,23,44,2,5
20669912712_10153999335562713,"Oh Dennis, stop it... **swoon**",Bergkamp v Newcastle,video,https://www.facebook.com/Arsenal/videos/10153999335562713/,2016-06-20 08:30:00,53024,1372,4624,49784,2238,903,81,15,3
20669912712_10153999322092713,It doesn't get much better than this...,Bergkamp hat trick v Leicester,video,https://www.facebook.com/Arsenal/videos/10153999322092713/,2016-06-20 06:15:00,47434,830,3237,45299,1470,610,40,11,4
20669912712_10153999306927713,"June 20, 1995: Arsenal signed Dennis Bergkamp, and life was never the same again...",Arsenal Legends: Dennis Bergkamp,video,https://www.facebook.com/Arsenal/videos/10153999306927713/,2016-06-20 04:20:16,32320,463,1761,30874,1266,27,10,140,3
20669912712_10153996781917713,"Two games at UEFA EURO 2016 so far, two man-of-the-match awards for Granit Xhaka. Excitement levels: maximum about seeing him in Arsenal shirt...",Photos from Arsenal's post,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153996776837713/?type=3,2016-06-19 12:00:01,55175,399,517,54528,513,109,17,4,4
20669912712_10153996770777713,"Oh Alexis Sanchez, never change. Another game, another goal... another Copa América Centenario 2016 title on the way for Chile?",Photos from Arsenal's post,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153996769607713/?type=3,2016-06-19 03:20:46,109324,967,1137,106562,2299,158,237,22,46
20669912712_10153994319667713,Congratulations David Ospina - the hero for Colombia in their penalty shoot-out win at the Copa América Centenario 2016!,Photos from Arsenal's post,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153994319202713/?type=3,2016-06-18 04:05:10,85585,573,1221,83616,1385,433,62,31,58
20669912712_10153992695807713,Try our Premier League FaceSwap quiz now. WARNING: Contains some truly unforgettable images...,Premier League FaceSwap,link,http://www.playbuzz.com/Arsenal/premier-league-faceswap?utm_source=facebook.com&utm_medium=ff&utm_campaign=ff,2016-06-17 11:41:44,8968,371,58,8774,46,5,133,1,9
20669912712_10153992550932713,"Want to play the Arsenal way? The boss, Jack Wilshere and Danny Welbeck explain what's required from our Soccer Schools students... Book your place now: http://arsn.al/oY6TbH",,video,https://www.facebook.com/Arsenal/videos/10153992550932713/,2016-06-17 10:20:36,3522,53,164,3441,70,8,3,0,0
20669912712_10153991957452713,"We also signed our favourite pony-tailed midfielder, Emmanuel Petit, on this day in 1997. 

Who remembers this classic strike against them up the road?",Petit v Tottenham,video,https://www.facebook.com/Arsenal/videos/10153991957452713/,2016-06-17 07:00:00,18192,193,462,17834,253,84,18,2,1
20669912712_10153991946432713,"We signed Marc Overmars on this day in 1997... and this was his first Arsenal goal - not a bad way to start.

What are your favourite memories of him?",Overmars v Southampton,video,https://www.facebook.com/Arsenal/videos/10153991946432713/,2016-06-17 05:15:33,11220,118,222,11016,157,40,6,1,0
20669912712_10153991946432713,"We signed Marc Overmars on this day in 1997... and this was his first Arsenal goal - not a bad way to start.

What are your favourite memories of him?",Overmars v Southampton,video,https://www.facebook.com/Arsenal/videos/10153991946432713/,2016-06-17 05:15:33,11220,118,222,11016,157,40,6,1,0
20669912712_10153989642677713,The countdown is on... it's Jack Wilshere v Aaron Ramsey at Euro 2016 today - who are you backing?,Photos from Arsenal's post,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153989641922713/?type=3,2016-06-16 06:23:33,46882,739,385,46369,372,44,87,5,5
20669912712_10153987538307713,"Okay, now we're excited... bring it on.

- Arsenal v Tottenham, November 5, Emirates Stadium
- Tottenham v Arsenal, April 29, White Hart Lane",Arsenal v Tottenham,video,https://www.facebook.com/Arsenal/videos/10153987538307713/,2016-06-15 07:38:33,9595,157,455,9326,215,38,13,0,3
20669912712_10153987373982713,"Clear your diaries...
- Arsenal v Man Utd
- Wenger v Mourinho
- November 19, Old Trafford
- May 6, Emirates Stadium",Timeline Photos,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153987373982713/?type=3,2016-06-15 05:22:26,66925,1582,2390,65114,1142,478,161,6,24
20669912712_10153987198782713,,Arsenal's cover photo,photo,https://www.facebook.com/Arsenal/photos/a.10150606524867713.373322.20669912712/10153987198652713/?type=3,2016-06-15 03:17:05,23154,155,340,22744,311,82,13,1,3
20669912712_10153987192162713,,Arsenal's cover photo,photo,https://www.facebook.com/Arsenal/photos/a.10150606524867713.373322.20669912712/10153987191957713/?type=3,2016-06-15 03:12:13,3165,54,46,3101,49,8,6,0,1
20669912712_10153987181572713,The wait is over... and we will face Liverpool on the opening day of the 2016/17 season! http://arsn.al/VpQpsI,Arsenal to host Liverpool on opening day,link,http://arsn.al/VpQpsI,2016-06-15 03:03:16,39091,1400,1464,38356,387,270,59,7,12
20669912712_10153985140147713,Good luck to Alexis Sanchez for Chile's vital Copa América Centenario 2016 clash against Panama!,Alexis v Man United,video,https://www.facebook.com/Arsenal/videos/10153985140147713/,2016-06-14 16:00:00,48887,337,803,47442,1114,277,37,6,11
20669912712_10153985577857713,"The best skills of 2015/16 because... well, why not? Roll on the new season...",Best skills of 2015/16,video,https://www.facebook.com/Arsenal/videos/10153985577857713/,2016-06-14 10:30:00,29437,560,2983,28123,967,323,21,1,2
20669912712_10153985416797713,"With the 2016/17 fixture list out tomorrow, here's something to whet your appetite...",Goals of the Season 2015/16,video,https://www.facebook.com/Arsenal/videos/10153985416797713/,2016-06-14 08:17:38,7247,101,568,6930,268,44,3,1,1
20669912712_10153985242732713,Which Arsenal player still gets his mum to do his washing? Our Junior Gunner finds out for Indesit FC...,Indesit FC,video,https://www.facebook.com/IndesitFC/videos/1621357974845645/,2016-06-14 06:12:45,5519,56,0,5376,67,4,71,0,1
20669912712_10153982920297713,"Find out what happened when three Vitality UK members had the chance to meet and train with Theo Walcott, Calum Chambers, Jack Wilshere and Joel Campbell! Vitality rewards members for getting active: http://vitality.co.uk",,video,https://www.facebook.com/Arsenal/videos/10153982920297713/,2016-06-13 10:00:00,3906,70,123,3831,55,8,11,0,1
20669912712_10153983033052713,We signed Aaron Ramsey eight years ago today... where does this goal rank in his best Arsenal moments?,Ramsey v Liverpool,video,https://www.facebook.com/Arsenal/videos/10153983033052713/,2016-06-13 07:00:00,37582,512,751,36540,725,281,29,2,5
20669912712_10153982972507713,Santi Cazorla says Xavi is the best midfielder he's ever seen. Who is your pick?,Cazorla on Xavi,video,https://www.facebook.com/Arsenal/videos/10153982972507713/,2016-06-13 04:56:11,26731,529,323,26331,330,50,14,1,5
20669912712_10153978497212713,"Handy men? Watch the big Indesit FC interview as Junior Gunners Jaeden chats chores with Aaron Ramsey, Per Mertesacker and Calum Chambers...",Indesit FC,video,https://www.facebook.com/IndesitFC/videos/1621357974845645/,2016-06-11 06:43:20,9323,141,1,9100,129,3,86,1,4
20669912712_10153978350607713,Good luck to our three Gunners who kick-off their Euro 2016 campaigns today!,Photos from Arsenal's post,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153978350392713/?type=3,2016-06-11 05:11:23,123532,767,1293,121994,1263,176,77,11,11
20669912712_10153974726237713,Best of luck to Alexis Sanchez for Chile's game against Bolivia!,Timeline Photos,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153974726237713/?type=3,2016-06-10 17:00:00,87999,301,392,86664,1166,110,39,5,15
20669912712_10153973910882713,"The Euros are here and with seven goals in his last four games, Olivier Giroud La Page Officielle is ready to play loud #CHOOSETRICKS",Timeline Photos,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153973910882713/?type=3,2016-06-10 11:00:00,41288,353,335,40635,532,76,32,5,8
20669912712_10153975961327713,Arsenal legend Lauren tells us about his incredible career on Facebook LIVE with Nicole Holliday,,video,https://www.facebook.com/Arsenal/videos/10153975961327713/,2016-06-10 05:34:45,23542,3433,452,19998,2474,326,390,125,229
20669912712_10153973740782713,It's David Platt's birthday today - giving us an excuse to watch his winner against Man United in 1997 again...,Platt v Man United,video,https://www.facebook.com/Arsenal/videos/10153973740782713/,2016-06-10 04:30:00,21349,270,430,21002,252,63,29,0,3
20669912712_10153973750167713,"France are favourites for Euro 2016 - and the boss says home advantage will help them. Do you agree?

We want to hear your predictions for:

1. Winners; 2. Golden boot winner; 3. Dark horses; 4. Arsenal player to go furthest in the competition",Wenger on France at Euro 2016,video,https://www.facebook.com/Arsenal/videos/10153973750167713/,2016-06-09 05:50:56,17607,660,244,17354,203,8,35,0,7
20669912712_10153971881402713,He's gone for Xhaka - whose name have you got on the back of your new home shirt? Upload your kit photos below!,Timeline Photos,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153971881402713/?type=3,2016-06-08 11:01:09,16979,410,364,16720,191,52,15,0,1
20669912712_10153971322407713,It's been five years since Jenko joined - and this bromance started... #NationalBestFriendsDay,Jenko and the Ox in The Chat,video,https://www.facebook.com/Arsenal/videos/10153971322407713/,2016-06-08 08:30:00,17192,338,323,16775,229,7,177,3,1
20669912712_10153971365702713,Nicole Holliday chats with Ray Parlour LIVE about the upcoming Arsenal Legends v Milan Glorie game at Emirates Stadium. Get tickets for the match here: https://www.eticketing.co.uk/arsenal/details/event.aspx?itemref=6338,,video,https://www.facebook.com/Arsenal/videos/10153971365702713/,2016-06-08 06:19:41,16646,2556,243,14567,1510,155,231,61,122
20669912712_10153971271632713,Join us LIVE as Arsenal legend Ray Parlour discusses his career and looks ahead to Euro 2016 with Nicole Holliday,,video,https://www.facebook.com/Arsenal/videos/10153971271632713/,2016-06-08 05:15:18,15263,3222,205,13133,1564,169,236,58,103
20669912712_10153969447322713,Best of luck to David Ospina for Colombia's game against Paraguay tonight!,Timeline Photos,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153969447322713/?type=3,2016-06-07 17:30:01,46238,192,153,45788,369,61,16,1,3
20669912712_10153969430527713,The boss is tipping Croatia as his dark horses for Euro 2016 - what about you?,Wenger on Euro 2016,video,https://www.facebook.com/Arsenal/videos/10153969430527713/,2016-06-07 10:35:10,29494,2000,1346,28987,345,102,48,1,11
20669912712_10153969087152713,No wonder they called him Safe Hands...,Timeline Photos,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153969087152713/?type=3,2016-06-07 08:15:00,38025,276,284,36767,248,38,966,3,3
20669912712_10153968920147713,Absolutely unbelievable! This The Emirates FA Cup semi-final save in 2003 shows why David Seaman has been inducted into the National Football Museum's Hall of Fame. What a legend.,Seaman v Sheffield United,video,https://www.facebook.com/Arsenal/videos/10153968920147713/,2016-06-07 06:02:02,39603,903,2416,37942,783,813,58,2,5
20669912712_10153967138452713,"Good luck against Argentina later, Alexis Sanchez!",Timeline Photos,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153967138452713/?type=3,2016-06-06 17:00:01,142181,612,700,139299,2440,235,129,30,48
20669912712_10153967108752713,Don't mess with Alex Iwobi - he knows what he likes...,Rapid Fire - Ox v Iwobi,video,https://www.facebook.com/Arsenal/videos/10153967108752713/,2016-06-06 13:00:00,34415,888,1009,33089,377,12,929,3,5
20669912712_10153967104097713,Ramadan Mubarak to all our Muslim fans around the world,Timeline Photos,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153967104097713/?type=3,2016-06-06 10:58:45,228620,4439,13041,219597,8123,610,139,23,128
20669912712_10153966869082713,Join Nicole Holliday and Arsenal Legend Nigel Winterburn on Facebook LIVE as we visit Arsene Wenger's office at Emirates Stadium!,,video,https://www.facebook.com/Arsenal/videos/10153966869082713/,2016-06-06 09:05:15,23869,5506,434,20110,2768,318,348,115,210
20669912712_10153964871347713,"Speaking of cult heroes, Lukas Podolski has also been celebrating his birthday this weekend. Remember this ridiculous strike?",Podolski v West Ham,video,https://www.facebook.com/Arsenal/videos/10153964871347713/,2016-06-05 09:44:38,54749,1059,1265,53005,1158,519,48,16,3
20669912712_10153964275787713,"And while we're discussing Emmanuel Eboue, this has to be our favourite picture of him. Or anyone. Probably ever.",Timeline Photos,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153964275787713/?type=3,2016-06-05 05:00:01,75938,2391,1933,70993,819,94,4001,12,19
20669912712_10153964264822713,It's been Emmanuel Eboue's birthday this weekend - and you just know he has been dancing like this...,Eboue dance v Blackburn,video,https://www.facebook.com/Arsenal/videos/10153964264822713/,2016-06-05 03:15:47,35905,856,790,34703,487,39,671,2,3
20669912712_10153961984122713,"Rest in peace, Champ.",Timeline Photos,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153961984122713/?type=3,2016-06-04 02:08:07,380199,3332,13698,355936,4190,166,56,19773,78
20669912712_10153960489922713,"Scandinavia, we're heading your way this summer! http://arsn.al/cbkoTx",Club announces friendlies in Scandinavia,link,http://arsn.al/cbkoTx,2016-06-03 09:04:35,24451,631,387,24050,272,109,9,7,4
20669912712_10153960387382713,"Good luck Alexis Sanchez, David Ospina and Joel Campbell at the Copa America - make us proud, boys!",Photos from Arsenal's post,photo,https://www.facebook.com/Arsenal/photos/a.10150246028422713.313072.20669912712/10153960385697713/?type=3,2016-06-03 07:53:30,60193,302,430,59362,725,77,24,1,4
20669912712_10153960038197713,Join us LIVE at the Finsbury Park store as Nicole Holliday gets her hands on the new Arsenal home kit and chats to club legend Charlie George. See kit at ArsenalDirect: http://arsn.al/Efm1Aj,,video,https://www.facebook.com/Arsenal/videos/10153960038197713/,2016-06-03 03:15:21,33022,6055,1082,27538,4380,430,416,96,162
20669912712_10153960034047713,The 2016/17 home kit at ArsenalDirect: http://arsn.al/homekit16fb,Arsenal's cover photo,photo,https://www.facebook.com/Arsenal/photos/a.10150606524867713.373322.20669912712/10153960033767713/?type=3,2016-06-03 03:06:41,8154,167,217,7948,175,26,4,0,1
