status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
6815841748_10153950251781749,"Based on his merits alone, Judge Garland deserves a fair hearing in the Senate.",Yet Another Legal Organization Throws Its Weight Behind Merrick Garland,link,http://ofa.bo/c64g,2016-06-22 11:12:14,34913,1417,1450,33873,854,105,22,15,44
6815841748_10153948870351749,,The White House,photo,https://www.facebook.com/WhiteHouse/photos/a.158628314237.115142.63811549237/10154461107894238/?type=3,2016-06-21 19:51:59,64904,3088,7,58383,1686,97,51,3957,730
6815841748_10153948318731749,"This is the only planet we've got, and we have to do everything we can to protect it—including action to fight climate change.",Add your voice to the push for climate action,link,http://ofa.bo/a698,2016-06-21 15:06:44,24060,1696,1124,23178,761,69,18,16,18
6815841748_10153947823161749,,The White House,video,https://www.facebook.com/WhiteHouse/videos/10154456213564238/,2016-06-21 11:25:21,66544,2198,3,60399,5478,591,54,9,13
6815841748_10153945679056749,"This weekend, President Obama explored Yosemite National Park with National Geographic and discussed the importance of fighting climate change.","Exclusive: Obama on Threats to Nature, Power of National Parks",link,http://ofa.bo/jAGA,2016-06-20 11:34:07,59021,2800,2516,56128,2595,220,44,15,19
6815841748_10153943371416749,"To all the dads out there, thanks for all you do. Happy Father's Day.",Timeline Photos,photo,https://www.facebook.com/barackobama/photos/a.53081056748.66806.6815841748/10153943371416749/?type=3,2016-06-19 11:51:50,959092,28653,31327,911414,45083,1759,606,68,162
6815841748_10153941646466749,"""If we're going to raise our kids in a safer, more loving world, we need to speak up for it. We need our kids to hear us speak up about the risks guns pose to our communities, and against a status quo that doesn't make sense.""  —President Obama

Watch the weekly address.",,video,https://www.facebook.com/barackobama/videos/10153941646466749/,2016-06-18 18:31:32,85788,5318,8518,79605,5682,260,57,60,124
6815841748_10153938714396749,People across the world came together this week to show solidarity with the LGBT community. http://ofa.bo/e63m,World unites in tribute to victims of the Orlando nightclub massacre,video,http://ofa.bo/e63m,2016-06-17 14:17:19,46245,3991,2577,41434,2916,53,36,1758,48
6815841748_10153929526911749,#OrlandoUnited,Timeline Photos,photo,https://www.facebook.com/barackobama/photos/a.53081056748.66806.6815841748/10153929526911749/?type=3,2016-06-13 11:51:11,118018,9925,20755,105628,9119,89,54,3015,113
6815841748_10153929342611749,,The White House,video,https://www.facebook.com/WhiteHouse/videos/10154436329724238/,2016-06-13 09:55:56,38506,4705,1,33148,2275,42,35,2883,123
6815841748_10153923250271749,"We've made so much progress together in the last eight years, but there's still work to do to end discrimination against the LGBT community. http://ofa.bo/vaG",Add your name to the fight for full equality,link,http://ofa.bo/vaG,2016-06-10 17:12:36,32950,5216,1656,31094,1577,95,50,61,73
6815841748_10153922633446749,,The White House,video,https://www.facebook.com/WhiteHouse/videos/10154430881779238/,2016-06-10 11:47:23,124316,5855,4,102238,12588,192,9101,43,154
