status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
69116329538_10154293568699539,"The Beatles LOVE by Cirque du Soleil has evolved - 
get ready for the 10th anniversary celebrations! 

A truly innovative and unique production, LOVE has evolved for its 10th anniversary to present a more dynamic and immersive musical experience, captivating music and theatre fans worldwide. New acts, costumes, choreography, audio visual technology and remixed music has made the show brighter, bolder and bigger than ever! 

There are limited tickets are available for LOVE's special 10th anniversary celebration performance on Thursday, July 14 at 8pm
http://cirk.me/BEATLESLOVE10th

If you can't make the anniversary evening you can find tickets for all our shows here: http://gnikn.us/biggerbetterbolder",Timeline Photos,photo,https://www.facebook.com/thebeatles/photos/a.210725979538.130908.69116329538/10154293568699539/?type=3,2016-06-23 10:55:31,1155,18,103,1041,107,7,0,0,0
69116329538_10154227674164539,"#BeatlesArchive Tittenhurst, 1969. 

""It was just a photo session. I wasn't there thinking, 'Okay, this is the last photo session.'"" - Ringo, from The Beatles Anthology.

See more images from the last photo shoot, here: http://gnikn.us/1eXRYnr

Photo © Apple Corps Ltd",Timeline Photos,photo,https://www.facebook.com/thebeatles/photos/a.210725979538.130908.69116329538/10154227674164539/?type=3,2016-06-22 10:00:01,43742,277,3195,41046,2065,55,22,552,2
69116329538_10154290729914539,,Ringo Starr,photo,https://www.facebook.com/ringostarrmusic/photos/a.244700502676.139231.8829052676/10153781578702677/?type=3,2016-06-22 09:17:26,8956,64,0,8540,378,34,4,0,0
69116329538_10154227662194539,"#BeatlesArchive Help!/I'm Down single sleeve. Belgium, 1965.

""And now my life has changed in oh so many ways,
My independence seems to vanish in the haze,
But ev'ry now and then I feel so insecure,
I know that I just need you like I've never done before...""

You can see more Beatles single sleeves from around the world, here: http://gnikn.us/1WXSq6P",Timeline Photos,photo,https://www.facebook.com/thebeatles/photos/a.210725979538.130908.69116329538/10154227662194539/?type=3,2016-06-21 07:00:00,25846,184,1896,24466,1218,112,47,2,1
69116329538_10154287461389539,,Pianist plays Imagine by John Lennon in Birstall,link,http://www.itv.com/news/update/2016-06-18/pianist-plays-imagine-by-john-lennon-in-birstall/,2016-06-21 04:55:46,9148,95,689,8595,454,57,6,35,1
69116329538_10154287460119539,,The Beatles LOVE by Cirque du Soleil,link,http://cirk.me/28iPNSv,2016-06-21 04:54:04,2417,48,0,2257,115,40,5,0,0
69116329538_10154287459239539,,Ringo Starr,video,https://www.facebook.com/ringostarrmusic/videos/10153776614152677/,2016-06-21 04:53:06,13352,156,0,12186,1004,36,123,3,0
69116329538_10154287458209539,,Pitchfork,link,http://p4k.in/Nnsby5I,2016-06-21 04:52:11,11804,219,0,11204,549,23,26,1,1
69116329538_10154285366654539,,The Beatles's cover photo,photo,https://www.facebook.com/thebeatles/photos/a.10150705418894539.424722.69116329538/10154285365499539/?type=3,2016-06-20 08:57:22,25613,271,1167,23737,1586,266,19,3,2
69116329538_10154285365169539,,The Beatles,photo,https://www.facebook.com/thebeatles/photos/a.447756794538.247239.69116329538/10154273814509539/?type=3,2016-06-20 08:56:55,614,20,41,516,95,1,1,1,0
