status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
124955570892789_1073441572710846,"Millions of seniors, disabled veterans and people with disabilities are falling further and further behind on $10,000 or $11,000 a year Social Security. It is time to expand Social Security, not cut it.",Sanders: Strengthen Social Security,link,https://berniesanders.com/press-release/sanders-strengthen-social-security/?utm_source=facebook&utm_medium=post&utm_campaign=fb160622,2016-06-22 20:21:00,7306,342,789,6635,603,2,6,46,14
124955570892789_1073457302709273,Eric Kingson has led the fight to protect and expand Social Security. He even had the courage to challenge the president when he considered cuts years ago. His election is in just a few days. Help make calls to get this progressive elected in New York!,Eric Kingson for Congress,link,https://go.berniesanders.com/page/content/ekphonebank/?source=ErikKingsonFacebook,2016-06-22 18:28:22,1889,82,0,1770,108,10,1,0,0
124955570892789_1073339579387712,,Timeline Photos,photo,https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1073339579387712/?type=3,2016-06-22 16:31:00,3474,190,285,3182,281,7,1,1,2
124955570892789_1073264926061844,"This is the energy we need to transform the Democratic Party, take on special interests and transform our country.",Sanders begins changing the Democratic Party,link,https://www.washingtonpost.com/news/post-politics/wp/2016/06/21/in-defeat-sanders-begins-changing-the-democratic-party/,2016-06-22 11:52:16,20202,782,1638,18455,1640,77,6,6,18
124955570892789_1073165189405151,The Political Revolution Continues,,status,,2016-06-22 08:43:08,6794,371,1123,5891,814,14,6,64,5
124955570892789_1072925202762483,"Health care is a right, not a privilege.","Instagram photo by Bernie Sanders • Jun 21, 2016 at 11:30pm UTC",link,https://instagram.com/p/BG710AFgwy-/,2016-06-21 22:30:10,21093,522,1421,19501,1529,13,3,37,11
124955570892789_1072703822784621,"One year ago, one of the biggest crowds we had gotten showed up in Denver to hear Bernie Sanders tell them they were sending a message to the billionaire class that ""You can't have it all. This is our country too.""

All these ideas, would continue to resonate with the American people. Little did we know, they would resonate so fast.","A Year Ago Today: Denver, Colorado",photo,https://www.facebook.com/berniesanders/photos/a.1072703636117973.1073741852.124955570892789/1072703822784621/?type=3,2016-06-21 15:55:04,11574,432,618,10336,1172,53,5,6,3
124955570892789_1072480082806995,This is YOUR movement.,Timeline Photos,photo,https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1072480082806995/?type=3,2016-06-21 11:06:00,46118,970,8465,41805,3798,467,39,3,6
124955570892789_1071932239528446,"In many inner cities, kids now stand a greater chance of ending up in jail than ending up with a college degree. That's gotta end.",Timeline Photos,photo,https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1071932239528446/?type=3,2016-06-21 08:47:00,7176,305,1298,6533,441,11,3,55,133
124955570892789_1072160489505621,"These proposals are commonsense. It is incomprehensible as to why Republicans would oppose them. It's not very hard to understand that potential terrorists, criminals and the dangerously mentally ill should not have access to guns. #DisarmHate",Senate blocks gun measures offered in wake of Orlando shooting,link,http://www.usatoday.com/story/news/politics/2016/06/20/senate-gun-vote-after-orlando-shooting/86143418/,2016-06-20 19:33:17,25859,3117,4437,16409,245,145,79,1694,7287
124955570892789_1071459926242344,"But in order for government to work efficiently and effectively, we need to attract great and dedicated people from all walks of life. We need people who are dedicated to public service and can provide the services we need in a high quality and efficient way: BernieSanders.com/RunForOffice",Timeline Photos,photo,https://www.facebook.com/berniesanders/photos/a.324119347643076.89553.124955570892789/1071459926242344/?type=3,2016-06-20 15:39:00,19463,563,4622,17789,1606,57,9,0,2
