status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
28940545600_10157186540470601,www.beyonce.com,Photos from Beyoncé's post,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157186537355601/?type=3,2016-06-22 16:42:25,167286,631,1420,157203,9594,133,346,5,5
28940545600_10157185049810601,🍋🍋🍋,Beyoncé - Sorry,video,https://youtu.be/QxsmWxxouIM,2016-06-22 10:27:56,203463,6579,27213,174100,27605,1552,124,33,49
28940545600_10157180712525601,www.beyonce.com,Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157180712525601/?type=3,2016-06-21 13:27:34,277662,1764,2743,259183,17288,931,191,35,34
28940545600_10157176912445601,www.beyonce.com,Photos from Beyoncé's post,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157176908555601/?type=3,2016-06-20 16:27:15,194356,1042,1670,179399,14230,611,101,5,10
28940545600_10157161573065601,"#LEMONADE returns to HBO.
This Saturday. 10 pm ET | PT",HBO,video,https://www.facebook.com/HBO/videos/10154350943608933/,2016-06-17 15:46:56,13008,413,3,11184,1716,96,6,5,1
28940545600_10157151716010601,,Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157151716010601/?type=3,2016-06-15 17:42:00,130331,863,1156,121313,8265,663,79,5,6
28940545600_10157151710160601,"That's a wrap for the first US leg of The Formation World Tour. Europe you're up next! 
See more from last night's show in Detroit on www.beyonce.com",Photos from Beyoncé's post,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157151701490601/?type=3,2016-06-15 13:23:41,98019,1312,1330,90874,6852,209,59,17,8
28940545600_10157147611165601,,BTS: The Formation World Tour (Openers),video,https://www.facebook.com/beyonce/videos/10157147611165601/,2016-06-14 14:01:19,46967,1220,1686,43240,3383,299,30,4,11
28940545600_10157144082185601,"Thank you Hershey, Pennsylvania. Detroit, you're up next! 
See more from last night on www.beyonce.com",Photos from Beyoncé's post,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157144049935601/?type=3,2016-06-13 15:39:40,167749,1224,2654,155972,10890,793,65,18,11
28940545600_10157140440445601,,BTS: The Formation World Tour (Marlon),video,https://www.facebook.com/beyonce/videos/10157140440445601/,2016-06-13 11:34:00,30845,419,579,28035,2167,34,604,1,4
28940545600_10157139982275601,,Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157139982275601/?type=3,2016-06-12 15:53:30,326612,872,35214,290841,16041,107,73,19402,148
28940545600_10157135157820601,"Baltimore, thank you for having me! 
See more images from last night's show on www.beyonce.com",Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157135157820601/?type=3,2016-06-11 13:09:00,175271,1435,2205,163513,10643,986,89,24,16
28940545600_10157126596800601,"New York City, thank you for 2 amazing nights! 
See more on www.beyonce.com",Photos from Beyoncé's post,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157126582975601/?type=3,2016-06-09 15:17:04,150510,1058,1604,140133,9601,681,71,17,7
28940545600_10157122556595601,,BTS: The Formation World Tour (Chaos),video,https://www.facebook.com/beyonce/videos/10157122556595601/,2016-06-08 16:59:10,124061,4184,7356,110971,11545,1444,67,23,11
28940545600_10157117685345601,CFDA Awards,Photos from Beyoncé's post,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157117683870601/?type=3,2016-06-07 14:28:42,238265,1546,2736,222409,14978,761,90,11,16
28940545600_10157113272240601,"Thank you, Philadelphia! 
See more from last night's show on www.beyonce.com",Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157113272240601/?type=3,2016-06-06 12:38:37,49826,726,1046,46045,3617,137,18,6,3
28940545600_10157109951110601,,BTS: The Formation World Tour (Teaser),video,https://www.facebook.com/beyonce/videos/10157109951110601/,2016-06-05 17:22:52,69515,1601,5189,60366,8317,792,25,8,7
28940545600_10157104369695601,"Foxborough, thank you! 
See more from last night on www.beyonce.com",Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157104369695601/?type=3,2016-06-04 11:31:00,126285,776,1294,119299,6513,402,48,15,8
28940545600_10157104366220601,,Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157104366220601/?type=3,2016-06-04 08:19:20,215515,1041,6191,197774,5299,175,29,12211,27
28940545600_10157102119820601,A look behind the scenes at the magnitude of The Formation World Tour.,BTS: The Formation World Tour (Magnitude),video,https://www.facebook.com/beyonce/videos/10157102119820601/,2016-06-03 16:47:04,36949,1152,2194,32902,3389,630,19,6,3
28940545600_10157094306840601,Go to www.beyonce.com to see more from last night's show in Pittsburgh.,Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157094306840601/?type=3,2016-06-01 16:26:18,51400,596,689,47481,3770,109,34,5,1
28940545600_10157089996260601,Behind the scenes of the Chicago stop of The Formation World Tour.,BTS: Formation World Tour (Chicago),video,https://www.facebook.com/beyonce/videos/10157089996260601/,2016-05-31 14:45:12,82757,3643,7305,73670,8419,577,72,10,9
28940545600_10157081845120601,"Chicago, thank you for two great nights! 
See more from the shows on www.Beyonce.com",Photos from Beyoncé's post,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157081841685601/?type=3,2016-05-29 10:33:40,211044,2026,3948,195487,13693,1662,79,34,19
28940545600_10157079279395601,Behind the scenes of The Formation World Tour's stop in Edmonton.,BTS: The Formation World Tour (Edmonton),video,https://www.facebook.com/beyonce/videos/10157079279395601/,2016-05-28 16:48:56,55096,1193,2761,50040,4655,350,25,3,1
28940545600_10157070373460601,"Thank you, Toronto! 
See more from last night's show on www.Beyonce.com",Photos from Beyoncé's post,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157070369290601/?type=3,2016-05-26 10:44:17,165400,1346,1716,155261,9405,641,55,21,15
28940545600_10157069008800601,,The Formation World Tour (Lost Yo Mind),video,https://www.facebook.com/beyonce/videos/10157069008800601/,2016-05-25 23:38:56,72868,1512,2303,65704,6487,620,37,15,5
28940545600_10157063758030601,"Minneapolis, thank you! 
See more from last night on www.beyonce.com",Photos from Beyoncé's post,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157063756840601/?type=3,2016-05-24 14:32:00,162810,1277,2171,151425,10466,833,62,12,11
28940545600_10157060766980601,www.beyonce.com,Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157060766980601/?type=3,2016-05-23 18:24:46,827330,9028,15607,768363,55116,3473,278,40,60
28940545600_10157055781980601,The Formation World Tour,The Formation World Tour,video,https://www.facebook.com/beyonce/videos/10157055781980601/,2016-05-22 13:16:03,170013,9307,16208,149824,17536,2537,65,33,18
28940545600_10157051344830601,"Edmonton, thank you! 
See more from last night on www.beyonce.com",Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157051344830601/?type=3,2016-05-21 11:30:00,104540,999,1174,98343,5746,387,40,17,7
28940545600_10157044845750601,"Seattle, thank you!
See more on www.beyonce.com",Photos from Beyoncé's post,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157044843335601/?type=3,2016-05-19 16:10:57,160808,1568,2133,149737,10310,676,51,26,8
28940545600_10157037626800601,"To everyone in Levi's Stadium last night, thank you! 
See more on www.beyonce.com",Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157037626800601/?type=3,2016-05-17 17:05:39,132744,1131,1168,125337,7023,330,36,13,5
28940545600_10157029886280601,"Los Angeles, thank you! 
See more from last night on www.beyonce.com",Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157029886280601/?type=3,2016-05-15 14:28:08,330400,2691,3369,311768,17387,1072,115,31,27
28940545600_10157017753630601,,,video,https://www.facebook.com/beyonce/videos/10157017753630601/,2016-05-11 23:59:46,226358,2305,5621,208344,17348,503,145,8,10
28940545600_10157012256140601,"Dallas, Texas, thank you for a great show!
visit www.beyonce.com for more",Timeline Photos,photo,https://www.facebook.com/beyonce/photos/a.252225550600.296474.28940545600/10157012256140601/?type=3,2016-05-10 10:20:00,144393,1583,2029,134102,9454,274,69,19,17
