status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
117533210756_10154432443980757,"#TodayInBobsLife: Bob & The Wailers play a grueling 14 shows over 7 nights at Paul's Mall in Boston, starting today in 1975 during the Natty Dread tour!",Timeline Photos,photo,https://www.facebook.com/BobMarley/photos/a.312248430756.183051.117533210756/10154432443980757/?type=3,2016-06-23 15:45:09,9834,71,278,9603,171,52,7,0,1
117533210756_10154424345470757,"""A quintessential summer song: relaxed and bright but slightly bittersweet; melodic and caressing without being flimsy or insubstantial. Turn your radio on and if you don't hear Bob Marley singing #WaitingInVain within 30 minutes, start complaining."" – NME Magazine (June 1977) #todayinbobslife",Timeline Photos,photo,https://www.facebook.com/BobMarley/photos/a.312248430756.183051.117533210756/10154424345470757/?type=3,2016-06-23 12:34:55,35242,164,1471,34269,828,18,13,111,3
117533210756_10154276229960757,"""You say dabble in politics, I don't know what that is. You say stand up and talk fe my rights, I know what that is.""",Would you ever get involved in politics?,video,https://www.facebook.com/BobMarley/videos/10154276229960757/,2016-06-22 16:32:39,38359,314,6294,36381,1855,98,16,8,1
117533210756_10153802375850757,"""No, I don't want success. Success is nuttin'— y'know what I mean? You follow the system and the system kill ya."" #bobmarleyquotes",Timeline Photos,photo,https://www.facebook.com/BobMarley/photos/a.312248430756.183051.117533210756/10153802375850757/?type=3,2016-06-22 12:36:48,121037,638,15762,116584,3813,123,60,445,12
117533210756_10154427430305757,Ziggy Marley's concert tonight is streaming LIVE on Yahoo Music in 30 minutes! bit.ly/ziggyyahoo16,Ziggy Marley,link,http://bit.ly/ziggyyahoo16,2016-06-21 18:30:14,1109,36,0,1058,44,7,0,0,0
117533210756_10154426871440757,Ziggy Marley on The Late Show with Stephen Colbert last night!,"Ziggy Marley Performs ""Weekend's Long""",video,http://www.scorphq.com/YouTube/MyPage/JbBWCW0D1oY.htm,2016-06-21 14:17:35,2762,44,230,2671,83,6,2,0,0
117533210756_10154276777875757,"""They build their world in great confusion, to force on us the devil's illusion."" #RideNattyRide – 🎨 by Guido Del Carpio",Timeline Photos,photo,https://www.facebook.com/BobMarley/photos/a.312248430756.183051.117533210756/10154276777875757/?type=3,2016-06-21 12:30:36,89393,391,8122,86575,2487,278,33,19,1
117533210756_10154265799470757,"""Though my days are filled with sorrow, I see years of bright tomorrow."" #ChancesAre",Timeline Photos,photo,https://www.facebook.com/BobMarley/photos/a.312248430756.183051.117533210756/10154265799470757/?type=3,2016-06-20 15:17:37,113087,515,13605,108786,4008,190,47,49,7
117533210756_10154416864595757,TODAY ONLY: get the ultimate Bob Marley vinyl collectors piece on sale for only $450! ⚡ smarturl.it/MarleyLighterBox ⚡,Timeline Photos,photo,https://www.facebook.com/BobMarley/photos/a.312248430756.183051.117533210756/10154416864595757/?type=3,2016-06-20 11:00:00,1861,63,127,1768,65,28,0,0,0
117533210756_10154265800490757,"""It gives great joy to feel such sweet togetherness, everyone doin' and they're doin' their best."" #JumpNyabinghi",Timeline Photos,photo,https://www.facebook.com/BobMarley/photos/a.312248430756.183051.117533210756/10154265800490757/?type=3,2016-06-19 13:05:16,76405,261,3388,74475,1647,51,50,181,1
