status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
106764142756920_818715868228407,know yourself,,status,,2016-06-23 23:00:00,853,18,64,834,17,2,0,0,0
106764142756920_818879558212038,Why we look cooler than these chicks though... Forget them haha look at us ... Eyes closed because I'm allergic to 6's (not fans so dont think im being mean),Timeline Photos,photo,https://www.facebook.com/bowwow/photos/a.107987525967915.8968.106764142756920/818879558212038/?type=3,2016-06-23 22:41:44,1588,31,15,1517,43,3,23,0,2
106764142756920_818715744895086,too young to be this stressed.,,status,,2016-06-23 21:00:00,3033,60,417,2918,83,3,2,28,0
106764142756920_818822504884410,"Girls Confessed About How Famous Celebrities Treated Them In Bed, #7 Is Too Insane!","Girls Confessed About How Famous Celebrities Treated Them In Bed, #7 Is Too Insane!",link,http://bowwowmedia.co/01b1f7139ff61b,2016-06-23 20:17:00,257,11,12,244,2,2,2,7,0
106764142756920_818821131551214,TBT......,Timeline Photos,photo,https://www.facebook.com/bowwow/photos/a.107987525967915.8968.106764142756920/818821131551214/?type=3,2016-06-23 19:52:52,6446,37,45,6193,171,10,66,2,4
106764142756920_818820461551281,,Timeline Photos,photo,https://www.facebook.com/bowwow/photos/a.107987525967915.8968.106764142756920/818820461551281/?type=3,2016-06-23 19:50:39,2862,10,30,2743,112,3,4,0,0
106764142756920_818817011551626,"Ladies .. Y'all killin in the throwback ""Like Mike"" joints 🙌🏽🔥 Get yours! Runway In Paris 👉🏽 www.runwayinparis.com Use my code: Smoss for 10% off",Timeline Photos,photo,https://www.facebook.com/bowwow/photos/a.107987525967915.8968.106764142756920/818817011551626/?type=3,2016-06-23 19:36:21,53,2,3,48,5,0,0,0,0
106764142756920_818715694895091,Find peace within yourself.,,status,,2016-06-23 19:00:00,2396,20,201,2334,58,0,3,1,0
106764142756920_818777568222237,He need some milk.. That looks like it hurt!,,video,https://www.facebook.com/bowwow/videos/818777568222237/,2016-06-23 17:14:43,811,181,401,603,8,61,136,2,1
106764142756920_818715598228434,i may not be perfect but i keep it real.,,status,,2016-06-23 17:00:00,4028,55,653,3893,127,2,7,0,0
106764142756920_818752824891378,Mom Escapes Hospital To Avoid Taking Baby With Birth Defects Home. But LOOK Who Saved Baby's Life.,Mom Escapes Hospital To Avoid Taking Baby With Birth Defects Home. But LOOK Who Saved Baby's...,link,http://bowwowmedia.co/01b1f7139f5726,2016-06-23 16:20:00,889,18,36,789,28,1,1,64,6
106764142756920_818751478224846,,Timeline Photos,photo,https://www.facebook.com/bowwow/photos/a.107987525967915.8968.106764142756920/818751478224846/?type=3,2016-06-23 15:55:38,391,25,86,316,6,1,68,0,0
106764142756920_818715518228442,"know yourself, know your worth",,status,,2016-06-23 15:00:00,3259,27,337,3160,93,2,4,0,0
106764142756920_818670264899634,Here's The Secret iPhone Codes That Apple Have Been Hiding From You,Here's The Secret iPhone Codes That Apple Have Been Hiding From You,link,http://bowwowmedia.co/01b1f713a258fe,2016-06-23 12:32:00,145,14,42,144,1,0,0,0,0
106764142756920_818669128233081,,Timeline Photos,photo,https://www.facebook.com/bowwow/photos/a.107987525967915.8968.106764142756920/818669128233081/?type=3,2016-06-23 11:57:35,10275,55,48,9930,319,17,9,0,0
106764142756920_818612891572038,Police Make SHOCKING Discovery At Michael Jackson's Neverland Ranch,Police Make SHOCKING Discovery At Michael Jackson's Neverland Ranch,link,http://bowwowmedia.co/01b1f713a24d66,2016-06-23 09:11:00,877,122,115,792,3,42,3,23,14
106764142756920_818611021572225,,Timeline Photos,photo,https://www.facebook.com/bowwow/photos/a.107987525967915.8968.106764142756920/818611021572225/?type=3,2016-06-23 08:52:57,2647,37,516,2527,115,3,1,1,0
106764142756920_818554594911201,Australia and New Zealand I'm on the way.. July/August,,video,https://www.facebook.com/bowwow/videos/818554594911201/,2016-06-23 05:56:51,247,17,8,234,12,0,0,0,1
106764142756920_818521194914541,"Tyga Disses Kylie Jenner In His First Tell-All Interview Since Breakup! ""She Was…","Tyga Disses Kylie Jenner In His First Tell-All Interview Since Breakup! ""She Was…",link,http://bowwowmedia.co/01b1f713a274e4,2016-06-23 03:54:04,1916,47,31,1837,10,24,40,3,2
106764142756920_818520718247922,,Timeline Photos,photo,https://www.facebook.com/bowwow/photos/a.107987525967915.8968.106764142756920/818520718247922/?type=3,2016-06-23 03:51:47,2313,28,132,1975,44,3,287,0,4
