status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
39677118233_10154286851918234,I'm w/ Billboard… #DisarmHate. Close the loopholes & make background checks happen http://billboard.com/letter,Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154286851918234/?type=3,2016-06-23 18:36:40,13421,466,733,11914,1419,55,6,6,21
39677118233_10154286670468234,#tbt,Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154286670468234/?type=3,2016-06-23 15:36:25,94771,1298,902,87344,6331,1013,60,13,11
39677118233_10154278752428234,This artist is so talented 👏,Your Eyes Are Deceiving You Because This Is Not Actually A Fish,link,http://aplus.com/a/body-paint-animals?c=12760&utm_campaign=i2380&utm_source=a97302,2016-06-23 08:30:00,12380,247,398,11549,479,328,20,0,4
39677118233_10154284537403234,My head is melting it's so hot in Vegas!!,Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154284537403234/?type=3,2016-06-22 20:14:51,142436,2777,1521,132176,8491,1511,210,28,20
39677118233_10154284010093234,"Good times, good vibes",Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154284010093234/?type=3,2016-06-22 15:16:14,78632,863,435,74945,3393,134,146,8,6
39677118233_10154278749708234,Obsessed! 😍,This Stylist Creates The Most Insane Hairdos And We Don't Know How To Feel,link,http://aplus.com/a/georgiy-kot-insane-hairstyles?c=12759&utm_campaign=i2380&utm_source=a97291,2016-06-22 07:00:00,24049,528,687,22528,843,595,75,4,4
39677118233_10154278748593234,Her reactions are so adorable lol,"Little Girl Tries 54 New Things In Under 2 Minutes, Reminds Us Of The Magic Of Firsts",link,http://aplus.com/a/girl-tries-54-new-things-glamour?c=12763&utm_campaign=i2380&utm_source=a97224,2016-06-20 14:32:49,6097,254,169,5739,208,10,135,2,3
39677118233_10154277118728234,Great day 🐠🐠🐠🐠,Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154277118728234/?type=3,2016-06-19 23:21:47,246406,3670,1705,230693,14044,1462,158,24,25
39677118233_10154271075888234,"The #PieceOfMe gang is back. See you tonight, Vegas.",Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154271075888234/?type=3,2016-06-17 19:08:35,36192,717,453,33360,2551,196,75,6,4
39677118233_10154270547448234,"Introducing my new fragrance, Private Show. Coming soon. #PrivateShow #TakeABow Britney Spears Fragrances",,video,https://www.facebook.com/britneyspears/videos/10154270547448234/,2016-06-17 15:06:25,19393,1445,2597,15569,3527,229,33,13,22
39677118233_10154270103158234,Look what just went on sale 🎟 Tickets to the new #PieceOfMe shows are now available! britney.lk/pomtickets,Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154270103158234/?type=3,2016-06-17 12:04:11,7956,1048,350,7120,758,57,7,10,4
39677118233_10154263724133234,My bestie is getting married in Vegas this weekend! Gotta go try on that bridesmaid dress lol,,video,https://www.facebook.com/britneyspears/videos/10154263724133234/,2016-06-14 23:44:29,42247,1480,951,38025,3224,74,906,8,10
39677118233_10154262377208234,New #PieceOfMe tix are available now! American Express Card Members can get tix through 6/16 💳 http://amex.co/24G1yh3,Britney #AmexPresale,link,http://amex.co/24G1yh3,2016-06-14 12:09:01,19155,1229,988,17602,1390,135,13,10,5
39677118233_10154260212058234,"I have not been able to find words to express how I feel about what happened in Orlando. Music and dance take me to a wonderful, happy, safe place... and for this to happen in a place where people enjoy those things makes me so sad. This has to stop. We need to accept and love people for who they are. This is truly an attack against all of us, and I'm praying that we can join together and find a solution. ❤️💙💚💛💜",Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154260212058234/?type=3,2016-06-13 15:16:23,127123,2370,10230,103350,15452,60,54,8052,155
39677118233_10154259623343234,#PieceOfMe is back on Friday & to celebrate... new dates! 💖 Tix go on sale 6/17 at 10am PT! britney.lk/pomtickets,Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154259623343234/?type=3,2016-06-13 10:30:20,7325,419,304,6429,821,58,5,5,7
39677118233_10154249685498234,Aww they did such a great job!,First-Grade Teacher Becomes Real Life Ms. Frizzle With Dress Decorated By Her Students,link,http://aplus.com/a/first-grade-teacher-lets-students-decorate-dress?c=12512&utm_campaign=i2380&utm_source=a97178,2016-06-13 09:00:00,18211,372,375,17154,924,105,24,2,2
39677118233_10154249685013234,Perfect summer hairstyle!,Ready To Mix Up Your Summer Hair? Try This Pretty Watermelon Trend,link,http://aplus.com/a/watermelon-hair-healthy-trend?c=12511&utm_campaign=i2380&utm_source=a97159,2016-06-11 08:00:00,9427,460,210,8896,376,38,109,4,4
39677118233_10154249680468234,The finished product is beautiful 🌈 🌈 🌈,The Thermal Highlighter Look Is The Hottest New Makeup Trend,link,http://aplus.com/a/thermal-highlighter-makeup-trend?c=12505&utm_campaign=i2380&utm_source=a97069,2016-06-10 07:00:00,9865,478,249,9344,359,112,34,8,8
39677118233_10154249955693234,Had to get outside today... Such a beautiful day ☀️,,video,https://www.facebook.com/britneyspears/videos/10154249955693234/,2016-06-09 19:35:00,27821,638,435,25568,1701,50,495,4,3
39677118233_10154246901178234,#HappyNationalBestFriendsDay,Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154246901178234/?type=3,2016-06-08 17:05:00,60149,935,474,56999,2859,119,162,5,5
39677118233_10154246140118234,Absolutely WOW'd by these kids!!,This Belgian B-Boy Crew Wants A Few Minutes Of Your Time To Show Off Their Flashy Moves,link,http://aplus.com/a/battle-droids-crew-jauz-netsky-higher?c=12230&utm_campaign=i2380&utm_source=a96938,2016-06-08 11:58:47,9113,185,115,8632,407,65,8,0,1
39677118233_10154227619828234,Lip art 💋 Absolutely stunning…,Woman Transforms Her Lips Into Art Inspired By Pop Culture And More,link,http://aplus.com/a/miss-jazmina-lip-art?c=11997&utm_campaign=i2380&utm_source=a96892,2016-06-06 07:30:00,24224,538,940,22544,1089,547,38,2,4
39677118233_10154227619493234,Who's tried hair stenciling? Seriously love this trend 😍,Hair Stencils Are Here And They're Perfect For Summer,link,http://aplus.com/a/hair-stenciling-trend?c=11996&utm_campaign=i2380&utm_source=a96873,2016-06-03 08:00:00,10022,491,431,9363,473,156,28,2,0
39677118233_10154232643318234,Day one: ✔️,Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154232643318234/?type=3,2016-06-03 00:25:43,126933,4071,4591,114032,9108,3335,357,33,68
39677118233_10154232330038234,Steamy camera lens means the shoot was 🔥 today!,Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154232330038234/?type=3,2016-06-02 21:11:54,78608,1437,1244,72410,5151,715,278,18,36
39677118233_10154231825073234,Ooh look who I found... G-Eazy,Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154231825073234/?type=3,2016-06-02 15:42:31,156932,3483,3150,144738,10335,1619,162,30,48
39677118233_10154227618968234,Getting ideas for my next manicure… 💅,There's Something Deeply Satisfying About 'Bracelet Nails',link,http://aplus.com/a/bracelet-nails-manicure-trend?c=11993&utm_campaign=i2380&utm_source=a96875,2016-06-01 07:00:00,12929,440,266,12255,570,40,63,0,1
39677118233_10154226653213234,"Just getting some relaxation in Malibu before the next round of #PieceOfMe shows, courtesy of Airbnb! 💙",Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154226653213234/?type=3,2016-05-31 10:59:27,76762,966,651,72768,3419,507,56,5,7
39677118233_10154222308928234,A very much needed haircut ✂️,Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154222308928234/?type=3,2016-05-29 14:19:56,202896,4274,2120,187625,12570,493,2041,59,46
39677118233_10154216245488234,There is so much detail in these Etch-A-Sketches… So incredible!,Artist Uses Etch-A-Sketch To Recreate Iconic Works Of Art And Pop Culture Figures,link,http://aplus.com/a/jane-labowitch-princess-etch-a-sketch-art?c=11739&utm_campaign=i2380&utm_source=a96674,2016-05-29 08:00:00,12510,282,246,11841,467,166,29,4,1
39677118233_10154217943543234,I wanna see your #AmericanDream Album Covers  Post them with #MyBritneyCover and show me what you got!,Britney Spears: American Dream,photo,https://www.facebook.com/TheBritneyGame/photos/a.268870646782954.1073741828.230733660596653/287266788276673/?type=3,2016-05-27 17:47:01,3795,270,0,3389,368,27,10,0,0
39677118233_10154216244973234,"Well done, Ellen DeGeneres! So sweet 💕",Ellen Surprises 4-Year-Old Gymnastics Star With A Visit From Her Military Dad,link,http://aplus.com/a/ellen-surprises-emma-military-dad?c=11737&utm_campaign=i2380&utm_source=a96680,2016-05-27 07:00:00,19986,212,260,18805,1111,27,38,3,2
39677118233_10154215554888234,"I'll be watching & cheering you on, Jamie Lynn Spears 💕 When The Lights Go Out premieres on 6/26 at 10/9c on TLC","Watch This Sneak Peek of ""Jamie Lynn Spears: When the Lights Go Out""",link,http://britney.lk/jlswtlgo,2016-05-26 16:05:25,7478,235,205,6741,715,18,3,1,0
39677118233_10154213889663234,What happens in Vegas sometimes ends up on Vevo 🙈 #BBMAs,Britney Spears - Megamix (2016 Billboard Music Awards Performance),video,http://britney.lk/bbmas2016,2016-05-25 21:41:16,41980,1751,3819,33526,7870,391,171,12,10
39677118233_10154207225923234,After tonight... All I really want is a cheeseburger 🍔 #BBMAs,Timeline Photos,photo,https://www.facebook.com/britneyspears/photos/a.79096253233.80143.39677118233/10154207225923234/?type=3,2016-05-23 03:12:02,204560,4994,6308,181655,17115,1300,4417,23,50
