status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
86037497258_10154456208252259,50 days to go until the 2016/17 Premier League season! ⚽️,Timeline Photos,photo,https://www.facebook.com/ChelseaFC/photos/a.217015422258.132731.86037497258/10154456208252259/?type=3,2016-06-24 04:43:04,36666,300,513,36040,508,80,27,8,3
86037497258_10154456072492259,Gary Cahill on why England should be optimistic...,Internationals: Cahill in confident mood,link,http://che.lc/nD8azj,2016-06-24 03:19:53,9004,51,22,8960,34,2,7,1,0
86037497258_10154454356642259,Some of the best Instagram posts from our players at the Euros...,Euro 2016 on Instagram,link,http://che.lc/LHGWZl,2016-06-23 13:44:02,13750,50,68,13636,95,8,11,0,0
86037497258_10154454072447259,"Congratulations to Eidur Gudjohnsen and Iceland, who yesterday made it through to the Euro 2016 last 16!",Gudjohnsen v Leeds,video,https://www.facebook.com/ChelseaFC/videos/10154454072447259/,2016-06-23 11:08:13,24567,389,1037,23641,585,319,19,2,1
86037497258_10154453852102259,"The nations of all six of our players at Euro 2016, as well as Antonio Conte's Italy, are through to the last 16. Congratulations!

Eden Hazard Thibaut Courtois Cesc Fàbregas Pedro Cesar Azpilicueta Gary Cahill",Photos from Chelsea Football Club's post,photo,https://www.facebook.com/ChelseaFC/photos/a.217015422258.132731.86037497258/10154453848997259/?type=3,2016-06-23 09:08:16,62725,286,584,61839,748,100,25,5,8
86037497258_10154453352267259,Belgium's Eden Hazard and Thibaut Courtois safely through...,"Internationals: Belgium through, Italy beaten",link,http://che.lc/FnE5bQ,2016-06-23 04:33:29,22599,132,116,22393,166,24,10,3,3
86037497258_10154451583902259,Some of our favourite Chelsea goals from players who have represented Spain...,Six Spanish strikes,link,http://che.lc/4w5y45,2016-06-22 11:15:30,24370,185,182,24083,251,26,7,3,0
86037497258_10154451457662259,Cesc Fàbregas with another great assist for Spain last night...,Photos from Chelsea Football Club's post,photo,https://www.facebook.com/ChelseaFC/photos/a.217015422258.132731.86037497258/10154451456862259/?type=3,2016-06-22 10:11:32,28110,114,167,27847,213,13,34,3,0
86037497258_10154450783167259,"Spain's Cesc Fàbregas, Pedro and Cesar Azpilicueta will face Antonio Conte's Italy in the Euro 2016 knockout stages...",Internationals: Spain slip up,link,http://che.lc/O9SRfw,2016-06-22 04:04:27,18708,123,107,18532,88,61,16,8,3
86037497258_10154448322192259,Gary Cahill lining up for England as captain yesterday...,Timeline Photos,photo,https://www.facebook.com/ChelseaFC/photos/a.217015422258.132731.86037497258/10154448322192259/?type=3,2016-06-21 06:10:28,49208,201,238,48639,455,73,25,6,10
86037497258_10154448249947259,"'The art in the match is to find exactly the right way to catch your opponent out...'

- Eden Hazard",Internationals: Hazard's high hopes,link,http://che.lc/vr8buK,2016-06-21 05:25:53,21802,120,97,21613,154,26,6,2,1
86037497258_10154447234542259,"A clean sheet, qualification but only a draw for Gary Cahill and England this evening...",Internationals: England kept out but go through,link,http://www.chelseafc.com/news/latest-news/2016/06/internationals--england-v-slovakia.html,2016-06-20 17:24:44,15023,99,55,14894,50,8,22,6,43
