status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
37152881613_10154401136931614,"The #Bulls came out strong in tonight's #NBADraft, coming away with an NBA-ready prospect in AP College Basketball Player of the Year Denzel Valentine and a talented European swingman in Paul Zipser. Check out Sam Smith's pick-by-pick analysis as it all went down. 

READ: bit.ly/2914kKy",Sam Smith's Pick-by-Pick Draft Analysis,link,http://bit.ly/2914kKy,2016-06-23 23:42:48,4119,106,105,3996,37,11,6,3,66
37152881613_10154401035526614,"Welcome to #Chicago, Denzel Valentine!",Timeline Photos,photo,https://www.facebook.com/chicagobulls/photos/a.387674096613.195715.37152881613/10154401035526614/?type=3,2016-06-23 23:08:34,23992,448,1051,23110,422,58,90,21,291
37152881613_10154400998331614,"With the 48th pick in the 2016 #NBADraft, the Bulls select 6-8 swingman Paul Zipser of Bayern Munich.",Timeline Photos,photo,https://www.facebook.com/chicagobulls/photos/a.387674096613.195715.37152881613/10154400998331614/?type=3,2016-06-23 22:50:56,6822,376,395,6560,63,34,35,8,122
37152881613_10154400662486614,"""I'm just so glad I'm going to the #Bulls."" 

That hat looks pretty good on you, Denzel Valentine.",Denzel Valentine Interview at the Draft - 6.23.16,video,https://www.facebook.com/chicagobulls/videos/10154400662486614/,2016-06-23 20:38:31,20845,687,2164,20097,559,133,24,6,26
37152881613_10154400614666614,"With the 14th pick in the 2016 NBA Draft, the #Bulls selected Denzel Valentine from Michigan State!

Welcome to the Bulls, Denzel!",Timeline Photos,photo,https://www.facebook.com/chicagobulls/photos/a.387674096613.195715.37152881613/10154400614666614/?type=3,2016-06-23 20:18:15,23808,629,3756,22954,593,134,26,19,82
37152881613_10154399925246614,"Check out our Draft Hub for up-to-the-minute #NBADraft coverage, plus a chance to test your #Bulls knowledge and win a Bulls 2016 Draft hat!

BULLS DRAFT HUB: Bulls.com/Draft",Timeline Photos,photo,https://www.facebook.com/chicagobulls/photos/a.387674096613.195715.37152881613/10154399925246614/?type=3,2016-06-23 15:43:47,9443,211,228,8983,286,19,13,7,136
37152881613_10154399307951614,Who's going to get the call? #NBADraft,Timeline Photos,photo,https://www.facebook.com/chicagobulls/photos/a.387674096613.195715.37152881613/10154399307951614/?type=3,2016-06-23 11:13:15,22890,986,810,21503,623,57,35,55,617
37152881613_10154399010666614,"It's finally Draft Day! Which prospects are catching your eye this year?

MOCK DRAFT: bit.ly/28O6Tz2",Sam Smith's Final 2016 Mock Draft,link,http://bit.ly/28O6Tz2,2016-06-23 08:54:50,3732,188,70,3607,22,13,2,5,83
37152881613_10154397031486614,"Sam Smith reflects as the Bulls say goodbye to Derrick Rose 

READ: bit.ly/28O0syQ",Bulls say goodbye to Derrick Rose | Chicago Bulls,link,http://bit.ly/28O0syQ,2016-06-22 16:06:49,31089,1839,2937,22848,137,260,105,4697,3042
37152881613_10154396890196614,"Thank You, Derrick.",Timeline Photos,photo,https://www.facebook.com/chicagobulls/photos/a.387674096613.195715.37152881613/10154396890196614/?type=3,2016-06-22 15:16:13,223324,7290,61474,196637,4604,847,513,18212,2512
