status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
8335563918_10154341745898919,"New album The Getaway is out now!

Get the vinyl/CD/download or stream here: http://smarturl.it/thegetawayrhcp",Timeline Photos,photo,https://www.facebook.com/ChiliPeppers/photos/a.10150395828153919.387748.8335563918/10154341745898919/?type=3,2016-06-22 12:45:48,26671,453,1392,24456,2055,85,72,3,0
8335563918_10154338546803919,"In case you missed it, watch Anthony's Facebook Live interview now!

New album The Getaway is available everywhere: http://smarturl.it/thegetawayrhcp",Anthony Kiedis * Facebook Live Chat,video,https://www.facebook.com/ChiliPeppers/videos/10154338546803919/,2016-06-21 10:03:19,35353,611,2774,32049,3043,212,38,5,6
8335563918_10154336970893919,"whats your favorite song from The Getaway ?

instagram.com/chilipeppers",,video,https://www.facebook.com/ChiliPeppers/videos/10154336970893919/,2016-06-20 17:11:18,12576,999,352,11704,825,40,5,1,1
8335563918_10154328673373919,New album The Getaway now available on Amazon.com: http://smarturl.it/adxdl9,Timeline Photos,photo,https://www.facebook.com/ChiliPeppers/photos/a.10150395828153919.387748.8335563918/10154328673373919/?type=3,2016-06-19 10:11:01,6343,112,356,5762,558,14,7,2,0
8335563918_10154336249268919,"Josh being Josh, bts #DarkNecessities, if you havent seen the video yet check it here: https://www.youtube.com/watch?v=Q0oIoR9mLwc&list=PLT6HAUPSMbBHvN_QIiOqFeHRv3nggdMfD",Timeline Photos,photo,https://www.facebook.com/ChiliPeppers/photos/a.10150395828153919.387748.8335563918/10154336083983919/?type=3,2016-06-18 23:00:00,9036,124,203,8433,559,40,4,0,0
8335563918_10154328305803919,"Ready set jet.

Stream the new album The Getaway now on Spotify: http://spoti.fi/23eObW0",Timeline Photos,photo,https://www.facebook.com/ChiliPeppers/photos/a.10150395828153919.387748.8335563918/10154328305803919/?type=3,2016-06-17 16:31:01,9041,153,636,8198,787,48,5,3,0
8335563918_10154328363523919,"Watch the music video for ""Dark Necessities"" now!  Directed by Olivia Wilde.

Get the new album The Getaway now on iTunes: http://smarturl.it/ijzo0e",Red Hot Chili Peppers - Dark Necessities [OFFICIAL VIDEO],video,https://www.youtube.com/watch?v=Q0oIoR9mLwc&list=PLT6HAUPSMbBHvN_QIiOqFeHRv3nggdMfD,2016-06-17 12:35:05,18831,480,3880,16438,2276,100,13,3,1
8335563918_10154327726828919,"Red Hot Chili Peppers' new album The Getaway is now available everywhere! 

Get it here: http://smarturl.it/thegetawayrhcp",Red Hot Chili Peppers's cover photo,photo,https://www.facebook.com/ChiliPeppers/photos/a.10150689746593919.429905.8335563918/10154327725838919/?type=3,2016-06-17 09:00:53,30167,1022,2726,27478,2514,147,18,7,3
8335563918_10154321762633919,"To celebrate premiere of the music video ""Dark Necessities,"" Anthony is hosting a Facebook live chat tomorrow (Thursday) at 9:30am PT.

Leave your questions below & make sure to tune in tomorrow for the premiere of the new music video!",,status,,2016-06-15 09:18:01,3393,1178,209,2942,387,59,3,2,0
8335563918_10154319092173919,"In case you missed it, watch Red Hot Chili Peppers on The Late Late Show with James Corden on #CarpoolKaraoke now!",Red Hot Chili Peppers Carpool Karaoke,video,https://www.youtube.com/watch?v=cfudXO_vzWk&list=PLT6HAUPSMbBHvN_QIiOqFeHRv3nggdMfD,2016-06-14 10:15:55,70096,4059,20681,58803,8546,123,2617,3,4
8335563918_10154316656333919,"and thats whats up

* * *

Follow Red Hot Chili Peppers on Instagram: http://instagram.com/chilipeppers",Follow @chilipeppers on Instagram,video,https://www.facebook.com/ChiliPeppers/videos/10154316656333919/,2016-06-13 12:34:24,9922,399,646,8592,1291,14,24,1,0
8335563918_10154310624858919,"pre-PinkPop

instagram.com/chilipeppers",Timeline Photos,photo,https://www.facebook.com/ChiliPeppers/photos/a.10150395828153919.387748.8335563918/10154310624858919/?type=3,2016-06-13 03:01:00,35175,225,510,33310,1728,102,33,1,1
8335563918_10154308067373919,"We got large and we got small, we got a swimming pool and a cannon ball
We turn red and we turn green, it's the craziest thing I've ever seen
 
Lost my mind 'cause I'm on the plastic
Who knew it's so damn drastic
Show me what it is you believe in
Slowly she sinks all your teeth in
Do you want to go fishing in New Orleans
Do you want to get up early in the morning
Take me to the river where we do the little storming
Hallelujah, I feel it warming
 
Sitting here I count the moons
The orders we obeyed
Every night 'fore we go to bed
I watch while the others pray
 
Send it off through Delaware just
Make it fair for the legionnaires
Paint a simple portrait of my kind
 
Permission to the heartless bombs
Gold Plated Hate and the waitress moms
Serving up the stories of my mind
 
Mexico you are my neighbor
Home of the let's be braver
Give me all your sick and your tired
Races that we admire
Do you want to go dancing in Chicago
Trinidad's got it bad for Tobago
Take me to the lake where we do the Avocado
Hallelujah, a desparado
 
Sitting here I count the moons
The orders we obeyed
Every night 'fore we go to bed
I watch while the others pray
 
Send it off through Delaware just
Make it fair for the legionnaires
Paint a simple portrait of my kind
 
Permission to the heartless bombs
Gold Plated Hate and the waitress moms
Serving up the stories of my mind
 
Coming down from the deserts where you
Caught a glimpse of the billionaire
Tell me I'm the right one for the ride
 
Paper signs out on the lawns
Gold minds and the priceless pawns
Does your canyon really open wide
 
We got large and we got small, we got a swimming pool and a cannon ball
We turn red and we turn green, it's the craziest thing I've ever seen",Red Hot Chili Peppers - We Turn Red [OFFICIAL AUDIO],video,https://www.youtube.com/watch?v=I7rlCyvHejY&list=PLT6HAUPSMbBHvN_QIiOqFeHRv3nggdMfD,2016-06-12 17:33:00,14297,317,1143,13421,802,13,9,46,6
8335563918_10154314496463919,"Josh pre-Novarock

instagram.com/chilipeppers",,video,https://www.facebook.com/ChiliPeppers/videos/10154314496463919/,2016-06-12 16:14:02,36396,930,2317,33971,2077,307,17,13,11
8335563918_10154313455203919,"AK with director Olivia Wilde on the #darknecessities video shoot #6-16-16

instagram.com/chilipeppers",Timeline Photos,photo,https://www.facebook.com/ChiliPeppers/photos/a.10150395828153919.387748.8335563918/10154313455203919/?type=3,2016-06-12 08:45:01,109944,1040,1502,104464,4507,861,100,5,7
