status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
6329881653_10154369925131654,,"Chris Brown @ Black Sea Jazz Festival in Bat'umi, Georgia",link,http://www.bandsintown.com/event/12355271?artist=Chris+Brown&came_from=23,2016-06-23 11:33:58,14129,216,128,13684,393,35,5,8,4
6329881653_10154368245876654,,Timeline Photos,photo,https://www.facebook.com/chrisbrown/photos/a.431457261653.220040.6329881653/10154368245876654/?type=3,2016-06-22 19:21:15,121453,720,929,115392,5694,274,80,7,6
6329881653_10154358517391654,BARCELONA OHB 🔥🔥🔥🔥🔥🔥😎😳🏆,Chris Brown,video,https://www.facebook.com/chrisbrown/videos/10154358516351654/,2016-06-19 08:44:03,89538,4890,8,78509,4798,87,6126,10,8
6329881653_10154347790886654,CROATIA!!!! July 14th. See you there!,,video,https://www.facebook.com/chrisbrown/videos/10154347790886654/,2016-06-15 10:48:17,46861,5398,1935,44273,1945,571,24,39,9
6329881653_10154345871606654,,Chris Brown's cover photo,photo,https://www.facebook.com/chrisbrown/photos/a.10150754020121654.466528.6329881653/10154345871331654/?type=3,2016-06-14 16:17:52,32305,479,271,30685,1538,65,13,2,2
6329881653_10154345116931654,,"Chris Brown @ Curacao North Sea Jazz Festival  in Willemstad, Netherlands Antilles",link,http://www.bandsintown.com/event/12293243?artist=Chris+Brown&came_from=23,2016-06-14 09:49:21,20961,398,208,20300,605,45,7,4,0
6329881653_10154332642631654,"OBERHAUSEN, GERMANY! #OneHellOfANiteTour chrisbrownworld.com/tour",Timeline Photos,photo,https://www.facebook.com/chrisbrown/photos/a.431457261653.220040.6329881653/10154332642631654/?type=3,2016-06-09 14:04:15,15372,546,270,14740,565,58,5,4,0
6329881653_10154332642631654,"OBERHAUSEN, GERMANY! #OneHellOfANiteTour chrisbrownworld.com/tour",Timeline Photos,photo,https://www.facebook.com/chrisbrown/photos/a.431457261653.220040.6329881653/10154332642631654/?type=3,2016-06-09 14:04:15,15372,546,270,14740,565,58,5,4,0
6329881653_10154328945631654,Thank you Best Buddies International for coming to my show! So honored to have you as my guests ❤️,Timeline Photos,photo,https://www.facebook.com/chrisbrown/photos/a.431457261653.220040.6329881653/10154328945631654/?type=3,2016-06-08 07:57:19,12151,346,102,11579,535,29,6,2,0
6329881653_10154326550036654,,"Chris Brown @ FRESH ISLAND FESTIVAL in Pag, Croatia",link,http://www.bandsintown.com/event/12247465?artist=Chris+Brown&came_from=23,2016-06-07 09:55:49,27333,408,247,26542,723,58,7,1,2
6329881653_10154324826161654,,Black Pyramid Store | New styles by Black Pyramid clothing! Shop Chris Brown's exclusive...,link,http://www.blackpyramidclothing.com/,2016-06-06 15:52:04,4768,140,123,4537,212,10,5,0,4
6329881653_10154319618931654,Download #GrassAintGreener on Google Play now,Chris Brown: Grass Ain't Greener - Music on Google Play,link,http://smarturl.it/gGAG?IQid=tw,2016-06-04 13:16:58,6023,304,159,5699,310,12,2,0,0
6329881653_10154319411551654,BlackPyramidClothing.com,Timeline Photos,photo,https://www.facebook.com/chrisbrown/photos/a.431457261653.220040.6329881653/10154319411551654/?type=3,2016-06-04 11:28:32,279500,3090,5423,264145,14135,983,170,33,34
6329881653_10154311076106654,NO FAKERS ❤️,Timeline Photos,photo,https://www.facebook.com/chrisbrown/photos/a.431457261653.220040.6329881653/10154311076106654/?type=3,2016-05-31 18:33:19,77088,747,530,74391,2433,224,35,4,1
6329881653_10154310353891654,"PARIS WAS PACKED! Antwerp, Belgium tonight. #OneHellOfANiteTour",Timeline Photos,photo,https://www.facebook.com/chrisbrown/photos/a.431457261653.220040.6329881653/10154310353891654/?type=3,2016-05-31 13:02:22,60649,782,473,58519,1682,408,21,18,1
6329881653_10154310066666654,#WelcomeToMyLife. Coming soon.,Chris Brown - Welcome to My Life - Trailer,video,http://vimeo.com/163062194/,2016-05-31 10:18:37,10103,546,1096,9048,956,89,6,4,0
6329881653_10154302621371654,Follow and download Expresser,Timeline Photos,photo,https://www.facebook.com/chrisbrown/photos/a.431457261653.220040.6329881653/10154302621371654/?type=3,2016-05-28 04:28:23,5409,272,89,5211,169,19,1,0,5
6329881653_10154299021566654,"ZURICH, SWITZERLAND tonight! #OneHellOfANiteTour chrisbrownworld.com/tour",Timeline Photos,photo,https://www.facebook.com/chrisbrown/photos/a.431457261653.220040.6329881653/10154299021566654/?type=3,2016-05-26 12:21:58,7749,289,165,7337,379,23,4,1,4
6329881653_10154296938721654,#OneHellOfANiteTour!!!!!!,Timeline Photos,photo,https://www.facebook.com/chrisbrown/photos/a.431457261653.220040.6329881653/10154296938721654/?type=3,2016-05-25 13:11:52,112120,1080,1124,107847,3880,322,54,13,2
6329881653_10154293849901654,http://Instagram.com/buggasugar,Timeline Photos,photo,https://www.facebook.com/chrisbrown/photos/a.431457261653.220040.6329881653/10154293849901654/?type=3,2016-05-24 06:26:56,11296,259,67,10928,194,12,157,2,3
6329881653_10154291146876654,I DO A LOT OF STUPID SHIT..BUT THIS IS THE ONE THING I DO WELL.  Humanity has lost a lot of values being prisoners of their own mind and insecurities. INSPIRE THE CHANGE YOU WANNA SEE AND MAKE SURE THAT ITS REAL! GOD HASNT GIVEN UP ON ME AND Ive STOPPED QUESTIONING HIM! ❤️,Timeline Photos,photo,https://www.facebook.com/chrisbrown/photos/a.431457261653.220040.6329881653/10154291146876654/?type=3,2016-05-23 02:56:08,70848,1572,1797,66477,4028,305,24,10,4
