status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
15253175252_10157112937025253,"The UK has a very important decision to make on Thursday. We'll all be voting. And we hope that if you're registered, you will be too.",,status,,2016-06-21 03:55:25,3999,85,37,3718,239,9,3,29,1
15253175252_10157110166880253,Coldplay will headline #MadeInAmerica in Philadelphia in Sept! Tickets on general sale Monday: http://madeinamericafest.com (see website for info on Wednesday's TIDAL pre-sale),Timeline Photos,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157110166880253/?type=3,2016-06-20 11:27:28,3785,93,135,3289,389,95,3,9,0
15253175252_10157106490830253,Wonderful shot from last night's #ColdplayWembley show by Sam Neill photo.,Timeline Photos,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157106490830253/?type=3,2016-06-19 13:53:52,155527,1365,2684,142422,9814,3130,95,60,6
15253175252_10157105243680253,My favourite moment in the whole show #aheadfullofdreams #coldplaywembley (📷 Ollie Smallwood) PH,Timeline Photos,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157105243680253/?type=3,2016-06-19 08:43:30,295801,2563,6101,267583,23870,4078,184,78,8
15253175252_10157104715055253,"Three down, one to go... #ColdplayWembley",Timeline Photos,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157104715055253/?type=3,2016-06-19 06:07:04,162938,1321,2049,151238,9955,1546,113,82,4
15253175252_10157100337645253,"The amazing Pilar Zeta at AHFOD charity art show Album Artists 
Today/tomorrow: 205 Royal College St London PH",Timeline Photos,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157100337645253/?type=3,2016-06-18 06:58:56,6655,43,123,6042,573,39,1,0,0
15253175252_10157100213090253,"A Wembley full of stars, on Thursday night. #ColdplayWembley

(Video: Ollie Smallwood)",,video,https://www.facebook.com/coldplay/videos/10157100213090253/,2016-06-18 06:22:08,202868,10445,23045,175790,23120,3750,107,94,7
15253175252_10157092030865253,Doors. WC,,video,https://www.facebook.com/coldplay/videos/10157092030865253/,2016-06-16 11:24:04,28189,632,568,25952,1632,518,76,9,2
15253175252_10157091428910253,Not a bad place to watch the game. WC #ENGWAL,Timeline Photos,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157091428910253/?type=3,2016-06-16 08:09:26,31191,198,202,29495,1438,179,69,8,2
15253175252_10157091037815253,"If you missed our Snapchat (user: coldplay) story from last night's first #ColdplayWembley show, here it is in full...",,video,https://www.facebook.com/coldplay/videos/10157091037815253/,2016-06-16 05:27:06,39645,1224,2478,35003,4148,441,23,26,4
15253175252_10157089590370253,See you tomorrow...  #ColdplayWembley,Timeline Photos,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157089590370253/?type=3,2016-06-15 17:52:52,22134,275,413,20080,1896,137,8,13,0
15253175252_10157089344745253,What a wonderful way to kick off the #ColdplayWembley shows. Thanks everyone!,,video,https://www.facebook.com/coldplay/videos/10157089344745253/,2016-06-15 16:41:49,64231,688,1463,58148,5715,292,50,22,4
15253175252_10157089161810253,#AOAL #ColdplayWembley,Timeline Photos,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157089161810253/?type=3,2016-06-15 16:02:44,159315,1100,2847,145534,12888,756,110,27,0
15253175252_10157088889265253,Good evening Wembley!  #ColdplayWembley,Timeline Photos,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157088889265253/?type=3,2016-06-15 14:48:09,133877,1436,2043,124138,8598,1018,71,51,1
15253175252_10157088829485253,Here we go... #ColdplayWembley,Timeline Photos,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157088829485253/?type=3,2016-06-15 14:37:14,105322,757,873,97669,7213,358,52,29,1
15253175252_10157087853465253,"We'll be snapchatting live from Wembley Stadium today (search ""coldplay""). #ColdplayWembley",Timeline Photos,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157087853465253/?type=3,2016-06-15 09:43:12,8682,128,157,7777,842,57,3,3,0
15253175252_10157086908655253,"The #ColdplayWembley dates at Wembley Stadium are here! Four shows to 300,000 people in the band's hometown! Here are the set times…",Timeline Photos,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157086908655253/?type=3,2016-06-15 03:31:40,4153,121,216,3649,469,28,4,3,0
15253175252_10157086893930253,"The #ColdplayWembley dates at Wembley Stadium are here! Four shows to 300,000 people in the band's hometown! Here are the set times…",Photos from Coldplay's post,photo,https://www.facebook.com/coldplay/photos/a.10150274960980253.534856.15253175252/10157086891540253/?type=3,2016-06-15 03:22:15,20026,571,593,18346,1453,182,18,25,2
