status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
81221197163_10154384801732164,⚽️,Timeline Photos,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10154384801732164/?type=3,2016-06-22 14:22:19,2105983,34242,27692,2009915,80078,4571,9127,414,1886
81221197163_10154382037567164,My mate Its here!!!,Timeline Photos,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10154382037567164/?type=3,2016-06-21 14:35:25,1139310,10490,4163,1111054,24180,1429,2120,118,409
81221197163_10154380822157164,✌🏼️,Timeline Photos,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10154380822157164/?type=3,2016-06-21 05:54:44,1055288,10380,4142,1025975,24634,2978,1064,160,475
81221197163_10154374462687164,Triste com o resultado mas sei que todos juntos vamos dar a volta por cima. 🇵🇹,Timeline Photos,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10154374462687164/?type=3,2016-06-18 18:45:54,1140112,31060,15247,1074797,31230,1240,3600,26978,2267
81221197163_10154370981227164,Love you ❤️,Timeline Photos,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10154370981227164/?type=3,2016-06-17 12:28:47,2527622,27602,12726,2442390,75261,5896,2773,337,963
81221197163_10154370516317164,"Mental preparation for tomorrow's match starts today. Try Pro Genius brain training tools - only in the Nike Football App: http://gonike.me/GENIUS
#SparkBrilliance",Nike Football and CR7 Present - Pro Genius Mental Training Tools,video,https://www.facebook.com/Cristiano/videos/10154370516317164/,2016-06-17 10:00:00,78579,2079,1228,74251,3809,386,87,13,32
81221197163_10154367961672164,Esta braçadeira é de todos nós. Não sou eu e mais 10. Não sou eu e mais 22. Juntos somos 11 milhões. Por nós. POR PORTUGAL! #MEOCapitão. #MEOPORTUGAL,MEO,video,https://www.facebook.com/meo/videos/10154189914304570/,2016-06-16 10:01:54,62082,1720,3,58775,2961,264,48,14,19
81221197163_10154365627452164,"Time to train, more games yet to come  #DontCrackUnderPressure TAG Heuer",Timeline Photos,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10154365627452164/?type=3,2016-06-15 12:10:01,1119215,11798,7394,1080881,31822,4279,1489,164,579
81221197163_10154364014422164,Great support thanks ✌🏼️,Timeline Photos,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10154364014422164/?type=3,2016-06-14 17:20:51,2012296,19039,15007,1948479,54364,2506,4693,768,1484
81221197163_10154362410247164,"Hoje começa, para Portugal, o #Euro2016 ! Queremos levar para campo, não só a vontade de vencer de 11 mas a de todos os Portugueses. Contamos com o vosso apoio! ⚽",Timeline Photos,photo,https://www.facebook.com/Cristiano/photos/a.407367867163.178908.81221197163/10154362410247164/?type=3,2016-06-14 03:31:09,574151,6996,7904,557337,15271,932,408,73,129
81221197163_10154360793622164,"June 14th is World Blood Donor Day. Check out why I donate BE THE 1 Donor and share your inspiring story.  
BE THE 1!",BE THE 1 Donor,video,https://www.facebook.com/bethe1donor/videos/1587144781616403/,2016-06-13 10:42:48,60704,1563,7,56343,4044,234,51,15,16
