status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
89833162489_10154330427792490,"""Sigo viviendo el sueño que tuve desde chamaquito""- DY #LVK
https://www.youtube.com/watch?v=21rDgLHJJaY",Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154330427792490/?type=3,2016-06-22 14:57:01,52076,424,426,48855,3022,132,59,5,3
89833162489_10154327916752490,"La abuela española tiene su #shakyshaky 💃🏻💃🏻💃🏻🌎 
https://itun.es/us/mcsGbb",,video,https://www.facebook.com/daddyyankee/videos/10154327916752490/,2016-06-21 16:37:06,16345,416,1803,13685,588,30,2036,1,5
89833162489_10154325868042490,¿Me sigues? #Snapchat 😉,Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154325868042490/?type=3,2016-06-20 23:00:48,45175,491,303,41751,2991,76,346,5,6
89833162489_10154325042387490,"¿Cuántos están de vacaciones? Agrega
mi canal de @spotify en tu playlist!
https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m",Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154325042387490/?type=3,2016-06-20 14:46:25,23964,171,256,22508,1332,91,24,4,5
89833162489_10154324351122490,"Tributo a Orlando en La Voz Kids

Son 102 lágrimas que mi corazón están sacudiendo,
he podido secar algunas pero 49 siguen cayendo.
No temeré mal alguno, aunque ande en valle de sombra y de muerte
Cuándo van a entender que el odio es para el débil y el amor es para el fuerte!
El cobarde buscará la manera de utilizar la intimidación 
pero no tiene efecto
cuando se une una nación.
Puedes cambiar el mundo amando a tu hermano por igual,
sin importar raza, sexo, religión ni orientación sexual.
Algun día nos veremos, pondré cada recuerdo en mi equipaje
Vuelen alto sin regreso, que tengan un buen viaje.

 #eldeclamador #predica",Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154324351122490/?type=3,2016-06-20 09:48:02,123405,1436,5775,112947,8113,170,105,2049,21
89833162489_10154324307422490,"""Tenemos el poder y la capacidad de convertir nuestros problemas en momentos productivos""- DY #MotivationMonday",Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154324307422490/?type=3,2016-06-20 09:18:42,83232,325,7813,79479,3535,85,124,3,6
89833162489_10154323365972490,#TeamYankee activos ! Vota ya 👊www.lavozkids.com/vota,Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154323365972490/?type=3,2016-06-19 22:17:00,9242,343,92,8853,361,20,7,0,1
89833162489_10154323118662490,,La Voz Kids,photo,https://www.facebook.com/LaVozKids/photos/a.378405072250134.89851.376247695799205/1032562080167760/?type=3,2016-06-19 20:12:28,8256,90,0,7896,329,24,4,2,1
89833162489_10154321782592490,"Perdonen ladies pero hoy es el día más importante del año 😂😂😂 #humor 
Feliz Día De Los Padres! 👨🏻",Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154321782592490/?type=3,2016-06-19 09:26:10,21460,491,829,20122,1088,13,231,2,4
89833162489_10154320433067490,🕯🕯🕯🕯🕯🕯🕯,La Voz Kids,video,https://www.facebook.com/LaVozKids/videos/1031298293627472/,2016-06-18 20:18:22,3818,69,0,3537,162,4,3,111,1
89833162489_10154318913597490,,Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154318913597490/?type=3,2016-06-18 09:00:50,119402,682,7072,112532,6473,273,105,11,8
89833162489_10154316484797490,Este domingo La Voz Kids  gala especial #TeamYankee 👊👊🌎,Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154316484797490/?type=3,2016-06-17 11:09:48,20951,218,226,19948,895,63,36,5,4
89833162489_10154314884877490,SHAKY SHAKY video! 💃🏿💃🏻💃🏼🔥🔥 https://open.spotify.com/track/7gcMKL3lnDxsp4bIXyv6Zk,Photos from Daddy Yankee's post,photo,https://www.facebook.com/daddyyankee/photos/a.10151864907302490.1073741840.89833162489/10154314883092490/?type=3,2016-06-16 20:16:45,28093,531,942,25078,2874,94,42,1,4
89833162489_10154313717247490,"A darle play 💯💃🏻💃🏻 #shakyshaky en Spotify
https://open.spotify.com/track/7gcMKL3lnDxsp4bIXyv6Zk",Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154313717247490/?type=3,2016-06-16 11:12:52,24537,236,350,23007,1421,64,41,2,2
89833162489_10154307653202490,Filmando el video de SHAKY SHAKY http://bit.ly/22iqrhI,Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154307653202490/?type=3,2016-06-13 21:23:57,136164,1181,2032,125977,9434,533,194,12,14
89833162489_10154304856362490,#TeamYankee vota ahora ! #LVKBatallas 📱👊,Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154304856362490/?type=3,2016-06-12 21:00:15,8043,266,87,7670,332,28,8,2,3
89833162489_10154304642252490,Nos vemos a las 8:00 pm. Última ronda de batallas #LVKBatallas por Telemundo,Timeline Photos,photo,https://www.facebook.com/daddyyankee/photos/a.101679442489.90118.89833162489/10154304642252490/?type=3,2016-06-12 18:36:28,17973,195,153,17206,701,23,40,1,2
