status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
339188887615_10153730190207616,"There will be a live webcast of His Holiness the Dalai Lama's talk on ""Compassion as the Pillar of World Peace"" from the Indiana Farmers Coliseum in Indianapolis, Indiana, USA on June 25, 2016 starting at 12:30pm Eastern Daylight Time (EDT=GMT-4.00). The live webcast can be viewed at https://livestream.com/DalaiLamaEnglish/pillar

Photo of His Holiness greeting the audience on his arrival at the University of Colorado's Coors Event Center in Boulder, Colorado on June 23, 2016. (Photo by Glenn Asakawa/CUBoulder)",Timeline Photos,photo,https://www.facebook.com/DalaiLama/photos/a.10150641618452616.395022.339188887615/10153730190207616/?type=3,2016-06-24 04:30:03,38524,383,4521,36214,2197,97,14,1,1
339188887615_10153727501627616,"His Holiness the Dalai Lama reaching out to well-wishers who gathered to welcome him to Boulder, Colorado, USA on June 22, 2016. (Photo by Jeremy Russell/OHHDL)",Timeline Photos,photo,https://www.facebook.com/DalaiLama/photos/a.10150641618452616.395022.339188887615/10153727501627616/?type=3,2016-06-23 04:30:03,47364,423,2068,44305,2883,158,13,0,5
339188887615_10153725090772616,"His Holiness the Dalai Lama waving to the audience at the end of his talk on ""Compassion and Universal Responsibility"" at the University of Utah's Huntsman Center in Salt Lake City, Utah on June 21, 2016. (Photo/Jeremy Russell/OHHDL) The program can be viewed at https://youtu.be/EAJWg1NVe0I",Timeline Photos,photo,https://www.facebook.com/DalaiLama/photos/a.10150641618452616.395022.339188887615/10153725090772616/?type=3,2016-06-22 04:30:02,83835,923,5663,77871,5644,287,28,1,4
339188887615_10153710047362616,"President Barack Obama greets His Holiness the Dalai Lama at the entrance of the Map Room of the White House on June 15, 2016. (Official White House Photo by Pete Souza)",Timeline Photos,photo,https://www.facebook.com/DalaiLama/photos/a.10150641618452616.395022.339188887615/10153710047362616/?type=3,2016-06-15 12:32:00,194096,3669,24253,174356,18466,1062,103,37,72
339188887615_10153650546872322,Why I'm hopeful about the world's future,,status,,2016-06-14 04:30:37,37231,1187,21916,31407,5607,168,14,30,5
339188887615_10153704953327616,"Watch the conversation ""To End Violence, Engage Youth"" with His Holiness the Dalai Lama and young peacemakers streamed live on the United States Institute of Peace's Facebook page today, starting at 10:00am EDT from Washington DC, USA. https://www.facebook.com/usinstituteofpeace/.

Photo of His Holiness with USIP Youth Leaders during their dialogue in Dharamsala, HP, India on May 3, 2016. (Photo by Tenzin Choejor/OHHDL)",Timeline Photos,photo,https://www.facebook.com/DalaiLama/photos/a.10150641618452616.395022.339188887615/10153704953327616/?type=3,2016-06-13 04:30:07,35270,338,2926,33192,1984,69,16,7,2
339188887615_10153691218917616,"His Holiness the Dalai Lama receiving traditional Indian offerings on his arrival at the Main Tibetan Temple at the start of a three day teaching for Indian Buddhists in Dharamsala, HP, India on June 7, 2016. (Photo by Tenzin Choejor/OHHDL)",Timeline Photos,photo,https://www.facebook.com/DalaiLama/photos/a.10150641618452616.395022.339188887615/10153691218917616/?type=3,2016-06-07 04:30:27,54353,514,2599,51498,2690,144,16,1,4
339188887615_10153689108417616,"If we start now and make the effort, we can make the world a more peaceful place. We have to try. The human population is growing and climate change is having its effect. Violence breaks out because our destructive emotions run out of control. Human rights violations, for example, are related to anger and a lack of respect. We can counter these tendencies by cultivating warm-heartedness and concern for others.",,status,,2016-06-06 04:30:12,120343,1517,35128,109002,11038,213,22,63,5
339188887615_10153682993607616,"Knowledge of mind and emotions should be taught in schools. On the basis of that understanding we can become healthy, happy individuals, families, communities and societies. But if the mind is not disciplined, mere knowledge will not be of much help. We need to use our intelligence to extend our basic compassionate nature, which gives rise to trust, the very basis of friendship—as human beings that's we all need.",,status,,2016-06-03 04:31:58,123547,1551,40080,112954,10283,268,25,11,6
339188887615_10153666933392616,"His Holiness the Dalai Lama talks about the importance of optimism at the end of a two day interactive dialogue with United States Institute of Peace Youth Leaders at his residence in Dharamsala, HP, India on May 4, 2016. The entire program can be viewed at http://bit.ly/1WNYe45.",Be Optimistic,video,https://www.facebook.com/DalaiLama/videos/10153666933392616/,2016-05-26 04:30:44,23154,490,5541,21131,1933,79,9,1,1
339188887615_10153660474712616,"Small children are very pure and open. They have no prejudices or preconceptions. They aren't bothered by the secondary differences of color, faith, nationality, wealth or education that seem to pre-occupy adults. We would be better to be like them and one remedy is to remember that we are all the same as human beings.",,status,,2016-05-23 04:30:03,74583,1002,26071,67283,7185,84,20,7,3
339188887615_10153656050152616,"His Holiness the Dalai Lama playfully greeting young Tibetan students on his way to the Main Tibetan Temple on Vesak, a day honoring the birth, enlightenment, and passing of Buddha in Dharamsala, HP, India on May 21, 2016. (Photo by Tenzin Choejor/OHHDL)",Timeline Photos,photo,https://www.facebook.com/DalaiLama/photos/a.10150641618452616.395022.339188887615/10153656050152616/?type=3,2016-05-21 04:30:03,65665,598,3688,61692,3780,155,36,2,0
339188887615_10153653729217616,"After meeting for discussions at his residence, His Holiness the Dalai Lama joins a group of visiting Thai monks for lunch in Dharamsala, HP, India on May 20, 2016. (Photo by Tenzin Choejor/OHHDL)",Timeline Photos,photo,https://www.facebook.com/DalaiLama/photos/a.10150641618452616.395022.339188887615/10153653729217616/?type=3,2016-05-20 04:30:08,62851,823,3719,59819,2756,251,19,5,1
339188887615_10153645533642616,"Modern education with its focus on material goals and a disregard for inner values is incomplete. There is a need to know about the workings of our minds and emotions. If we start today and make an effort to educate those who are young now in inner values, they will see a different, peaceful, more compassionate world in the future.",,status,,2016-05-16 04:30:04,152631,2084,53267,139585,12731,260,27,24,4
339188887615_10153637391482616,"His Holiness the Dalai Lama with kitchen staff of his hotel during a break in his teachings in Osaka, Japan on May 12, 2016. (Photo by Tenzin Choejor/OHHDL)",Timeline Photos,photo,https://www.facebook.com/DalaiLama/photos/a.10150641618452616.395022.339188887615/10153637391482616/?type=3,2016-05-12 04:30:05,55314,565,2088,52800,2337,62,113,0,2
339188887615_10153635625212616,"His Holiness the Dalai Lama reaching out to a robot on his way to lunch on the first day of his four day teaching in Osaka, Japan on May 10, 2016. (Photo by Tenzin Choejor/OHHDL)",Timeline Photos,photo,https://www.facebook.com/DalaiLama/photos/a.10150641618452616.395022.339188887615/10153635625212616/?type=3,2016-05-11 04:30:03,60797,624,4074,57807,2048,179,741,4,3
