status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
293038194109209_1093926960686991,The Dude will face ANYONE at ANYTIME!,Photos: Who is first to get in the new champions' face?,link,http://wwe.me/1v1K7E,2016-06-21 17:00:14,67586,831,665,65354,1505,185,407,14,121
293038194109209_1093535114059509,The first WWE Raw as the WWE World Heavyweight Champion... NOTHING like it!,Dean Ambrose celebrates his WWE World Heavyweight Championship victory,video,http://wwe.me/YbQLud,2016-06-21 01:00:10,75239,903,1275,73161,1398,164,425,14,77
293038194109209_1093251287421225,The official changing of the #WWE World Heavyweight Championship title plates!,,video,https://www.facebook.com/DeanAmbrose/videos/1093251287421225/,2016-06-20 14:23:46,106871,15931,12950,73263,22931,3991,2550,1275,2860
293038194109209_1093189097427444,The calm before the VICTORY.,Timeline Photos,photo,https://www.facebook.com/DeanAmbrose/photos/a.459730924106601.1073741826.293038194109209/1093189097427444/?type=3,2016-06-20 12:18:06,124285,1518,1193,119937,3434,573,200,17,124
293038194109209_1092305867515767,The #MITB briefcase is begging to end up in The Ambrose Asylum!,Timeline Photos,photo,https://www.facebook.com/DeanAmbrose/photos/a.459730924106601.1073741826.293038194109209/1092305867515767/?type=3,2016-06-19 07:00:00,79167,1119,2197,76545,2156,313,102,9,42
293038194109209_1089762221103465,ANOTHER win for #TheLunaticFringe... the #MITB briefcase is within reach! #RAW,"Photos: Jericho loses, but stands tall before Money in the Bank",link,http://wwe.me/WhQ9tp,2016-06-14 15:00:41,31477,231,203,30872,436,107,40,3,19
293038194109209_1089387154474305,"Don't count the LUNATIC out, Seth Rollins & Roman Reigns... #RAW","'The Ambrose Asylum' with Roman Reigns and Seth Rollins: Raw, June 13, 2016",video,http://bit.ly/1YnssdD,2016-06-13 23:30:10,32787,516,676,31376,795,387,91,39,99
293038194109209_1088451431234544,You never know when the #LunaticFringe will strike! #WWECollegeStation,Dean Ambrose Flies at #WWECollegeStation,video,https://www.facebook.com/DeanAmbrose/videos/1088451431234544/,2016-06-12 09:56:41,15927,172,372,15213,532,136,41,3,2
293038194109209_1088222514590769,The #AmbroseAsylum was as LOUD AS EVER at #WWEWaco!,Timeline Photos,photo,https://www.facebook.com/DeanAmbrose/photos/a.459730924106601.1073741826.293038194109209/1088222514590769/?type=3,2016-06-12 01:00:06,59358,430,559,57748,1309,218,66,3,14
293038194109209_1087421448004209,At the end of it all... the #LunaticFringe STOOD TALL on #SmackDown!,Photos: Ambrose and Jericho reignite rivalry in fiery showdown,link,http://wwe.me/PxhOoH,2016-06-10 17:00:11,29439,187,147,28612,307,44,45,35,396
293038194109209_1085692121510475,"Anywhere, anytime, Brock Lesnar...",Dean Ambrose: 'I'll fight Brock Lesnar in a Denny's parking lot' - ESPN Video,link,http://es.pn/1Uo9m1B,2016-06-07 21:11:53,63029,556,832,61193,1136,134,553,3,10
293038194109209_1085391501540537,ESPN SportsCenter becomes the #AmbroseAsylum tonight at 9/8c. #ESPNews,Timeline Photos,photo,https://www.facebook.com/DeanAmbrose/photos/a.459730924106601.1073741826.293038194109209/1085391501540537/?type=3,2016-06-07 11:00:18,12325,167,230,11716,521,54,28,1,5
