status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
9208539755_10154393972629756,,Devonne by Demi,photo,https://www.facebook.com/DevonneByDemi/photos/a.319070271597541.1073741828.314678402036728/566509183520314/?type=3,2016-06-24 12:55:10,9649,102,0,8834,772,39,3,0,1
9208539755_10154388611909756,"Atlanta! Tyson Jackson & I have an urgent message for you  #HondaCivicTour #FutureNow 
Tix: http://bit.ly/HCTFNATL Atlanta Falcons",Atlanta we're coming for you!!,video,https://www.facebook.com/DemiLovato/videos/10154388611909756/,2016-06-22 16:32:35,8245,147,268,7152,955,11,125,1,1
9208539755_10154388424749756,,Devonne by Demi,photo,https://www.facebook.com/DevonneByDemi/photos/a.319070271597541.1073741828.314678402036728/565766530261246/?type=3,2016-06-22 15:03:43,8844,81,0,7871,918,50,2,2,1
9208539755_10154383147154756,"One day, my mom came home from the spa and I saw how her skin was glowing and how visibly relaxed she was... That image stuck with me and inspired me to develop Devonne by Demi. I hope you all have been enjoying my products as much I do! And if you haven't tried it yet, now's the time!

www.devonnebydemi.com",Timeline Photos,photo,https://www.facebook.com/DemiLovato/photos/a.54794019755.62263.9208539755/10154383147154756/?type=3,2016-06-20 14:35:02,117618,677,797,109406,7748,375,63,18,8
9208539755_10154374872439756,,Devonne by Demi,photo,https://www.facebook.com/DevonneByDemi/photos/a.319070271597541.1073741828.314678402036728/563182850519614/?type=3,2016-06-17 12:55:40,11947,153,0,10752,1101,81,5,2,6
9208539755_10154374680029756,"In case you missed it, watch my performance of ""Stone Cold"" with Brad Paisley from the Good Morning America Summer Concert Series #DemiOnGMA 😊",Video: Demi Lovato Performs 'Stone Cold' With Brad Paisley,video,http://abcnews.go.com/GMA/video/demi-lovato-performs-stone-cold-brad-paisley-39922587,2016-06-17 11:20:15,65680,920,3073,58218,6865,541,36,8,12
9208539755_10154374373034756,,Brad Paisley,video,https://www.facebook.com/bradpaisley/videos/10154902041318098/,2016-06-17 09:03:37,23502,228,2,21084,2247,92,75,2,2
9208539755_10154374351489756,Wow just had an absolute blast on Good Morning America. THANK YOU for coming out and singing with me. #DemiOnGMA,Timeline Photos,photo,https://www.facebook.com/DemiLovato/photos/a.54794019755.62263.9208539755/10154374351489756/?type=3,2016-06-17 08:56:45,82809,392,491,77043,5472,241,43,6,4
9208539755_10154373332129756,So ready to perform on the Good Morning America Summer Concert Series tomorrow morning. Tune in to ABC 830am ET! #DemiOnGMA,Timeline Photos,photo,https://www.facebook.com/DemiLovato/photos/a.54794019755.62263.9208539755/10154373332129756/?type=3,2016-06-16 22:30:01,11067,176,192,9868,1128,60,7,1,3
9208539755_10154369471749756,"I have been non-stop getting ready for tour, so I have been LIVING in my SKECHERS. They're so comfortable so they're making these rehearsals a breeze. #SkechersDemiStyle",Timeline Photos,photo,https://www.facebook.com/DemiLovato/photos/a.54794019755.62263.9208539755/10154369471749756/?type=3,2016-06-16 12:45:00,120010,1006,1119,108359,10697,845,86,8,15
9208539755_10154369996754756,Can't WAIT to show you guys the new video for #WithoutAFight with Brad Paisley 😝,Timeline Photos,photo,https://www.facebook.com/DemiLovato/photos/a.54794019755.62263.9208539755/10154369996754756/?type=3,2016-06-15 21:03:00,94633,422,896,88029,5899,632,60,6,7
9208539755_10154369371569756,"Meet the Acne Rescue Treatment, Devonne by Demi's newest product! I've been using it with every pimple and I think it might be my new favorite product! Give it a try; it's now live on our site at www.devonnebydemi.com!",Devonne by Demi - Acne Rescue Treatment,video,https://www.facebook.com/DemiLovato/videos/10154369371569756/,2016-06-15 11:41:43,24606,423,571,21490,2941,142,27,2,4
9208539755_10154367679919756,About to show you your new fav product (it's definitely mine) Are you ready? Devonne by Demi,Timeline Photos,photo,https://www.facebook.com/DemiLovato/photos/a.54794019755.62263.9208539755/10154367679919756/?type=3,2016-06-14 17:28:33,178838,1647,1454,163252,14601,829,119,14,23
9208539755_10154355055209756,Hey Nick Jonas your new album is AMAZING. I'm so proud of you. Everyone needs to buy #LYWC now! http://smarturl.it/LastYearComplicated,Last Year Was Complicated (Deluxe Edition) by Nick Jonas on iTunes,link,http://smarturl.it/LastYearComplicated,2016-06-09 23:36:06,15185,130,262,13631,1451,88,11,4,0
9208539755_10154335949099756,"Honda Civic Tour: Future Now kicks off in one month!! You could snag a trip to the LA finale show to hang out with Nick Jonas & me! ✈👯 Honda.us/Trip

No purchase necessary. US/18+ Honda.us/Rules",Trip to LA to meet Demi and Nick,link,http://honda.us/Trip,2016-06-02 12:23:11,12944,201,225,11753,1077,101,6,4,3
9208539755_10154334566344756,Ahh tour is happening so soon!! Can't wait ☺️ bit.ly/HCTFNTickets,Timeline Photos,photo,https://www.facebook.com/DemiLovato/photos/a.54794019755.62263.9208539755/10154334566344756/?type=3,2016-06-01 22:54:03,50575,582,1757,45252,4963,78,266,9,7
9208539755_10154333422439756,"Join me and take the #MusiCaresChallenge: post a picture of you with your favorite album, tag some friends to do the same, and donate ANY amount to MusiCares (they help musicians in need!): http://grm.my/1THWnrl",| GRAMMY.org,link,http://grm.my/1THWnrl,2016-06-01 11:24:26,48340,283,475,44656,3483,163,32,1,5
9208539755_10154327305599756,"This morning I lost my world and the world's most special woman. I miss her more than words can even describe. There is an emptiness in my heart that only her spirit can fill and I pray that I will feel her by my side every single day until we meet again. I attribute my strength to her.. She held on when she lost the love of her life.. The one she was married to for 53 years. She smiled even though she lost a son just this year. She told everyone she loved them every single chance she got and she joked even when her strokes left her unable to speak properly. The smile that she had not only could light up a whole room but it most definitely lit up the entire nursing home. She was my great-grandmother but we were so close that I never knew it was possible that anyone could have the bond that we shared even 70 years a part. The pain I feel is almost unbearable but because of her strength I will power through it. The love and support I have received has been empowering and so special to me.. I love all of you so much and I am forever grateful for the prayers, texts and fan art my Lovatics have made me. Thank you.

Mimaw, I hope you are with Papa now.. I hate that I can't hear your voice but I love that you are no longer in pain. I love you so much and I miss you more than anyone could ever imagine. I'll miss your smile, your wittiness, painting your nails and your kisses. I really do love you more. Rest in peace and most importantly rest in the Lord. #RIPMimaw",Timeline Photos,photo,https://www.facebook.com/DemiLovato/photos/a.54794019755.62263.9208539755/10154327305599756/?type=3,2016-05-29 21:00:40,598405,13413,10632,437285,30836,427,162,129515,128
9208539755_10154318639429756,Thank you TIDAL! 😘,Demi Lovato's Soulful Inspirations Playlist - Listen to the playlist on TIDAL.,link,http://tidal.com/playlist/5bed015c-b261-4cab-894e-5c95fc293881,2016-05-26 13:15:58,15118,200,231,13574,1406,127,5,0,6
