status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
26012002239_10154464161867240,You're the one that I want. Happy #TBT! ellen.tv/1VUNAbD,Timeline Photos,photo,https://www.facebook.com/ellentv/photos/a.182755292239.124686.26012002239/10154464161867240/?type=3,2016-06-23 17:09:58,86427,1053,1119,70767,2353,108,13186,7,7
26012002239_10154464069962240,I loved Caly Bevier when she was on the show this year. And I loved her all over again on #AGT.,America's Got Talent,video,https://www.facebook.com/nbcagt/videos/10154012894784760/,2016-06-23 16:25:05,26263,517,0,21738,4208,284,11,21,1
26012002239_10154463782012240,You know what they say… man is dog's best friend. ellen.tv/1RT80NJ,Timeline Photos,photo,https://www.facebook.com/ellentv/photos/a.182755292239.124686.26012002239/10154463782012240/?type=3,2016-06-23 14:07:10,56703,710,1558,51291,5103,32,269,7,1
26012002239_10154461352842240,Happy Pride Month!,,video,https://www.facebook.com/ellentv/videos/10154461352842240/,2016-06-22 19:01:30,43449,620,10637,35432,7918,27,59,6,7
26012002239_10154461114422240,There's a flash sale on underwear at The Ellen Shop! That's the first time I've used flash and underwear in the same sentence since the '70s. ellen.tv/28R64Hi,Timeline Photos,photo,https://www.facebook.com/ellentv/photos/a.182755292239.124686.26012002239/10154461114422240/?type=3,2016-06-22 16:50:45,950,49,26,798,56,1,94,1,0
26012002239_10154460997132240,#YoureWelcomeWednesday: Wedding Edition,ellentube,video,https://www.facebook.com/ellentube/videos/516305121910411/,2016-06-22 15:53:23,1519,53,0,1382,61,1,74,1,0
26012002239_10154460752942240,"With great art, it's hard to tell where the artwork ends and the artist begins. ellen.tv/1Szi9Rl",Timeline Photos,photo,https://www.facebook.com/ellentv/photos/a.182755292239.124686.26012002239/10154460752942240/?type=3,2016-06-22 14:11:03,25635,546,1021,21854,982,134,2656,8,1
26012002239_10154460575622240,This. #RunningManChallenge #WhiteHouse Michelle Obama,ellentube,video,https://www.facebook.com/ellentube/videos/516273265246930/,2016-06-22 12:44:13,18519,502,0,16273,1589,62,585,1,9
26012002239_10154458497562240,Adoryble. #FindingDory,Timeline Photos,photo,https://www.facebook.com/ellentv/photos/a.182755292239.124686.26012002239/10154458497562240/?type=3,2016-06-21 17:14:50,127913,1979,4485,111977,15299,106,524,7,0
26012002239_10154458273367240,Michelle Obama is joining Snapchat today! I sent the Running Man Challenge boys to help. You can watch it all on my Snapchat! 👻: ellen,,status,,2016-06-21 15:20:40,2902,119,48,2740,120,21,14,1,6
26012002239_10154458167442240,"I love this, from Frank Ocean.",Frank Ocean Pens Emotional Response to Orlando Shooting - Towleroad,link,http://ellen.tv/28N59Z6,2016-06-21 14:25:38,6298,145,748,5473,641,5,1,178,0
26012002239_10154458133327240,There's a new Pretty Little Liars deck in Heads Up App! I ain't lyin'. Go check it out. http://ellen.tv/16tZChUp,Timeline Photos,photo,https://www.facebook.com/ellentv/photos/a.182755292239.124686.26012002239/10154458133327240/?type=3,2016-06-21 14:06:14,987,58,66,903,58,7,18,1,0
26012002239_10154456052367240,"Ahoy! Did you see the Whale Word of the Day on my show? If you did, you could win a whale of a prize from Mattress Firm! http://ellen.tv/MFWW13",Timeline Photos,photo,https://www.facebook.com/ellentv/photos/a.182755292239.124686.26012002239/10154456052367240/?type=3,2016-06-20 17:50:52,759,75,14,711,44,2,1,1,0
26012002239_10154456002917240,There are 50 Dorys hidden all over ellentube.com and ellentv.com. How many have you found? #FindingDory,Timeline Photos,photo,https://www.facebook.com/ellentv/photos/a.182755292239.124686.26012002239/10154456002917240/?type=3,2016-06-20 17:19:31,918,98,29,831,79,1,6,1,0
26012002239_10154455866192240,,ellentube,video,https://www.facebook.com/ellentube/videos/515699998637590/,2016-06-20 15:58:51,96865,6589,4,76956,9592,130,10181,3,3
