status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
140216402663925_1287659317919622,"When women support each other, we accomplish amazing things. Celebrate the women who #LeanInTogether with you and visit makers.com/leanin for everyday tips for lifting each other up.",,video,https://www.facebook.com/emmawatson/videos/1287659317919622/,2016-06-23 11:11:03,75609,785,6672,67928,7412,219,32,4,14
140216402663925_1286163801402507,"Don't forget to vote on Thursday, no excuses! x #Euref",Timeline Photos,photo,https://www.facebook.com/emmawatson/photos/a.360282067324023.88617.140216402663925/1286163801402507/?type=3,2016-06-21 04:10:00,575240,5135,4523,548738,23870,1976,430,85,141
140216402663925_1280172118668342,"Just watched powerful doc The Mask You Live In - 2015, available now on Netflix UK. Have you seen it? What did you think? 

http://therepresentationproject.org/film/the-mask-you-live-in/

 x",The Mask You Live In - The Representation Project,link,http://therepresentationproject.org/film/the-mask-you-live-in/,2016-06-11 13:54:32,4412,358,105,4156,228,7,15,4,2
140216402663925_1276959412322946,"UK facebookers! Don't lose your vote! Register to vote before midnight (BST) tomorrow. 

https://www.gov.uk/register-to-vote

#EUref #ReadyToVote",Timeline Photos,photo,https://www.facebook.com/emmawatson/photos/a.360282067324023.88617.140216402663925/1276959412322946/?type=3,2016-06-06 17:00:22,6087,332,162,5719,324,34,4,5,1
140216402663925_1273736595978561,"June. #OurSharedShelf #Persepolis #MarjaneSatrapi

https://www.goodreads.com/group/show/179584-our-shared-shelf",Timeline Photos,photo,https://www.facebook.com/emmawatson/photos/a.360282067324023.88617.140216402663925/1273736595978561/?type=3,2016-06-01 12:15:06,621798,8004,5901,574529,44847,2025,318,32,47
140216402663925_1273436889341865,"After watching VICELAND's series WOMAN (and specifically the episode on Zambia) I am pledging my support to Camfed the Campaign for Female Education. You can watch the documentary (North America only, coming to UK in the Autumn...), learn more and make a donation via viceland.com/woman #BeAWitness x",Viceland,video,https://www.facebook.com/emmawatson/videos/1273436889341865/,2016-06-01 02:02:10,82086,1702,3774,71108,10564,345,42,19,8
140216402663925_1267993486552872,#BeOurGuest,Beauty and the Beast teaser,video,https://www.facebook.com/emmawatson/videos/1267993486552872/,2016-05-23 07:34:42,1238842,188247,899839,1040161,169926,28065,476,114,100
140216402663925_1261607327191488,,Timeline Photos,photo,https://www.facebook.com/emmawatson/photos/a.360282067324023.88617.140216402663925/1261607327191488/?type=3,2016-05-13 04:05:42,178571,1873,5702,162286,12934,3235,88,14,14
140216402663925_1256313261054228,,Emma Watson dons dress made of this - CNN Video,link,http://www.cnn.com/videos/style/2016/05/03/emma-watson-met-ball-dress-orig.cnn,2016-05-04 15:52:41,73265,1275,1085,67312,5306,582,33,13,6
140216402663925_1255195171166037,"Thank you Calvin Klein & Eco Age for collaborating with me and creating the most amazing gown. I am proud to say it is truly sustainable and represents a connection between myself and all the people in the supply chain who played a role in creating it. 

The body of the gown is crafted from three different fabrics, all woven from yarns made from recycled plastic bottles (!). Plastic is one of the biggest pollutants on the planet. Being able to repurpose this waste and incorporate it into my gown for the  #MetGala proves the power that creativity, technology and fashion can have by working together. 

Each and every part of this beautiful gown has been produced with sustainability in mind, even the components that you can't see. The zippers on the gown are made from recycled materials and the inner bustier has been crafted from organic cotton. Conventional cotton is one of the highest impact crops, using more chemicals than any other crop in the world. Organic cotton on the other hand, is grown without the use of the most harmful chemicals and is therefore better for the environment and people working with cotton. The organic silk used in the lining of my gown is certified to a standard that guarantees the highest environmental and social standards throughout production. It is my intention to repurpose elements of the gown for future use. The trousers can be worn on their own, as can the bustier, the train can be used for a future red carpet look… I'm looking forward to experimenting with this. Truly beautiful things should be worn again and again and again. #30wears

I hope you like it! The ultimate #30Wears! #MetGala2016 

Emma xx",Timeline Photos,photo,https://www.facebook.com/emmawatson/photos/a.360282067324023.88617.140216402663925/1255195171166037/?type=3,2016-05-02 19:32:45,1306664,19439,62407,1162903,125141,18061,391,81,56
140216402663925_1253889667963254,Emma before this evening's White House Correspondents' Dinner in Washington DC.,Timeline Photos,photo,https://www.facebook.com/emmawatson/photos/a.360282067324023.88617.140216402663925/1253889667963254/?type=3,2016-04-30 19:40:38,954355,7153,6785,888881,58850,6194,292,77,50
140216402663925_1253056531379901,Emma speaks to Geena Davis in the new issue of Interview Magazine!,Photos from Emma Watson's post,photo,https://www.facebook.com/emmawatson/photos/a.360282067324023.88617.140216402663925/1253052678046953/?type=3,2016-04-29 10:56:21,55908,416,533,53173,2494,210,20,4,4
140216402663925_1244335052252049,"Thank you to Screen Media Films and iTunes Movies who have decided to donate a percentage of all Colonia rentals and sales to HeForShe!

(USA only, via this link only: apple.co/1S3zgfO)",,status,,2016-04-15 10:56:57,56247,3111,261,53566,2455,182,33,3,5
140216402663925_1223508217668066,Photograph by Carter Bowman.,Emma Watson,photo,https://www.facebook.com/emmawatson/photos/a.162404707111761.36607.140216402663925/1223508191001402/?type=3,2016-03-19 12:02:42,1222535,7906,3583,1155890,61787,4194,417,137,96
140216402663925_1221965541155667,Part four...,Lin-Manuel 4,video,https://www.facebook.com/emmawatson/videos/1221965541155667/,2016-03-17 08:15:00,35079,832,2075,32368,2519,130,50,4,5
140216402663925_1221951254490429,Part three...,Lin-Manuel Miranda 3,video,https://www.facebook.com/emmawatson/videos/1221951254490429/,2016-03-17 08:03:34,23084,305,656,21571,1437,50,13,3,8
140216402663925_1221943974491157,Part two...,Lin-Manuel Miranda 2,video,https://www.facebook.com/emmawatson/videos/1221943974491157/,2016-03-17 07:54:19,20103,275,657,18713,1319,40,25,1,4
140216402663925_1221936544491900,"Watch my interview with the wonderful Lin-Manuel Miranda, creater, writer and star of Hamilton the Musical, for UN Women HeForShe Arts Week here! x

Part one...",Lin-Manuel Miranda 1,video,https://www.facebook.com/emmawatson/videos/1221936544491900/,2016-03-17 07:46:00,32010,753,2130,29539,2308,126,28,2,6
140216402663925_1219994544686100,,Emma Watson Interviews Tom Hanks,link,http://www.esquire.co.uk/culture/film/news/a9659/emma-watson-interviews-tom-hanks/?visibilityoverride,2016-03-14 11:56:22,96312,664,2929,91362,4142,731,54,11,10
140216402663925_1215832888435599,,Emma Watson's cover photo,photo,https://www.facebook.com/emmawatson/photos/a.376825932336303.91506.140216402663925/1215832381768983/?type=3,2016-03-08 13:35:40,193999,1014,674,185089,8068,742,76,4,19
140216402663925_1215831111769110,Emma launching UN Women's HeForShe #ArtsWeek!,ArtsWeek,video,https://www.facebook.com/emmawatson/videos/1215831111769110/,2016-03-08 13:34:58,59103,791,3303,54401,4423,228,41,4,4
140216402663925_1215615855123969,"Watch the launch of HeForShe #ArtsWeek at 8:30AM EST / 1:30PM GMT, on the link below.",Arts Week,link,http://www.heforshe.org/en/newsroom/news/arts-week-2016-live,2016-03-08 07:28:28,15318,333,725,14357,891,41,13,4,9
140216402663925_1215175615167993,"This is the face of a very proud & happy lady. Thank you Alex Bilmes, Aziz Ansari, Caitlin Moran, Tom Hanks & Amy Aronson!

Esquire UK #HeForShe",Timeline Photos,photo,https://www.facebook.com/emmawatson/photos/a.360282067324023.88617.140216402663925/1215175615167993/?type=3,2016-03-07 14:25:37,325854,2194,1837,310852,14031,766,161,22,20
140216402663925_1215026458516242,"Esquire UK meets Emma.

#HeForShe",Esquire Meets Emma Watson,link,http://www.esquire.co.uk/culture/news/a9624/esquire-meets-emma-watson/,2016-03-07 10:25:35,90160,577,2378,85998,3750,346,40,16,9
140216402663925_1214948925190662,"Emma and Gloria Steinem in conversation (part three)

#MyLifeOnTheRoad #OurSharedShelf HeForShe",Emma & Gloria (part three),video,https://www.facebook.com/emmawatson/videos/1214948925190662/,2016-03-07 08:20:46,28697,371,944,26901,1647,118,15,10,5
140216402663925_1214936085191946,"Emma and Gloria Steinem in conversation (part two)

#MyLifeOnTheRoad #OurSharedShelf HeForShe",Emma & Gloria (part two),video,https://www.facebook.com/emmawatson/videos/1214936085191946/,2016-03-07 07:49:13,29575,438,1090,27623,1755,162,21,7,6
140216402663925_1214923491859872,"Emma and Gloria Steinem in conversation (part one)

#MyLifeOnTheRoad #OurSharedShelf HeForShe",Emma & Gloria (part one),video,https://www.facebook.com/emmawatson/videos/1214923491859872/,2016-03-07 07:35:55,17961,288,1140,16885,991,60,8,4,12
140216402663925_1212159505469604,"So excited to reveal the cover of Esquire UK's Women & Men issue! Featuring Tom Hanks and me!

The mag features 26 pages on why the fight for gender equality involves us all, and has contributions from Caitlin Moran, Aziz Ansari and others!

http://www.esquire.co.uk/culture/news/a9612/emma-watson-esquire-men-woman-issue/

HeForShe UN Women",Timeline Photos,photo,https://www.facebook.com/emmawatson/photos/a.360282067324023.88617.140216402663925/1212159505469604/?type=3,2016-03-02 15:00:13,28533,943,841,26484,1804,202,33,6,2
140216402663925_1209025085783046,It was such an honour to interview Gloria Steinem on Wednesday! #MyLifeOnTheRoad #OurSharedShelf,Timeline Photos,photo,https://www.facebook.com/emmawatson/photos/a.360282067324023.88617.140216402663925/1209025085783046/?type=3,2016-02-26 08:09:15,371207,1994,1142,346089,22047,2221,640,77,132
