status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
19061333123_10153927946363124,#TBT,#TBT,link,http://bit.ly/28PuxJr,2016-06-23 12:13:00,78029,915,811,71881,5805,266,65,5,7
19061333123_10153926223748124,Haz todo con #pasión,Haz todo con #pasión,link,http://bit.ly/28QHxDZ,2016-06-22 18:56:57,42925,537,724,39788,3000,52,79,3,3
19061333123_10153923082643124,#DUELEELCORAZON,#DUELEELCORAZON,link,http://bit.ly/28SkdDb,2016-06-21 12:36:07,52795,638,1194,48850,3769,114,41,16,5
19061333123_10153921360733124,#Macedonia thanks for making my first show here so special!!!! #skopje,Timeline Photos,photo,https://www.facebook.com/Enrique/photos/a.128331853123.105821.19061333123/10153921360733124/?type=3,2016-06-20 17:17:44,37975,598,371,36078,1580,192,65,21,39
19061333123_10153920859738124,#DUELEELCORAZON remix ft. @arcangel and @javadamusic is out on Spotify NOW!!! Listen to it here: http://smarturl.it/sDueleRemix,Timeline Photos,photo,https://www.facebook.com/Enrique/photos/a.128331853123.105821.19061333123/10153920859738124/?type=3,2016-06-20 12:29:29,4530,208,180,4073,439,9,6,2,1
19061333123_10153918277638124,encantado de conocer a @carlosainz y saludar a su familia,Timeline Photos,photo,https://www.facebook.com/Enrique/photos/a.128331853123.105821.19061333123/10153918277638124/?type=3,2016-06-19 09:21:25,98545,639,777,94327,3857,295,51,6,9
19061333123_10153918260488124,Con el campeón @fernandoalo_oficial,Timeline Photos,photo,https://www.facebook.com/Enrique/photos/a.128331853123.105821.19061333123/10153918260488124/?type=3,2016-06-19 09:12:36,231484,1787,3058,219229,11114,932,187,7,15
19061333123_10153918032618124,@schecoperez #f1baku 🏎 such a nice guy 🇲🇽,Timeline Photos,photo,https://www.facebook.com/Enrique/photos/a.128331853123.105821.19061333123/10153918032618124/?type=3,2016-06-19 07:15:25,113033,778,1139,107237,5342,375,66,6,7
19061333123_10153916948393124,#DUELEELCORAZON remix ft. @arcangel and @javadamusic out now!!!! https://www.youtube.com/watch?v=PlmX_yc8kNQ,"Enrique Iglesias - DUELE EL CORAZON (Remix)[Lyric Video] ft. Arcángel, Javada",video,https://www.youtube.com/watch?v=PlmX_yc8kNQ,2016-06-18 19:24:49,10963,309,956,9754,1141,48,10,5,5
19061333123_10153914276873124,#DUELEELCORAZON remix ft @arcangel and @javadamusic is out today on Apple Music http://smarturl.it/iDueleRemix,DUELE EL CORAZON (Remix) [feat. Arcángel & Javada] - Single - Enrique Iglesias,link,http://smarturl.it/iDueleRemix,2016-06-17 16:30:47,8120,310,270,7366,705,32,8,6,3
