status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
104266592953439_1293240280722725,"Whoa, big moves by the Oklahoma City Thunder and Orlando Magic:","BREAKING: Serge Ibaka Traded To Magic, Victor Oladipo Headed To OKC In Multiplayer Deal",link,http://es.pn/28U6eiQ,2016-06-23 20:37:04,7324,780,3223,6323,71,574,69,62,225
104266592953439_1293236980723055,"5th pick in the 2016 NBA Draft, Kris Dunn of the Minnesota Timberwolves.

Submit your questions!",,video,https://www.facebook.com/ESPN/videos/1293236980723055/,2016-06-23 20:32:54,505,101,26,474,18,5,7,1,0
104266592953439_1293232777390142,"3rd pick in the 2016 NBA Draft, Jaylen Brown of the Boston Celtics.

Submit your questions!",,video,https://www.facebook.com/ESPN/videos/1293232777390142/,2016-06-23 20:28:22,728,127,51,677,36,7,2,1,5
104266592953439_1293227007390719,"4th pick in the 2016 NBA Draft, Dragan Bender of the Phoenix Suns.

Submit your questions!",,video,https://www.facebook.com/ESPN/videos/1293227007390719/,2016-06-23 20:25:01,470,144,26,440,16,2,8,1,3
104266592953439_1293220954057991,"2nd pick in the 2016 NBA Draft, Brandon Ingram of the LA Lakers.

Submit your questions!",,video,https://www.facebook.com/ESPN/videos/1293220954057991/,2016-06-23 20:17:11,2336,519,119,2107,162,19,31,6,11
104266592953439_1293217654058321,"6th pick in the 2016 NBA Draft, Buddy Hield of the New Orleans Pelicans.

Submit your questions!",,video,https://www.facebook.com/ESPN/videos/1293217654058321/,2016-06-23 20:11:13,1107,171,73,1019,68,7,7,0,6
104266592953439_1293215794058507,"7th pick in the 2016 NBA Draft, Jamal Murray of the Denver Nuggets.

Submit your questions!",,video,https://www.facebook.com/ESPN/videos/1293215794058507/,2016-06-23 20:08:11,827,98,41,763,47,2,8,2,5
104266592953439_1293208227392597,"1st pick in the 2016 NBA Draft, Ben Simmons of the Philadelphia 76ers.

Submit your questions!",,video,https://www.facebook.com/ESPN/videos/1293208227392597/,2016-06-23 19:54:56,1566,300,85,1412,78,12,32,6,26
104266592953439_1293134530733300,"After adding Derrick Rose, more help could be on the way for the New York Knicks.",Who Is Next To Join The New York Knicks?,link,http://es.pn/28TIueN,2016-06-23 17:45:03,126,16,20,125,0,1,0,0,0
104266592953439_1293086137404806,"""If you win in Boston you'll be loved forever.""

—Isaiah Thomas",Thomas: Celtics 'Definitely Have A Shot' At Durant,link,http://es.pn/28S8LdY,2016-06-23 17:30:00,3013,143,334,2906,50,10,41,1,5
104266592953439_1293097894070297,The New York Knicks' Twitter account welcomed Derrick Rose to New York by roasting the Chicago Bulls ... then thought better of it.,Knicks Delete Trolling Tweets To Bulls After Rose Trade,link,http://es.pn/28SasIr,2016-06-23 16:48:19,1515,92,73,1443,10,1,56,3,2
104266592953439_1293111940735559,"We'll be live right here on Facebook with some of the top NBA draftees throughout the night. Submit your fan questions here, and we'll pass the best along to them.",Timeline Photos,photo,https://www.facebook.com/ESPN/photos/a.114588455254586.5908.104266592953439/1293111940735559/?type=3,2016-06-23 16:39:07,132,14,11,128,4,0,0,0,0
104266592953439_1293053270741426,He's built a career out of getting inside the heads of top NBA draft prospects:,Meet the Sports Psychologist Training the Minds of the NBA's Top Draft Prospects | VICE Sports,link,http://es.pn/28SVSio,2016-06-23 16:30:00,255,9,13,249,4,0,2,0,0
104266592953439_1293082244071862,Thaddeus Young is headed to the Indiana Pacers for this year's 20th overall pick and a future second-round pick.,Sources: Nets Deal Young To Pacers For 20th Pick,link,http://es.pn/28Tuzp6,2016-06-23 15:41:00,646,71,156,624,6,12,1,1,2
104266592953439_1293079154072171,What could have been ...,WATCH: Tracy McGrady On The Time Michael Jordan Stopped A Secret T-Mac/Scottie Pippen Trade,link,http://es.pn/28Rf4e2,2016-06-23 15:29:17,1200,82,253,1135,6,41,18,0,0
104266592953439_1292969884083098,,Darren Rovell,video,https://www.facebook.com/DarrenRovell/videos/1196280283729949/,2016-06-23 12:13:56,204,22,0,202,0,0,2,0,0
104266592953439_1292885474091539,"At 56 years old, Greg Louganis is still nailing dives and opening up for the #BodyIssue:",Louganis: 'HIV Taught Me That I'm A Lot Stronger Than I Knew',link,http://es.pn/28SmOQ5,2016-06-23 09:47:00,686,60,39,646,29,4,7,0,0
104266592953439_1292577520789001,"Cristiano Ronaldo was brilliant for Portugal against Hungary. 

But that won't be enough in the knockout stage.",Portugal Will Need More Than Ronaldo To Beat Croatia,link,http://es.pn/28OuaBO,2016-06-23 08:30:01,983,40,22,954,8,3,18,0,0
104266592953439_1292814884098598,"Joakim Noah? Dwight Howard? Pau Gasol? Kevin Durant?

The New York Knicks' trade for Derrick Rose shifts the club's free-agency priorities — both for this summer and beyond.","With Derrick Rose On Board, What's Next For The Knicks?",link,http://es.pn/28PXB5M,2016-06-23 08:00:00,3640,296,366,3560,22,30,20,3,5
104266592953439_1292801414099945,"No one is safe from NBA impersonator Brandon Armstrong.

Not even a three-time champion.","WATCH: LeBron Wins Title, Gets NBA Impersonator Treatment",link,http://es.pn/28SHQMO,2016-06-23 07:30:00,5707,368,921,5176,49,6,472,1,3
104266592953439_1292574327455987,Did anyone out-shine Dimitri Payet?,"Yorke: Five Stars, Five Busts In Euro Group Stage",link,http://es.pn/28RFPAi,2016-06-22 23:00:01,231,18,8,230,0,1,0,0,0
