status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
197394889304_10154490557019305,"This is how well Barça have defended this season. Don't miss it! http://ow.ly/VY27301wJLc 

Així de bé ha defensat el Barça aquesta temporada. No t'ho perdis! http://ow.ly/xKEM301wJN4 

Así de bien ha defendido el Barça esta temporada. ¡No te lo pierdas! http://ow.ly/ILYY301wJR9",Best defensive plays of the 2015/16 season,link,http://ow.ly/VY27301wJLc,2016-06-23 08:20:28,2078,56,18,2019,55,3,1,0,0
197394889304_10154490269214305,"Claudio Bravo will also be in the 2016 Copa America final http://ow.ly/jpL5301yhzA 
Claudio Bravo també jugarà la final de la Copa Amèrica 2016 http://ow.ly/yA2Z301yhBP 
Claudio Bravo también jugará la final de la Copa América 2016 http://ow.ly/m9Wy301yhDs",Claudio Bravo will also be in the 2016 Copa America final | FCB,link,http://ow.ly/jpL5301yhzA,2016-06-23 05:40:14,27280,186,79,26932,294,17,29,0,9
197394889304_10154488784334305,"The Academy's 5 best free kick goals in 2015/16
Els cinc millors gols de falta del planter. Amb quin et quedes?
Los cinco mejores goles de falta del fútbol formativo ¿Tu favorito?
[+] Join FCB Masia for more exclusive goals, videos & content!
#Goals #gols #goles #skillsFCB #video",The Academy's 5 best free kick goals in 2015/16,video,https://www.facebook.com/fcbarcelona/videos/10154488784334305/,2016-06-23 03:25:01,24590,122,339,23969,461,147,9,0,4
197394889304_10154489770559305,"History happens here.  Tickets: http://ow.ly/jx6y3018ZP9
Aquí fem història. Viu-la al Tour i Museu del Barça. Entrades:  http://ow.ly/SWxN3018ZJT
Aqui hacemos historia. Vívela con el Tour y el museo del Barça. Entradas: http://ow.ly/AYg43018ZX3
#CampNou #CampNouExperience #FCBarcelona",FC Barcelona's cover photo,photo,https://www.facebook.com/fcbarcelona/photos/a.10150756387114305.461109.197394889304/10154489770364305/?type=3,2016-06-23 00:15:58,15913,99,50,15630,262,17,4,1,0
197394889304_10154488672669305,"The most brilliant team goals of the season exclusively at Barça Fans http://ow.ly/oa65301u8wF 

Les jugades més brillants de la temporada en exclusiva a Barça Fans http://ow.ly/CMUY301u8AD 

Las jugadas más brillantes de la temporada en exclusiva en Barça Fans http://ow.ly/R0lE301u8Df",The best team goals of the 2015-16 season,link,http://ow.ly/oa65301u8wF,2016-06-22 15:01:48,39325,148,169,38710,545,55,10,1,4
197394889304_10154487449349305,"Which was Messi's best goal of the season from a free kick? http://ow.ly/V3LL301vOip
Quin és el millor gol de falta de Messi de la temporada? http://ow.ly/nrG2301vOnh
¿Cuál es el mejor gol de falta de Messi de la temporada? http://ow.ly/QAkf301vOua",giphy.com,link,http://giphy.com/gifs/xT8qBqVM3NpG1J802k/html5,2016-06-22 12:00:01,52209,288,741,50357,1321,471,47,2,11
197394889304_10154487432214305,"Ít's one month today since the Liga title. Take a look back at our special double content http://ow.ly/R5bj301vRcI
Avui fa un mes del títol de Copa. Repassa els continguts especials del doblet blaugrana http://ow.ly/R2qt301vSZB
Hoy se cumple un mes del título de Copa. Repasa los contenidos especiales del doblete http://ow.ly/NtAb301vR93",Copa Champions: The final as heard on Radio Barça,video,https://www.facebook.com/fcbarcelona/videos/10154487432214305/,2016-06-22 09:30:00,63171,231,767,61137,1874,61,91,3,5
197394889304_10154484777834305,"There is only one place where you can live the drama. And there's only one place to understand it. Come to the #CampNouExperience. History happens here http://ow.ly/D2e1301tuDC
Només hi ha una manera de viure l'espectacle. I només hi ha un lloc per entendre'l. Vine al #CampNouExperience. Aquí fem història http://ow.ly/ge4r301tuGz 
Solo hay una forma de vivir el espectáculo. Y solo hay un lugar donde entenderlo. Ven al #CampNouExperience. Aquí hacemos historia http://ow.ly/yRtt301tuI7",#CampNouExperience History happens here,video,https://www.facebook.com/fcbarcelona/videos/10154484777834305/,2016-06-22 07:00:00,55390,356,1770,52955,2097,293,35,2,8
197394889304_10154487465114305,"Messi leads Argentina into Copa America final http://ow.ly/cDiR301vIjq 
Nova obra d'art de Messi per arribar a la final de la Copa Amèrica http://ow.ly/nm0d301vIwY 
Nueva obra de arte de Messi para llegar a la final de la Copa América http://ow.ly/3ht5301vIz1 
#CopaAmérica #Copa100",Messi beats Batistuta's record to lead Argentina into Copa America final...,link,http://ow.ly/cDiR301vIjq,2016-06-22 04:55:12,125715,683,1133,122851,2478,295,72,3,16
197394889304_10154487293979305,"Croatia beat Spain to top Group D http://ow.ly/6ZIw301vI4W 
La Cròacia de Rakitic s'adjudica el primer lloc davant Espanya http://ow.ly/5gbo301vI8s 
La Croacia de Rakitic se adjudica el liderato del grupo D ante España http://ow.ly/j1SE301vIap","Croatia beat Spain to top Group D at Euro 2016, nervous wait for Turkey...",link,http://ow.ly/6ZIw301vI4W,2016-06-22 03:30:15,44101,173,100,43441,399,135,30,57,39
