status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
15704546335_10154387402021336,Newlyweds Johnny and Laura Benson were walking by Horsetooth Reservoir when a rattlesnake bit the groom in the ankle.,Wedding Photographer Captures Groom's Trip to Hospital After Snakebite,link,http://www.foxnews.com/us/2016/06/22/wedding-photographer-captures-grooms-trip-to-hospital-after-snakebite.html?intcmp=hplnws,2016-06-23 03:00:00,110,30,16,83,0,19,5,3,0
15704546335_10154386507811336,The man said he was billed after asking for a bottle of water.,A Good Samaritan Was Billed $143 After Saving Family at Crash Scene,link,http://insider.foxnews.com/2016/06/22/good-samaritan-saves-family-trapped-van-after-car-crash-gets-143-bill,2016-06-23 02:00:00,870,247,654,289,1,158,21,19,382
15704546335_10154387603516336,Good or gross?,"Burger King Debuts 'Mac n' Cheetos,' But It's Not Quite What it Sounds Like",link,http://magazine.foxnews.com/food-wellness/burger-king-mac-n-cheetos-new-item-photos-whaaaaat,2016-06-23 01:00:00,199,109,86,151,10,21,11,4,2
15704546335_10154387411356336,"Although he called the advertisement ""embarrassing,"" Baron Brooks, 48, says he will let his 78-year-old father go forward with interviewing prospective ladies.",Concerned Dad Takes Out 'Wife Wanted' Ads For His Unmarried Son,link,http://www.foxnews.com/us/2016/06/22/concerned-dad-takes-out-wife-wanted-ads-for-his-unmarried-son.html,2016-06-23 00:00:00,356,69,52,232,9,14,101,0,0
15704546335_10154387600486336,Video shows the terrifying moments after a group of people set off fireworks inside a Walmart. http://fxn.ws/23gbfUu (Via: ViralHog),,video,https://www.facebook.com/FoxNews/videos/10154387600486336/,2016-06-22 23:00:00,1690,710,1026,823,6,319,162,26,354
15704546335_10154387610211336,"Greg Gutfeld however said that the best response to terrorism is ""moral aggression,"" exacting immediate and righteous revenge on those responsible. What do you think?",AG Lynch: 'Our Common Humanity Transcends Our Differences',link,http://insider.foxnews.com/2016/06/22/loretta-lynch-most-effective-responses-terror-are-compassion-love-outnumbered-reacts,2016-06-22 22:30:00,1446,1632,874,703,23,35,344,9,332
15704546335_10154387258461336,Video taken from a helmet shows a new perspective on the wildfires in southern California that firefighters are battling. http://fxn.ws/28Mkyo9,,video,https://www.facebook.com/FoxNews/videos/10154387258461336/,2016-06-22 22:00:00,744,86,173,481,3,147,0,111,2
15704546335_10154387560771336,"In a speech on Wednesday, Donald J. Trump accused Hillary Clinton of taking millions of dollars from oppressive regimes to benefit the Clinton Foundation. http://fxn.ws/28NFTzU",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154387560771336/?type=3,2016-06-22 21:30:00,2944,384,326,2707,163,7,37,3,27
15704546335_10154387551776336,"49 years after U.S. Army Maj. Charles Kettles led a platoon credited with rescuing dozens of soldiers, the Vietnam War veteran will be awarded the Medal of Honor, the nation's highest military honor for valor. http://fxn.ws/28LEXJS",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154387551776336/?type=3,2016-06-22 21:00:00,6842,147,648,6414,374,48,2,4,0
15704546335_10154388218931336,,The Kelly File,video,https://www.facebook.com/TheKellyFile/videos/1815566498658207/,2016-06-22 20:34:10,1330,302,0,915,7,128,2,12,266
