status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
74133697733_10153795774957734,"Iwan Rheon talks battles, hounds, and playing one arrogant bastard: http://itsh.bo/28LxdOf
(WARNING: SPOILERS AHEAD)",Iwan Rheon Knows Ramsay Is One Arrogant Bastard,link,http://itsh.bo/28LxdOf,2016-06-23 10:00:00,27071,874,855,25692,996,228,113,13,29
74133697733_10153800841712734,"Send a raven.
Streaming drives record viewership for Game of Thrones. 
(via USA TODAY)","'Thrones' audience rises, helped by streaming",link,http://www.usatoday.com/story/life/tv/2016/06/23/thrones-audience-rises-helped-streaming/86194300/,2016-06-23 08:58:34,25997,624,549,24667,974,299,38,8,11
74133697733_10153799227462734,"""You're in the great game now.""
Preview this Sunday's season finale of Game of Thrones.",Game of Thrones Season 6: Episode #10 Preview (HBO),video,https://www.facebook.com/GameOfThrones/videos/10153799227462734/,2016-06-22 17:00:00,57153,3919,10432,49930,4384,2621,29,185,4
74133697733_10153795891267734,"How are you feeling after ""Battle of The Bastards?""
#AfterTheThrones discusses Sunday's ""spectacle"" on HBO NOW: http://itsh.bo/1Z4q9dC",After the Thrones 09: Battle of the Bastards (HBO),video,https://www.facebook.com/GameOfThrones/videos/10153795891267734/,2016-06-22 14:00:00,3261,208,152,3039,158,58,3,1,2
74133697733_10153795773447734,"Sophie Turner chats battling against the odds, revenge and fighting the patriarchy in Westeros: http://itsh.bo/28LxcKb 
(WARNING: SPOILERS AHEAD)",Sophie Turner Thinks Sansa Finally Has the Upper Hand,link,http://itsh.bo/28LxcKb,2016-06-21 20:01:00,37158,1166,791,35177,1656,255,54,4,12
74133697733_10153796427692734,"The #AfterTheThrones Maester is answering your questions about ""Battle of the Bastards.""",The Ringer,video,https://www.facebook.com/ringer/videos/1724166314516485/,2016-06-21 14:06:28,1475,465,0,1393,50,24,5,1,2
74133697733_10153795775487734,"The Game of Thrones series creators of go inside ""Battle of the Bastards"" 
(WARNING: SPOILERS AHEAD)",Game of Thrones Season 6: Inside the Episode #9 (HBO),video,https://www.facebook.com/GameOfThrones/videos/10153795775487734/,2016-06-21 10:10:00,58211,2392,4940,52194,4868,1046,84,13,6
74133697733_10153794074262734,"""The most logistically complicated thing I've ever been involved in.""
The ""Battle of the Bastards"" director speaks out. (via Entertainment Weekly)",'Game of Thrones': Battle of the Bastards director speaks out,link,http://www.ew.com/article/2016/06/19/game-thrones-battle-director,2016-06-20 20:00:00,99729,3295,4907,91763,5554,2270,99,25,18
74133697733_10153793846507734,"""All of it is action.""
See how the production brought one of the series' biggest scenes to life: http://itsh.bo/28JlWu2
(WARNING: CONTAINS SPOILERS)",Making Game of Thrones - Go Behind the Scenes of Sunday's Big Battle,link,http://itsh.bo/28JlWu2,2016-06-20 17:00:00,72142,3916,6423,63430,6662,1977,45,21,7
74133697733_10153793813142734,"Dive into last night's episode, ""Battle of the Bastards,"" on the Game of Thrones Viewer's Guide: http://itsh.bo/28Jp10R 
(WARNING: CONTAINS SPOILERS)",Game of Thrones Viewer's Guide,link,http://itsh.bo/28Jp10R,2016-06-20 12:09:13,79175,4170,4904,69663,7237,2097,108,58,12
74133697733_10153784650072734,"Quiet in the realm.
""Battle of the Bastards"" starts at 9 on HBO.",,video,https://www.facebook.com/GameOfThrones/videos/10153784650072734/,2016-06-19 17:04:00,25282,2902,2820,21967,2311,938,40,23,3
74133697733_10153782139332734,"""Battle of the Bastards"" airs tonight. #GameofThrones",Game of Thrones Season 6: Battle of the Bastards Preview,video,https://www.facebook.com/GameOfThrones/videos/10153782139332734/,2016-06-19 09:33:00,170046,10408,21155,147293,13306,9103,213,106,25
74133697733_10153779393432734,"Prepare for tomorrow's all-new episode of Game of Thrones.
Watch ""No One"" on HBO NOW: www.hbonow.com",Game of Thrones Season 6: Episode 8 (HBO NOW),video,https://www.facebook.com/GameOfThrones/videos/10153779393432734/,2016-06-18 11:03:00,8202,237,259,7575,497,113,10,2,5
74133697733_10153786263892734,"""She's exactly like her mother."" 
Read the letter that Brienne delivered to the Blackfish: http://itsh.bo/1QbNj2o",Check Out Sansa's Letter to the Blackfish,link,http://itsh.bo/1QbNj2o,2016-06-17 20:00:00,42597,1306,1976,40613,1371,481,48,62,22
74133697733_10153786303692734,"Behold, the #BeautifulDeath from ""No One.""
www.beautifuldeath.com",Timeline Photos,photo,https://www.facebook.com/GameOfThrones/photos/a.93667012733.90163.74133697733/10153786303692734/?type=3,2016-06-17 13:03:00,22482,333,1121,20740,1460,247,24,5,6
74133697733_10153779400867734,"Learn more about the making of ""The Broken Man"" and ""No One"" with 'The Game Revealed: Episodes 7 & 8"" on HBO NOW: http://itsh.bo/1QTnzBl",Game Revealed: Episodes 7 & 8,video,https://www.facebook.com/GameOfThrones/videos/10153779400867734/,2016-06-17 09:37:06,3823,93,169,3633,141,42,6,1,0
74133697733_10153784270427734,"""Game of Thrones: Battle of the Bastards tease shows Jon Snow fury."" (via Entertainment Weekly)",'Game of Thrones': Battle of the Bastards preview shows Jon Snow fury,link,http://www.ew.com/article/2016/06/16/game-thrones-battle-bastards-preview?xid=entertainment-weekly_socialflow_twitter,2016-06-16 14:20:57,108124,4027,7422,97682,6072,4180,133,39,18
74133697733_10153779382597734,"""Jaqen was, on some level, rooting for the outcome that he got.""
The series creators of go inside ""No One.""
(WARNING: SPOILERS AHEAD)",Game of Thrones Season 6: Inside the Episode #8 (HBO),video,https://www.facebook.com/GameOfThrones/videos/10153779382597734/,2016-06-16 10:02:00,28118,878,1127,26382,1269,392,30,10,35
74133697733_10153779993412734,"Chase down Arya with this storyboard from ""No One"": http://itsh.bo/260N2TN","Chase Down Arya With This Storyboard From ""No One""",link,http://www.makinggameofthrones.com/production-diary/chase-arya-no-one-storyboard,2016-06-15 19:02:00,7916,328,304,7500,273,117,6,2,18
74133697733_10153781774917734,"The #AfterTheThrones team has decided. If you ever hear Jaime Lannister say ""the things we do for love,"" you should run.
Watch the full episode on HBO NOW: http://itsh.bo/1Z4q9dC",After the Thrones: Episode 8 - Clip #1,video,https://www.facebook.com/GameOfThrones/videos/10153781774917734/,2016-06-15 11:52:10,2654,104,133,2471,85,7,87,0,4
74133697733_10153779897282734,Ask the Maester from #AftertheThrones.,The Ringer,video,https://www.facebook.com/ringer/videos/1721742834758833/,2016-06-14 14:10:08,1243,305,0,1183,37,15,1,1,6
74133697733_10153779378797734,"""Finally, a girl is no one.""
Relive this memorable moment from Sunday's episode of Game of Thrones.
(WARNING: CONTAINS SPOILERS)",Game of Thrones Season 6: Episode #8 Clip,video,https://www.facebook.com/GameOfThrones/videos/10153779378797734/,2016-06-14 09:28:33,79038,2313,4814,69160,8084,1629,97,14,54
74133697733_10153777182937734,"2 episodes left.
Preview this Sunday's episode of Game of Thrones, ""Battle of the Bastards.""",Game of Thrones Season 6: Episode #9 Preview (HBO),video,https://www.facebook.com/GameOfThrones/videos/10153777182937734/,2016-06-13 16:00:00,273342,40519,71068,231722,19390,20763,262,1101,104
74133697733_10153777220557734,"Dive into last night's episode of Game of Thrones on the Viewer's Guide: http://itsh.bo/1YlQaa2
(WARNING: CONTAINS SPOILERS)","Game of Thrones Viewer's Guide - ""No One""",link,http://itsh.bo/1YlQaa2,2016-06-13 09:42:17,24945,922,947,23160,1425,291,24,12,33
74133697733_10153770517757734,Tonight. #GameofThrones,Game of Thrones Season 6: Episode 8 Preview,video,https://www.facebook.com/GameOfThrones/videos/10153770517757734/,2016-06-12 09:30:00,31975,1482,1852,29204,1759,972,16,14,10
74133697733_10153770520722734,"""I choose violence.""
Preview tomorrow's new episode of Game of Thrones.",Game of Thrones: Episode 8 Preview,video,https://www.facebook.com/GameOfThrones/videos/10153770520722734/,2016-06-11 10:49:00,44006,3287,5479,39432,2403,2107,42,7,15
74133697733_10153770853222734,"Behold, the #BeautifulDeath from ""The Broken Man.""
www.beautifuldeath.com",Timeline Photos,photo,https://www.facebook.com/GameOfThrones/photos/a.93667012733.90163.74133697733/10153770853222734/?type=3,2016-06-10 13:23:16,26103,430,1089,24930,741,128,22,272,10
74133697733_10153770526677734,Sophie Turner talks Sansa power-plays and Stark family reunions: http://itsh.bo/28q6Kuf,Sophie Turner's Sansa Is More Powerful Than Ever,link,http://www.makinggameofthrones.com/production-diary/sophie-turners-sansa-is-more-powerful-than-ever,2016-06-10 10:22:13,5489,233,179,5191,251,36,10,0,1
74133697733_10153767699822734,"Prepare for Sunday's all-new episode of Game of Thrones.
Watch ""The Broken Man"" on HBO NOW: www.hbonow.com",Game of Thrones Season 6: The Broken Man (HBONOW),video,https://www.facebook.com/GameOfThrones/videos/10153767699822734/,2016-06-09 17:24:00,5442,152,203,5137,225,72,4,2,2
74133697733_10153767696662734,"""Game of Thrones: HBO confirms super-sized season 6 finale.""
(via Entertainment Weekly)","'Game of Thrones': HBO confirms super-sized season 6 finale, plus titles of last two episodes",link,http://www.ew.com/article/2016/06/08/game-thrones-season-6-finale,2016-06-09 09:52:45,102599,8108,10828,93605,4964,3747,102,143,38
74133697733_10153766044197734,"Chris Ryan and Andy Greenwald from #AfterTheThrones chat Yara pep-talks, Riverrun moats, The Hound and more: http://itsh.bo/1Yf8rGh","Dive Into ""The Broken Man"" With After the Thrones",link,http://itsh.bo/1Yf8rGh,2016-06-08 16:53:20,14551,318,290,13990,349,186,14,6,6
74133697733_10153760539397734,"""It's putting a lot of dramatic weight on the shoulders of someone who needs to be young.
The series creators of go inside ""The Broken Man"" & discuss Lady Mormont. 
(SPOILERS AHEAD)",Game of Thrones Season 6: Inside The Episode #7 (HBO),video,https://www.facebook.com/GameOfThrones/videos/10153760539397734/,2016-06-08 10:22:00,27314,651,953,25924,1123,107,139,11,10
74133697733_10153760861262734,"Gemma Whelan chats the kingsmoot, Yara's emotional side and Theon's future: http://itsh.bo/1Ybnukt
(SPOILERS AHEAD)",Gemma Whelan Thinks Yara Is Playing the Long Game,link,http://itsh.bo/1Ybnukt,2016-06-07 19:01:00,3612,153,73,3474,105,22,10,0,1
74133697733_10153763270922734,Ask the Maester from #AfterTheThrones your questions.,The Ringer,video,https://www.facebook.com/ringer/videos/1719371824995934/,2016-06-07 14:15:00,1486,300,0,1403,47,20,9,2,5
74133697733_10153760529242734,"Relive this unforgettable moment from ""The Broken Man.""
(WARNING: CONTAINS SPOILERS)",Game of Thrones Season 6: Episode #7 Clip,video,https://www.facebook.com/GameOfThrones/videos/10153760529242734/,2016-06-07 10:15:00,38779,1875,1611,35342,2107,1187,61,63,19
74133697733_10153760520352734,"""Ian McShane breaks his silence on secret role."" Read the full interview: http://itsh.bo/1X6Ynjh
(via Entertainment Weekly)",'Game of Thrones': Ian McShane breaks his silence on secret role,link,http://www.ew.com/article/2016/06/05/game-thrones-ian-mcshane-hound,2016-06-06 20:00:00,32546,1577,1155,30804,720,89,31,891,11
74133697733_10153760856037734,"Who won the week? The #AfterTheThrones hosts make their picks.
Watch the full episode on HBO NOW: http://itsh.bo/1Z4q9dC",After The Thrones: Episode 7 - Who Won The Week?,video,https://www.facebook.com/GameOfThrones/videos/10153760856037734/,2016-06-06 14:17:00,2428,151,112,2324,67,23,10,0,4
74133697733_10153760504647734,"The broken man.
Explore last night's episode of Game of Thrones on the Viewer's Guide: http://itsh.bo/1X6XEON
(WARNING: CONTAINS SPOILERS)",Game of Thrones Viewer's Guide,link,http://itsh.bo/1X6XEON,2016-06-06 10:00:01,21270,1302,773,20056,786,375,11,25,17
74133697733_10153754818142734,"Quiet in the realm.
""The Broken Man"" starts at 9 on HBO.",,video,https://www.facebook.com/GameOfThrones/videos/10153754818142734/,2016-06-05 17:05:00,8377,837,732,7814,385,154,6,8,10
74133697733_10153752454507734,Tonight. #GameofThrones,Game of Thrones: Episode 7 Preview,video,https://www.facebook.com/GameOfThrones/videos/10153752454507734/,2016-06-05 09:30:00,67252,2011,3095,62384,3000,1771,60,18,19
74133697733_10153750778052734,"""Every Khal who ever lived chose three blood riders to fight beside him and guard his way.
But I am not a Khal.
I will not choose three blood riders.
I choose you all.
I will ask more of you than any khal has ever asked of his khalassar!
Will you ride the wooden horses across the black salt sea?
Will you kill my enemies in their iron suits and tear down their stone houses?
Will you give me the Seven Kingdoms, the gift Khal Drogo promised me before the Mother of Mountains?
Are you with me?
Now and always?""",,status,,2016-06-04 20:09:00,52764,1681,2088,47426,4405,246,132,19,536
74133697733_10153748294627734,"""I did what I had to do to survive. I will always be a Stark.""
Preview tomorrow's new episode of Game of Thrones.",Game of Thrones Season 6: Episode 7 Preview,video,https://www.facebook.com/GameOfThrones/videos/10153748294627734/,2016-06-04 10:18:00,84044,3802,7367,76844,4556,2564,53,16,11
74133697733_10153748291482734,"DRACARYS!
Prepare for Sunday. Watch ""Blood of My Blood"" on HBO NOW: www.hbonow.com",Game of Thrones: Season 6 Episode 6 (HBO NOW),video,https://www.facebook.com/GameOfThrones/videos/10153748291482734/,2016-06-03 19:15:00,7692,198,549,6961,529,186,13,2,1
74133697733_10153750919727734,"""Burn them all!""",Game of Thrones Season 6: Burn Them All,video,https://www.facebook.com/GameOfThrones/videos/10153750919727734/,2016-06-03 15:30:00,41598,825,1543,38924,1252,1309,85,11,17
74133697733_10153752369237734,"See a storyboard of the big rescue scene in ""Blood of My Blood"": http://itsh.bo/1Vzj8Tr
(WARNING: CONTAINS SPOILERS)",Examine the Storyboard of Sunday's Big Rescue,link,http://itsh.bo/1Vzj8Tr,2016-06-03 09:20:00,998,49,38,958,27,12,1,0,0
74133697733_10153752495437734,"What other characters could come back? The #AfterTheThrones team makes their predictions.
Watch the full episode on HBO NOW: http://itsh.bo/1Z4q9dC",After The Thrones: Who Could Return?,video,https://www.facebook.com/GameOfThrones/videos/10153752495437734/,2016-06-02 20:00:00,1908,154,87,1833,57,5,9,1,3
74133697733_10153752813057734,Ask the Maester. #AfterTheThrones,The Ringer,video,https://www.facebook.com/ringer/videos/1717316455201471/,2016-06-02 14:34:41,793,68,0,757,15,1,2,2,16
74133697733_10153750206352734,"Discover how to make an epic episode with 'The Game Revealed: Episodes 5 & 6.'
Get an inside look at Game of Thrones on HBO NOW: http://itsh.bo/1QTnzBl",Game Revealed: Episodes 5 & 6,video,https://www.facebook.com/GameOfThrones/videos/10153750206352734/,2016-06-02 09:24:52,10817,395,1095,9910,473,393,38,3,0
74133697733_10153748312987734,"""I choose you all.""
Relive this moment from ""Blood of My Blood.""",Game of Thrones Season 6: Episode 6 Clip,video,https://www.facebook.com/GameOfThrones/videos/10153748312987734/,2016-06-01 19:24:00,28472,1380,3656,24801,2940,662,31,5,33
74133697733_10153750487552734,"""Game of Thrones producers reveal 4 of their epic cast pranks.""
Read the full story on Entertainment Weekly.",'Game of Thrones' producers reveal 4 of their epic cast pranks,link,http://www.ew.com/article/2016/06/01/game-thrones-pranks,2016-06-01 11:12:39,27570,847,1497,24845,451,41,2225,2,6
74133697733_10153748436782734,"Maisie Williams talks getting competitive with the Waif & being No One: http://itsh.bo/1TUrEtQ
(WARNING: CONTAINS SPOILERS)",Maisie Williams Knows Arya Stark Is a Force to Reckon With,link,http://itsh.bo/1TUrEtQ,2016-05-31 17:48:00,22536,645,510,21675,656,176,15,8,6
74133697733_10153748226162734,"The series creators of Game of Thrones go inside ""Blood of My Blood.""
(WARNING: SPOILERS AHEAD)",Game of Thrones Season 6: Inside Episode 6,video,https://www.facebook.com/GameOfThrones/videos/10153748226162734/,2016-05-31 09:20:48,47614,1554,2934,43618,2986,928,50,12,20
74133697733_10153737994172734,Tonight. #GameofThrones,Game of Thrones Season 6: Episode 6 Preview,video,https://www.facebook.com/GameOfThrones/videos/10153737994172734/,2016-05-29 10:16:00,21203,1968,1675,19172,1043,933,19,18,6
74133697733_10153731984802734,"""Hold the door.""",,status,,2016-05-28 22:00:00,216206,5303,3801,153180,1521,686,1024,56250,3452
74133697733_10153732046482734,"""Hodor.""
Get an inside look at how the epic cave scene came to life: http://itsh.bo/1qF6Iws",Game of Thrones Season 6: Anatomy of a Scene: The Cave Battle ...,video,https://www.facebook.com/GameOfThrones/videos/10153732046482734/,2016-05-28 20:00:00,70162,4396,8367,60310,2907,759,32,6076,31
74133697733_10153731971347734,"""Show them what we do to our enemies.""
Preview tomorrow's new episode of Game of Thrones.",Game of Thrones Season 6: Episode #6 Preview (HBO),video,https://www.facebook.com/GameOfThrones/videos/10153731971347734/,2016-05-28 10:01:00,38868,2612,4291,35233,2042,1537,35,13,7
74133697733_10153736278227734,"Get a look at the origins of the White Walkers in this storyboard from ""The Door.""",See a Storyboard of the White Walkers' Origins - Making Game of Thrones,link,http://www.makinggameofthrones.com/production-diary/white-walkers-creation-storyboard,2016-05-27 20:00:00,9273,236,462,8855,203,190,9,9,6
74133697733_10153740201242734,"Behold, the #BeautifulDeath from ""The Door.""
www.beautifuldeath.com",Timeline Photos,photo,https://www.facebook.com/GameOfThrones/photos/a.93667012733.90163.74133697733/10153740201242734/?type=3,2016-05-27 13:00:49,24368,545,1999,19790,684,65,13,3798,18
74133697733_10153731986547734,"""He saw me!""
Prepare for Sunday. Watch ""The Door"" on HBO NOW: www.hbonow.com",Game of Thrones: The Door (HBO NOW),video,https://www.facebook.com/GameOfThrones/videos/10153731986547734/,2016-05-26 20:00:00,7982,247,332,7352,251,321,18,27,13
74133697733_10153736282397734,"Hodor.
Relive ""The Door"" before Sunday's new episode of Game of Thrones: www.hbonow.com","Game of Thrones Season 6: ""Hold The Door""",video,https://www.facebook.com/GameOfThrones/videos/10153736282397734/,2016-05-26 11:42:34,34440,1096,1040,27208,599,95,42,6457,39
74133697733_10153735856917734,"Looking for some details on the Kingsmoot? 
Read a breakdown of the Iron Islands' election day: http://itsh.bo/1NHEqg2",How the Kingsmoot Works - Making Game of Thrones,link,http://itsh.bo/1NHEqg2,2016-05-25 18:30:00,14852,709,445,14101,219,57,29,17,429
74133697733_10153732062152734,"""The origin of Hodor.""
The series creators of Game of Thrones go inside ""The Door.""
(WARNING: SPOILERS AHEAD)",Game of Thrones Season 6: Inside the Episode #5 (HBO),video,https://www.facebook.com/GameOfThrones/videos/10153732062152734/,2016-05-25 09:30:00,36524,1586,2097,30509,916,142,18,4918,21
74133697733_10153732039402734,"Isaac Hempstead Wright chats Bran Stark, Summer and the many revelations of #HoldtheDoor: http://itsh.bo/1qF67uI
(WARNING: CONTAINS SPOILERS)",Isaac Hempstead Wright's Bran Stark Makes Waves North of the Wall,link,http://itsh.bo/1qF67uI,2016-05-24 17:21:00,23761,753,730,22678,584,303,14,158,24
74133697733_10153734319712734,Ask the Maester from #AfterTheThrones your pressing Game of Thrones questions on Facebook Live.,The Ringer,video,https://www.facebook.com/ringer/videos/1713962662203517/,2016-05-24 14:13:35,1162,327,0,1108,30,17,2,3,2
74133697733_10153731952117734,"""Hold the door.""
Relive the unforgettable moment from Sunday's episode of Game of Thrones.
(WARNING: CONTAINS SPOILERS)",Game of Thrones Season 6: Episode #5 Clip – Hold The Door (HBO),video,https://www.facebook.com/GameOfThrones/videos/10153731952117734/,2016-05-24 10:00:00,164212,15352,19242,100446,2875,657,138,59893,202
74133697733_10153732044702734,"Kristian Nairn talks about his love for Hodor, his friendship with Isaac and the epic #HoldtheDoor scene: http://itsh.bo/1qF6Mw4
(WARNING: CONTAINS SPOILERS)",Full Interview: Kristian Nairn Thinks Hodor Is the Better Man,link,http://itsh.bo/1qF6Mw4,2016-05-23 19:45:00,99547,4103,4975,78088,3492,174,44,17679,70
74133697733_10153732019997734,"Chris and Andy of #AfterTheThrones break down the ""surprise that feels earned"" from ""The Door.""
Watch the full episode on HBO NOW: http://itsh.bo/1Z4q9dC",After the Thrones: Hodor,video,https://www.facebook.com/GameOfThrones/videos/10153732019997734/,2016-05-23 14:32:00,6831,602,422,5787,139,29,4,865,7
74133697733_10153731945537734,"The door.
Explore last night's episode of Game of Thrones on the Viewer's Guide: http://www.gameofthrones.com 
(WARNING: CONTAINS SPOILERS)","Game of Thrones Viewer's Guide - ""The Door""",link,http://www.gameofthrones.com/,2016-05-23 11:26:33,69215,3335,2644,56523,1531,638,35,10369,119
74133697733_10153706935232734,"Quiet in the realm.
""The Door"" starts at 9 on HBO.",Quiet In The Realm: The Door,video,https://www.facebook.com/GameOfThrones/videos/10153706935232734/,2016-05-22 15:53:00,17859,3306,1916,13624,675,237,30,3262,31
74133697733_10153723100277734,"""You are small men. None of you are fit to lead the Dothraki. But I am. So I will."" - Daenerys Targaryen",,status,,2016-05-21 21:09:00,121637,1672,3918,111636,8593,1088,254,19,47
74133697733_10153716702292734,"""There's still so much you don't know.""
Preview the next episode of Game of Thrones airing tomorrow at 9PM.",Game of Thrones Season 6: Episode #5 Preview,video,https://www.facebook.com/GameOfThrones/videos/10153716702292734/,2016-05-21 11:00:00,42971,3381,5336,38152,2113,2634,35,30,7
74133697733_10153716712322734,"""I am, so I will.""
Prepare for Sunday. Watch ""Book of the Stranger"" on HBO NOW: www.hbonow.com",Game of Thrones Season 6: Episode #4 on HBO NOW,video,https://www.facebook.com/GameOfThrones/videos/10153716712322734/,2016-05-20 20:00:00,13369,331,852,11956,1142,234,27,5,5
74133697733_10153723238492734,"Family reunions and alliances: dive deeper into ""Book of the Stranger"" with #AfterTheThrones.",Andy Greenwald and Chris Ryan Delve into 'Book of the Stranger',link,http://itsh.bo/1WFn1XO,2016-05-20 15:00:00,4727,85,65,4568,121,26,10,1,1
74133697733_10153725480212734,"Behold, the #BeautifulDeath from ""Book of the Stranger.""
www.beautifuldeath.com",Timeline Photos,photo,https://www.facebook.com/GameOfThrones/photos/a.93667012733.90163.74133697733/10153725480212734/?type=3,2016-05-20 12:42:11,9359,124,491,8711,547,82,15,2,2
74133697733_10153720733062734,"""None of you are fit to lead the Dothraki. But I am.""",Game of Thrones Season 6: Episode #4,video,https://www.facebook.com/GameOfThrones/videos/10153720733062734/,2016-05-20 10:28:00,68686,959,3008,62541,5188,792,129,6,30
74133697733_10153720741847734,"""But I am. So I will.""
Check out a storyboard of Daenerys' big moment from ""Book of the Stranger"": http://itsh.bo/1srz8v7",See a Storyboard of Dany's Big Moment in Vaes Dothrak,link,http://itsh.bo/1srz8v7,2016-05-19 19:30:00,6520,198,260,6170,270,71,5,1,3
74133697733_10153718581717734,"Time to ask the expert.
The #AfterTheThrones crew dishes on the survival of the Tyrell family. Watch the full episode today: http://itsh.bo/1Z4q9dC",After the Thrones: Episode #4 - The Tyrells,video,https://www.facebook.com/GameOfThrones/videos/10153718581717734/,2016-05-19 10:30:00,1835,95,82,1758,59,11,6,0,1
74133697733_10153720717697734,"Curious to know what Ramsay wrote to Jon? 
Come and see.","""Come and See"" Ramsay's Letter to Jon Snow",link,http://www.makinggameofthrones.com/production-diary/ramsay-letter-jon-snow,2016-05-18 19:01:00,45953,1871,1815,43353,1082,1044,127,31,316
