status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
30776016407_10153617321866408,The most important honey-do list...,6 Different Type Of Orgasms Women Can Have,link,https://go24x7.com/8pnwL8kRb,2016-06-23 22:27:00,181,14,43,165,8,4,4,0,0
30776016407_10153617300781408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153617300781408/?type=3,2016-06-23 21:52:00,22788,422,2448,17112,422,36,5218,1,0
30776016407_10153617317271408,Are all ex's crazy?,Scary Texts from Crazy Ex Girlfriends,link,https://go24x7.com/Aa6kemEby,2016-06-23 21:27:00,86,13,7,71,1,1,13,0,0
30776016407_10153617300236408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153617300236408/?type=3,2016-06-23 20:55:00,8682,116,1012,6890,117,11,1663,0,1
30776016407_10153617313936408,Tag someone who needs this !! Crazy the dart speed it creates...,The World's Largest Nerf Gun Shoots Darts at High Speeds,link,https://go24x7.com/QD6M5QbKJ,2016-06-23 14:27:00,1155,184,856,1059,29,25,42,0,0
30776016407_10153617988431408,"Tomorrow is the big day, Boston! There's still time to get The Comedy Get Down tickets at TD Garden. See you there, #Chingon: georgelopez.com/tour",Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153617988431408/?type=3,2016-06-23 14:03:03,44,6,1,40,4,0,0,0,0
30776016407_10153617299491408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153617299491408/?type=3,2016-06-23 13:56:00,1236,335,1312,1094,58,5,79,0,0
30776016407_10153617832436408,"Keep your friends close, and your enemies closer…",Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153617832436408/?type=3,2016-06-23 12:30:06,3093,172,1222,2245,43,6,798,1,0
30776016407_10153617700151408,"Canada called! Thanks Joe Carter, the Joga World team warmed me up!",Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153617700151408/?type=3,2016-06-23 11:37:20,1015,24,15,967,13,3,32,0,0
30776016407_10153617309856408,That tattoo might have been too far ??,16 Times Justice Was Served,link,https://go24x7.com/8pnwre9gE,2016-06-23 11:27:00,1339,33,123,1114,36,6,182,0,1
30776016407_10153617298961408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153617298961408/?type=3,2016-06-23 10:56:00,25138,938,9492,19924,389,33,4791,3,0
30776016407_10153617307191408,Then he shoves it in his eye !!,"Guy Vapes And Snorts Carolina Reaper, Regrets It Almost Immediately",link,https://go24x7.com/Kl6JBm7Wy,2016-06-23 09:27:00,304,129,191,235,0,13,55,0,1
30776016407_10153617292911408,Congratulations @cedtheentertainer on a great run @tvland proud of you and the whole cast @niecynash1 #love,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153617292911408/?type=3,2016-06-23 08:57:00,1045,28,9,998,36,0,10,1,0
30776016407_10153615595656408,This dog's sad story is going to have a happy ending...,"After This Dog Was Rejected 18,000 Times For Adoption, She's Given The Role Of A Lifetime",link,https://go24x7.com/pGRQQjQar,2016-06-22 22:27:00,1038,35,93,888,89,1,1,59,0
30776016407_10153614832496408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153614832496408/?type=3,2016-06-22 21:58:00,26099,807,4964,20349,221,91,4976,37,425
30776016407_10153615040561408,What do you think about this list  ??,WHAT MAKES A WOMAN SEXY?,link,https://go24x7.com/b8PgKjQzv,2016-06-22 21:26:00,147,34,15,141,4,2,0,0,0
30776016407_10153614832021408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153614832021408/?type=3,2016-06-22 20:55:00,15606,1329,5465,13437,90,12,2060,0,7
30776016407_10153616252471408,What I told myself earlier today…,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153616252471408/?type=3,2016-06-22 19:30:02,44891,4219,20171,34399,578,55,9852,6,1
30776016407_10153615803721408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153615803721408/?type=3,2016-06-22 15:20:21,42453,775,4901,34725,1708,47,5950,1,23
30776016407_10153613247396408,All new jokes TONIGHT at 10/9c on the season finale of Lopez on TV Land!,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153613247396408/?type=3,2016-06-22 14:15:00,118,12,18,95,5,3,15,0,0
30776016407_10153615032051408,Very interesting !!,Animals And Humans Don't See Exactly The Same Way. Here Are The Key Differences,link,https://go24x7.com/QD6MQbj9b,2016-06-22 13:21:00,124,6,19,120,1,3,0,0,0
30776016407_10153614831316408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153614831316408/?type=3,2016-06-22 12:44:00,27382,316,3312,23962,1202,16,2200,2,0
30776016407_10153615436076408,https://www.facebook.com/lopezontvland/posts/1725967487658835:0,Lopez on TV Land,photo,https://www.facebook.com/lopezontvland/photos/a.1647939612128290.1073741829.1619038475018404/1725967487658835/?type=3,2016-06-22 11:59:04,35,5,0,32,3,0,0,0,0
30776016407_10153615430981408,https://www.facebook.com/joecartergolfclassic/videos/940470062728696/,Joe Carter Classic,video,https://www.facebook.com/joecartergolfclassic/videos/940470062728696/,2016-06-22 11:57:49,440,25,0,405,19,0,15,0,1
30776016407_10153614912836408,You know someone that cooks this well? #9 is difficult to explain !!,17 Cooking Fails That Will Make You Look Like A Master Chef,link,https://go24x7.com/ER6RwzpPe,2016-06-22 11:27:00,750,76,263,622,6,24,97,1,0
30776016407_10153614830776408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153614830776408/?type=3,2016-06-22 10:57:00,13844,721,4615,11141,102,624,1970,4,4
30776016407_10153614835806408,WHOA... who knew science was this #chingon,This is what happens when you throw a pound of solid sodium into a river (Video),link,https://go24x7.com/l8J8EGY2N,2016-06-22 09:26:00,731,58,300,651,8,56,15,0,1
30776016407_10153614828451408,#Repost @asancheezy This news is breaking my heart 💔 and for it not to be in headlines is even more disturbing. Death to wanting to educate?! What is wrong with our world,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153614828451408/?type=3,2016-06-22 08:58:00,26776,403,10568,19418,135,164,12,5244,1803
30776016407_10153612651946408,Maybe you are trying the wrong things... here ya go !!,People Reveal How They Get Their Partners Horny,link,https://go24x7.com/Db6b2vd2P,2016-06-21 21:22:00,446,30,42,411,3,5,26,1,0
30776016407_10153612565886408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153612565886408/?type=3,2016-06-21 20:57:00,11780,180,2879,9285,44,129,2318,2,2
30776016407_10153613835281408,"Boston--- ¡Órale! Come see me this weekend at TD Garden this Friday (June 24th) at 8pm with my friends D.L. Hughley, Cedric The Entertainer, Eddie Griffin and Charlie Murphy for The Comedy Get Down.

Get tickets: georgelopez.com/tour",Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153613835281408/?type=3,2016-06-21 19:13:02,66,8,6,60,6,0,0,0,0
30776016407_10153613752476408,,Lopez on TV Land,photo,https://www.facebook.com/lopezontvland/photos/a.1647939612128290.1073741829.1619038475018404/1726323650956552/?type=3,2016-06-21 18:30:50,57,7,0,50,2,0,5,0,0
30776016407_10153613284291408,atta boy!,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153613284291408/?type=3,2016-06-21 14:30:03,28834,1193,9949,22917,166,31,5718,2,0
30776016407_10153613232176408,Orale! Tune in tomorrow #Chingon.,Lopez on TV Land,photo,https://www.facebook.com/lopezontvland/photos/a.1647939612128290.1073741829.1619038475018404/1725967487658835/?type=3,2016-06-21 14:05:38,45,5,0,39,4,1,1,0,0
30776016407_10153612624956408,Exactly what Facebook was made for...,24 People Who Got Dumped On Facebook… OUCH At #8.,link,https://go24x7.com/jn0n1QR4k,2016-06-21 11:27:00,575,28,48,460,6,1,105,2,1
30776016407_10153612565571408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153612565571408/?type=3,2016-06-21 10:57:00,20718,966,7154,18346,486,21,1859,5,1
30776016407_10153612606196408,Losing a close friend is so tough !!,'Jackass' Alum Bam Margera Is A Sad Cautionary Tale. Can His Family Still Help Him?,link,https://go24x7.com/La6algBr2,2016-06-21 09:27:01,710,62,51,594,10,3,2,99,2
30776016407_10153612564706408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153612564706408/?type=3,2016-06-21 08:55:21,2875,761,3803,2260,130,2,482,0,1
30776016407_10153610382581408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153610382581408/?type=3,2016-06-20 21:56:00,29630,276,2816,24503,613,37,4468,4,5
30776016407_10153610377846408,#thatstrue via @funniest_15seconds,"Instagram video by George Lopez • Jun 20, 2016 at 4:39am UTC",video,https://www.instagram.com/p/BG3PpCekuBt/?taken-by=georgelopez&hl=en,2016-06-20 20:55:00,360,23,79,271,3,0,85,0,1
30776016407_10153610392326408,NO WAY... gacho !!,9 Stars Who Awkwardly Watched Their Own Love Scenes With Their Parents,link,https://go24x7.com/elmj6eL5x,2016-06-20 14:28:00,515,17,19,455,7,4,48,1,0
30776016407_10153610985286408,"BOSTON let's go!!
www.georgelopez.com/tour",Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153610985286408/?type=3,2016-06-20 14:00:27,83,13,6,77,6,0,0,0,0
30776016407_10153610381251408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153610381251408/?type=3,2016-06-20 13:57:00,5133,325,1836,4393,40,6,690,3,1
30776016407_10153610390766408,Don't let these ruin them for you...,5 Horrifying Fan Theories That Make Way Too Much Sense,link,https://go24x7.com/ER6KlYxmJ,2016-06-20 11:27:00,603,38,163,577,4,16,6,0,0
30776016407_10153610379081408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153610379081408/?type=3,2016-06-20 10:57:00,74332,997,22135,68192,1795,172,4055,31,87
30776016407_10153610380906408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153610380906408/?type=3,2016-06-20 08:57:00,3424,88,710,2602,11,20,789,1,1
30776016407_10153608009676408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153608009676408/?type=3,2016-06-19 21:48:01,26569,1097,8156,19779,148,90,6545,1,6
30776016407_10153607993206408,What do you think about this project ??,This Run Down Motel Was Abandoned… But What They Transformed It Into Is Pure Genius!,link,https://go24x7.com/XlN4ZMjyR,2016-06-19 21:27:00,434,30,44,395,22,17,0,0,0
30776016407_10153608005316408,"That's a #Chingon sign , a clown shows up in the @tecate_cerveza #payaso @lopezontvland @bryankellen #AmIACkown",Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153608005316408/?type=3,2016-06-19 20:59:00,1326,58,46,1095,14,25,192,0,0
30776016407_10153607218556408,Where does she go next with her career ??,WHOA! Honey Boo Boo Has Certainly Grown Up!,link,https://go24x7.com/8pn8684LJ,2016-06-19 14:27:00,237,82,13,215,4,8,8,1,1
30776016407_10153608009086408,,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153608009086408/?type=3,2016-06-19 13:58:00,22527,1374,13356,18611,310,45,3541,11,9
30776016407_10153587216996408,Tampico ohhh!,Tampico Ohhh!,link,http://www.georgelopez.com/updates/tampico,2016-06-19 12:04:00,388,33,19,366,9,0,13,0,0
30776016407_10153607988431408,Right in the feels... #chingon !!,Boy caught on video sneaking into neighbor's garage to...,link,https://go24x7.com/RB6Pb4l2r,2016-06-19 11:26:00,1147,29,96,990,138,1,2,15,1
30776016407_10153608008326408,Dale Vato #FTP  via @Soren2020,Timeline Photos,photo,https://www.facebook.com/GeorgeLopez/photos/a.96082366407.96915.30776016407/10153608008326408/?type=3,2016-06-19 10:57:00,35630,664,5214,28515,716,49,6338,2,10
30776016407_10153607987151408,Got me... tag someone you know doesn't have a chance to find it...,Experts Claim If You Can Find YOUR NAME In This Puzzle You Have An Above Average Functioning Brain..,link,https://go24x7.com/4rRgyDyWe,2016-06-19 09:26:00,9949,1664,4097,8056,126,25,1732,2,8
