status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
59306617060_10153699579177061,Celebrities and animal activists in the U.S. and China are rallying to stop a Chinese dog meat festival that will lead to the slaughter of thousands of dogs: http://abcn.ws/28Om1v7,Celebrities Square Off Against Chinese Dog Meat Festival,link,http://abcn.ws/28Om1v7,2016-06-22 22:30:00,1139,121,188,585,10,15,2,256,271
59306617060_10153699923662061,WATCH: Chaos erupts as House Speaker Paul Ryan tries to restore order amid Democratic gun control sit-in: abcn.ws/28ORxL1,,video,https://www.facebook.com/GoodMorningAmerica/videos/10153699923662061/,2016-06-22 21:50:05,1117,242,355,824,131,92,39,4,27
59306617060_10153699876912061,"WATCH: House Democrats chant ""No bill, no break."" They plan to stay on the floor until they get a vote on proposals to strengthen background checks and block individuals on the terror watch list and no-fly list from buying guns: http://abcn.ws/28ORxL1",,video,https://www.facebook.com/GoodMorningAmerica/videos/10153699876912061/,2016-06-22 21:14:27,2799,206,298,2344,372,18,43,2,20
59306617060_10153699761817061,WATCH: Tears of joy! Young boy has the BEST reaction to getting tickets to a soccer game.,,video,https://www.facebook.com/GoodMorningAmerica/videos/10153699761817061/,2016-06-22 21:00:00,1617,30,94,1366,225,7,17,2,0
59306617060_10153699750027061,"WATCH: Pedals, the injured black bear who walks upright, is back. He was spotted in a New Jersey town for the first time since winter: http://abcn.ws/28OjAec",,video,https://www.facebook.com/GoodMorningAmerica/videos/10153699750027061/,2016-06-22 20:15:00,7716,411,2098,6065,574,302,75,698,2
59306617060_10153699747282061,"Homeless prom queen finishes high school in 2 years, gets full ride to college. ""I just wake up and do what I gotta do."" http://abcn.ws/28R05UN","Homeless Prom Queen Finishes High School in 2 Years, Gets Full Ride to College",link,http://abcn.ws/28R05UN,2016-06-22 19:51:53,12571,211,730,11015,1316,231,7,2,0
59306617060_10153699568497061,"Two year old bursts into tears after presenting Queen Elizabeth II with flowers when she arrived to open a children's hospital in Liverpool, England.",Timeline Photos,photo,https://www.facebook.com/GoodMorningAmerica/photos/a.82102942060.92078.59306617060/10153699568497061/?type=3,2016-06-22 19:00:00,3057,65,66,2674,177,21,181,4,0
59306617060_10153699566987061,"Family set to inherit gun and ammo stockpile worth millions plans to destroy the weapons 'to send a message.' ""They want these instruments of death to be destroyed. They don't want these weapons out on the street."" http://abcn.ws/28Olcq8","Family Plans to Destroy Stockpile of Inherited Guns and Ammo Worth Millions, Lawyer Says",link,http://abcn.ws/28Olcq8,2016-06-22 18:34:03,3343,498,400,2543,383,234,34,37,112
59306617060_10153699510747061,"Father spends $900 to buy full-page ad in Idaho newspaper seeking a wife for his son. ""If you voted for Obama or plan to vote for Hillary you are not for me."" http://abcn.ws/28UFFWX",Dad Buys Full-Page $900 Newspaper Ad Seeking a Wife for His Son,link,http://abcn.ws/28UFFWX,2016-06-22 18:01:05,97,19,15,60,0,10,26,0,1
59306617060_10153699378632061,WATCH: Cool video captures lightning strike in Maryland.,,video,https://www.facebook.com/GoodMorningAmerica/videos/10153699378632061/,2016-06-22 17:30:00,801,27,93,653,9,137,1,1,0
59306617060_10153699338532061,"Facebook founder Mark Zuckerberg puts tape over his webcam, a practice recommended by security experts as another defense against hackers: http://abcn.ws/28O7nI1",Mark Zuckerberg Puts Tape Over His Webcam,link,http://abcn.ws/28O7nI1,2016-06-22 17:00:00,883,97,293,840,21,20,1,0,1
