status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
122044727596_10154144356317597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154144356317597/?type=3,2016-06-24 20:45:01,2900,137,890,2369,27,7,497,0,0
122044727596_10154141741337597,,Kupid Comedy,video,https://www.facebook.com/KupidComedy/videos/472743146223531/,2016-06-24 08:55:00,1079,82,1,857,11,13,197,1,0
122044727596_10154141740852597,,7 Important Differences Between Porn Sex Vs. Real Life Sex,link,http://octopusviral.com/2016/06/23/important-differences-between-porn-sex-vs-real-life-sex-1,2016-06-24 08:24:00,114,3,8,108,1,2,3,0,0
122044727596_10154141740727597,,Ever Notice You Get Two Choices When Answering A Call On Your iPhone? This Is Why.,link,http://viralldose.com/182509-1643-gest-2,2016-06-24 05:50:00,138,11,16,130,2,0,6,0,0
122044727596_10154140629557597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154140629557597/?type=3,2016-06-23 20:45:00,11266,989,2820,9561,70,10,1625,0,0
122044727596_10154140334137597,,10 Things Every Guy Notices About A Girl First,link,http://walkingviral.com/199935-1643-gest-2,2016-06-23 19:30:00,33,2,4,33,0,0,0,0,0
122044727596_10154140333252597,,Kupid Comedy,video,https://www.facebook.com/KupidComedy/videos/479974788833700/,2016-06-23 19:00:00,1383,196,0,1000,3,65,309,5,1
122044727596_10154139103872597,"Presale for the Gucci Mane & Friends concert is up now. Click the link and use the code below to get tickets.

http://smarturl.it/GuccisHomePresale",Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154139103872597/?type=3,2016-06-23 11:41:54,90,20,28,86,4,0,0,0,0
122044727596_10154136852142597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154136852142597/?type=3,2016-06-22 20:45:00,6322,240,1883,5227,26,13,1055,0,1
122044727596_10154134869772597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154134869772597/?type=3,2016-06-21 20:45:01,6952,231,1639,6214,107,4,625,2,0
122044727596_10154129830652597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154129830652597/?type=3,2016-06-19 20:45:01,7251,619,5050,6563,33,98,555,1,1
122044727596_10154127267137597,"Gucci Mane & Friends. Fox Theater. 7/22. Tickets on sale this Friday.

http://ev10.evenue.net/cgi-bin/ncommerce3/SEGetEventList?groupCode=GUC&linkID=fta&shopperContext=&caller=&appCode=",Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154127267137597/?type=3,2016-06-18 21:22:14,513,119,270,481,25,7,0,0,0
122044727596_10154125901292597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154125901292597/?type=3,2016-06-18 20:45:00,2541,119,788,2240,25,3,273,0,0
122044727596_10154127017777597,ATL I'm back and I'm bringing my friends with me. Tickets go on sale this Friday. More info coming soon.,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154127017777597/?type=3,2016-06-18 19:52:25,228,16,22,214,12,0,2,0,0
122044727596_10154123082497597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154123082497597/?type=3,2016-06-17 20:45:00,3174,82,955,2618,34,1,519,2,0
122044727596_10154118936892597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154118936892597/?type=3,2016-06-15 20:53:10,8957,396,2928,7530,31,23,1372,1,0
122044727596_10154116390622597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154116390622597/?type=3,2016-06-14 20:45:01,13406,842,4821,11667,61,9,1668,1,0
122044727596_10154113938467597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154113938467597/?type=3,2016-06-13 20:45:00,5122,771,1170,4415,23,4,666,13,1
122044727596_10154111990117597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154111990117597/?type=3,2016-06-12 20:45:01,7067,532,1744,6243,74,10,735,1,4
122044727596_10154108718222597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154108718222597/?type=3,2016-06-11 20:45:00,13296,228,1951,11827,81,18,1369,1,0
122044727596_10154106632067597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154106632067597/?type=3,2016-06-10 20:45:01,5432,145,1260,5019,57,7,349,0,0
122044727596_10154097310567597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154097310567597/?type=3,2016-06-07 10:30:00,11751,873,3288,10428,155,13,1146,3,6
122044727596_10154094887162597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154094887162597/?type=3,2016-06-06 10:30:01,13078,1266,6213,11678,108,9,1280,0,3
122044727596_10154092734877597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154092734877597/?type=3,2016-06-05 10:30:00,8485,673,3681,7398,41,21,1023,2,0
122044727596_10154091058067597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154091058067597/?type=3,2016-06-04 10:30:00,22779,1154,10366,20411,131,21,2212,2,2
122044727596_10154087243882597,,Timeline Photos,photo,https://www.facebook.com/guccimane/photos/a.124574772596.138095.122044727596/10154087243882597/?type=3,2016-06-02 14:56:27,10003,179,3107,9211,89,4,694,1,4
