status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
156794164312_10154286497469313,"DYK the landlord of the Leaky Cauldron created a new brand of beer in honor of then Minister of Magic, Ulick Gamp, for his support in keeping its location hidden in London? Learn why J.K. Rowling chose this special spot for witches and wizards to let off steam on Pottermore. #FactFriday",The Leaky Cauldron,link,https://www.pottermore.com/writing-by-jk-rowling/the-leaky-cauldron,2016-06-24 10:00:00,5097,26,85,4815,233,48,1,0,0
156794164312_10154285622364313,,Pottermore,link,https://static.pottermore.com/assets/img/social/FB_Bowtruckle_English.gif,2016-06-23 10:21:49,12458,121,0,11356,821,250,28,2,1
156794164312_10154285342734313,,Fantastic Beasts Movie,video,https://www.facebook.com/fantasticbeastsmovie/videos/1128043417254149/,2016-06-23 08:02:43,22741,979,0,18334,3576,800,22,3,6
156794164312_10154284262594313,,Fantastic Beasts Movie,video,https://www.facebook.com/fantasticbeastsmovie/videos/1127658253959332/,2016-06-22 20:49:10,18019,507,0,16059,1570,325,33,12,20
156794164312_10154284037384313,We're live with some of your favorite social media creators and they are answering your questions now! #FantasticBeasts #vidcon2016,Fantastic Beasts Live Q&A with Social Media Creators at VidCon...,video,https://www.facebook.com/harrypottermovie/videos/10154284037384313/,2016-06-22 19:59:08,68890,24946,4016,44314,20509,2167,1097,270,533
156794164312_10154283274104313,The live Q&A with #FantasticBeasts' amazing social creators is about to start HERE. Stay tuned! #vidcon2016,Timeline Photos,photo,https://www.facebook.com/harrypottermovie/photos/a.422515109312.180796.156794164312/10154283274104313/?type=3,2016-06-22 19:55:00,3815,51,384,3576,201,35,2,1,0
156794164312_10154281319559313,Our live Q&A starts tonight at 6pm PT/9pm ET. Share your excitement for #FantasticBeasts and ask your questions now to hear from some of your favorite social creators. #vidcon2016,Timeline Photos,photo,https://www.facebook.com/harrypottermovie/photos/a.422515109312.180796.156794164312/10154281319559313/?type=3,2016-06-22 11:01:10,3725,75,267,3478,195,48,3,1,0
156794164312_10154278489684313,"How did Rupert Grint feel about having to throw up slugs? 

""There were all these different flavors of slime! There was chocolate, peppermint, lemon, orange...and they tasted really nice!""",media.giphy.com,link,https://media.giphy.com/media/3o6gEbVTJdLmbU2FdC/giphy.gif,2016-06-21 14:00:00,57748,514,1263,51641,1755,130,4177,33,12
156794164312_10154279950969313,,Fantastic Beasts Movie,photo,https://www.facebook.com/fantasticbeastsmovie/photos/a.985597764832049.1073741828.881729071885586/1126588860732938/?type=3,2016-06-21 08:02:40,3849,49,0,3522,257,64,4,2,0
156794164312_10154278224489313,,Fantastic Beasts Movie,photo,https://www.facebook.com/fantasticbeastsmovie/photos/a.1126266680765156.1073741830.881729071885586/1126266690765155/?type=3,2016-06-20 14:07:40,4681,57,0,4311,285,75,5,3,2
156794164312_10154277793029313,The Harry Potter DVD and Blu-Ray covers are getting a brand new makeover! Head over to Pottermore to see the full set: http://bit.ly/HarryPotterDVD,Photos from Harry Potter's post,photo,https://www.facebook.com/harrypottermovie/photos/a.422515109312.180796.156794164312/10154277790579313/?type=3,2016-06-20 11:07:52,16574,311,1004,14976,1243,341,9,4,1
156794164312_10154277392364313,,Fantastic Beasts Movie,photo,https://www.facebook.com/fantasticbeastsmovie/photos/a.985597764832049.1073741828.881729071885586/1125868870804937/?type=3,2016-06-20 08:02:54,40047,709,3,34912,4342,760,28,3,2
