status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
56845382910_10154072337197911,This is major.,Pentagon To Repeal Ban On Transgender Troops,link,http://huff.to/28SZsF5,2016-06-24 22:00:16,61,2,11,56,4,1,0,0,0
56845382910_10154072236512911,What do you think of that?,Bernie Sanders Would Be A Popular Vice Presidential Pick,link,http://huff.to/28SR9sZ,2016-06-24 21:01:25,1534,430,157,1234,191,12,16,9,72
56845382910_10154072137767911,"""Do people think it's not hard enough as it is?""",Mandatory Waiting Periods Are Making Abortions All But Impossible,link,http://huff.to/28SvtBn,2016-06-24 20:02:22,188,100,27,73,3,0,1,24,87
56845382910_10154071997067911,"Older voters favored ""leave"" much more heavily than their younger counterparts.",HUFFPOLLSTER: How Brexit Polls Fared Depends On Which Surveys You Look At,link,http://huff.to/28TBYFk,2016-06-24 19:00:37,48,48,7,36,1,2,1,4,4
56845382910_10154071849707911,"On average, police officers are getting arrested around 1,000 times per year.",Here's How Often Cops Are Arrested For Breaking The Laws They're Paid To Uphold,link,http://huff.to/28SnJNE,2016-06-24 18:01:23,115,42,72,73,1,13,5,3,20
56845382910_10154071767537911,"The unemployment rate could be anywhere from 19 to 42 percent, according to Donald Trump.",Donald Trump Has No Idea What The Unemployment Rate Is,video,https://www.facebook.com/HuffPostPolitics/videos/10154071767537911/,2016-06-24 17:18:29,2560,970,1606,1187,8,138,886,34,308
56845382910_10154071735727911,"Sure, yeah, OK.",Donald Trump's Pretty Sure That Governing Country Is As Easy As Owning A Golf Course,link,http://huff.to/28Wp2y4,2016-06-24 17:00:04,446,200,150,200,1,12,146,18,69
56845382910_10154071664792911,Of course Donald J. Trump is happy about the Brexit results.,Trump Celebrates Brexit By Comparing It To His Movement,video,https://www.facebook.com/HuffPostPolitics/videos/10154071664792911/,2016-06-24 16:31:41,367,177,86,172,3,11,66,14,101
56845382910_10154071571437911,"Our nation's culture of mass incarceration has warped our view on punishing crime, they argue.",Public Defenders Stick Up For Judge In Brock Turner Case,link,http://huff.to/28Tffpn,2016-06-24 16:00:36,93,36,10,48,2,4,1,0,38
56845382910_10154071427332911,"Once again, Trump is looking out for Trump.",Trump Boasts About Making Money Off British Economic Uncertainty,link,http://huff.to/28XPPbL,2016-06-24 15:00:40,542,173,205,228,2,41,15,14,242
