status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
367152833370567_1034160730003104,"For business owners like Maria Solovey, the process is just as meaningful as the final product.",Photo by @maria_solovey,link,http://trib.al/3kgrfEu,2016-06-23 21:30:39,622,3,2,614,5,3,0,0,0
367152833370567_1034112163341294,"""At the end of the day, what you're doing should make you happy."" —Alan Macias",#BeautyBoom by @alannized,video,http://trib.al/TyvfSJJ,2016-06-23 19:30:37,203,6,2,198,3,0,2,0,0
367152833370567_1034047760014401,"""It's not just a way to make money; it's a big school of life."" —Maria Solovey, small business owner from Abinsk, Russia",Photo by @maria_solovey,link,http://trib.al/9v2dmii,2016-06-23 17:30:06,1001,6,5,976,19,6,0,0,0
367152833370567_1034022103350300,It's popsicle weather! What's your favorite summertime treat? 🍉,Photo by @flutterleighla,link,http://trib.al/WNwl4zX,2016-06-23 16:28:12,2075,12,11,2020,44,4,7,0,0
367152833370567_1033965640022613,"""No one should have to hide who they are. I love who I am and what I do."" —Stacey Griffith, a SoulCycle senior founding instructor 🌈",Photo of @staceygnyc by Debbie Hymowitz,link,http://trib.al/g6BPPAq,2016-06-23 14:01:29,635,9,5,625,9,0,1,0,0
367152833370567_1033843400034837,Striking light and lines in Indonesia for #WHParchitecture.,Photo by @ryanibee,link,http://trib.al/XsBQiwj,2016-06-23 09:30:25,177,7,0,171,4,1,0,0,1
367152833370567_1033804330038744,"#DailyFluff
instagram.com/penny_poodle 🐾",Timeline Photos,photo,https://www.facebook.com/instagram/photos/a.372558296163354.88884.367152833370567/1033804330038744/?type=3,2016-06-23 08:01:05,3496,21,23,3356,117,3,20,0,0
367152833370567_1033605713391939,A reflection that requires a double take. #WHParchitecture,Photo by @smmyone,link,http://trib.al/cOf5eAR,2016-06-22 21:30:34,2211,19,10,2169,23,18,1,0,0
367152833370567_1033581340061043,"Music photographers you should know: Reno, Nevada's Heather Hawke (instagram.com/heatherhwk).",Photo of @waterstheband by @heatherhwk,link,http://trib.al/xK4wUYl,2016-06-22 20:31:03,638,9,3,631,5,1,0,0,1
367152833370567_1033519863400524,"""You have to try different styles and change it up from time to time depending on your mood."" —nail artist Eun-Kyung Park #tinycanvas",Photo by @nail_unistella,link,http://trib.al/SaoNno7,2016-06-22 17:30:35,268,7,3,259,5,0,3,0,1
367152833370567_1033448950074282,This German castle = the perfect setting for fantastic daydreams #WHParchitecture,Photo by @sebnero,link,http://trib.al/gaiQunX,2016-06-22 14:30:17,10902,62,131,10350,364,187,1,0,0
367152833370567_1033370783415432,"In the coming month, you'll see a translation button on feed stories and profile bios written in languages different from your own. The Instagram community has grown faster and become more global than we ever imagined. And we're excited that you'll soon be able to understand the full story of a moment, no matter what language you speak.

To learn more about translation on Instagram, check out the Instagram Help Center: https://help.instagram.com/249420315434256",Timeline Photos,photo,https://www.facebook.com/instagram/photos/a.372558296163354.88884.367152833370567/1033370783415432/?type=3,2016-06-22 12:01:01,98,7,5,97,1,0,0,0,0
367152833370567_1033352396750604,"Happy Birthday, Meryl! (We're celebrating with a @tasteofstreep) 🎂",Video by @tasteofstreep,video,http://trib.al/1cGwwgA,2016-06-22 11:24:55,455,9,1,450,5,0,0,0,0
367152833370567_1033277023424808,"""It's about finding shape and form in the everyday landscape."" —Shoair Mavlian, photography curator of the Tate Modern in London (instagram.com/tate) #WHParchitecture",Photo by @mariaserben,link,http://trib.al/nM3OmuK,2016-06-22 09:30:13,1302,11,3,1290,9,3,0,0,0
367152833370567_1033228943429616,"#DailyFluff
instagram.com/celio24/ 🐾",Timeline Photos,photo,https://www.facebook.com/instagram/photos/a.372558296163354.88884.367152833370567/1033228943429616/?type=3,2016-06-22 08:00:47,3706,14,21,3601,76,9,20,0,0
367152833370567_1032943853458125,,App Store,video,https://www.facebook.com/AppStore/videos/10154312045499421/,2016-06-21 21:08:05,70,9,0,69,1,0,0,0,0
367152833370567_1032894693463041,Yoichi Takanashi's time-lapse brings the Milky Way to light.,Video by @yoichi0607,video,http://trib.al/nPx2AQQ,2016-06-21 18:45:07,650,16,18,632,8,10,0,0,0
367152833370567_1032871213465389,Celebrate #WorldGiraffeDay with Marie McGrory's artistic exercise. Try it yourself.,Photo by @closedeyegiraffe,link,http://trib.al/0elr9QB,2016-06-21 17:30:11,670,7,1,665,2,0,0,1,2
367152833370567_1032835963468914,"82 million poses for #OOTD 💃
+ 4 million furballs for #WeeklyFluff 🐶
+ so many more magical moments  
= 500 million strong… and counting ❤️",Timeline Photos,photo,https://www.facebook.com/instagram/photos/a.372558296163354.88884.367152833370567/1032835963468914/?type=3,2016-06-21 16:00:17,932,10,17,890,32,7,1,0,2
367152833370567_1032793453473165,"Hello, world! Meet today's #WeeklyFluff: Pumpkin.",Video by @pumpkin_eyes,video,http://trib.al/0LVd1ae,2016-06-21 14:09:04,572,9,4,550,13,4,2,2,1
367152833370567_1032730103479500,"Today we have 500 million reasons to celebrate, and you're one of them. Thank you from all of us at Instagram. ♥️",,video,https://www.facebook.com/instagram/videos/1032730103479500/,2016-06-21 11:45:51,5185,30,59,4949,143,82,10,0,1
367152833370567_1032700526815791,"The kick stand, reinvented through yoga. How will you spend #InternationalYogaDay?",Photo by @michelle_yogogirls,link,http://trib.al/loNUmnj,2016-06-21 10:30:37,1819,12,21,1761,26,27,3,0,2
367152833370567_1032667190152458,When life gives you lemons ... take a photo! #WHParchitecture 🍋,Photo by @tanrr,link,http://trib.al/YyGyhOG,2016-06-21 09:30:38,311,20,5,304,5,0,2,0,0
367152833370567_1032624786823365,"Today, we're excited to announce our community has grown to more than 500 million Instagrammers — more than 300 million of whom use Instagram every single day. Our community also continues to become even more global, with more than 80 percent living outside of the United States.

 As you've captured and shared the moments happening around you, you've formed incredibly varied and diverse communities. Whether you're an illustrator, a sneakerhead or an astronaut on the International Space Station, every photo and video you share helps bring people closer to friends and interests, broaden perspectives and inspire a sense of wonder. You've made Instagram a place where the everyday and the epic are always within reach. 

Thank you for your creativity, your openness and your passion for sharing your worlds with one another. We can't wait to see what you create next.",,video,https://www.facebook.com/instagram/videos/1032624786823365/,2016-06-21 08:00:01,1328,10,35,1248,43,36,1,0,0
367152833370567_1032604873492023,"#DailyFluff
instagram.com/mathildegram_huf 🐾",Timeline Photos,photo,https://www.facebook.com/instagram/photos/a.372558296163354.88884.367152833370567/1032604873492023/?type=3,2016-06-21 07:00:45,6434,23,40,6146,243,5,40,0,0
367152833370567_1032435120175665,"""There's something about the repurposing of buildings, the different life cycles that a structure has over time."" —#WHParchitecture guest curator Shoair Mavlian",Photo by @inspirationgr,link,http://trib.al/UxeFQtQ,2016-06-20 22:30:13,2393,7,12,2346,25,21,1,0,0
367152833370567_1032410526844791,"#WHParchitecture asked participants to photograph architecture, taking inspiration from guest curator Shoair Mavlian (instagram.com/shoair_m), photography curator of the Tate Modern museum (instagram.com/tate) in London.

Follow along as we feature some of our favorite submissions throughout the week on @instagram (instagram.com/instagram), and check out more on our blog: blog.instagram.com/post/146234273087/160620-whparchitecture",Timeline Photos,photo,https://www.facebook.com/instagram/photos/a.372558296163354.88884.367152833370567/1032410526844791/?type=3,2016-06-20 21:36:32,145,2,1,142,3,0,0,0,0
367152833370567_1032363763516134,Kicking off the #weekendmusic roundup with a waltz through the woods at @fireflymusicfestival,Photo by @ebrownout,link,http://trib.al/ABM67h6,2016-06-20 20:30:34,1774,8,5,1739,22,11,1,1,0
367152833370567_1032363583516152,"""Taking photos is like a dance."" –art professor José Toro",Photo by @josetoro.0,link,http://trib.al/xacvRRW,2016-06-20 20:30:09,1344,9,8,1325,11,0,8,0,0
367152833370567_1032320446853799,It takes vigilance to catch a cat and mouse scenario play out in real life.,Photo by @j_macpost,link,http://trib.al/QnvKbYS,2016-06-20 18:45:12,1015,8,5,998,11,5,1,0,0
367152833370567_1032289136856930,A stranger ✔ An open space ✔ The right moment ✔ = everything José Toro needs for a street portrait,Photo by @josetoro.0,link,http://trib.al/colFrzf,2016-06-20 17:30:43,997,4,5,991,4,2,0,0,0
367152833370567_1032159493536561,Taking surfing to new extremes with River Covey. 🏄  #InternationalSurfingDay,Photo illustration by @rivercovey and photo by @_drew_martin_,link,http://trib.al/IsqeKeS,2016-06-20 12:30:22,734,14,6,724,8,0,2,0,0
367152833370567_1032003873552123,"#DailyFluff
instagram.com/iamthegreatwent 🐾",Timeline Photos,photo,https://www.facebook.com/instagram/photos/a.372558296163354.88884.367152833370567/1032003873552123/?type=3,2016-06-20 07:00:12,3481,39,22,3392,51,27,9,0,2
367152833370567_1031843533568157,Congrats to the Cleveland Cavaliers on winning the NBA championship!,Photo by @nba,link,http://trib.al/ura49OE,2016-06-19 22:17:17,1551,24,26,1509,30,3,5,2,2
367152833370567_1031810526904791,"""It's when you put nice things into your soul that you understand how to dress well."" —Sophie Fontanel, via Who What Wear",This 54-Year-Old French Woman Has the Most Stylish Instagram,link,http://trib.al/hnL2twl,2016-06-19 20:30:07,362,11,11,361,1,0,0,0,0
367152833370567_1031773680241809,"""The most important inspiration for a photographer is the moment when beautiful little things happen."" —Brazil-based photographer Sergio Ranalli",Photo by @sergio_ranalli,link,http://trib.al/TKlNY1f,2016-06-19 18:45:08,3080,21,18,2985,76,14,4,1,0
367152833370567_1031744910244686,"Too cute: a pug that channels Harry Potter, Totoro and Pikachu. 

(via DesignTAXI)",Humorous Instagram Account Doodles Adorable Tiny Pug Into Cute Characters - DesignTAXI.com,link,http://trib.al/0h4QNSr,2016-06-19 17:30:12,281,3,2,279,2,0,0,0,0
367152833370567_1031714776914366,"Parents are the best at improvising. 👍🏼 

(via BuzzFeed)",25 Parenting Hacks On Instagram That Are Borderline Genius,link,http://trib.al/xPfpOtr,2016-06-19 16:30:10,436,10,10,426,3,1,6,0,0
367152833370567_1031614390257738,"Rock on, dads. #FathersDay 🎸

(via AUX)",Rock dads show off their gear on endearing Instagram account,link,http://trib.al/fufz6mj,2016-06-19 13:30:30,319,10,0,312,3,2,2,0,0
367152833370567_1031588696926974,"""Fatherhood is a miracle and an honor. To be loved and greeted with gratitude from your child for this gift is fulfilling."" —Benny Harlem",Photo by @bennyharlem,link,http://trib.al/Rw57zDt,2016-06-19 12:30:06,1015,12,12,971,13,6,25,0,0
367152833370567_1031493610269816,"Happy Father's Day to the dads who would do anything to make their kids laugh.

Video by Cooking with Lemon",Video by @cookingwithlemon,video,http://trib.al/EE3AXep,2016-06-19 09:00:12,647,9,10,632,7,1,7,0,0
367152833370567_1031170440302133,🍩🍣  (via Bustle),"This Doughnut-Shaped Sushi Just Won Instagram This Week, So Everyone Else Can Go Home",link,http://trib.al/yrdF4EB,2016-06-18 20:30:08,1783,41,19,1735,28,19,1,0,0
367152833370567_1031128670306310,"""Yoga is an ongoing process. I love that it can never truly be mastered."" —Michelle Thomas, one-half of YoGoGirls",Video by @michelle_yogogirls,video,http://trib.al/Lkgoi0r,2016-06-18 18:45:07,275,7,2,272,3,0,0,0,0
367152833370567_1031103903642120,Stunt woman Caitlin Dechelle kicks butt and flips around in our #BoomerangOfTheWeek.,#Boomerang by @caitlindechelle,video,http://trib.al/yAzlJow,2016-06-18 17:30:24,316,6,4,314,1,1,0,0,0
367152833370567_1031062166979627,"Every week, we look back and highlight some of our favorite emerging voices across the globe. For more photos, videos and news from around the community, visit the Instagram blog: blog.instagram.com/post/146116522827/160618-twoi240",Timeline Photos,photo,https://www.facebook.com/instagram/photos/a.372558296163354.88884.367152833370567/1031062166979627/?type=3,2016-06-18 15:30:12,194,2,1,194,0,0,0,0,0
367152833370567_1031009360318241,Can you believe this gorgeous dress was made out of toilet paper?,Photo by @vanilla_o9,link,http://trib.al/xrRaxkk,2016-06-18 13:30:29,1756,17,10,1674,20,57,5,0,0
367152833370567_1030986536987190,Josh Horton - Juggler turned his lifelong passion into a full-time job.,Video by @jugglinjosh,video,http://trib.al/FcHpYCo,2016-06-18 12:30:21,307,8,4,305,1,1,0,0,0
367152833370567_1030956813656829,"""Visually, I wanted to try to capture something a little different from everyone else,"" says 27-year-old photographer Chona Kasinger (instagram.com/chonakasinger) of her portrait of singer Jillian Hervey of Lion Babe. ""I thought a star cross filter would work well with Lion Babe's vibe live, which is really soulful and super fun to photograph. She's got killer dance moves!""

Follow along on @music as we feature more of our favorite submissions to #MHPpop — and submit your own images inspired by pop music by adding the hashtag to photos and videos taken this month.",Photo by @chonakasinger,link,http://trib.al/Lv8AF15,2016-06-18 11:30:31,613,7,3,607,6,0,0,0,0
367152833370567_1030905950328582,"Escape to these national parks without breaking a sweat. 🌄

(via ManMade)",21 National Parks You Should Be Following on Instagram Right Now,link,http://trib.al/Vb3zc9T,2016-06-18 10:00:31,536,13,10,534,2,0,0,0,0
367152833370567_1030856627000181,"#DailyFluff 
instagram.com/spartacuspup 🐾",Timeline Photos,photo,https://www.facebook.com/instagram/photos/a.372558296163354.88884.367152833370567/1030856627000181/?type=3,2016-06-18 08:00:44,6043,21,54,5748,158,6,130,0,1
367152833370567_1030694200349757,"The night sky comes alive with stunning star trails.

Photo by Matthew Newman Photography",Photo by @matthewnewmanphotography,link,http://trib.al/ZWlaWWs,2016-06-18 00:02:29,3259,19,28,3162,56,40,1,0,0
367152833370567_1030594720359705,"""Beauty is all about self-love. Wear what makes you happy. Do your makeup however you want. If you feel beautiful inside and out — that is what matters."" —Soothing Sista #BeautyBoom","Instagram video by Instagram • Jun 17, 2016 at 11:59pm UTC",video,http://trib.al/pOSlvA0,2016-06-17 19:31:11,381,7,3,379,1,0,1,0,0
367152833370567_1030572227028621,"Flying doggie!

Photo by @cody_shannimal_",Photo by @cody_shannimal_,link,http://trib.al/z0gNNuu,2016-06-17 18:30:05,7774,33,39,7500,158,71,42,3,0
367152833370567_1030553263697184,Looking back at Earth with astronaut Tim Peake 🌎 🚀,Photo by @astro_timpeake and @europeanspaceagency,link,http://trib.al/Iu89BkG,2016-06-17 17:30:33,3483,8,37,3353,70,59,0,0,1
367152833370567_1030367897049054,"Leticia Ramos (instagram.com/letizilla) captured a bright pink bubble right before it popped for her playful entry to this month's hashtag project, #MHPpop.",Photo by @letizilla,link,http://trib.al/ZmpGbeV,2016-06-17 11:34:40,756,10,1,756,0,0,0,0,0
367152833370567_1030323307053513,"Weekend Hashtag Project: #WHParchitecture

The goal this weekend is to photograph architecture, and will be curated by Shoair Mavlian (instagram.com/shoair_m), photography curator of the Tate Modern museum (instagram.com/tate) in London, which is celebrating the opening of its new building, the Switch House, today.

""Architecture is present everywhere in our everyday surroundings — from cutting-edge museum buildings and towering glass office blocks to bus stops, schools and sports stadiums,"" says Shoair. ""The world looks very different if we stop, rethink (and photograph!) the everyday examples which surround us."" 

Here is how Shoair says to get started:

Focus on the different ways buildings and landmarks affect you. ""Architectural structures play an important role in our everyday lives, from the private spaces we share with family to communal spaces we work or study in to shared public spaces we use to gather and come together,"" says Shoair.

Step back to show buildings within the context of their landscapes and surroundings (whether a skyscraper towering over an urban skyline or a thatched-roof house in the middle of an open field).

Don't forget to go inside the spaces you photograph to capture interesting details in walls, doorways and stairwells — as well as the people that inhabit or utilize the space.

PROJECT RULES: Please add the #WHParchitecture hashtag only to photos and videos taken over this weekend and only submit your own visuals to the project. If you include music in your submissions, please only use music to which you own the rights. Any tagged visual taken over the weekend is eligible to be featured next week. 

For more examples and inspiration, check out the Instagram blog: blog.instagram.com/post/146063606777/160617-whparchitecture",Photo of @tate by @freepy,link,http://trib.al/6LeIvnh,2016-06-17 10:29:10,203,6,1,199,4,0,0,0,0
367152833370567_1030244200394757,"#DailyFluff
instagram.com/bowtie_buster 🐾",Timeline Photos,photo,https://www.facebook.com/instagram/photos/a.372558296163354.88884.367152833370567/1030244200394757/?type=3,2016-06-17 08:00:37,5101,15,34,4932,151,14,3,0,1
367152833370567_1029914193761091,"""It means a lot to be part of the national team,"" Miguel Layún says. ""This is the dream of everyone who plays football.""",Video by @miguel_layun,video,http://trib.al/lL1rNLD,2016-06-16 19:30:08,316,12,2,314,2,0,0,0,0
367152833370567_1029876147098229,Graphic designer Mustaali Raj celebrates the #30DaysOfRamadan with a daily animation.,Video by @mraj,video,http://trib.al/D8baQOA,2016-06-16 17:31:19,293,8,2,292,0,0,0,1,0
367152833370567_1029849733767537,Fun fact: sea turtles can hold their breath for up to 7 hours. Happy World Sea Turtle Day! 🐢,Photo by @zeroeye,link,http://trib.al/m0VXWYi,2016-06-16 16:30:36,5890,23,100,5662,157,69,1,1,0
367152833370567_1029712793781231,"For Andrea Mohin, capturing dance is like ""sports photography in the dark."" 💃",Photo of @nycballet dancers by @andrea_mohin,link,http://trib.al/8324GDB,2016-06-16 12:30:39,912,11,6,890,14,8,0,0,0
