status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
75932763901_10155077668048902,What do you think of his moniker?!,'Little Women: LA' Star Briana Renee Shares First Pic of Her Son — Find Out His Name,link,http://bit.ly/28V1wjO,2016-06-24 23:30:00,1,0,0,1,0,0,0,0,0
75932763901_10155076741673902,"""I think when you say no, down the line it will be a better decision."" She's one of the sexiest women in Hollywood – but did you know this 27-year-old bombshell is still a VIRGIN! –> http://bit.ly/1U8JS7P",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155076741673902/?type=3,2016-06-24 23:00:01,41,3,0,38,3,0,0,0,0
75932763901_10155076736913902,"CHANGING FACE! Khloé Kardashian stepped out looking completely different, and fans blame plastic surgery! See the shocking transformation –> http://bit.ly/1Wg2SX5",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155076736913902/?type=3,2016-06-24 22:30:01,125,11,5,122,2,1,0,0,0
75932763901_10155077561573902,"Congratulations, Candace Cameron Bure! Get the exciting news (via Closer Weekly) —> http://bit.ly/28QhMjy",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077561573902/?type=3,2016-06-24 22:00:00,197,3,3,191,6,0,0,0,0
75932763901_10155076586073902,Her sister is worth half a BILLION dollars – but she is a homeless former prostitute! Find out who –> http://bit.ly/2923iyg,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155076586073902/?type=3,2016-06-24 21:30:00,66,19,3,60,1,3,0,2,0
75932763901_10155077565618902,Melissa McCarthy doesn't look like this anymore! See the dramatic weight loss transformation that has fans everywhere SPEECHLESS! (via Closer Weekly) —> http://bit.ly/247EyHx,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077565618902/?type=3,2016-06-24 21:00:00,79,1,1,73,6,0,0,0,0
75932763901_10155077686513902,ON AGAIN?! This couple just started rekindling an old flame —> http://bit.ly/292M7fY,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077686513902/?type=3,2016-06-24 20:30:00,88,3,1,85,0,3,0,0,0
75932763901_10155076652683902,"""He was 16 and I was 23. It was before he got real heavy with Britney."" We had NO IDEA that Justin Timberlake was linked to this very famous MUCH older woman when he was just a teen! –> http://bit.ly/201UGt9",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155076652683902/?type=3,2016-06-24 20:00:00,505,4,4,480,20,5,0,0,0
75932763901_10155076705528902,CONGRATS! The gender of  Megan Fox's third baby has been revealed! Click here to find out what she's having —> http://bit.ly/28W5lVo,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155076705528902/?type=3,2016-06-24 19:30:00,154,4,1,148,7,0,0,0,0
75932763901_10155077683233902,WOW! This sexy 21-year-old is dating a famous 39-year-old father —> http://bit.ly/28WE5rc,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077683233902/?type=3,2016-06-24 19:00:00,37,21,0,33,0,4,0,0,0
75932763901_10155077646908902,CONGRATS! Click here to find out who welcomed twin boys —> http://bit.ly/28WNcXa,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077646908902/?type=3,2016-06-24 18:30:00,573,25,20,533,33,6,0,1,0
75932763901_10155077639473902,SHE POPPED! See which Hollywood star just showed off her huge baby bump! —> http://bit.ly/28TkFQ1,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077639473902/?type=3,2016-06-24 18:00:00,77,1,1,75,2,0,0,0,0
75932763901_10155077586553902,BACK TOGETHER? See which former couple is giving things another go —> http://bit.ly/292M7fY,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077586553902/?type=3,2016-06-24 17:30:00,218,19,4,206,7,0,1,2,2
75932763901_10155077417513902,"SEXY! This famous mother cannot stop sharing racy photos of herself — and if you think this is revealing, JUST WAIT until you see the rest: http://bit.ly/28Syh1F",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077417513902/?type=3,2016-06-24 17:00:00,85,12,1,82,0,3,0,0,0
75932763901_10155077350403902,IT'S ON! Calvin Harris just exposed a BIG secret about Taylor Swift — and what he revealed could send her new boyfriend running for the hills: http://bit.ly/28RYWGZ,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077350403902/?type=3,2016-06-24 16:30:00,108,10,2,104,1,1,0,0,2
75932763901_10155077379338902,HOTTIE ALERT! This sexy young star left almost NOTHING to the imagination in her bikini —> http://bit.ly/28SDYLr,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077379338902/?type=3,2016-06-24 16:00:00,79,8,0,74,4,1,0,0,0
75932763901_10155077221618902,"She looks COMPLETELY different after going under the knife for a nose job, chin implant, and fat injections! 😮 See who debuted her ""new face"" —> http://bit.ly/28WxED4",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077221618902/?type=3,2016-06-24 15:30:00,151,63,4,137,4,8,1,1,0
75932763901_10155077190793902,THAT SMILE! This famous mommy got her babies all dolled up — wait until you see her beautiful daughter! --> http://bit.ly/1V2ppSO,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077190793902/?type=3,2016-06-24 15:00:00,68,2,1,62,6,0,0,0,0
75932763901_10155077142283902,We LOOOOVE his name! What do you think?,'Little Women: LA' Star Briana Renee Shares First Pic of Her Son — Find Out His Name,link,http://bit.ly/28V1wjO,2016-06-24 14:30:00,491,23,19,468,21,0,2,0,0
75932763901_10155077097558902,TWINS! Teen Mom 2 star Chelsea Houska's daughter is becoming her SPITTING IMAGE — and this photo proves it: http://bit.ly/28TljOF,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077097558902/?type=3,2016-06-24 14:00:00,338,3,4,325,13,0,0,0,0
75932763901_10155077104928902,"Just weeks after calling it quits with Wilmer Valderrama, Demi Lovato went OFF on social media — and you'll be shocked when you see what she said —> http://bit.ly/28SOnEN",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155077104928902/?type=3,2016-06-24 13:30:00,238,8,10,228,5,3,1,1,0
75932763901_10155076899723902,THE CLAWS ARE OUT! Blac Chyna has strict rules for Kim Kardashian West to follow at her upcoming wedding — and now we wonder if she'll even show up: http://bit.ly/28Scqpz,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155076899723902/?type=3,2016-06-24 13:00:00,21,3,1,20,1,0,0,0,0
75932763901_10155076870543902,"BABY BOMBSHELL: Just days after setting a date for their wedding, Blac Chyna and Rob Kardashian share HUGE baby news! —> http://bit.ly/28SbvFz",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155076870543902/?type=3,2016-06-24 12:30:00,658,26,5,626,21,3,1,1,6
75932763901_10155076858758902,"Just two months after welcoming Baby No. 2, Kelly Clarkson has announced more exciting news! Get the details (via Closer Weekly) —> http://bit.ly/294Np8Q",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155076858758902/?type=3,2016-06-24 12:00:00,337,7,6,322,14,1,0,0,0
75932763901_10155076750743902,WHOOPS! Megan Fox's dad accidentally revealed the gender of baby No. 3! Find out what she's having —> http://bit.ly/28W5lVo,Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155076750743902/?type=3,2016-06-24 11:30:01,697,21,9,671,12,5,8,1,0
75932763901_10155076583363902,"CONGRATULATIONS! Just two months after Lindsay Lohan's engagement news surfaced, the former child star makes a MAJOR announcement —> http://bit.ly/28QlJVJ",Timeline Photos,photo,https://www.facebook.com/InTouchWeekly/photos/a.10150258561013902.384777.75932763901/10155076583363902/?type=3,2016-06-24 11:00:00,367,25,3,351,15,1,0,0,0
