status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
100827133412869_606151206213790,Here's a taste of the Mechanic Resurrection trailer. Full trailer will post tomorrow.,,video,https://www.facebook.com/JasonStatham/videos/606151206213790/,2016-06-22 13:54:18,66150,2284,6675,59687,4519,1876,64,3,1
100827133412869_606150719547172,Here's a taste of Mechanic Resurrection trailer. Full trailer tomorrow.,,video,https://www.facebook.com/JasonStatham/videos/606150719547172/,2016-06-22 13:52:44,30211,1110,1735,27488,1979,705,36,1,2
100827133412869_605076952987882,Finally got to meet one the greatest action stars the world has ever seen. The legend.....Jackie Chan!,Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/605076952987882/?type=3,2016-06-19 14:17:10,2329534,12571,24248,2239007,69279,18819,2181,128,120
100827133412869_605048209657423,"Tyre change.
@AudiSport #lemans24",Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/605048209657423/?type=3,2016-06-19 12:15:27,106333,617,990,103331,2123,816,50,6,7
100827133412869_605044516324459,"Tom Kristensen known as Mr Le Mans has the most wins of any driver at the 24 hour race. He racked up 6 consecutive wins plus 3 others giving him a total of 9!
#lemans24",Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/605044516324459/?type=3,2016-06-19 12:03:58,49719,652,994,47922,1516,254,24,2,1
100827133412869_604955503000027,"My good friend Dietmar Voggenreiter always getting the last laugh.
#lemans24",Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/604955503000027/?type=3,2016-06-19 07:33:38,237775,1279,2057,231138,5567,272,786,10,2
100827133412869_604951503000427,"Oliver Jarvis
Lucas di Grassi
Marcel Fässler
Benoît Treluyer. @AudiSport #lemans24 #LeagueofPerformance",Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/604951503000427/?type=3,2016-06-19 07:25:02,256769,1367,3375,248201,7348,1048,141,16,15
100827133412869_604931513002426,24 Hour Le Mans 2016!,Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/604931513002426/?type=3,2016-06-19 06:18:12,35320,425,518,34087,807,397,26,2,1
100827133412869_597028293792748,"Fast 8 is now underway!
#F8",Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/597028293792748/?type=3,2016-05-27 12:28:13,1230894,13338,24245,1168773,39968,20780,1150,105,110
100827133412869_591648767664034,Massive respect to Goldie for his musical brilliance over the years and for my long awaited sweatshirt. Cheers pal!,Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/591648767664034/?type=3,2016-05-12 00:08:35,615762,5334,7970,592187,21150,1978,371,36,40
100827133412869_589136631248581,Thanks to everyone at @RalphLauren for a great night at the Met Ball 2016.,Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/589136631248581/?type=3,2016-05-04 12:18:52,879348,6810,8974,849993,24521,4152,346,208,126
100827133412869_577787849050126,"New LG G5 Commercial. #LG #G5 #PlayMore
https://www.facebook.com/LGMobile/videos/1181014081909910",LG Mobile,video,https://www.facebook.com/LGMobile/videos/1181014081909910/,2016-04-01 07:48:38,329507,13159,23,292273,12305,2752,22102,42,32
100827133412869_576915139137397,"Here's a little look at my new project with LG Mobile, launching soon. I'll post the full commercial tomorrow. #LG #G5 #PlayMore",Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/576915139137397/?type=3,2016-03-30 22:55:35,23691,1918,365,22488,568,63,565,3,3
100827133412869_575639372598307,"Excited to share the first look at my new project with LG Mobile. I'll post the full commercial on April 1.
 https://www.facebook.com/LGMobile/videos/1176336825710969/.",LG Mobile,video,https://www.facebook.com/LGMobile/videos/1176336825710969/,2016-03-28 21:46:38,11786,535,0,10890,406,61,425,2,1
100827133412869_566963046799273,,Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/566963046799273/?type=3,2016-03-09 17:32:19,1374229,10130,16810,1335806,31617,5689,968,59,90
100827133412869_566960226799555,,Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/566960226799555/?type=3,2016-03-09 17:29:24,459722,3234,3008,447422,10175,1756,336,18,15
100827133412869_566958710133040,The car we took for a burn! Audi R8 LMS.,Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/566958710133040/?type=3,2016-03-09 17:27:13,260704,2128,3201,253781,4606,2114,141,36,26
100827133412869_566956053466639,"Getting some racing tips from Frank Schmickler and my good friend Dietmar Voggenreiter at the race track over in Ingolstadt. It was a pleasure to also meet Dr Ulrich and the Audi  Motorsport design team. Under his leadership, Audi has won the 24 hours of Le Mans thirteen times!",Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/566956053466639/?type=3,2016-03-09 17:20:31,182410,1340,2297,177936,3718,642,106,3,5
100827133412869_565857646909813,Great to see my good friend Jet Li in China over this last week. One of the greatest martial artists of all time. Massive respect and inspiration.,Timeline Photos,photo,https://www.facebook.com/JasonStatham/photos/a.108463682649214.17080.100827133412869/565857646909813/?type=3,2016-03-06 05:50:04,1875178,17832,23980,1822724,41043,9348,1862,98,103
