status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5170395767_10154237735640768,adorable,Timeline Photos,photo,https://www.facebook.com/jenniferlopez/photos/a.207245160767.130755.5170395767/10154237735640768/?type=3,2016-06-23 17:00:00,23203,336,552,21668,848,32,653,1,1
5170395767_10154237727020768,get it!!,"This Woman Can Probably Lift More Than You, And She's 80 Years Old",link,https://go24x7.com/yrRQGdk8p,2016-06-23 13:00:00,6512,138,221,6117,143,237,10,1,4
5170395767_10154237734285768,<3,Timeline Photos,photo,https://www.facebook.com/jenniferlopez/photos/a.207245160767.130755.5170395767/10154237734285768/?type=3,2016-06-23 10:00:00,69010,554,682,65704,2535,661,99,6,6
5170395767_10154233772620768,hilarious,Some of the dumbest questions googled in every state (50 Photos),link,https://go24x7.com/JJ6JrwX2k,2016-06-22 13:00:00,4777,102,123,4629,66,8,69,3,2
5170395767_10154219552030768,#wordstoliveby,Timeline Photos,photo,https://www.facebook.com/jenniferlopez/photos/a.207245160767.130755.5170395767/10154219552030768/?type=3,2016-06-21 17:00:00,22863,200,1077,22222,576,14,11,38,2
5170395767_10154219544435768,too cute,Little Boy Was Chased By A Tiny Horse. When He Finally Turns Around? I Can't Stop Smiling!,link,https://go24x7.com/Bv6w04G5d,2016-06-21 13:00:00,8424,149,395,7928,358,13,124,0,1
5170395767_10154219551425768,#wordstoliveby,Timeline Photos,photo,https://www.facebook.com/jenniferlopez/photos/a.207245160767.130755.5170395767/10154219551425768/?type=3,2016-06-21 10:10:10,78626,535,21129,74714,3696,172,36,4,4
5170395767_10154219551020768,#wordstoliveby,Timeline Photos,photo,https://www.facebook.com/jenniferlopez/photos/a.207245160767.130755.5170395767/10154219551020768/?type=3,2016-06-20 17:00:00,47178,291,6122,45574,1391,146,18,46,3
5170395767_10154232599625768,Join me LIVE as I answer your #IceAge #CollisionCourse questions. Ask your questions in the comments below!,,video,https://www.facebook.com/jenniferlopez/videos/10154232599625768/,2016-06-20 14:35:57,73840,12764,1570,54307,17979,744,555,88,167
5170395767_10154219550465768,#wordstoliveby,Timeline Photos,photo,https://www.facebook.com/jenniferlopez/photos/a.207245160767.130755.5170395767/10154219550465768/?type=3,2016-06-20 10:00:00,36180,279,6228,34863,1176,120,10,8,3
5170395767_10154219549590768,#wordstoliveby,Timeline Photos,photo,https://www.facebook.com/jenniferlopez/photos/a.207245160767.130755.5170395767/10154219549590768/?type=3,2016-06-19 17:00:00,29106,253,2647,27981,947,34,140,2,2
5170395767_10154219535605768,definitely guilty of these...,You Have Been Doing These Thing Wrong All Your Life. Know How To Correct Them.,link,https://go24x7.com/6rRpJ6xQR,2016-06-19 13:00:00,8312,204,457,8041,108,30,126,4,3
