status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
9899376497_10153559971161498,I watch WWE NXT to see who will set the standard for the next generation of WWE. Check out NXT TakeOver: The End... right now on WWE Network. http://wwe.com/wwenetwork/cena,,video,https://www.facebook.com/johncena/videos/10153559971161498/,2016-06-22 12:56:07,3767,137,139,3656,68,39,4,0,0
9899376497_10153558067236498,,John Cena,photo,https://www.facebook.com/johncena/photos/a.434356821497.234062.9899376497/10153544441466498/?type=3,2016-06-21 15:44:46,5245,491,179,4948,235,46,9,4,3
9899376497_10153557977611498,"Whether it be Luke Gallows, Karl Anderson or AJ Styles, The Champ will take on ANY member of The Club!","John Cena vs. Karl Anderson: Raw, June 20, 2016",video,http://wwe.me/TO8ufb,2016-06-21 15:00:19,58258,955,643,56793,433,247,59,116,610
9899376497_10153557704166498,"I'm excited that you can see ME and Victoria Justice host the FOX Teen Choice Awards LIVE Sunday, July 31st!",John Cena to host the FOX Teen Choice Awards,video,https://www.facebook.com/johncena/videos/10153557704166498/,2016-06-21 13:00:00,9855,227,445,9247,475,29,103,1,0
9899376497_10153557704651498,,Victoria Justice,video,https://www.facebook.com/victoriajustice/videos/10154411367735832/,2016-06-21 12:46:20,2119,83,0,2001,61,3,53,0,1
9899376497_10153554204416498,You can't C(ease and Desist) ME! New shirt available on WWEShop.com!  http://shop.wwe.com/john-cena/,Timeline Photos,photo,https://www.facebook.com/johncena/photos/a.420889266497.203644.9899376497/10153554204416498/?type=3,2016-06-19 17:34:48,18627,759,462,17973,503,38,103,6,4
9899376497_10153553948716498,"The NEW #HLR is available NOW at WWEShop.com. I heard this new design is getting a Pretty Big Reception!

http://shop.wwe.com/john-cena/",Timeline Photos,photo,https://www.facebook.com/johncena/photos/a.420889266497.203644.9899376497/10153553948716498/?type=3,2016-06-19 15:23:03,6044,185,163,5811,179,48,6,0,0
9899376497_10153553355506498,Tonight is the night. Money in the Bank is LIVE only on WWE Network.,Timeline Photos,photo,https://www.facebook.com/johncena/photos/a.420889266497.203644.9899376497/10153553355506498/?type=3,2016-06-19 10:30:07,12477,548,310,12181,209,65,15,3,4
9899376497_10153552308081498,"AJ Styles is good... but he needs to learn the meaning of Hustle, Loyalty and RESPECT!",Timeline Photos,photo,https://www.facebook.com/johncena/photos/a.420889266497.203644.9899376497/10153552308081498/?type=3,2016-06-19 10:00:01,226835,2639,3071,222178,3420,886,247,29,75
9899376497_10153552002686498,"It takes mere seconds to make an impact, AJ Styles has 24 hours. MITB is tomorrow at 8pm ET ONLY on WWE Network.",Timeline Photos,photo,https://www.facebook.com/johncena/photos/a.420889266497.203644.9899376497/10153552002686498/?type=3,2016-06-18 19:00:07,11966,327,221,11660,215,73,14,1,3
