status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5140414979_10150711889719980,"We are all broken, that's how the light gets in!",,status,,2016-06-23 21:00:00,2994,37,245,2866,110,1,1,17,0
5140414979_10150722492244980,LOL this is hilarious!,Parents Are Using Their Sleeping Babies To Compete In The 'Cheerio Challenge',link,https://go24x7.com/qKRLqPARb,2016-06-23 20:00:00,399,7,41,352,5,0,41,0,1
5140414979_10150711825049980,,Timeline Photos,photo,https://www.facebook.com/jordinsparks/photos/a.40042789979.15366.5140414979/10150711825049980/?type=3,2016-06-23 17:00:00,15385,177,1321,14415,178,10,775,6,1
5140414979_10150711861139980,Yassss legs for dayyyyzzzzzz! This is from my Essence Magazine feature last summer! 💃🏽,Timeline Photos,photo,https://www.facebook.com/jordinsparks/photos/a.40042789979.15366.5140414979/10150711861139980/?type=3,2016-06-23 16:00:00,20425,279,156,19118,1042,255,7,3,0
5140414979_10150722373229980,Good reminder that you can get started anywhere!,Celebrities Who Used To Work At McDonald's,link,https://go24x7.com/XlNE8BlGp,2016-06-23 16:00:00,478,8,30,460,12,5,1,0,0
5140414979_10150722461199980,You're gonna love this!! #StraightOuttaOz ❤️ https://www.youtube.com/watch?v=O1YEYOTUxcg,Straight Outta Oz by Todrick Hall,video,https://www.youtube.com/watch?v=O1YEYOTUxcg,2016-06-23 15:20:20,78,8,8,62,16,0,0,0,0
5140414979_10150722459824980,"Oh my goodness, @todrick, thank you so much for calling me to be a part of this incredible project. '#StraightOuttaOz' is much more than an album & 'Water Guns' is so much more than a song. Your heartbeat is in every second of this project & I am honored to be included in your genius! I love youuuuuu! Watch the amazing piece of art that is 'Straight Outta Oz!' ❤️ #waterguns #straightouttaoz",Timeline Photos,photo,https://www.facebook.com/jordinsparks/photos/a.40042789979.15366.5140414979/10150722459824980/?type=3,2016-06-23 15:16:54,1685,19,17,1624,54,6,1,0,0
5140414979_10150721839904980,How did she dooo this?!,Meet the Coffee Artist Who Puts Pop Culture And Animals In Your Cups,link,https://go24x7.com/rdRdA4bQl,2016-06-23 13:00:00,973,12,27,920,17,36,0,0,0
5140414979_10150722315214980,"*HEAVILY MEDITATED* -Let each generation tell its children of your mighty acts; let them proclaim your power. I will MEDITATE on your majestic, glorious splendor & your wonderful miracles. Your awe-inspiring deeds will be on every tongue; I will proclaim your greatness!! -Psalm 145:4-6 🙏🏽🕊🙌🏾🗯",Timeline Photos,photo,https://www.facebook.com/jordinsparks/photos/a.40042789979.15366.5140414979/10150722315214980/?type=3,2016-06-23 09:23:53,4640,59,56,4407,214,17,2,0,0
5140414979_10150711804379980,,Timeline Photos,photo,https://www.facebook.com/jordinsparks/photos/a.40042789979.15366.5140414979/10150711804379980/?type=3,2016-06-23 09:00:01,16137,101,6475,15381,734,16,5,0,1
5140414979_10150711821339980,Love these!,Timeline Photos,photo,https://www.facebook.com/jordinsparks/photos/a.40042789979.15366.5140414979/10150711821339980/?type=3,2016-06-23 08:00:00,20975,174,86,20319,602,39,14,1,0
5140414979_10150722192849980,LBD. #wwjw,Timeline Photos,photo,https://www.facebook.com/jordinsparks/photos/a.40042789979.15366.5140414979/10150722192849980/?type=3,2016-06-22 23:03:39,17337,213,101,16474,741,117,4,0,1
5140414979_10150721837889980,"""It's okay to cry"" hahah Kim K's cry is just as famous as she is :D",18 Life Lessons The Kardashians Actually Taught Us,link,https://go24x7.com/rdRdAYrW6,2016-06-22 22:00:00,347,19,6,336,3,0,7,0,1
5140414979_10150711889644980,Never ruin a good day by thinking of a bad yesterday.  Let it go!,,status,,2016-06-22 21:00:00,1524,26,224,1461,58,5,0,0,0
5140414979_10150722127199980,☀️🔥,Timeline Photos,photo,https://www.facebook.com/jordinsparks/photos/a.40042789979.15366.5140414979/10150722127199980/?type=3,2016-06-22 19:15:42,5310,57,35,4995,273,38,4,0,0
5140414979_10150721836999980,Ummm excuse me? When's the interview? lol,Netflix Will Pay You To Travel The World Instagramming Your Food,link,https://go24x7.com/ER6RvGb2x,2016-06-22 18:00:00,601,36,65,560,20,15,5,0,1
5140414979_10150711877944980,"So in love with this photo - a gorgeous autumn in Nikko, Japan!  Photo by @ rockbelz.",Timeline Photos,photo,https://www.facebook.com/jordinsparks/photos/a.40042789979.15366.5140414979/10150711877944980/?type=3,2016-06-22 17:00:01,18421,175,792,17077,1079,258,6,1,0
5140414979_10150711860809980,Hope everyone is having a great Wednesday so far! <3,Timeline Photos,photo,https://www.facebook.com/jordinsparks/photos/a.40042789979.15366.5140414979/10150711860809980/?type=3,2016-06-22 16:00:00,18684,185,106,17791,805,77,9,1,1
5140414979_10150721836464980,Are you part of the 8%?!,Experts Claim If You Can Find YOUR NAME In This Puzzle You Have An Above Average Functioning Brain..,link,https://go24x7.com/ER6RvWzr9,2016-06-22 13:00:01,3499,545,913,2954,87,9,444,1,4
