status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
67253243887_10154561222633888,How great is our God.,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154561222633888/?type=3,2016-06-21 16:27:07,870117,13902,18703,782404,82896,2890,1112,188,627
67253243887_10154558059303888,I'm a cat. I got 9 lives. Lol,,video,https://www.facebook.com/JustinBieber/videos/10154558059303888/,2016-06-20 11:47:54,283336,9404,13036,236831,19885,1340,24355,844,81
67253243887_10154553309563888,Love it,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154553309563888/?type=3,2016-06-18 16:02:52,593404,5203,5446,542199,48904,613,1408,147,133
67253243887_10154552915723888,Happy bday Scooter Braun . You are lucky you married a Canadian :),,status,,2016-06-18 13:01:00,275871,2586,2411,250879,21054,174,3713,18,33
67253243887_10154550656033888,Bieber bear,Photos from Justin Bieber's post,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154550655873888/?type=3,2016-06-17 16:01:16,529830,8157,15068,471241,53074,929,4403,78,105
67253243887_10154545111908888,Never would have made it without you,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154545111908888/?type=3,2016-06-15 14:07:25,674529,12218,10362,603100,66577,2844,1063,357,588
67253243887_10154538026883888,Let's make a difference. Love,,status,,2016-06-12 17:08:35,433297,5851,11930,392831,38851,434,858,200,123
67253243887_10154537920678888,Afraid of everything I dreamed of. - Blake Kelly,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154537920678888/?type=3,2016-06-12 16:14:55,396073,3100,3148,366640,27272,1617,250,213,81
67253243887_10154532934083888,#PurposeTour back tomorrow in Winnipeg,,video,https://www.facebook.com/JustinBieber/videos/10154532934083888/,2016-06-10 19:56:43,239971,5820,19246,207606,30485,1556,182,98,44
67253243887_10154531755548888,#Justmoji now on Android,Google Play,photo,https://www.facebook.com/GooglePlay/photos/a.291735567629298.1073741828.290133444456177/795996270536556/?type=3,2016-06-10 11:26:07,132169,3911,20,111004,18153,1968,692,253,99
67253243887_10154525943168888,Company music video,Justin Bieber - Company,video,https://youtu.be/gdx7gN1UyX0,2016-06-08 11:09:12,182072,7479,26297,146302,34330,1213,147,44,36
67253243887_10154525888883888,Company Music Video today!!!,,status,,2016-06-08 10:49:09,294985,3963,4017,264562,28313,1740,269,36,65
67253243887_10154525881338888,:),On Air with Ryan Seacrest,link,http://onair.rs/22IZuW5,2016-06-08 10:47:13,122597,1997,0,109936,12063,451,92,14,41
67253243887_10154524564813888,COMPANY video tomorrow,,video,https://www.facebook.com/JustinBieber/videos/10154524564813888/,2016-06-07 22:17:00,248036,5463,21526,211878,33566,2237,264,45,46
67253243887_10154520834278888,,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154520834278888/?type=3,2016-06-06 13:26:48,486752,4142,3013,451466,32880,1692,537,57,120
67253243887_10154515564503888,Get justmoji and see for yourself,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154515564503888/?type=3,2016-06-04 11:30:02,111219,1901,834,101027,9115,128,796,95,58
67253243887_10154515559878888,Rip to the Champ,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154515559878888/?type=3,2016-06-04 11:28:06,316210,2124,3175,295234,8124,264,108,12406,74
67253243887_10154513774043888,Tomorrow #OVOSoundRadio Drake,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154513774043888/?type=3,2016-06-03 17:44:33,141963,1462,1135,127853,13621,181,249,31,28
67253243887_10154512996663888,"#Justmoji
http://apple.co/1Ujo2iz",Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154512996663888/?type=3,2016-06-03 11:06:44,306523,3976,4193,278921,24783,577,1810,261,171
67253243887_10154510776328888,Catch me if you can,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154510776328888/?type=3,2016-06-02 13:07:35,577657,7386,6278,533938,39480,2948,988,104,198
67253243887_10154508758458888,Friday App Store,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154508758458888/?type=3,2016-06-01 18:27:25,185397,2904,2776,164857,15756,306,3731,457,290
67253243887_10154507934388888,Right,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154507934388888/?type=3,2016-06-01 12:49:44,565955,5707,5801,520668,42451,2041,523,90,182
67253243887_10154500620848888,#mycalvins,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154500620848888/?type=3,2016-05-29 17:17:00,707256,55071,35454,596975,80192,19465,7062,708,2625
67253243887_10154500605778888,Congrats to my brother Lewis Hamilton on an amazing victory,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154500605778888/?type=3,2016-05-29 14:01:54,453568,3394,3403,422509,29063,1338,344,43,107
67253243887_10154495688353888,,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154495688353888/?type=3,2016-05-27 13:30:10,1067997,18076,14685,969179,88738,5774,2326,633,1317
67253243887_10154491510503888,"Thanks FOX Teen Choice Awards
http://vote.teenchoice.com",Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154491510503888/?type=3,2016-05-25 18:10:50,127335,2006,1900,112772,13977,212,329,19,22
67253243887_10154490886133888,Had one of the best nights of my life last night. Road trip with Martin Garrix and Rory Kramer,,video,https://www.facebook.com/JustinBieber/videos/10154490886133888/,2016-05-25 12:36:20,194103,2899,3850,171144,20440,306,2131,27,50
67253243887_10154486046468888,Thank u #BBMAs,Photos from Justin Bieber's post,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154486046343888/?type=3,2016-05-23 12:16:24,560050,5261,5961,514454,43363,1417,505,99,205
67253243887_10154481430168888,,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154481430168888/?type=3,2016-05-21 15:41:44,1046975,19529,18648,934024,103402,5926,2100,636,878
67253243887_10154476616503888,,Photos from Justin Bieber's post,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154476615463888/?type=3,2016-05-19 17:28:58,744526,6192,9132,682019,58666,2649,746,139,304
67253243887_10154473632403888,"1 day left to get ur #PurposeTour merch 
purposetourmerch.com",Photos from Justin Bieber's post,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154473631393888/?type=3,2016-05-18 16:41:18,159097,4406,7126,138830,18273,537,153,1234,69
67253243887_10154472843718888,Today. #nomadtoronto,Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154472843718888/?type=3,2016-05-18 09:49:13,174501,2097,1304,158964,14584,648,98,151,55
67253243887_10154469511303888,One of my favorite performances this year.,Karlo Ingua,video,https://www.facebook.com/1487782078101305/videos/1709697619243082/,2016-05-17 00:06:49,365421,10595,25,311470,51443,1953,290,144,117
67253243887_10154468167718888,"Toronto 
Purpose tour Merch pop up store this week with exclusive Merch :)",Timeline Photos,photo,https://www.facebook.com/JustinBieber/photos/a.96668113887.86286.67253243887/10154468167718888/?type=3,2016-05-16 11:19:35,92482,1832,984,81462,10503,347,54,91,23
67253243887_10154468167543888,Argentina I wish I could bring the purpose tour there but until the legal situation changes I won't be coming. Rest of South America see you soon. Love you all,,status,,2016-05-16 11:19:01,235960,7432,6917,212293,15496,630,408,6902,230
