status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
114696805612_10157152640485613,KimKardashianWest.com,Timeline Photos,photo,https://www.facebook.com/KimKardashian/photos/a.189505740612.258658.114696805612/10157152640485613/?type=3,2016-06-23 22:07:03,97913,704,1337,89280,8448,82,116,1,6
114696805612_10157150887405613,More pics from North and Penelope's amazing mermaid party!!!,MORE EXCLUSIVE PICS: NORTH AND PENELOPE'S MERMAID PARTY,link,https://www.kimkardashianwest.com/behind-the-scenes/1099-kim-kardashian-north-penelope-mermaid-party/,2016-06-23 15:44:02,22227,260,142,21235,919,46,24,3,1
114696805612_10157150779965613,#TBT Hamptons,Timeline Photos,photo,https://www.facebook.com/KimKardashian/photos/a.189505740612.258658.114696805612/10157150779965613/?type=3,2016-06-23 15:13:17,213012,2261,1342,201939,9270,1450,224,58,73
114696805612_10157145529835613,North and Penelope's mermaid party was SO fun!!!,All About North and Penelope's Mermaid Party - Kim,link,https://www.kimkardashianwest.com/behind-the-scenes/1101-kim-kardashian-north-west-penelope-mermaid-party/,2016-06-22 11:56:09,13607,316,106,13046,508,40,10,1,2
114696805612_10157144206650613,Wait u didn't think I would forget about National Selfie Day! DUH,Timeline Photos,photo,https://www.facebook.com/KimKardashian/photos/a.189505740612.258658.114696805612/10157144206650613/?type=3,2016-06-22 04:46:57,160624,3072,821,151760,6778,1468,497,43,79
114696805612_10157137657435613,"I typically wear a lot of neutrals, but have really been loving this color lately…",ORANGE VIBES,link,https://www.kimkardashianwest.com/style/1088-kim-kardashian-orange-vibes/,2016-06-21 11:50:00,20882,483,162,20032,759,60,26,2,3
114696805612_10157137307305613,New obsession Sugarbearhair 🐻 I have two a day as part of my hair care routine. They are delish! #sugarbearhair #sp,Timeline Photos,photo,https://www.facebook.com/KimKardashian/photos/a.189505740612.258658.114696805612/10157137307305613/?type=3,2016-06-20 15:09:21,154356,2411,1142,147114,6226,796,150,26,44
114696805612_10157134851525613,Happy Fathers Day babe! Thank you for always putting our family first and being the best dad to our babies! I couldn't ask for a better husband and more perfect family. I love you so much!,Timeline Photos,photo,https://www.facebook.com/KimKardashian/photos/a.189505740612.258658.114696805612/10157134851525613/?type=3,2016-06-19 22:47:56,407147,1738,1679,388290,18132,188,488,24,25
114696805612_10157134589650613,Happy Father's Day dad. You were the best dad in the world! The last conversation I had with you I told you that I was so luck to have had the best example of what a dad should be and one day I will have kids and pass on everything you taught me. I'm so lucky to have had you as my dad. I love you.,Timeline Photos,photo,https://www.facebook.com/KimKardashian/photos/a.189505740612.258658.114696805612/10157134589650613/?type=3,2016-06-19 21:10:56,231547,1458,638,220426,9001,104,85,1911,20
114696805612_10157124540150613,Obsessed with my Kimoji phone case! There's not many left so get it now #onmyapp or KimKardashianWest.com,Timeline Photos,photo,https://www.facebook.com/KimKardashian/photos/a.189505740612.258658.114696805612/10157124540150613/?type=3,2016-06-17 18:44:52,40852,933,414,38622,1988,189,32,9,12
