status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
118813026189_10153640144571190,,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153640144571190/?type=3,2016-06-23 13:07:01,86946,506,284,83202,3499,196,36,8,7
118813026189_10153640144056190,Last night 🎥,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153640144056190/?type=3,2016-06-23 11:52:48,74127,494,209,71178,2779,142,22,3,3
118813026189_10153639084021190,💜,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153639084021190/?type=3,2016-06-22 23:07:04,97930,490,354,93118,4596,107,102,2,5
118813026189_10153638684151190,I'm just too much for you.,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153638684151190/?type=3,2016-06-22 18:31:23,136291,1157,843,129576,5939,295,453,17,11
118813026189_10153638548781190,Sunbathing with bae.,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153638548781190/?type=3,2016-06-22 17:29:21,184229,1218,885,175939,7653,173,447,9,8
118813026189_10153637968776190,Versace in Vega$,Deciding What to Wear for Scott's Birthday,link,https://www.kourtneykardashian.com/style-beauty/322-styling-diaries-versace-vegas/,2016-06-22 12:20:44,15412,357,24,14840,494,31,42,1,4
118813026189_10153636327646190,Last night...,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153636327646190/?type=3,2016-06-21 18:03:50,75563,434,133,73313,2089,108,44,5,4
118813026189_10153635736371190,"Hurry up now, I need a miracle",,status,,2016-06-21 13:20:28,23004,547,384,22266,599,39,86,11,3
118813026189_10153632395616190,I miss him everyday but especially on Father's Day when I am reminded that I was lucky enough to have the best dad in the world. I always knew he was an exceptional parent but after having my own kids I really knew. I try my best everyday to be the kind of parent he was to me.,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153632395616190/?type=3,2016-06-19 23:27:14,306483,1485,856,289479,13845,148,105,2882,24
118813026189_10153632385186190,"In case you didn't know, I was the original Dora the Explorer. 🎒❤️",Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153632385186190/?type=3,2016-06-19 23:20:08,220009,1491,708,203220,6832,161,9727,56,13
118813026189_10153632081611190,KUWTK,,video,https://www.facebook.com/KourtneyKardashian/videos/10153632081611190/,2016-06-19 20:06:49,26922,257,273,25870,778,48,217,5,4
118813026189_10153631847096190,Tonight #KUWTK,,video,https://www.facebook.com/KourtneyKardashian/videos/10153631847096190/,2016-06-19 17:30:39,9696,68,69,9238,389,6,61,1,1
118813026189_10153630005326190,⭐️🐠 #healthebay #smpieraquarium,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153630005326190/?type=3,2016-06-18 23:01:45,220627,1229,761,212926,6873,499,110,39,180
118813026189_10153629849126190,My little mermaid.,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153629849126190/?type=3,2016-06-18 21:26:51,432614,1581,2086,411957,19762,375,491,12,17
118813026189_10153627560496190,Weekend goals.,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153627560496190/?type=3,2016-06-17 22:19:38,108464,632,404,104865,3126,48,416,2,7
118813026189_10153624964556190,I took her on Tower of Terror for the first time. Kim Kardashian West Disneyland,,video,https://www.facebook.com/KourtneyKardashian/videos/10153624964556190/,2016-06-16 20:28:00,74628,4413,2285,62763,1841,92,9921,7,4
118813026189_10153624936491190,Hiker lunch looks/taking selfies while an angry man calls us ridiculous. #LetUsLive #BHH 🌴🌴,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153624936491190/?type=3,2016-06-16 17:57:33,34925,327,68,33585,1098,58,183,0,1
118813026189_10153624530076190,Pregnant mermaid 🐚✨ #TBT,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153624530076190/?type=3,2016-06-16 14:09:00,88070,391,191,84488,3067,436,67,5,7
118813026189_10153624307936190,Pregnant mermaid. 🐚✨,I was pregnant with Mason when we did this shoot.,link,https://www.kourtneykardashian.com/kourt/332-kourtney-kardashian-under-sea-mermaid-life/,2016-06-16 12:05:58,43117,377,145,41318,1369,362,49,5,14
118813026189_10153624005546190,Happy birthday my Northie girl 💘,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153624005546190/?type=3,2016-06-16 09:03:36,285448,1317,774,272843,12343,74,177,3,8
118813026189_10153622106366190,🌴🌸,PJs for the Whole Family,link,https://www.kourtneykardashian.com/style-beauty/327-exclusive-sant-and-abel-pajamas-x-beverly-hills-hotel/,2016-06-15 10:43:11,4652,118,11,4503,129,3,17,0,0
118813026189_10153621143441190,,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153621143441190/?type=3,2016-06-14 22:52:15,171201,1435,574,164007,6622,484,65,10,13
118813026189_10153620907011190,Penelope's nursery.,Inside Penelope's Nursery,link,http://bit.ly/1U9tcDE,2016-06-14 20:08:55,18312,259,111,17581,648,72,10,1,0
118813026189_10153620049911190,I always think to myself lately where is the depth? People seem to have no depth and it's all about surface stuff that doesn't matter. Here is the depth. Blessed to get to walk by her side my whole life. Harper's Bazaar Khloé Kardashian,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153620049911190/?type=3,2016-06-14 12:32:01,150100,1123,779,141285,8378,364,52,12,9
118813026189_10153619977661190,Yes yes yes Gina!,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153619977661190/?type=3,2016-06-14 10:28:22,167463,913,649,159399,7475,531,43,6,9
118813026189_10153616070366190,Horrifying and heartbreaking news. I don't know what to say anymore. #PrayForHumanity #Orlando ❤️💛💚💙💜,,status,,2016-06-12 14:29:49,63186,334,555,57966,1178,40,19,3934,49
118813026189_10153616057461190,Blame it on the wine. #napa #tonight #kuwtk,,video,https://www.facebook.com/KourtneyKardashian/videos/10153616057461190/,2016-06-12 14:21:00,30532,605,427,28291,686,16,1533,0,6
118813026189_10153614716756190,Tomorrow. #kuwtk,,video,https://www.facebook.com/KourtneyKardashian/videos/10153614716756190/,2016-06-11 21:59:14,10096,173,103,9520,364,12,198,1,1
118813026189_10153612163216190,Glam squad on fleek. Lighting not so much.,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153612163216190/?type=3,2016-06-10 19:03:33,40516,245,81,39379,1005,30,94,3,5
118813026189_10153610231206190,Summer yacht trip when I was sixteen with my friends! #onmyapp #TBT,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153610231206190/?type=3,2016-06-09 22:20:52,73630,406,146,71350,1985,207,78,3,7
118813026189_10153609724146190,✌🏼️,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153609724146190/?type=3,2016-06-09 18:30:00,101263,977,238,97290,3669,249,34,7,14
118813026189_10153609632141190,✌🏼️🇬🇧,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153609632141190/?type=3,2016-06-09 16:29:35,198251,1264,616,190581,7074,491,83,11,11
118813026189_10153609246226190,❤,,video,https://www.facebook.com/KourtneyKardashian/videos/10153609246226190/,2016-06-09 12:24:30,88985,1083,855,83508,4137,97,1229,4,10
118813026189_10153607715206190,London calling.,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153607715206190/?type=3,2016-06-08 20:39:00,104806,1051,444,100594,3675,437,76,13,11
118813026189_10153607303491190,We've come a long way bro. Happy birthday!,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153607303491190/?type=3,2016-06-08 19:33:00,56270,314,137,54760,1217,24,257,4,8
118813026189_10153607300466190,"My close friend and designer of Alice + Olivia, Stacey Bendet, sent me this delicious smoothie recipe!",This Smoothie is So Good,link,http://bit.ly/1UnOXtD,2016-06-08 16:18:42,4329,90,114,4204,115,8,2,0,0
118813026189_10153607216276190,This is what happens when I leave town. 🍋💛🍋💛🍋🍋💛🍋💛🍋💛🍋💛🍋💛,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153607216276190/?type=3,2016-06-08 15:30:22,456503,6953,4584,421826,21906,498,12205,36,32
118813026189_10153606997511190,A little London touch up.,Timeline Photos,photo,https://www.facebook.com/KourtneyKardashian/photos/a.192294471189.141740.118813026189/10153606997511190/?type=3,2016-06-08 13:07:39,166586,799,695,160277,5884,361,53,5,6
