status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
566228886867633_624568201033701,,The Tonight Show Starring Jimmy Fallon • TONIGHT SHOW MUSIC BREAK: Ed...,link,http://fallontonight.tumblr.com/post/143228946439/tonight-show-music-break-ed-sheeran-performs,2016-04-22 19:41:12,0,0,0,0,0,0,0,0,0
566228886867633_624513201039201,,The Tonight Show Starring Jimmy Fallon • Jimmy reads your funniest...,link,http://fallontonight.tumblr.com/post/143226069247/jimmy-reads-your-funniest-weddingfail-tweets,2016-04-22 15:31:39,1,0,0,1,0,0,0,0,0
566228886867633_624449821045539,,The Tonight Show Starring Jimmy Fallon • Jimmy and Ben Affleck go...,link,http://fallontonight.tumblr.com/post/143218350972/jimmy-and-ben-affleck-go-head-to-head-in-pup,2016-04-22 11:32:07,1,0,0,1,0,0,0,0,0
566228886867633_624103697746818,,The Tonight Show Starring Jimmy Fallon • Tina Fey knows her cheeses!,link,http://fallontonight.tumblr.com/post/143171157177/tina-fey-knows-her-cheeses,2016-04-21 15:34:22,0,0,0,0,0,0,0,0,0
566228886867633_623847301105791,,The Tonight Show Starring Jimmy Fallon • Jimmy and John Cena slip into...,link,http://fallontonight.tumblr.com/post/143143055804/jimmy-and-john-cena-slip-into-velcro-suits-and,2016-04-20 23:32:47,0,0,0,0,0,0,0,0,0
566228886867633_623847294439125,,The Tonight Show Starring Jimmy Fallon • Puppy Break!,link,http://fallontonight.tumblr.com/post/143136125638/puppy-break,2016-04-20 23:32:47,0,0,0,0,0,0,0,0,0
566228886867633_623787911111730,,The Tonight Show Starring Jimmy Fallon • We're excited to see what...,link,http://fallontonight.tumblr.com/post/143129124614/were-excited-to-see-what-tonight-show-dubsmash,2016-04-20 19:47:37,0,0,0,0,0,0,0,0,0
566228886867633_623721981118323,,The Tonight Show Starring Jimmy Fallon • Jimmy might have hurt John...,link,http://fallontonight.tumblr.com/post/143117840395/jimmy-might-have-hurt-john-cenas-feelings-during,2016-04-20 15:31:08,0,0,0,0,0,0,0,0,0
566228886867633_623479441142577,,The Tonight Show Starring Jimmy Fallon • Everybody's talkin' 'bout Will...,link,http://fallontonight.tumblr.com/post/143085519246/everybodys-talkin-bout-will-ferrell-and,2016-04-19 23:31:16,0,0,0,0,0,0,0,0,0
566228886867633_623418901148631,,The Tonight Show Starring Jimmy Fallon • Jimmy jumped through a giant...,link,http://fallontonight.tumblr.com/post/143073046356/jimmy-jumped-through-a-giant-donut,2016-04-19 19:32:39,0,0,0,0,0,0,0,0,0
