status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
64637653943_10154335476168944,What can I say CLEVELAND! Thank you! We did it for ya'll! #PROMISEKEPT #StriveForGreatness #TheLand #ChampionshipParade,Timeline Photos,photo,https://www.facebook.com/LeBron/photos/a.146568808943.115160.64637653943/10154335476168944/?type=3,2016-06-22 20:54:28,278725,2876,5701,265395,12063,837,275,32,123
64637653943_10154332309698944,UNBELIEVABLE!!! #JustAKidFromAkron #IPROMISE UNINTERRUPTED,UNINTERRUPTED,video,https://www.facebook.com/Uninterrupted/videos/944613305658271/,2016-06-21 16:34:51,86756,1916,3,79524,6320,754,114,21,23
64637653943_10154332246068944,YOU WORK FOR WHAT YOU HAVE… This one's for you!!! #WEAREFAMILY #StriveForGreatness #IPROMISE,Timeline Photos,photo,https://www.facebook.com/LeBron/photos/a.146568808943.115160.64637653943/10154332246068944/?type=3,2016-06-21 16:09:12,188399,2542,8995,178687,8938,553,121,16,84
64637653943_10154165371883944,Zero Dark Thirty-23 activated #StriveForGreatness,Timeline Photos,photo,https://www.facebook.com/LeBron/photos/a.146568808943.115160.64637653943/10154165371883944/?type=3,2016-04-16 22:18:34,54158,3699,2450,52314,1334,351,100,16,43
64637653943_10154161295298944,"#IPROMISE #KickGameCray #NikeLifer #StriveForGreatness
view all 1,398 comments",Timeline Photos,photo,https://www.facebook.com/LeBron/photos/a.146568808943.115160.64637653943/10154161295298944/?type=3,2016-04-15 08:21:17,74212,2062,1595,72680,1168,290,45,8,21
64637653943_10154157151258944,#MambaDay #Salute,Timeline Photos,photo,https://www.facebook.com/LeBron/photos/a.146568808943.115160.64637653943/10154157151258944/?type=3,2016-04-13 13:07:59,591136,3679,31780,573719,9707,806,234,6594,76
64637653943_10154152372443944,"Don't spend as Much time together as we used to but happy as hell to see them all doing so well for themselves and their families! When we do link up, we pick up right where we left off like we suppose to. Love u boys til the death. #FabFive #AkronBoys #StriveForGreatness",Timeline Photos,photo,https://www.facebook.com/LeBron/photos/a.146568808943.115160.64637653943/10154152372443944/?type=3,2016-04-12 06:29:00,80038,867,1259,78603,1160,169,90,3,12
64637653943_10154149896233944,Baby Z will not let u take off her Dada shoes! No way Jose. Don't get beat up! #SheIsCrazy #KickGameCrayThough #LeBron13,Timeline Photos,photo,https://www.facebook.com/LeBron/photos/a.146568808943.115160.64637653943/10154149896233944/?type=3,2016-04-10 20:45:23,60581,698,555,58870,1250,93,358,1,9
64637653943_10154144139273944,You'd be surprised what you can get into on an off day... #MeetRon Blaze Pizza,LeBron James Is Blaze Pizza's Newest Team Member,video,https://www.facebook.com/LeBron/videos/10154144139273944/,2016-04-08 16:29:51,26073,1613,4280,24374,640,72,980,3,4
64637653943_10154143565508944,"LET'S GOOOO!!!!!! All proceeds from the first ride auction go to the LeBron James Family Foundation: https://www.cedarpoint.com/events/things-to-do/events/Valravn-Launch-Party 

Huge s/o to Jason and Tony again for always putting my kids first. Best amusement park in the damn universe. #WEAREFAMILY #IPROMISE Cedar Point",Timeline Photos,photo,https://www.facebook.com/LeBron/photos/a.146568808943.115160.64637653943/10154143565508944/?type=3,2016-04-08 12:43:44,11693,153,132,11477,152,49,15,0,0
