status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
6885814958_10150715452329959,Gonna need these!,72 New Emoji Have Been Released And Will Be Arriving On Your Phones At Any Moment,link,http://aplus.com/a/new-emoji-unicode-9?c=13059&utm_campaign=i111&utm_source=a97522,2016-06-24 08:53:27,842,52,75,809,19,2,12,0,0
6885814958_10150715201454959,"Check out the exclusive new video ""Sucker For Pain"" featuring the Suicide SQVAD Imagine Dragons Wiz Khalifa Ty Dolla $ign Logic & X Ambassadors.

#SuicideSquad The Album Available on 8/5. Pre-order now at http://smarturl.it/suicidesquad","Sucker for Pain - Lil Wayne, Wiz Khalifa & Imagine Dragons wit...",video,https://www.facebook.com/LilWayne/videos/10150715201454959/,2016-06-23 22:00:00,2318,282,1502,2126,163,26,2,1,0
6885814958_10150715256064959,"Get headaches? Know someone that does? Young Money's Celebrity Health & Life Coach, Karlee Fain, just released a FREE webinar to tell you how's she healed them for herself and her high achieving clients.","Every Body Thrive with Karlee Fain, Celebrity Health & Life Coach",video,https://www.facebook.com/EveryBodyThrive/videos/10153407283535706/,2016-06-23 19:56:35,80,10,0,78,2,0,0,0,0
6885814958_10150715174524959,Selena Gomez breakin' it down with her biggest fan.,An Adorable 6-Year-Old With A Rare Disease Meets Selena Gomez — And They Bust A Move,link,http://aplus.com/a/selena-gomez-audrey-nethery-dance?c=13038&utm_campaign=i111&utm_source=a97594,2016-06-23 17:00:00,8574,115,197,8165,367,5,35,1,1
6885814958_10150715175149959,Oooh oooh oooh.,,video,https://www.facebook.com/LilWayne/videos/10150715175149959/,2016-06-23 15:00:29,4640,155,407,4373,237,18,10,1,1
6885814958_10150715152834959,He deserved this for sure.,Ashton Kutcher,video,https://www.facebook.com/Ashton/videos/10153463877477820/,2016-06-23 12:51:11,378,6,0,361,16,0,0,0,1
6885814958_10150715104469959,Tonight 🙌🙌,Timeline Photos,photo,https://www.facebook.com/LilWayne/photos/a.278066004958.28971.6885814958/10150715104469959/?type=3,2016-06-23 10:43:55,549,19,50,522,24,3,0,0,0
6885814958_10150715071069959,They couldn't clone him.,Timeline Photos,photo,https://www.facebook.com/LilWayne/photos/a.278066004958.28971.6885814958/10150715071069959/?type=3,2016-06-23 08:00:11,37815,481,1173,36874,649,44,244,0,4
6885814958_10150714882964959,,Decided Enough Is Enough,photo,https://www.facebook.com/LilWayne/photos/p.10150714882624959/10150714882624959/?type=3,2016-06-22 23:45:00,615,64,94,591,14,3,2,0,5
6885814958_10150714762484959,Knew there was a reason.,A Plus,video,https://www.facebook.com/aplusapp/videos/1080276962043239/,2016-06-22 16:54:30,1203,74,1,1145,28,3,26,1,0
6885814958_10150714686914959,The real King of Burger King.,This Fast-Food Worker Offered A Homeless Man A Meal — So A Customer Did Something Unexpected,link,http://aplus.com/a/fast-food-worker-gets-unexpected-tip?c=13009&utm_campaign=i111&utm_source=a97428,2016-06-22 14:16:45,4879,109,294,4652,187,27,10,1,2
6885814958_10150714594509959,ColleGrove takin' over.,,video,https://www.facebook.com/LilWayne/videos/10150714594509959/,2016-06-22 11:09:08,5904,165,351,5676,186,9,30,0,3
6885814958_10150713723824959,For the victims in Orlando and around the world.,Kid Cudi Speaks Out On Equal Rights.,video,https://www.facebook.com/LilWayne/videos/10150713723824959/,2016-06-21 20:30:00,8617,190,809,8208,361,33,11,0,4
6885814958_10150713726249959,New Weezy!! Listen to Roy Demeo's Chico now: https://soundcloud.com/crazy88worldwide/chico-de,Timeline Photos,photo,https://www.facebook.com/LilWayne/photos/a.278066004958.28971.6885814958/10150713726249959/?type=3,2016-06-21 17:43:10,377,36,21,364,8,4,1,0,0
6885814958_10150713701079959,Watch out lil bish 👀,,video,https://www.facebook.com/LilWayne/videos/10150713701079959/,2016-06-21 17:00:31,7909,236,389,7555,305,33,12,1,3
