status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
622206577811049_1203919302973104,,Timeline Photos,photo,https://www.facebook.com/messi/photos/a.649836195048087.1073741828.622206577811049/1203919302973104/?type=3,2016-06-19 16:10:17,47,5,2,44,3,0,0,0,0
622206577811049_1201140166584351,,Lionel Messi Fans's cover photo,photo,https://www.facebook.com/messi/photos/a.622208927810814.1073741827.622206577811049/1201140153251019/?type=3,2016-06-15 03:27:47,27,1,1,27,0,0,0,0,0
622206577811049_1199601613404873,(y),Timeline Photos,photo,https://www.facebook.com/messi/photos/a.649836195048087.1073741828.622206577811049/1199601613404873/?type=3,2016-06-12 13:05:07,31,0,0,30,1,0,0,0,0
622206577811049_1196520633712971,???,Timeline Photos,photo,https://www.facebook.com/messi/photos/a.649836195048087.1073741828.622206577811049/1196520633712971/?type=3,2016-06-08 02:00:48,54,1,2,40,14,0,0,0,0
622206577811049_1194227463942288,R.İ.P God Bless,Timeline Photos,photo,https://www.facebook.com/messi/photos/a.649836195048087.1073741828.622206577811049/1194227463942288/?type=3,2016-06-04 16:42:42,28,0,0,28,0,0,0,0,0
622206577811049_1190323010999400,,Lionel Messi Fans,photo,https://www.facebook.com/messi/photos/a.622208654477508.1073741825.622206577811049/1190322980999403/?type=3,2016-05-29 04:34:44,58,3,2,58,0,0,0,0,0
622206577811049_1189746897723678,,Lionel Messi Fans's cover photo,photo,https://www.facebook.com/messi/photos/a.622208927810814.1073741827.622206577811049/1189746857723682/?type=3,2016-05-28 02:59:17,24,0,0,23,0,1,0,0,0
622206577811049_1188848377813530,#king,Timeline Photos,photo,https://www.facebook.com/messi/photos/a.649836195048087.1073741828.622206577811049/1188848377813530/?type=3,2016-05-26 12:06:17,48,0,4,48,0,0,0,0,0
622206577811049_1187060384658996,😎😎😎,Timeline Photos,photo,https://www.facebook.com/messi/photos/a.649836195048087.1073741828.622206577811049/1187060384658996/?type=3,2016-05-23 12:10:56,45,0,2,44,1,0,0,0,0
622206577811049_1186624198035948,"We are the Champions! 👏 
↪ www.facebook.com/Messi #Messi",Timeline Photos,photo,https://www.facebook.com/messi/photos/a.649836195048087.1073741828.622206577811049/1186624198035948/?type=3,2016-05-22 17:14:15,35,0,1,33,2,0,0,0,0
622206577811049_1181831341848567,We are the Champions! 👏👏👏 👑👑👑,Photos from Lionel Messi Fans's post,photo,https://www.facebook.com/messi/photos/a.1088163277882041.1073741829.622206577811049/1181831205181914/?type=3,2016-05-14 16:29:37,24,4,1,24,0,0,0,0,0
622206577811049_1176190925745942,King 🔱🔱🔱,Timeline Photos,photo,https://www.facebook.com/messi/photos/a.649836195048087.1073741828.622206577811049/1176190925745942/?type=3,2016-05-06 04:28:43,23,0,2,23,0,0,0,0,0
622206577811049_1169009619797406,"Messi under coach Luis Enrique:
▶ 102 appearances 
▶ 98 goals 
▶ 45 assist",Timeline Photos,photo,https://www.facebook.com/messi/photos/a.649836195048087.1073741828.622206577811049/1169009619797406/?type=3,2016-04-24 12:34:13,40,1,2,39,1,0,0,0,0
