status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
67920382572_10154433998872573,📸 A glorious shot by Reds fan Eamon Hudson - winner of our Main Stand photography competition! 👏,Timeline Photos,photo,https://www.facebook.com/LiverpoolFC/photos/a.100998577572.107684.67920382572/10154433998872573/?type=3,2016-06-24 12:21:00,5585,52,133,5428,107,46,2,1,1
67920382572_10154433717482573,📰 Gareth Bale explains why he 'can't speak highly enough' of Joe Allen!,Read high praise for the Welshman,link,http://www.liverpoolfc.com/news/first-team/225342-gareth-bale-can-t-speak-highly-enough-of-joe-allen,2016-06-24 10:33:00,3389,120,34,3320,57,2,10,0,0
67920382572_10154433637762573,Joe Allen in Wales training today as he looks to keep making waves at EURO 2016! 🌊,Timeline Photos,photo,https://www.facebook.com/LiverpoolFC/photos/a.100998577572.107684.67920382572/10154433637762573/?type=3,2016-06-24 08:04:16,6484,59,44,6392,83,1,8,0,0
67920382572_10154433288087573,📰 Today's Media Watch features links with Sadio Mane and a young defender...,Read what newspapers have to say,link,http://www.liverpoolfc.com/news/media-watch,2016-06-24 05:02:42,370,22,7,352,10,1,2,0,5
67920382572_10154431857372573,"One year ago today, we signed this brilliant Brazilian! 🇧🇷🙌",Photos from Liverpool FC's post,photo,https://www.facebook.com/LiverpoolFC/photos/a.100998577572.107684.67920382572/10154431846827573/?type=3,2016-06-24 02:31:00,30681,277,428,29931,692,22,29,3,4
67920382572_10154431766452573,"Happy birthday, Luis Garcia! 🇪🇸🎂",Timeline Photos,photo,https://www.facebook.com/LiverpoolFC/photos/a.100998577572.107684.67920382572/10154431766452573/?type=3,2016-06-24 00:26:01,25920,288,350,25447,445,7,20,0,1
67920382572_10154430631582573,📸 10 striking images of Liverpool FC players in action at UEFA EURO 2016...,Check out the best pics here,link,http://vxl.me/eG8VmE,2016-06-23 13:56:00,3366,42,32,3318,39,2,6,0,1
67920382572_10154430644312573,📸 The boss with current Masters champion & LFC fan Danny Willett  🏌,Timeline Photos,photo,https://www.facebook.com/LiverpoolFC/photos/a.100998577572.107684.67920382572/10154430644312573/?type=3,2016-06-23 12:01:01,13191,101,141,12995,168,23,4,0,1
67920382572_10154430647537573,,New Balance Football,photo,https://www.facebook.com/nbfootballofficial/photos/a.811222358948728.1073741827.713919385345693/1116927141711580/?type=3,2016-06-23 09:51:29,6369,139,0,6150,187,21,6,1,4
67920382572_10154430296197573,📸 Daniel Sturridge and the England lads prepare for their UEFA EURO 2016 last-16 clash with KSÍ - Knattspyrnusamband Íslands on Monday.,Photos from Liverpool FC's post,photo,https://www.facebook.com/LiverpoolFC/photos/a.100998577572.107684.67920382572/10154430295747573/?type=3,2016-06-23 08:24:00,8104,41,91,8015,75,10,4,0,0
67920382572_10154430134227573,"🎥 A look at how the new Main Stand is developing.

📰 All the information you need to know: http://www.liverpoolfc.com/news/stadium-expansion/225239-free-video-anfield-redevelopment-progress-revealed",Anfield redevelopment progress revealed,video,https://www.facebook.com/LiverpoolFC/videos/10154430134227573/,2016-06-23 06:01:29,4452,117,723,4194,153,98,5,0,2
67920382572_10154430096157573,📰 Today's Media Watch: Reds after midfielder & face competition for defender...,Read more about the players linked,link,http://www.liverpoolfc.com/news/media-watch,2016-06-23 04:57:13,1130,35,10,1110,11,0,1,2,6
67920382572_10154429991002573,🇫🇷 What next for the 12 Reds at UEFA EURO 2016?,"Find out who plays where, here...",link,http://www.liverpoolfc.com/news/first-team/225270-euro-2016-what-next-for-the-12-reds-in-france,2016-06-23 03:53:59,1966,17,38,1937,20,5,1,1,2
67920382572_10154428835872573,"🙌 All 12 Reds participating at UEFA EURO 2016 have qualified with their respective countries for the last 16. Congratulations, lads.",Timeline Photos,photo,https://www.facebook.com/LiverpoolFC/photos/a.100998577572.107684.67920382572/10154428835872573/?type=3,2016-06-22 16:59:00,20849,235,1157,20228,466,134,19,1,1
67920382572_10154428280412573,England and our quintet of Reds will face KSÍ - Knattspyrnusamband Íslands in the last 16 at EURO 2016 on Monday.,Timeline Photos,photo,https://www.facebook.com/LiverpoolFC/photos/a.100998577572.107684.67920382572/10154428280412573/?type=3,2016-06-22 12:56:38,7207,101,114,7102,84,13,7,0,1
67920382572_10154427616657573,📸 Birthday boy Danny Ward was in high spirits during Wales training earlier today...,Photos from Liverpool FC's post,photo,https://www.facebook.com/LiverpoolFC/photos/a.100998577572.107684.67920382572/10154427615487573/?type=3,2016-06-22 07:53:10,5930,27,48,5876,48,5,0,0,1
67920382572_10154427230747573,📰 Adam Lallana on what statistic he'd like to change in the next couple of weeks...,Midfielder happy with recent performances,link,http://www.liverpoolfc.com/news/first-team/225174-the-team-is-more-important-but-i-d-like-to-get-my-first-goal,2016-06-22 04:55:00,3145,55,28,3098,38,3,5,1,0
67920382572_10154427147717573,"🎂 Both Loris Karius & Danny Ward turn 23 today. Happy birthday, lads. 🎉 🎊",Photos from Liverpool FC's post,photo,https://www.facebook.com/LiverpoolFC/photos/a.100998577572.107684.67920382572/10154427146412573/?type=3,2016-06-22 02:20:50,18756,226,196,18422,237,86,10,1,0
67920382572_10154425573742573,Emre Can will be a happy man tonight as Germany top Group C of EURO 2016. 👏,Timeline Photos,photo,https://www.facebook.com/LiverpoolFC/photos/a.100998577572.107684.67920382572/10154425573742573/?type=3,2016-06-21 12:50:51,12998,120,90,12821,143,8,6,2,18
67920382572_10154425176172573,"Top of Group B ✅
Qualified for the last 16 ✅

Our man Joe Allen has enjoyed a successful start to EURO 2016...",Timeline Photos,photo,https://www.facebook.com/LiverpoolFC/photos/a.100998577572.107684.67920382572/10154425176172573/?type=3,2016-06-21 09:59:31,17921,598,442,17497,332,73,16,1,2
