status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
49581355512_10154373818120513,#gassedup,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154373818120513/?type=3,2016-06-23 01:02:00,6876,45,44,6693,115,65,2,1,0
49581355512_10154374169235513,😂 #nowthatsludicrous,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154374169235513/?type=3,2016-06-23 00:15:49,2841,100,393,2436,12,5,348,39,1
49581355512_10154373817765513,,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154373817765513/?type=3,2016-06-22 22:30:00,19538,2169,3099,16510,279,24,2715,11,0
49581355512_10154373678525513,#fastfamily,,video,https://www.facebook.com/Ludacris/videos/10154373678525513/,2016-06-22 20:03:00,15887,122,669,14727,1023,22,113,2,0
49581355512_10154373677750513,Dope Pic,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154373677750513/?type=3,2016-06-22 19:50:58,4561,26,32,4421,127,13,0,0,0
49581355512_10154369865740513,Yeah...pretty much,22 Photos Only People Who Grew Up With Sisters Will Understand,link,http://www.roasted.com/article/31003454/22-photos-only-people-who-grew-up-with-sisters-will-understand?param4=fni-red-ludacris&param2=red&param1=ludacris,2016-06-22 17:00:00,287,14,17,269,1,2,14,0,1
49581355512_10154371482565513,😂 #nowthatsludicrous,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154371482565513/?type=3,2016-06-22 06:04:00,41050,3161,11094,35609,154,31,4640,605,11
49581355512_10154371480470513,#gang 🚁,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154371480470513/?type=3,2016-06-22 03:03:00,27257,97,210,26575,545,124,12,1,0
49581355512_10154371478265513,🎤,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154371478265513/?type=3,2016-06-22 00:51:39,5750,32,38,5617,102,28,3,0,0
49581355512_10154371193435513,,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154371193435513/?type=3,2016-06-21 21:39:01,74060,9193,20569,68154,1419,54,4418,8,8
49581355512_10154368950515513,PARTY GIRLS,,video,https://www.facebook.com/Ludacris/videos/10154368950515513/,2016-06-21 04:23:00,3573,81,559,3411,144,6,12,0,0
49581355512_10154368946075513,HOW LOW,,video,https://www.facebook.com/Ludacris/videos/10154368946075513/,2016-06-21 01:51:43,13151,232,1502,12181,609,41,317,3,0
49581355512_10154368404195513,,,video,https://www.facebook.com/Ludacris/videos/10154368404195513/,2016-06-20 19:39:14,1735,46,43,1671,36,19,8,0,1
49581355512_10154368403020513,#fast8,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154368403020513/?type=3,2016-06-20 19:37:48,341882,3320,11081,325141,12757,1022,2760,149,53
49581355512_10154367843460513,👌🏾,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154367843460513/?type=3,2016-06-20 14:08:54,91773,406,8667,89204,2360,90,114,4,1
49581355512_10154366079725513,REST OF MY LIFE #luda #usher #throwback,,video,https://www.facebook.com/Ludacris/videos/10154366079725513/,2016-06-20 08:49:00,12790,191,2275,11696,990,84,17,0,3
49581355512_10154366076015513,,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154366076015513/?type=3,2016-06-20 05:26:00,9668,47,722,9426,175,14,52,1,0
49581355512_10154366075820513,,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154366075820513/?type=3,2016-06-20 01:26:00,44914,1318,6948,40554,498,28,3763,64,7
49581355512_10154366421255513,I called it at my show today. Sorry haters. Congrats to my brother Lebron and Maverick y'all deserve this shit!!!! #love #2016 #underdogs,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154366421255513/?type=3,2016-06-19 23:35:43,12496,101,173,12067,336,15,22,2,54
49581355512_10154365231330513,Great Father's Day Gift from my family. It's the simple things in life that mean so much. #relaxed,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154365231330513/?type=3,2016-06-19 13:21:11,5075,74,50,4936,121,15,3,0,0
49581355512_10154362579700513,,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154362579700513/?type=3,2016-06-18 15:20:16,86415,10545,48491,69384,510,109,16398,8,6
49581355512_10154362396750513,Damn can a dog get a little privacy please? #nowthatsludacrious,,video,https://www.facebook.com/Ludacris/videos/10154362396750513/,2016-06-18 14:05:56,7948,821,989,5729,56,21,2136,3,3
49581355512_10154360384955513,When your work is your dream job. #fast8,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154360384955513/?type=3,2016-06-17 21:35:36,38578,171,387,37223,1122,186,38,5,4
49581355512_10154359507800513,,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154359507800513/?type=3,2016-06-17 13:45:41,834,21,12,802,17,2,13,0,0
49581355512_10154357784530513,,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154357784530513/?type=3,2016-06-17 08:19:00,66598,979,14331,62681,1367,50,2364,136,0
49581355512_10154357787335513,,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154357787335513/?type=3,2016-06-17 05:20:00,39886,819,4897,35635,236,18,3973,12,12
49581355512_10154357786700513,,Timeline Photos,photo,https://www.facebook.com/Ludacris/photos/a.10150257898620513.340076.49581355512/10154357786700513/?type=3,2016-06-17 01:20:00,29998,3079,5278,23307,257,97,6332,3,2
