status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7724542745_10153837053942746,"Keep up the good work, Memphis Depay! 💪",Memphis Depay,video,https://www.facebook.com/memphisdepayofficial/videos/645508398940735/,2016-06-23 04:19:13,3970,75,0,3863,71,10,25,0,2
7724542745_10153836951497746,It's Ashley Young's five-year anniversary at United 🎈,"Take a bow, Ashley Young!",photo,https://www.facebook.com/manchesterunited/photos/a.10153836951342746.1073742290.7724542745/10153836951497746/?type=3,2016-06-23 03:29:42,23431,128,139,23071,301,26,33,2,1
7724542745_10153832088567746,There's a reason Peter Schmeichel was nicknamed the Great Dane...,Schmeichel's saves,video,https://www.facebook.com/manchesterunited/videos/10153832088567746/,2016-06-22 21:02:00,124066,2947,17429,115354,5362,3202,135,10,5
7724542745_10153834854987746,Adnan Januzaj has been working hard for pre-season...,"Instagram video by Adnan Januzaj • Jun 19, 2016 at 2:20pm UTC",video,https://www.instagram.com/p/BG1tSOSshqI/?taken-by=adnanjanuzaj,2016-06-22 15:05:00,23527,155,86,23192,264,27,39,3,3
7724542745_10153830607277746,"We're back in action one month today! 

Watch more best bits from #MUtour last year: http://bit.ly/28MB2wP",Tour 2015 review,video,https://www.facebook.com/manchesterunited/videos/10153830607277746/,2016-06-22 12:03:00,4389,41,91,4277,100,11,1,0,0
7724542745_10153834513252746,"To the best fans in the world, this is for you. ❤️ #ILOVEUNITED",Video: #ILOVEUNITED,video,https://www.facebook.com/manchesterunited/videos/10153834513252746/,2016-06-22 09:00:01,35784,433,1872,33916,1716,124,22,2,4
7724542745_10153834828697746,Ander Herrera enjoying the sunshine!,Ander Herrera,photo,https://www.facebook.com/anderherrera/photos/a.1453545304918802.1073741828.1448777165395616/1715454888727841/?type=3,2016-06-22 08:23:27,21275,115,0,21019,210,32,12,1,1
7724542745_10153830707942746,"""Hard work, new ambitions"". Find out which two young Reds have already been putting the graft in ahead of the new season.",Duo hoping to impress Mourinho,link,http://bit.ly/28IC6V7,2016-06-22 06:05:00,22954,109,77,22747,168,24,11,2,3
7724542745_10153834481642746,David De Gea and Spain will face Matteo Darmian's Italy in the next round! #Euro2016,Reds trio book knock-out spots,link,http://bit.ly/1VSEvPM,2016-06-22 05:02:19,8496,70,48,8386,82,20,6,0,2
7724542745_10153834405912746,Congrats Marcos Rojo! 🙌,Marcos Rojo,photo,https://www.facebook.com/mrojo5/photos/a.717663338344948.1073741828.717662261678389/911092222335391/?type=3,2016-06-22 03:35:25,21108,106,2,20867,198,13,24,2,4
7724542745_10153832248407746,Just one month to go until Tour 2016! Who remembers this great moment from last year's visit to America?,Video: Header challenge,video,https://www.facebook.com/manchesterunited/videos/10153832248407746/,2016-06-22 03:03:00,6174,69,254,5911,139,7,116,1,0
7724542745_10153832124662746,Let's kick-start a debate - what is the greatest goal United have ever scored?,Timeline Photos,photo,https://www.facebook.com/manchesterunited/photos/a.411767862745.195597.7724542745/10153832124662746/?type=3,2016-06-21 21:15:00,62223,1562,470,61115,824,235,39,5,6
7724542745_10153833318637746,"It's been a memorable day at Euro 2016 for Bastian Schweinsteiger, David De Gea and Paddy McNair - find out why in our rolling blog: http://bit.ly/1VSEvPM",Timeline Photos,photo,https://www.facebook.com/manchesterunited/photos/a.411767862745.195597.7724542745/10153833318637746/?type=3,2016-06-21 16:29:03,61763,155,156,61201,475,31,53,1,3
