status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
108755587572_10154435614922573,"Boa noite anjos ! #LENSLIGHTPROJECT
@gustavoarrais
💢👊🏻💢",Timeline Photos,photo,https://www.facebook.com/marcoluque/photos/a.10150132225977573.320756.108755587572/10154435614922573/?type=3,2016-06-24 20:50:53,1685,60,4,1612,57,5,11,0,0
108755587572_10154433920087573,"Sexta-feira, todo mundo feliz! Menos os garçons! rsrsrsrs Esse é Gilson, ""filho de Gil"".",Timeline Photos,photo,https://www.facebook.com/marcoluque/photos/a.10150132225977573.320756.108755587572/10154433920087573/?type=3,2016-06-24 09:35:38,11684,204,60,10287,91,13,1293,1,0
108755587572_10154431822752573,#Musta e esse monstro da natureza oceânica Gabriel Medina! No #altashoras desse sábado!!,Timeline Photos,photo,https://www.facebook.com/marcoluque/photos/a.10150132225977573.320756.108755587572/10154431822752573/?type=3,2016-06-23 18:28:45,47004,298,92,44939,1312,71,682,0,0
108755587572_10154428456992573,"Ra-pa-ez! É Carlos, é?",MUSTAFARY -- CARLOS,video,https://www.facebook.com/marcoluque/videos/10154428456992573/,2016-06-22 15:00:00,60709,9385,14031,50877,1350,52,8418,7,5
108755587572_10154428253957573,"QUE ALEGRIA, PAE! Hoje tem VÍDEO NOVO! Às 17h, béleza? Marque todos seus amigos ""serumaninhos"" nesse post pra dilatação ficar completa!",Timeline Photos,photo,https://www.facebook.com/marcoluque/photos/a.10150132225977573.320756.108755587572/10154428253957573/?type=3,2016-06-22 12:43:40,10495,591,93,9764,279,15,435,2,0
108755587572_10154427923412573,Muito massa o que essa turma de heróis anda aprontando !!👏🏼👏🏼👏🏼👊🏼👊🏼👊🏼,Heróis do Bem,link,https://www.facebook.com/Heróis-do-Bem-1004192883005921/,2016-06-22 10:04:33,383,21,0,369,13,1,0,0,0
108755587572_10154426301787573,"Snapdublagem! 👻 luquemarco 
Espia lá! 😂😂😂😂😂",luquemarco,video,https://www.facebook.com/marcoluque/videos/10154426301787573/,2016-06-21 18:04:36,2234,119,60,1821,32,1,379,1,0
108755587572_10154425235917573,,Marco Luque,video,https://www.facebook.com/marcoluque/videos/10154422810522573/,2016-06-21 10:30:38,7586,675,1,6177,225,4,1179,0,1
108755587572_10154422810522573,"Essa tal de natureza me dilata a alma, pae! #Mustafary",,video,https://www.facebook.com/marcoluque/videos/10154422810522573/,2016-06-20 15:13:42,67656,10240,13819,57106,1512,57,8966,10,5
108755587572_10154422349452573,#coleção #toys,Timeline Photos,photo,https://www.facebook.com/marcoluque/photos/a.10150132225977573.320756.108755587572/10154422349452573/?type=3,2016-06-20 07:47:35,9800,168,28,9265,397,82,54,2,0
