status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
52472954880_10154860077529881,"Apa pun yang terjadi hari ini, jadilah diri terbaik Anda.

Coba lagi dalam doa dan harapan terbaik Anda.

Tuhan selalu bersama Anda, jangan menyerah. 

Mario Teguh - Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154860077529881/?type=3,2016-06-23 20:00:00,17251,430,1007,17011,224,9,2,5,1
52472954880_10154854473584881,"Katakanlah Aamiin atau Like, 
jika doa pagi ini adalah doa Anda juga …

Tuhan, 
lancarkanlah urusanku hari ini, mampukanlah aku menyelesaikan yang selama ini sulit, dan baikkanlah rezekiku. 

Mohon batalkanlah fitnah yang ditujukan kepadaku, dan justru muliakanlah aku karenanya.

Aamiin

---------------

Mario Teguh – Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154854473584881/?type=3,2016-06-23 17:00:00,38220,5179,2762,37690,484,4,6,35,1
52472954880_10154861630719881,"Sahabat-sahabat saya yang berpuasa, katakanlah Aamiin atau Like, jika doa puasa hari ini adalah doa Anda juga.

Love you! :) :) :) 
.
Mario Teguh

Selamat makan Sahur ya?

Semoga di bulan yang penuh rahmat ini, semua kerinduan hati Anda dipenuhi.

Aamiin :) :) :)",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154861630719881/?type=3,2016-06-23 16:06:43,37831,3596,1829,37347,432,10,4,38,0
52472954880_10154861506229881,"Selamat Sahur ya?

Love you! :) :) :)

Mario Teguh",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154861506229881/?type=3,2016-06-23 15:07:52,18686,312,245,17758,93,19,815,1,0
52472954880_10154860013249881,"Katakanlah Aamiin atau Like,
jika doa malam ini adalah doa Anda juga ...

Tuhan,
aku mohon malam ini Kau runtuhkan kesedihan dan kegalauan dari hati dan pikiranku.

Bangunkanlah aku esok sebagai pribadi yang damai, yang lancar urusannya, yang besar rezekinya, yang diterima dengan luas oleh sesamaku, dan yang dicintai dengan setia.

Aamiin

--------------------

Mario Teguh - Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154860013249881/?type=3,2016-06-23 10:00:01,37238,3783,2335,36667,491,11,7,61,1
52472954880_10154860412099881,"Memang engkau harus tampil secantik mungkin, 
tapi itu bukan yang paling penting. 

Indahkanlah hatimu. 

Kecantikan hati mengindahkan segala sesuatu. 

Mario Teguh

-----------------

Kita sependapat? :) :) :)",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154860412099881/?type=3,2016-06-23 07:00:00,46916,490,3947,46172,688,40,15,1,0
52472954880_10154859493179881,"Katakanlah Aamiin atau Like, 
jika doa senja ini adalah doa Anda juga ...

Tuhan,
mohon ikhlaskanlah aku memaafkan diriku yang belum berhenti membuat kesalahan.

Buatlah aku menerima bahwa kesalahan itu wajar bagiku, 
karena ia adalah tanda bahwa aku harus memperbaiki diri.

Tuhan,
matangkanlah pribadiku,
lapangkanlah jalanku menuju masa depan yang kaya dan bahagia.

Aamiin

-------------

Mario Teguh - Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154859493179881/?type=3,2016-06-23 05:00:24,30268,3191,2090,29892,321,4,2,50,0
52472954880_10154849900014881,"Sesungguhnya, kehidupanmu ini adalah tangga naik yang dibentuk oleh urutan penyelesaian.

Semakin banyak yang kau selesaikan, dan semakin baik engkau menyelesaikannya, akan semakin baik dan berderajat hidupmu.

Mario Teguh",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154849900014881/?type=3,2016-06-23 03:00:00,29587,489,1134,29259,298,19,3,7,1
52472954880_10154848757484881,"Haters gonna hate. 

Memang pembenci akan membenci.

Tapi, untuk apa memikirkan perubahan mereka, padahal perubahanmu sendiri adalah yang saat ini paling penting.

Berfokuslah menjadi pribadi yang terlalu besar untuk mereka kecilkan, dan terlalu tinggi untuk mereka rendahkan.

Kalian semua akan menua, dan yang berjaya nanti adalah yang sukses, bukan yang sombong saat muda tapi susah dan minder saat tua. 

Mario Teguh - Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154848757484881/?type=3,2016-06-23 01:00:01,23363,312,2039,22989,340,31,3,0,0
52472954880_10154848752619881,"Om Mario, kenapa saya sering tersudut oleh nasihat Om?

Lebih baik tersudut oleh nasihat saya, daripada tersudut dalam kesulitan hidup.

Mario Teguh",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154848752619881/?type=3,2016-06-22 23:00:01,24768,240,277,24384,178,11,192,4,0
52472954880_10154857636319881,"Jika engkau memperhatikan dengan hatimu yang bening, 
sebetulnya engkau disebut kuat karena engkau setia kepada keikhlasan bahwa segala sesuatu terjadi dengan ijin Tuhan, 
dan terjadi dengan niat untuk membaikkan diri dan kehidupanmu. 

Sesungguhnya keikhlasan adalah kekuatan hati karena kejernihan pikiran. 

Mario Teguh",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154857636319881/?type=3,2016-06-22 20:00:00,33027,526,3061,32539,416,7,3,62,0
52472954880_10154853784344881,"Katakanlah Aamiin atau Like,
jika doa pagi ini adalah doa Anda juga ...

Tuhan,
redakanlah kegelisahanku, 
sembuhkanlah aku dari kekecewaan, 
dan susutkanlah kemarahanku.

Tuhan,
gembirakanlah aku hari ini dengan rezeki yang besar dan perlakuan yang baik kepadaku.

Aamiin

-----------------

Mario Teguh - Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154853784344881/?type=3,2016-06-22 17:00:01,59289,6062,4651,58442,720,11,14,101,1
52472954880_10154858988899881,"Sahabat-sahabat saya yang berpuasa, katakanlah Aamiin atau Like, jika doa puasa hari ini adalah doa Anda juga.

Love you! :) :) :) 
.
Mario Teguh

Selamat makan Sahur ya?

Semoga di bulan yang penuh rahmat ini, semua kerinduan hati Anda dipenuhi.

Aamiin :) :) :)",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154858988899881/?type=3,2016-06-22 16:06:44,61755,4816,1861,60954,719,11,9,62,0
52472954880_10154852825264881,"Katakanlah Aamiin atau Like, 
jika doa malam ini adalah doa Anda juga ...

Tuhan,
sabarkanlah aku di dalam kesulitanku, 
kuatkanlah aku di dalam ujianku, 
jagalah aku tetap tegak di dalam kegagalan dan kekecewaanku.

Mohon bantulah aku memantaskan diri bagi suksesku.

Aamiin

-----------------

Mario Teguh  -  Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154852825264881/?type=3,2016-06-22 10:00:09,56639,4838,5317,55812,691,11,5,118,2
52472954880_10154854945319881,"Berpikir logis dan hormati diri. 

Jika dia setia, dia untuk Anda. Jika dia pergi, tadinya dia juga datang tanpa diundang. 

Mario Teguh",,status,,2016-06-22 07:00:00,44012,565,2846,43222,470,24,274,22,0
52472954880_10154852241064881,"Katakanlah Aamiin atau Like, 
jika doa senja ini adalah doa Anda juga ...

Tuhanku Yang Maha Damai dan Maha Sejahtera,

Bersama tenggelamnya matahari di senja ini, 
jadikanlah kekasih kecilMu ini tabah dalam kesulitan 
dan penuh syukur dalam rezeki yang baik. 

Mohon kuatkanlah pundakku, 
sehingga seberat-beratnya beban akan terasa ringan bagiku.

Aamiin

-----------------

Mario Teguh - Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154852241064881/?type=3,2016-06-22 05:00:00,42258,2870,2121,41693,431,7,2,125,0
52472954880_10154852630359881,"Semakin banyak derita yang kita tabahi, semakin besar keberhasilan yang kita capai, dan semakin tinggi kedudukan kita dalam kehidupan.

No pain, no gain.

Mario Teguh – Loving you all as always

Foto: Marco Teguh, 16 tahun, betul-betul anak Bapaknya.

Counterpain
https://www.facebook.com/nopainnogainindonesia/",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154852630359881/?type=3,2016-06-22 03:00:00,34979,439,1600,34593,334,17,12,22,1
52472954880_10154836411524881,"Terlalu mengurusi pembenci bisa mengakibatkan Anda membenci diri sendiri.

Abaikan. Damailah. 

Anda jiwa baik kecintaan Tuhan.

Mario Teguh 

-----------------

Anda setuju? 😊😊😊",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154836411524881/?type=3,2016-06-22 01:00:01,48339,610,3163,47629,639,44,15,10,2
52472954880_10154852068724881,"Janganlah menelantarkan yang telah kau miliki, hanya karena yang kau inginkan lebih baik daripadanya.

Sesuatu yang megah tapi yang belum kau miliki, tidak bisa mengalahkan kesederhanaan yang telah kau miliki.

Syukurilah apa pun yang telah ada padamu.

Kesederhanaan yang kau syukuri, adalah pembuka aliran nikmat Tuhan yang lebih besar lagi.

Mario Teguh",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154852068724881/?type=3,2016-06-21 23:00:00,51146,684,6773,50202,796,10,4,130,4
52472954880_10154854939354881,"Apa pun kata orang lain, 
yang penting kamu baik dan membahagiakan orang tua, 
rajin belajar, jujur, giat bekerja, setia dalam cintamu, 
dan taat beribadah. 

Hidup ini tentang kamu, bukan mereka. 

Woles aja, and be happy. 

Mario Teguh - Loving you all as always",,status,,2016-06-21 20:00:00,35746,624,3106,35199,499,26,13,8,1
52472954880_10154852089724881,"Katakanlah Aamiin atau Like,
jika doa pagi ini adalah doa Anda juga ...

Tuhan,
terima kasih atas pagi yang penuh harapan yang kumasuki hari ini.

Mohon tinggikanlah ilmuku, besarkan dan lancarkanlah rezekiku, indahkanlah cintaku, dan bahagiakanlah keluargaku.

Aamiin

-----------------

Mario Teguh - Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154852089724881/?type=3,2016-06-21 17:00:00,42839,5040,2632,42346,468,7,11,6,1
52472954880_10154856090934881,"Sahabat-sahabat saya yang berpuasa, katakanlah Aamiin atau Like, jika doa puasa hari ini adalah doa Anda juga.

Love you! ☺☺☺
.
Mario Teguh

Selamat makan Sahur ya?

Semoga di bulan yang penuh rahmat ini, semua kerinduan hati Anda dipenuhi.

Aamiin ☺☺☺",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154856090934881/?type=3,2016-06-21 14:59:19,68159,5718,2776,67364,723,7,4,59,2
52472954880_10154852157044881,"Katakanlah Aamiin atau Like,
jika doa malam ini adalah doa Anda juga ...

Tuhan,
kuatkanlah hatiku malam ini, 
bangunkanlah aku esok sebagai jiwa yang lebih tenang, 
yang kesehatannya baik, yang rezekinya lancar, 
dan yang keluarganya rukun, dalam cinta yang tulus dan setia.

Aamiin

-----------------

Mario Teguh - Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154852157044881/?type=3,2016-06-21 10:00:00,46989,4767,3081,46378,528,7,7,67,2
52472954880_10154848962824881,"Tuhan akan memberimu yang lebih baik daripada yang diambil darimu.

Bersabarlah. 

Mario Teguh",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154848962824881/?type=3,2016-06-21 07:00:01,92724,2233,8904,90956,1368,33,28,337,2
52472954880_10154849820514881,"Katakanlah Aamiin atau Like, jika doa senja ini adalah doa Anda juga. 

Love you! :) :) :) 

Mario Teguh - Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154849820514881/?type=3,2016-06-21 05:00:00,47225,3842,1898,46681,469,6,5,63,1
52472954880_10154848897819881,"Sabar itu tidak ada batasnya, karena kesabaran adalah sifat Tuhan. 

Yang terbatas adalah kesabaranmu, yaitu saat engkau berhenti bersabar. 

Sesungguhnya keikhlasanmu untuk menerima bahwa niat Tuhan selalu baik bagimu, akan memanjangkan kesabaranmu. 

Jangan berhenti, jangan menyerah. 

Mario Teguh",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154848897819881/?type=3,2016-06-21 03:00:01,48786,706,4188,48011,674,7,7,87,0
52472954880_10154852071994881,"Ada orang yang bersaing denganmu secara rahasia, dan jika engkau kelihatannya menang, dia membencimu. 

Mario Teguh

-----------------

Anda pernah melihat orang seperti itu? :) :) :)",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154852071994881/?type=3,2016-06-21 01:00:00,55268,1124,7080,54200,526,118,386,30,8
52472954880_10154840867169881,"Diam itu emas terutama bagi orang yang bicaranya murah.

Mario Teguh

-----------------

Memang sebagian orang lebih baik diam daripada bicara.

Kita sependapat? ☺☺☺",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154840867169881/?type=3,2016-06-20 23:00:01,52260,627,3210,51408,597,32,216,5,2
52472954880_10154854267754881,"Sahabat saya yang baik hatinya,

LINE Official Account Mario Teguh sudah di-launch hari ini. 

LINE @marioteguhofficial 
(Dengan logo hijau. Yang selain itu, bukan asli MT)

Add saya ya? 

Love you! :) :) :)

Mario Teguh",,status,,2016-06-20 21:34:32,7408,83,15,7352,48,5,1,1,1
52472954880_10154852081304881,"Apa pun yang terjadi hari ini, pokoknya yang penting FOKUS, FOKUS, FOKUS!

Orait? ☺☺☺

Mario Teguh 

-----------------

Jangan pikirkan yang tidak ada gunanya. 

Fokuskan pikiran Anda pada yang penting bagi sukses masa depan Anda.",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154852081304881/?type=3,2016-06-20 20:00:01,56176,723,4428,55363,741,47,14,8,3
52472954880_10154852040494881,"Katakanlah Aamiin atau Like, jika doa pagi ini adalah doa Anda juga. 

Love you! :) :) :) 

Mario Teguh - Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154852040494881/?type=3,2016-06-20 17:00:01,37273,3682,1928,36849,404,2,16,2,0
52472954880_10154853648034881,"Sahabat-sahabat saya yang berpuasa, katakanlah Aamiin atau Like, jika doa puasa hari ini adalah doa Anda juga.

Love you! ☺☺☺
.
Mario Teguh

Selamat makan Sahur ya?

Semoga di bulan yang penuh rahmat ini, semua kerinduan hati Anda dipenuhi.

Aamiin ☺☺☺",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154853648034881/?type=3,2016-06-20 15:44:13,77819,6713,2916,76842,923,16,23,15,0
52472954880_10154853504539881,"Kita sependapat?

Selamat Sahur ya?
Semoga puasa Anda hari ini lancar dan penuh berkah.

Aamiin :) :) :)

Mario Teguh",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154853504539881/?type=3,2016-06-20 14:43:05,44869,1158,1877,44338,486,31,9,3,2
52472954880_10154849410919881,"Katakanlah Aamiin atau Like,
jika doa malam ini adalah doa Anda juga ...

Tuhan,
mohon jadikanlah aku pribadi yang beruntung dalam kesehatan,
dalam pendidikan, dalam pekerjaan dan rezeki,
dalam cinta, dalam berkeluarga, dan dalam kemanfaatan bagi sesama.

Aamiin

---------------

Mario Teguh - Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154849410919881/?type=3,2016-06-20 10:00:01,54833,4899,2747,54119,671,16,18,6,3
52472954880_10154851301999881,"Mencintailah dengan setia, 
bersahabatlah dengan ceria, bangunlah kesejahteran dan nama yang baik, 
hiduplah sehat sampai masa tua yang rukun, 
dan wariskanlah ilmu dan kemanfaatan bagi anak-anak dan sesamamu.

Itulah tujuan dari berkeluarga.

Mario Teguh - Loving you all as always",Timeline Photos,photo,https://www.facebook.com/marioteguh/photos/a.415355429880.177881.52472954880/10154851301999881/?type=3,2016-06-20 07:00:07,57490,687,5408,56517,916,38,8,9,2
