status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
19691681472_10154357777121473,"Michael Jackson ONE combines the best of Michael and the best of Cirque du Soleil. Head to Vegas to see the only show that appeals to music fans, dance fans, Cirque du Soleil fans and, of course, Michael Jackson fans. And if you are a subscriber to the Michael Jackson Newsletter, you can take advantage of a special offer for tickets to the show. To make sure that you receive the offer, join the Michael Jackson Newsletter now: http://www.michaeljackson.com/newsletter.

For more information about the show, visit the Michael Jackson ONE page: http://www.michaeljackson.com/michael-jackson-one/",Timeline Photos,photo,https://www.facebook.com/michaeljackson/photos/a.108910151472.86254.19691681472/10154357777121473/?type=3,2016-06-23 11:30:00,11563,301,634,10496,985,60,8,13,1
19691681472_10154352480066473,"""Jackson's sound, style and dance moves inspired subsequent generations of pop, soul, R&B and hip-hop artists."" –MTV",Timeline Photos,photo,https://www.facebook.com/michaeljackson/photos/a.108910151472.86254.19691681472/10154352480066473/?type=3,2016-06-22 11:30:00,124424,1153,4478,115405,7715,152,50,1080,22
19691681472_10154352461576473,Happy summer to those of you in the northern hemisphere! Which of Michael's songs is your favorite for summer listening?,,status,,2016-06-21 11:30:00,16010,2072,233,14913,1018,49,11,14,5
19691681472_10154349863511473,"""He became the most significant mainstream dance icon since the mid-century heyday of Fred Astaire, Gene Kelly and Sammy Davis Jr., his signature moves such as the moonwalk and the zombie being copied by thousands of imitators."" –The Independent",Timeline Photos,photo,https://www.facebook.com/michaeljackson/photos/a.108910151472.86254.19691681472/10154349863511473/?type=3,2016-06-20 11:30:00,183150,1802,7414,169250,12663,899,114,213,11
19691681472_10154341942221473,"#FlashbackFriday MJ on set shooting the ""Leave Me Alone"" video in 1988.",Timeline Photos,photo,https://www.facebook.com/michaeljackson/photos/a.108910151472.86254.19691681472/10154341942221473/?type=3,2016-06-17 11:30:00,193709,1963,7764,180490,10808,258,97,2034,22
19691681472_10154339040831473,"#MJHistory ""Scream"" peaked on the Billboard Hot 100 this week in 1995.",Timeline Photos,photo,https://www.facebook.com/michaeljackson/photos/a.108910151472.86254.19691681472/10154339040831473/?type=3,2016-06-16 11:30:00,190801,1766,6293,177498,12061,768,125,325,24
19691681472_10154336819736473,"""You can't be crowned the King of Pop without infiltrating and influencing all facets of pop-ular culture."" –Complex, 2014",,status,,2016-06-15 11:30:00,14784,303,248,13826,867,69,9,11,2
19691681472_10154334169421473,"""Whether by accident or design, Thriller's songs were utterly aspirational."" –The Times",Timeline Photos,photo,https://www.facebook.com/michaeljackson/photos/a.108910151472.86254.19691681472/10154334169421473/?type=3,2016-06-14 11:30:00,147473,1078,5461,138038,7782,253,75,1307,18
19691681472_10154331778271473,"""While the show features innovative new Cirque du Soleil acrobatics, cutting-edge video and light effects, state-of-the art surround-sound environment and amazing dance numbers, the star of the show is Michael Jackson."" –LasVegas.com. Plan your trip to the fourth annual birthday celebration at Michael Jackson ONE: https://www.facebook.com/events/1029003090508470/",Timeline Photos,photo,https://www.facebook.com/michaeljackson/photos/a.108910151472.86254.19691681472/10154331778271473/?type=3,2016-06-13 11:30:00,50932,466,1192,47930,2540,377,30,49,6
19691681472_10154323712946473,"""Jackson's stroke of inspiration was to fuse black R&B and white rock — something that is now routine, but had not at that point been attempted by a big-name pop act."" –The Guardian",Timeline Photos,photo,https://www.facebook.com/michaeljackson/photos/a.108910151472.86254.19691681472/10154323712946473/?type=3,2016-06-10 11:30:00,160432,1386,6834,149956,9510,628,87,239,12
