status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
6934857868_10153848731852869,Just in case you missed this story like I did:,Governor Makes Huge Demand To Obama: Do THIS To Food Stamps Or I'm Ending Them Altogether,link,http://hucka.be/uvNEHV,2016-06-24 21:30:00,505,62,127,449,21,7,7,1,20
6934857868_10153848730402869,,Watch: Hillary Was Just Reading Off Teleprompter When She Accidentally Let 1 Word Slip That...,link,http://hucka.be/k1pv66,2016-06-24 20:30:00,538,81,154,314,3,5,206,1,9
6934857868_10153848728417869,Check this out ==>,Breaking: Donald Rumsfeld Just Rocked Presidential Race With Game Changing Announcement,link,http://hucka.be/y9XkTO,2016-06-24 19:30:00,581,21,123,538,31,7,4,1,0
6934857868_10153848723282869,"This is a heartwarming, must-read story.  It's a much-needed reminder of how every life is precious, and how parents who welcome special needs children and love them unconditionally deserve not just our quiet respect and support, but to hear us express it occasionally.","2 Women Stared At Her Baby, A Man Steps Forward. What He Says Next Left Mom Sobbing.",link,http://hucka.be/VBtHWr,2016-06-24 18:30:00,731,36,118,634,91,6,0,0,0
6934857868_10153848727387869,,"BOOM: Krauthammer Nails Obama, OBLITERATES His ""Fanatical"" Cover-Up...",link,http://hucka.be/obyf1m,2016-06-24 17:30:00,794,30,117,747,20,6,12,1,8
6934857868_10153848720962869,"My fellow former GOP Presidential candidate Scott Walker seems to be backtracking on his pledge to support whoever won the Republican nomination, even if it was Donald Trump.  Check out what he said about a possible convention rule change for delegates that has some pundits wondering whether an anti-Trump coup is afoot:",RIGGED: Top Republican Fights to Change Delegate Rules to Sabotage Trump Campaign,link,http://hucka.be/srsC0w,2016-06-24 16:30:00,800,511,155,361,9,30,5,19,376
6934857868_10153848716412869,"The latest revelation on Hillary Clinton's State Department email server is that for several weeks during 2010, key security features on it were disabled, allowing easy access to foreign hackers.  The more I read about Hillary's mindboggling lapses in cyber security, the more I'm reminded of Woody Allen's old joke about how his grandfather invented the popcorn machine, but didn't get rich due to his failure to grasp the concept of plugging it in.",BREAKING: This Critical Setting Was DISABLED On Hillary's Private Server... She's DONE,link,http://hucka.be/FHPcHQ,2016-06-24 15:30:00,1246,168,431,932,12,70,26,6,200
6934857868_10153848714957869,"For young Bernie Sanders supporters who don't like having to slog through long, dull books about economics and history, here are the effects of socialism on Venezuela as expressed in pictures:","The Next Time Someone Tells You Socialism Works, Show Them These Pics from Venezuela",link,http://po.st/aSNR3x,2016-06-24 13:30:00,3161,135,1852,2741,21,50,17,245,87
6934857868_10153848708997869,President Trump won't come soon enough...,ALERT: Obama Admin Is Officially About To FORCE Churches To Do The Unthinkable,link,http://hucka.be/dS6b98,2016-06-24 12:30:00,2808,416,1055,1868,27,58,9,103,743
6934857868_10153848680297869,Poor President Obama...,BREAKING: Obama Unleashes Epic Whine After His Amnesty Rejected By SCOTUS,link,http://hucka.be/HgZ1js,2016-06-24 11:30:00,1707,174,179,1219,46,7,416,7,12
6934857868_10153848604042869,Penny Lane! And a polling place on Penny Lane! Make sure to check out my video and blog about Brexit today too!,Photos from Mike Huckabee's post,photo,https://www.facebook.com/mikehuckabee/photos/a.74256207868.77439.6934857868/10153848603392869/?type=3,2016-06-24 08:30:00,492,20,11,476,10,5,0,0,1
6934857868_10153848593247869,,,video,https://www.facebook.com/mikehuckabee/videos/10153848593247869/,2016-06-24 07:30:00,3070,125,849,2850,196,20,2,0,2
