status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
17774451468_10154154735571469,It's time for Mr Bean and Teddy to get ready for their camping trip!,Mr Bean - Preparing To Go Camping,video,https://youtu.be/fgURU75gTMQ,2016-06-23 11:35:48,16570,223,338,16079,166,6,320,0,0
17774451468_10154146584106469,,Timeline Photos,photo,https://www.facebook.com/MrBean/photos/a.10150124817766469.327854.17774451468/10154146584106469/?type=3,2016-06-21 10:00:01,119886,2171,1657,114008,946,104,4795,16,17
17774451468_10154135502911469,,Timeline Photos,photo,https://www.facebook.com/MrBean/photos/a.10150124817766469.327854.17774451468/10154135502911469/?type=3,2016-06-19 10:00:01,235852,2395,10050,218579,2988,188,13992,52,53
17774451468_10154138120151469,Mr Bean is ready to do some shopping but beware - Teddy Thieves are on the loose!,www.youtube.com,video,https://www.youtube.com/watch?v=58Z8J0PbLS8,2016-06-18 11:00:02,20913,214,257,20338,211,20,336,0,8
17774451468_10154135502476469,,Timeline Photos,photo,https://www.facebook.com/MrBean/photos/a.10150124817766469.327854.17774451468/10154135502476469/?type=3,2016-06-17 09:00:01,223602,880,2228,215591,2872,259,4814,27,39
17774451468_10154136175231469,Mr. Bean's sweet treat causes him pain!,Mr Bean - Broken Tooth,video,https://www.youtube.com/watch?v=t7C_a4xIuSM,2016-06-16 12:00:06,24742,231,448,23977,245,19,489,9,3
17774451468_10154121339141469,"Mr Bean's chasing a ray of sunshine!
https://www.youtube.com/watch?v=c-AhlualVO0",Mr Bean - Ray Of Sunshine,video,https://www.youtube.com/watch?v=c-AhlualVO0,2016-06-14 10:00:00,21886,235,471,21246,238,11,389,2,0
17774451468_10154105000496469,"Mr Bean is enjoying the sunshine....that is until someone gets in the way!
https://youtu.be/EB_HBrKEgzM",Mr Bean - Sun Block,video,https://youtu.be/EB_HBrKEgzM,2016-06-06 10:00:00,22015,326,546,21293,225,21,475,0,1
17774451468_10154014535186469,,Timeline Photos,photo,https://www.facebook.com/MrBean/photos/a.10150124817766469.327854.17774451468/10154014535186469/?type=3,2016-06-03 10:00:01,196913,976,9849,190476,2556,136,3656,59,30
17774451468_10154025592666469,,Timeline Photos,photo,https://www.facebook.com/MrBean/photos/a.10150124817766469.327854.17774451468/10154025592666469/?type=3,2016-06-01 10:00:00,196366,859,5378,190857,2991,239,2234,20,25
17774451468_10154072967136469,Mr Bean competes with a Royal Guard.  Can he break his focus? https://www.youtube.com/watch?v=hcSP39U4EgU,www.youtube.com,video,https://www.youtube.com/watch?v=hcSP39U4EgU,2016-05-31 10:00:00,30109,262,905,28906,299,29,867,5,3
17774451468_10154014536466469,,Timeline Photos,photo,https://www.facebook.com/MrBean/photos/a.10150124817766469.327854.17774451468/10154014536466469/?type=3,2016-05-26 10:00:00,233121,1332,3423,218235,2512,339,11961,30,43
17774451468_10154072994046469,"HAPPY GEEK PRIDE DAY! Watch Mr Bean's geeky moments.
https://youtu.be/6aK2CKrdjbE",Mr Bean - Chemistry experiment,video,https://youtu.be/6aK2CKrdjbE,2016-05-25 10:00:00,27752,330,1447,26498,331,20,896,2,4
17774451468_10154039749311469,"Cooking Sunday lunch? Here's how not to do it! 
https://www.youtube.com/watch?v=2545atoypgs",Mr Bean - Dinner for Two,video,https://www.youtube.com/watch?v=2545atoypgs,2016-05-22 10:00:01,19154,214,588,18491,177,15,467,2,2
17774451468_10154014534886469,,Timeline Photos,photo,https://www.facebook.com/MrBean/photos/a.10150124817766469.327854.17774451468/10154014534886469/?type=3,2016-05-19 10:00:02,167980,1218,3695,157505,1108,172,9128,31,36
17774451468_10154039747541469,"Mr Bean shows you how to get that all important parking spot! 
https://www.youtube.com/watch?v=LtQyyzpzvV0",www.youtube.com,video,https://www.youtube.com/watch?v=LtQyyzpzvV0,2016-05-17 10:00:01,12179,156,194,11824,128,9,216,1,1
17774451468_10154038150786469,"Having sleeping troubles? Let Mr. Bean show you how to best count sheep. 
https://www.youtube.com/watch?v=2HGXTMoGWGA",www.youtube.com,video,https://www.youtube.com/watch?v=2HGXTMoGWGA,2016-05-12 10:00:00,11419,264,325,11007,110,7,293,2,0
17774451468_10154014534111469,,Timeline Photos,photo,https://www.facebook.com/MrBean/photos/a.10150124817766469.327854.17774451468/10154014534111469/?type=3,2016-05-11 10:00:00,272955,2759,6584,258111,1637,205,12898,21,34
17774451468_10154038146951469,"Happy Mother's Day!  Aren't you glad Mr. Bean's not your Mum.
https://www.youtube.com/watch?v=UGYJSC7l7Lg",Mr. Bean - How to stop a baby from crying,video,https://www.youtube.com/watch?v=UGYJSC7l7Lg,2016-05-08 06:00:00,48030,522,2395,45624,592,30,1623,12,4
17774451468_10154040348126469,"Brand New Friday Fun! 
Will Mr Bean get his ""Just Desserts""",Timeline Photos,photo,https://www.facebook.com/MrBean/photos/a.10150124817766469.327854.17774451468/10154040348126469/?type=3,2016-05-06 10:00:01,58541,480,1734,56140,613,55,1708,3,11
17774451468_10154038115216469,"Relive the very best of Mr. Bean's very worst moments!
https://www.youtube.com/watch?v=ycNHISztqTo",Mr. Bean - Embarrassing Moments Compilation,video,https://www.youtube.com/watch?v=ycNHISztqTo,2016-05-04 10:01:56,28539,416,1931,26821,395,30,1287,4,2
17774451468_10153934503731469,"It's International Dance Day! Mr Bean has got dancing feet, do you?
https://www.youtube.com/watch?v=FreVBXXyyME",Mr. Bean (NEW Series) - Dancing Bean,video,https://www.youtube.com/watch?v=FreVBXXyyME,2016-04-29 10:00:01,22619,284,516,22036,199,13,366,2,3
17774451468_10154014533361469,Caption this...,Timeline Photos,photo,https://www.facebook.com/MrBean/photos/a.10150124817766469.327854.17774451468/10154014533361469/?type=3,2016-04-28 10:00:01,299330,3605,6443,287368,2508,240,9149,26,36
17774451468_10153934503036469,"Monday mornings, Mr. Bean style!
https://www.youtube.com/watch?v=pLu50mAoXxo",Mr. Bean - Alarm Clock,video,https://www.youtube.com/watch?v=pLu50mAoXxo,2016-04-25 10:00:01,34144,360,1878,32687,390,26,1031,4,6
17774451468_10153934497106469,"Happy Earth Day! Mr Bean is doing his bit to look after the Earth, are you?
https://www.youtube.com/watch?v=FwSQNpd-PuQ",Mr Bean (NEW series) - Litterbugs Clip,video,https://www.youtube.com/watch?v=FwSQNpd-PuQ,2016-04-22 10:00:03,29631,293,794,28880,315,22,410,0,3
