status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
23497828950_10153713674343951,"Delhi, the capital territory of India, is home to unbreathable air and undrinkable water. Browse through a series of heartbreaking photos and get a glimpse of life in the world's most polluted city.",What It's Like to Live in the World's Most Polluted City,link,http://on.natgeo.com/28P9SWC,2016-06-23 02:20:08,2726,141,568,1808,3,44,9,679,183
23497828950_10153713465628951,"At first glance, these look like ordinary dollhouses, but each is a carefully crafted crime scene—right down to the tiny murder weapon. Take a look.",Peek Into Tiny Crime Scenes Hand-Built by an Obsessed Millionaire,link,http://on.natgeo.com/28OGC6e,2016-06-22 23:30:11,1668,86,292,1501,43,122,1,1,0
23497828950_10153713280978951,"Why do scorpions glow in the dark? Scientists are unsure, but it's certainly a marvelous sight.",Why Do Scorpions Glow in the Dark?,video,https://www.facebook.com/natgeo/videos/10153713280978951/,2016-06-22 21:30:47,11966,227,1973,10988,247,712,14,4,1
23497828950_10153713078588951,A superbug resistant to colistin—a last-ditch antibiotic—has been reported in seagulls on two continents. Here's what you should know.,Seagulls Are Carrying a Dangerous Superbug Through the Skies,link,http://on.natgeo.com/28OpMEy,2016-06-22 19:30:09,3043,120,525,2683,15,215,3,106,21
23497828950_10153712842063951,National parks have preserved natural and cultural sites for more than 100 years. Browse through historic photos and find out how you can help protect our parks.,Vintage Pictures Show Why Parks Should Be Preserved,link,http://on.natgeo.com/28Oca8v,2016-06-22 17:30:13,5255,31,389,5038,163,51,1,1,1
23497828950_10153712672683951,Ancient Egyptians mummified cats to appease the gods—and now archaeologists can see past the wrappings without unraveling the mummy.,Peek Inside Cat Mummies With New X-ray Images,link,http://on.natgeo.com/28NYGth,2016-06-22 15:46:29,5925,91,568,5566,82,272,1,4,0
23497828950_10153712376603951,"Like paleontologists describing a fossil, astronomers have teased out the backstory of the first directly detected gravitational waves.",Ancient Stars Unleashed a Space-Time Tsunami Felt on Earth,link,http://on.natgeo.com/28NMDAi,2016-06-22 13:15:07,5746,49,549,5399,76,267,4,0,0
23497828950_10153712303138951,"We are LIVE from El Eden Ecological Reserve in Mexico, where we are setting up camera traps to capture footage of jaguars and crocodiles in the wild. Post your questions for Dr. Marco Lazcano, General Director of the reserve, in the comments below!",,video,https://www.facebook.com/natgeo/videos/10153712303138951/,2016-06-22 12:35:42,4466,381,196,4010,273,112,35,11,25
23497828950_10153712157598951,How do mother bears protect their cubs from males looking to mate? A new study says that some are seeking refuge near humans.,Brown Bears Use 'Human Shield' to Protect Their Cubs,link,http://on.natgeo.com/28Nzc3f,2016-06-22 11:15:11,14506,146,871,13430,432,581,16,45,2
23497828950_10153711919398951,There are 5.25 trillion pieces of plastic debris in the ocean—and it kills one million animals every year. Help make a difference.,This is How it Feels to Be Trapped in a Plastic Bag,video,https://www.facebook.com/natgeo/videos/10153711919398951/,2016-06-22 09:20:47,32391,436,21187,23920,200,181,10,5383,2697
