status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
8245623462_10154118973673463,,"Ainge, Celtics have plenty of options in Draft (and beyond)",link,http://www.nba.com/2016/news/features/ian_thomsen/06/21/danny-ainge-boston-celtics-have-plenty-of-options-in-2016-draft-and-beyond/index.html?ls=iref%3Anba%3Adraft%3Aheadlines,2016-06-22 22:00:00,1041,31,27,1029,3,2,5,0,2
8245623462_10154119685743463,Shaquille O' Neall at American Express Teamed Up talking about when it's time to take over in a championship situation. #NBAFinals #AmexNBA,,video,https://www.facebook.com/nba/videos/10154119685743463/,2016-06-22 21:31:40,600,12,12,595,2,0,3,0,0
8245623462_10154119107443463,"Kris Dunn was a projected top pick last year; after staying to earn his degree, his prospects have risen even higher. #NBADraft",Seeing the bigger picture will pay off for Providence's Dunn,link,http://on.nba.com/28OAjMH,2016-06-22 19:00:00,3205,34,62,3171,25,6,2,0,1
8245623462_10154118952923463,,Cleveland Cavaliers,photo,https://www.facebook.com/Cavs/photos/a.183865078277.156512.69048043277/10154348675503278/?type=3,2016-06-22 15:29:42,39208,272,1,38038,840,178,55,3,94
8245623462_10154118914123463,,Chicago Bulls,photo,https://www.facebook.com/chicagobulls/photos/a.387674096613.195715.37152881613/10154396890196614/?type=3,2016-06-22 15:18:22,98071,1543,6,89234,1157,531,291,6240,619
8245623462_10154118912253463,,New York Knicks,photo,https://www.facebook.com/NYKnicks/photos/a.71815779615.98182.21410634615/10154977590259616/?type=3,2016-06-22 15:17:27,98067,6492,25,86556,971,6096,777,1267,2400
8245623462_10154118695898463,Top #NBADraft prospects come through Media & Portraits on the day before tomorrow's Draft presented by State Farm!,#NBADraft Media Availability & Portraits,photo,https://www.facebook.com/nba/photos/a.10154118694218463.1073742142.8245623462/10154118695898463/?type=3,2016-06-22 13:41:57,6578,68,250,6474,72,28,4,0,0
8245623462_10154118419958463,We're live with Dejounte Murray at NBA Draft media availability!,,video,https://www.facebook.com/nba/videos/10154118419958463/,2016-06-22 11:09:04,2853,275,79,2682,109,26,20,6,10
8245623462_10154118385723463,LeBron James delivers a Championship Parade to Cleveland!,,video,https://www.facebook.com/nba/videos/10154118385723463/,2016-06-22 10:56:18,97291,1506,8969,92569,3559,189,674,25,275
8245623462_10154118351473463,We're LIVE with Marquese Chriss at #NBADraft media availability.,,video,https://www.facebook.com/nba/videos/10154118351473463/,2016-06-22 10:48:51,2150,217,25,2024,71,12,23,8,12
8245623462_10154118313943463,We're live at NBA Draft media availability with Henry Ellenson!,,video,https://www.facebook.com/nba/videos/10154118313943463/,2016-06-22 10:34:00,2384,294,41,2243,64,19,25,16,17
8245623462_10154118295518463,We're live with Malik Beasley at NBA Draft media availability!,,video,https://www.facebook.com/nba/videos/10154118295518463/,2016-06-22 10:26:34,1996,173,22,1897,51,11,21,3,13
8245623462_10154118278198463,,NBA France,video,https://www.facebook.com/NBAFrance/videos/10153710479231167/,2016-06-22 10:18:55,1276,42,0,1243,20,8,5,0,0
8245623462_10154118252993463,We're LIVE with Domantas Sabonis at #NBADraft media availability.,,video,https://www.facebook.com/nba/videos/10154118252993463/,2016-06-22 10:09:13,2631,267,73,2464,108,20,18,8,13
8245623462_10154115991718463,"Get to know #NBADraft prospect Dragan Bender, drawing Porzingis comparisons and long look atop Thursday's draft board",Bender getting deep look for top-flight draft position,link,http://www.nba.com/2016/news/features/scott_howard_cooper/06/17/knicks-porzingis-having-impact-in-this-years-draft/index.html?ls=iref%3Anba%3Adraft%3Aheadlines,2016-06-22 10:00:00,503,12,9,500,2,1,0,0,0
8245623462_10154118207868463,We're LIVE with Jaylen Brown at #NBADraft media availability.,,video,https://www.facebook.com/nba/videos/10154118207868463/,2016-06-22 09:47:55,1159,158,21,1072,45,18,15,1,8
8245623462_10154118189968463,We're LIVE with Jamal Murray at #NBADraft media availability.,,video,https://www.facebook.com/nba/videos/10154118189968463/,2016-06-22 09:35:46,1295,238,25,1201,48,13,13,5,15
8245623462_10154118175583463,,NBA Australia,video,https://www.facebook.com/NBAAustralia/videos/1212870332058570/,2016-06-22 09:27:46,2187,60,0,2142,28,12,2,1,2
8245623462_10154118153413463,We're LIVE with Skal Labissiere at #NBADraft media availability.,,video,https://www.facebook.com/nba/videos/10154118153413463/,2016-06-22 09:15:31,1439,206,44,1318,61,25,14,12,9
