status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5941596308_10153743599011309,Your ticket to the champions' celebration.,,video,https://www.facebook.com/nikebasketball/videos/10153743599011309/,2016-06-22 15:30:35,1511,242,67,1296,133,21,33,5,23
5941596308_10153741694016309,"The evolution of innovation. 

Check out highlights from the official KD9 launch where Kevin Durant's journey started.",KD9 Launch Experience in Austin,video,https://www.facebook.com/nikebasketball/videos/10153741694016309/,2016-06-21 19:45:35,720,17,103,692,20,7,1,0,0
5941596308_10153738663371309,Kevin Durant is LIVE now with Leo Chang. Watch to hear their insight into the KD9 evolution. Submit your questions in the comments below.,,video,https://www.facebook.com/nikebasketball/videos/10153738663371309/,2016-06-20 15:33:05,3506,2096,300,2586,672,109,73,26,40
5941596308_10153738278916309,"Zoom Everywhere. Introducing the KD9 Zero. 

Today, Kevin Durant is in Austin, Texas to launch the next generation in his signature series. Leave your questions in the comments below and he will answer LIVE later this afternooon.",KD9 Zero,photo,https://www.facebook.com/nikebasketball/photos/a.10153738278711309.1073742078.5941596308/10153738278916309/?type=3,2016-06-20 12:28:30,1185,48,137,1114,42,28,1,0,0
5941596308_10153737133881309,Just a kid from Northeast Ohio. #AlwaysBelieve,Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153737133881309/?type=3,2016-06-19 21:39:43,9695,99,2002,9267,355,34,9,3,27
5941596308_10153733538636309,"The sun sets. Legends rise.

Dominate from dawn till dusk in the Kobe XI 'Sunset.'

Available now: http://swoo.sh/1UUkyG3",Kobe XI 'Sunset',photo,https://www.facebook.com/nikebasketball/photos/a.10153733538366309.1073742077.5941596308/10153733538636309/?type=3,2016-06-18 11:16:48,817,25,48,761,35,20,1,0,0
5941596308_10153732184681309,"Legend in the making. 

Take a look back at the evolution of Kevin Durant and his signature series.",The Evolution of KD,photo,https://www.facebook.com/nikebasketball/photos/a.10153732184406309.1073742076.5941596308/10153732184681309/?type=3,2016-06-17 21:42:33,5972,89,681,5774,130,63,4,1,0
5941596308_10153710351126309,"Born fresh.
The Kyrie 2 'Kyrache' honors the '92 Nike Air Flight Huarache, released the same year Kyrie was born.

Available now: http://swoo.sh/1TXYtJF",Kyrie 2 'Kyrache',photo,https://www.facebook.com/nikebasketball/photos/a.10153710350986309.1073742074.5941596308/10153710351126309/?type=3,2016-06-08 11:00:13,1181,39,83,1107,55,19,0,0,0
5941596308_10153691013506309,,Ky-Rispy Kreme Tour,photo,https://www.facebook.com/nikebasketball/photos/a.10153690959481309.1073742073.5941596308/10153690966766309/?type=3,2016-05-26 22:53:00,172,9,144,167,5,0,0,0,0
5941596308_10153677184141309,"Kevin Durant stormed the court last night in the all new KD9. #JustDoIt

More: http://swoo.sh/1Vffpuf",Photos from Nike Basketball's post,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153677182721309/?type=3,2016-05-23 16:31:52,1085,35,67,1049,22,12,2,0,0
5941596308_10153673277781309,"Her knee went out. Her fire didn't. #SkysBack  

Go behind the scenes with Skylar Diggins as she works toward her comeback tonight.",Skylar Diggins: Return to the Court,photo,https://www.facebook.com/nikebasketball/photos/a.10153673277666309.1073742072.5941596308/10153673277781309/?type=3,2016-05-21 20:07:31,310,11,9,304,6,0,0,0,0
5941596308_10153672346016309,"New day. New opportunity.
Make it count in the Kobe XI 'Carpe Diem.' 

Available now: http://swoo.sh/1OFG0K1",Kobe XI 'Carpe Diem',photo,https://www.facebook.com/nikebasketball/photos/a.10153672345846309.1073742071.5941596308/10153672346016309/?type=3,2016-05-21 10:38:04,851,19,67,823,19,8,1,0,0
5941596308_10153668456936309,"Play with pride. Perform with precision.

Show out for the Land in the #KYRIE2 'On-Court.'
Available now: http://swoo.sh/1rWKcQP",Kyrie 2 'On-Court',photo,https://www.facebook.com/nikebasketball/photos/a.10153668456831309.1073742070.5941596308/10153668456936309/?type=3,2016-05-19 11:38:17,1185,33,122,1136,35,14,0,0,0
5941596308_10153663926501309,"Kyrie Irving has cooked up his sweetest Unexpected Move yet. 

The NIKEiD KYRIE 2 Ky-Rispy Kreme. Available now: http://swoo.sh/1s2AyvW",Unexpected Move #79: The Ky-Rispy Kreme,video,https://www.facebook.com/nikebasketball/videos/10153663926501309/,2016-05-17 11:00:28,1075,55,284,1014,30,5,26,0,0
5941596308_10153662145141309,Just the beginning. #BringYourGame,Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153662145141309/?type=3,2016-05-16 12:01:11,702,10,32,690,8,4,0,0,0
5941596308_10153658063766309,"Hypnotic handles.

Put defenders to sleep in the KYRIE 2 'Crossover.' Available now in SNKRS: http://swoo.sh/1sb0u8v",Kyrie 2 'Crossover',photo,https://www.facebook.com/nikebasketball/photos/a.10153658063371309.1073742069.5941596308/10153658063766309/?type=3,2016-05-14 11:45:17,1018,32,91,961,47,9,1,0,0
5941596308_10153646514981309,"Unbreakable bond. 

Skylar Diggins shares a special Mother's Day message.",Skylar Diggins: My Biggest Fan,video,https://www.facebook.com/nikebasketball/videos/10153646514981309/,2016-05-08 11:05:03,723,19,147,677,39,1,0,0,0
5941596308_10153640110981309,"Designed by a legend. Inspired by an icon.

Infamous Nike designer Tinker Hatfield drew inspiration from the Jordan line when creating the Kobe XI Elite 'Muse II.'

Learn More: http://swoo.sh/1oZhuNg",Kobe XI Elite 'Muse II',photo,https://www.facebook.com/nikebasketball/photos/a.10153640110906309.1073742068.5941596308/10153640110981309/?type=3,2016-05-05 14:04:54,1012,32,118,957,43,11,1,0,0
5941596308_10153691013586309,,Ky-Rispy Kreme Tour,photo,https://www.facebook.com/nikebasketball/photos/a.10153690959481309.1073742073.5941596308/10153690976656309/?type=3,2016-05-05 08:03:00,79,0,144,76,3,0,0,0,0
5941596308_10153637810996309,"Motivated by family. Fueled by fire. 

The Skylar Diggins HyperRev 2016 PE. Available 5.7. Learn more: http://swoo.sh/1Zd8f8C",Skylar Diggins 2016 HyperRev PE,photo,https://www.facebook.com/nikebasketball/photos/a.10153637810916309.1073742067.5941596308/10153637810996309/?type=3,2016-05-04 11:25:39,711,31,77,681,22,7,0,1,0
5941596308_10153633838786309,"Free to dominate.  #BringYourGame 

The Elite Women's Basketball collection is fit for her. Shop the look: http://swoo.sh/1VT81G3",Nike Women's Basketball Collection,photo,https://www.facebook.com/nikebasketball/photos/a.10153633838371309.1073742066.5941596308/10153633838786309/?type=3,2016-05-02 11:09:37,316,16,18,309,7,0,0,0,0
5941596308_10153626081056309,"Icing on the cake.

The Kyrie 2 'Red Velvet' puts a sweet touch on his most innovative shoe. 

Available now: http://swoo.sh/24mJF8K",Kyrie 2 'Red Velvet',photo,https://www.facebook.com/nikebasketball/photos/a.10153626080946309.1073742065.5941596308/10153626081056309/?type=3,2016-04-28 13:01:03,823,30,94,788,27,8,0,0,0
5941596308_10153624900346309,The family legacy continues this summer. #BringYourGame,Bring Your Game: Women's Basketball,photo,https://www.facebook.com/nikebasketball/photos/a.10153624900311309.1073742064.5941596308/10153624900346309/?type=3,2016-04-27 20:21:42,328,14,12,319,9,0,0,0,0
5941596308_10153622319661309,"It started as a dream. 

This season, Skylar Diggins is back and ready to make her mark on the league. #WeGotNow",The League's 20th Season: Skylar Diggins,video,https://www.facebook.com/nikebasketball/videos/10153622319661309/,2016-04-26 11:06:05,818,31,178,785,30,3,0,0,0
5941596308_10153620419106309,"20 years ago she was just a fan. 

Now, Diana Taurasi will prove why she is one of the game's all-time greats. #WeGotNow",The League's 20th Season: Diana Taurasi,video,https://www.facebook.com/nikebasketball/videos/10153620419106309/,2016-04-25 12:49:12,1926,58,775,1844,76,6,0,0,0
5941596308_10153618654006309,"The family legacy continues. #WeGotNow

League training camp starts today for the 20th time.",Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153618654006309/?type=3,2016-04-24 13:10:17,668,15,65,636,32,0,0,0,0
5941596308_10153615019261309,No days off. No off nights. #BringYourGame,Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153615019261309/?type=3,2016-04-22 16:14:01,520,9,25,514,6,0,0,0,0
5941596308_10153607067596309,"A new reign. Welcome to the family, Breanna Stewart. #BringYourGame 

Learn more: http://swoo.sh/26aQAUs",Nike Signs Basketball Phenom Breanna Stewart,link,http://swoo.sh/26aQAUs,2016-04-18 15:25:06,339,16,23,334,3,1,1,0,0
5941596308_10153601412871309,Draymond Green took some time to talk to the De La Salle High School Varsity hoops squad about the importance of speaking your mind on and off the court.,Draymond Green: Speak Your Mind. #BringYourGame.,photo,https://www.facebook.com/nikebasketball/photos/a.10153601412541309.1073742062.5941596308/10153601412871309/?type=3,2016-04-15 19:01:29,879,17,24,865,6,5,2,0,1
5941596308_10153601415406309,"To celebrate Kobe's last game a signed ""Black Mamba Pack,"" is being auctioned on eBay, featuring a full set of 13 pairs each signed by Kobe Bryant.  All proceeds benefit The Kobe and Vanessa Bryant Family Foundation. http://www.ebay.com/itm/322066637739",Black Mamba Pack,photo,https://www.facebook.com/nikebasketball/photos/a.10153601414891309.1073742063.5941596308/10153601415406309/?type=3,2016-04-15 19:01:18,957,31,68,914,25,17,0,1,0
5941596308_10153599333636309,"Before they were familiar faces, they were NIKE EYBL. The circuit is back in Brooklyn to kick off the summer. #BringYourGame",Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153599333636309/?type=3,2016-04-14 17:07:18,1057,16,78,1033,14,9,0,1,0
5941596308_10153599029116309,"Unforgettable artistry. 

Kobe Bryant left the game with a performance that will live forever. Nike designer Eric Avar draws inspiration for the Kobe XI Elite 'Muse 1' from the indelible imagery of Yosemite National Park. 

Learn More: http://swoo.sh/1oZhuNg",Kobe XI Elite 'Muse I',photo,https://www.facebook.com/nikebasketball/photos/a.10153599028946309.1073742060.5941596308/10153599029116309/?type=3,2016-04-14 13:32:06,965,22,70,932,31,2,0,0,0
5941596308_10153598045001309,Mamba out.,Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153598045001309/?type=3,2016-04-14 00:18:01,112356,593,32569,102342,2703,109,36,7136,29
5941596308_10153595937966309,Always love the hate. #MambaDay,,video,https://www.facebook.com/nikebasketball/videos/10153595937966309/,2016-04-13 10:24:23,275007,15616,306410,256773,9307,387,1735,6759,45
5941596308_10153595300256309,"A legend on any court. 

Roger Federer pays tribute to Kobe Bryant with his special #MambaDay kicks.",Roger Federer,photo,https://www.facebook.com/Federer/photos/a.70795379940.71425.64760994940/10154067472654941/?type=3,2016-04-12 15:47:54,1140,11,0,1108,26,0,0,6,0
5941596308_10153594635606309,"Boo him or cheer him? The Mamba is ready
for both. Tell Kobe Bryant your last word. nike.com/mambaday 

#MambaDay 4.13",,video,https://www.facebook.com/nikebasketball/videos/10153594635606309/,2016-04-12 10:24:00,15007,466,4320,14425,451,12,74,42,3
5941596308_10153590136346309,"History is written one word at a time.
Join the Nike Family and share your last word on Kobe. #MambaDay nike.com/mambaday",,video,https://www.facebook.com/nikebasketball/videos/10153590136346309/,2016-04-10 10:24:01,16469,965,9290,15677,565,19,189,18,1
5941596308_10153588700676309,"Lasting legacy.
Pay tribute to the legend with these #MambaDay wallpapers for your phone.",Photos from Nike Basketball's post,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153588700081309/?type=3,2016-04-09 16:47:23,3591,36,440,3388,118,3,1,81,0
5941596308_10153588275531309,Kobe Bryant's message for his fans in China before #MambaDay 4.13,"Don't Love Me, Hate Me",video,https://www.facebook.com/nikebasketball/videos/10153588275531309/,2016-04-09 13:21:02,16841,290,4055,15865,559,45,8,359,5
5941596308_10153583813621309,"The countdown begins. #MambaDay 

http://swoo.sh/1MhAXnE",Kobe Countdown Fuels Love and Hate,link,http://swoo.sh/1MhAXnE,2016-04-07 11:55:10,1103,16,142,1052,14,0,0,37,0
5941596308_10153567699316309,"Learn from a career's worth of wisdom.

Tamika Catchings' legacy continues on our Snapchat.

👻: gonike.me/Snapchat",Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153567699316309/?type=3,2016-03-31 15:27:18,169,25,0,169,0,0,0,0,0
5941596308_10153564255421309,"Team on his back. Ring on his finger.

The Kobe IV ""Orlando"" honors Kobe's first Finals MVP.

Learn more about the Mamba pack: http://swoo.sh/1WCJPEA",Kobe IV 'Orlando',photo,https://www.facebook.com/nikebasketball/photos/a.10153564255201309.1073742059.5941596308/10153564255421309/?type=3,2016-03-30 18:00:15,817,12,52,785,26,6,0,0,0
5941596308_10153560734526309,"True competitors know when it's time to takeover. 

For Skylar Diggins, that time is now.

👻: gonike.me/Snapchat",Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153560734526309/?type=3,2016-03-29 18:34:40,191,10,2,188,2,0,1,0,0
5941596308_10153556996571309,"Don't ever compromise. 

Fight for your gold with the Hyperdunk 'Beijing.'

Learn more about the Mamba pack: http://swoo.sh/1WCJPEA",Kobe Hyperdunk 'Beijing',photo,https://www.facebook.com/nikebasketball/photos/a.10153556996481309.1073742058.5941596308/10153556996571309/?type=3,2016-03-28 18:03:29,684,20,34,661,18,5,0,0,0
5941596308_10153556827581309,"Inspired by his early days in LA, the Kobe III 'Inglewood' is built by Mamba Mentality. 

Learn more about the Mamba pack: http://swoo.sh/1WCJPEA",Kobe III 'Inglewood',photo,https://www.facebook.com/nikebasketball/photos/a.10153556827541309.1073742057.5941596308/10153556827581309/?type=3,2016-03-28 17:00:15,664,14,45,649,15,0,0,0,0
5941596308_10153545918566309,"Known anywhere. Idolized everywhere. 

The Kobe II 'Shanghai,' inspired by Kobe's hero status overseas.

Learn more about the Mamba pack: http://swoo.sh/1WCJPEA",Kobe II 'Shanghai',photo,https://www.facebook.com/nikebasketball/photos/a.10153545918476309.1073742056.5941596308/10153545918566309/?type=3,2016-03-25 18:00:32,563,17,34,547,15,1,0,0,0
5941596308_10153538716566309,"The legend grows. 

Dominate in the Kobe 1 'Lower Merion,' inspired by his star potential.

Learn more about the Mamba pack: http://swoo.sh/1WCJPEA",Kobe 1 'Lower Merion',photo,https://www.facebook.com/nikebasketball/photos/a.10153538716531309.1073742055.5941596308/10153538716566309/?type=3,2016-03-23 18:01:14,716,10,40,688,19,8,1,0,0
5941596308_10153534993886309,"Love for the game has no borders. 

The Kobe 2K4 'Rieti' pays homage to Kobe's Italian roots.

Learn more about the Mamba pack: http://swoo.sh/1WCJPEA",Kobe 2K4 'Rieti',photo,https://www.facebook.com/nikebasketball/photos/a.10153534993816309.1073742054.5941596308/10153534993886309/?type=3,2016-03-22 18:00:47,675,21,83,658,16,0,1,0,0
5941596308_10153531426351309,"The Mamba strikes.

Limited availability from Nike SNKRS and select retailers.

Stay tuned. http://swoo.sh/22s8ZwG",Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153531426351309/?type=3,2016-03-21 18:15:25,2080,50,316,1985,70,23,1,1,0
5941596308_10153527402706309,Elite performance on the court or at brunch. Stay hungry in the KOBE XI and KYRIE 2 'Easter.' Available 3.25.,2016 Easter Collection,photo,https://www.facebook.com/nikebasketball/photos/a.10153527402626309.1073742053.5941596308/10153527402706309/?type=3,2016-03-20 11:17:34,966,25,84,922,31,13,0,0,0
5941596308_10153524692721309,"March ready.

Play for banners in the KYRIE 2 DUKE QS.",Photos from Nike Basketball's post,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153524691461309/?type=3,2016-03-19 11:12:00,991,24,84,949,27,15,0,0,0
5941596308_10153514470436309,"Strap in. Take off. 

Introducing the newest addition to the FlyEase collection, the Zoom LeBron Soldier 9. Designed to let you spend more time on the court and less time on the sidelines.

Available in both adult and kids' sizes: http://swoo.sh/1Ld4Chm",Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153514470436309/?type=3,2016-03-15 17:00:45,1641,55,183,1572,36,31,1,0,1
5941596308_10153513693161309,"Locked in.

Explode into the postseason in the LEBRON XIII Elite. Available 4.14.

Learn more: http://swoo.sh/1Rj5fbo",LeBron XIII Elite,photo,https://www.facebook.com/nikebasketball/photos/a.10153513692601309.1073742051.5941596308/10153513693161309/?type=3,2016-03-15 10:49:59,1451,49,206,1360,55,32,2,0,2
5941596308_10153512045306309,"Always reppin'. Because family runs deep. #BringYourGame

Shop school gear now: http://swoo.sh/1Xrchtg",Photos from Nike Basketball's post,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153512034651309/?type=3,2016-03-14 18:30:07,933,12,87,909,18,6,0,0,0
5941596308_10153511342451309,"11 lessons from the Master.

Lesson 4 | Take the Lead.

Pressure reveals weakness and rewards strength. #BringYourGame #HeroVillain

Learn more: nike.com/kobe",Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153511342451309/?type=3,2016-03-14 12:09:50,846,6,55,828,16,1,0,1,0
5941596308_10153509654911309,,NIKEiD,photo,https://www.facebook.com/nikeid/photos/a.298371991462.155689.80515456462/10153469591106463/?type=3,2016-03-13 18:47:36,1129,18,0,1091,18,20,0,0,0
5941596308_10153506248376309,"Remembering 57.

Kyrie Irving celebrates his Ky-reer High tomorrow in this #KYRIE2 NIKEiD.

Customize now: http://gonike.me/KyreerHigh",Photos from Nike Basketball's post,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153506243756309/?type=3,2016-03-12 21:21:57,1461,24,112,1412,31,15,2,0,1
5941596308_10153497203536309,Greatness runs in the family.,Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153497203536309/?type=3,2016-03-11 02:46:09,6357,42,530,6188,128,31,4,6,0
5941596308_10153493474856309,"The KOBE XI is built with advanced technology that micro-engineers every stitch. Nike Flyknit delivers strong, lightweight support and comfort while reducing material waste.

Available now: swoo.sh/1QjSOd7",Timeline Photos,photo,https://www.facebook.com/nikebasketball/photos/a.93266066308.88800.5941596308/10153493474856309/?type=3,2016-03-09 14:44:13,1092,18,58,1049,26,15,1,0,1
5941596308_10153488480706309,"Undeniable comfort. Inexplicable bounce.

Take your game to the next level in the Elite Versatility Sock. #BringYourGame

http://swoo.sh/1TZHcyz",Elite Versatility Sock,photo,https://www.facebook.com/nikebasketball/photos/a.10153488480461309.1073742050.5941596308/10153488480706309/?type=3,2016-03-07 12:09:43,473,14,15,461,7,5,0,0,0
5941596308_10153476995941309,"Once a teammate, always a brother.
Kyrie Irving pays tribute to where it all started with the KYRIE 2 'Alma Mater.'

Available 3.5.",KYRIE 2 'Alma Mater',photo,https://www.facebook.com/nikebasketball/photos/a.10153476995836309.1073742048.5941596308/10153476995941309/?type=3,2016-03-01 12:08:28,2292,50,270,2206,57,27,0,1,1
5941596308_10153475365411309,"The game slows down. The pressure builds up. The elite fight through.

Rise to the occasion in the KD8 Elite. Available 4.14. http://swoo.sh/1LqAI9d",KD8 Elite,photo,https://www.facebook.com/nikebasketball/photos/a.10153475365276309.1073742047.5941596308/10153475365411309/?type=3,2016-02-29 16:18:57,1370,58,203,1272,51,47,0,0,0
