status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5281959998_10150834531849999,"As Britain awaits results, here's a helpful explainer on Brexit.",'Brexit': Explaining Britain's Vote on European Union Membership,link,http://nyti.ms/28RSTV7,2016-06-23 22:25:00,69,14,15,68,0,0,0,1,0
5281959998_10150834518809999,"One of the foremost experts on polling in Britain estimated voter turnout for the E.U. referendum at 72%. 

Follow our live blog for the latest results and updates.",Polling Expert Estimates Turnout in Britain at 72 Percent,link,http://nyti.ms/28UdQBP,2016-06-23 21:55:00,250,34,38,213,4,28,2,3,0
5281959998_10150834522404999,"And with the third pick, the NBA draft could officially begin.","To Escape N.B.A.'s Depths, 76ers Go Down Under and Draft Ben Simmons",link,http://nyti.ms/28UeBeb,2016-06-23 21:40:18,48,2,1,47,0,0,1,0,0
5281959998_10150834444634999,The move by YouTube puts it into more direct competition with players like Netflix and traditional cable networks.,"YouTube Red Buys 'Step Up,' Its First Big-Budget TV Drama",link,http://nyti.ms/28RJQ6Q,2016-06-23 21:25:00,83,9,5,77,2,1,3,0,0
5281959998_10150834449629999,"""I think there are going to be some parties tonight in high school counseling offices and in college admissions offices.""",Supreme Court Decision on Affirmative Action Cheered by College Admissions Experts,link,http://nyti.ms/28U8cjf,2016-06-23 20:55:00,301,19,22,280,13,0,0,0,8
5281959998_10150834392504999,"A prime place to see watermelon snow? A glacier in Svalbard ""where there are no worries about what happens back home.""",Watermelon Snow: Not Edible but Important for Climate Change,link,http://nyti.ms/28RBvjB,2016-06-23 20:25:00,118,10,18,105,1,10,1,1,0
5281959998_10150834419599999,The first few days of Costco's new alliance with Visa has turned into a customer service fiasco.,Costco's Transition to Visa Cards Riddled With Problems,link,http://nyti.ms/28RFZ9E,2016-06-23 19:55:00,348,151,117,284,2,30,22,4,6
5281959998_10150834411514999,"Just after sunrise in southern China, staff photographer Josh Haner is flying a drone over the Li River and the dramatic karst landscape of the Guilin National Park.",Live: Above China's Li River,video,https://www.facebook.com/nytimes/videos/10150834411514999/,2016-06-23 19:31:28,6371,1647,1188,4927,919,481,22,5,17
5281959998_10150834398834999,"A summertime recipe for one of ""the finest dishes of the Italian diaspora in America."" Thanks, Sam Sifton!",The Secret to a Great Chicken Parm: Grill It,link,http://nyti.ms/28QcH8R,2016-06-23 19:25:00,88,9,21,85,2,1,0,0,0
5281959998_10150834392379999,"""The Supreme Court lets immigrants down once again,"" Luba Cortés writes in The New York Times Opinion Section.","My Undocumented Mom, America's Housekeeper",link,http://nyti.ms/28TVktp,2016-06-23 18:56:40,523,54,139,344,8,1,1,123,46
