status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
182736663312_10154395225788313,Can you name the song from just the first line? #PureMcCartney is out now!,Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154395225788313/?type=3,2016-06-23 21:26:01,1040,205,79,903,132,0,4,1,0
182736663312_10154395223363313,Watch Paul in virtual reality in these #PureMcCartney JauntVR documentaries: https://www.jauntvr.com/lobby/PaulMcCartney,Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154395223363313/?type=3,2016-06-23 15:28:01,9650,84,335,8904,704,35,6,1,0
182736663312_10154394875763313,"On this day: Wings finished their epic 'Wings Over America' tour at The Forum in LA. #ThrowbackThursday #TBT

Here's the Jeff Cummins illustration from the album that captured the tour.",Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154394875763313/?type=3,2016-06-23 10:28:01,7828,181,465,7193,587,41,6,1,0
182736663312_10154392614433313,"Paul on the set of 'Creating Chaos' at Abbey Road, London, 2005

Learn more about the #PureMcCartney album HERE: http://puremccartney.com/",Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154392614433313/?type=3,2016-06-22 15:37:00,27639,293,1705,25196,2273,143,22,5,0
182736663312_10154392382653313,"Paul soundchecking on stage at the Estadio Unico de la Plata in Buenos Aires last month.

If you're seeing Paul on his 'One On One' tour, post your 360 photos here on Facebook using #OneOnOne360 and share them with fans around the world!",Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154392382653313/?type=3,2016-06-22 10:41:08,4038,151,378,3445,526,60,5,2,0
182736663312_10154389534608313,Paul has launched new merch to celebrate the release of #PureMcCartney Check it out HERE: http://smarturl.it/paulmccartneystore,Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154389534608313/?type=3,2016-06-21 14:56:01,1335,52,67,1167,150,15,3,0,0
182736663312_10154389040313313,,The Beatles,video,https://www.facebook.com/thebeatles/videos/10154284945039539/,2016-06-21 05:35:34,18493,632,0,15296,2777,385,26,7,2
182736663312_10154387054203313,"Can you read Paul's lyric without singing the song in your head? 

#PureMcCartney is in stores now",Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154387054203313/?type=3,2016-06-20 20:44:00,33212,1882,4617,28526,4300,39,334,11,2
182736663312_10154386894698313,Here comes the sun! #SummerSolstice #FirstDayOfSummer Photo by #LindaMcCartney,Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154386894698313/?type=3,2016-06-20 11:25:03,50465,568,2924,46648,3633,127,48,5,4
182736663312_10154378430088313,Happiest of Father's Days!,Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154378430088313/?type=3,2016-06-19 05:11:00,62073,717,2409,57685,4103,37,243,3,2
182736663312_10154378446618313,"""They say it's your birthday...!"" 🎂🎉",Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154378446618313/?type=3,2016-06-18 04:04:00,183750,11746,40682,163432,19408,245,651,7,7
182736663312_10154379140598313,Looking for the perfect #FathersDay gift? #PureMcCartney is in stores now: https://www.paulmccartney.com/news-blogs/news/pure-mccartney-out-now,Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154379140598313/?type=3,2016-06-17 15:23:01,2848,241,258,2439,389,18,2,0,0
182736663312_10154378873583313,Win a copy of #PureMcCartney by creating a piece of artwork inspired by Paul's music: https://www.paulmccartney.com/news-blogs/news/pure-mccartney-fan-art-competition #FanArtFriday,Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154378873583313/?type=3,2016-06-17 11:09:53,3664,122,177,3263,378,20,3,0,0
182736663312_10154376007853313,"Paul during the 'RAM' recording sessions, New York. Photo by Linda McCartney #PureMcCartney #ThrowbackThursday #TBT",Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154376007853313/?type=3,2016-06-16 10:36:27,27571,467,1555,25095,2337,115,22,2,0
182736663312_10154373630073313,Can you name the song from just the first line? #PureMcCartney is out now!,Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154373630073313/?type=3,2016-06-15 20:08:01,3229,289,289,2821,370,5,33,0,0
182736663312_10154373791958313,,Meat Free Monday,video,https://www.facebook.com/supportmfm/videos/10154320561014630/,2016-06-15 10:15:10,1273,72,0,1084,172,15,2,0,0
182736663312_10154372220263313,We stand together with Orlando #OneOnOne Waldbühne Berlin,"""We stand together with Orlando""",video,https://www.facebook.com/PaulMcCartney/videos/10154372220263313/,2016-06-14 17:33:27,63178,890,18122,54786,6903,66,24,1326,73
182736663312_10154372199938313,We stand together with Orlando #OneOnOne,Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154372199938313/?type=3,2016-06-14 17:19:33,134563,1197,23632,120513,12160,74,61,1631,124
182736663312_10154371405778313,"""I was very sad to hear that Henry McCullough, our great Wings guitarist, passed away today. He was a pleasure to work with, a super-talented musician with a lovely sense of humour. The solo he played on 'My Love' was a classic that he made up on the spot in front of a live orchestra. Our deepest sympathies from my family to his.""

- Paul",Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154371405778313/?type=3,2016-06-14 11:22:49,37249,1360,8198,28369,1068,65,19,7717,11
182736663312_10154368940618313,Paul talks about the 'Early Days' of The Beatles in this new JauntVR virtual reality documentary: https://www.jauntvr.com/lobby/PaulMcCartney,Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154368940618313/?type=3,2016-06-13 16:43:01,13857,165,1250,12883,914,52,6,2,0
182736663312_10154368509383313,,A Pure Conversation with Paul McCartney,link,http://noisey.vice.com/en_uk/blog/a-pure-conversation-with-paul-mccartney?utm_source=noiseyfbenglish,2016-06-13 09:17:37,11571,147,738,10811,691,55,12,1,1
182736663312_10154363147133313,To celebrate the release of #PureMcCartney we've created a word search containing all 67 song titles. Download the full word search HERE: https://www.paulmccartney.com/downloads,Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154363147133313/?type=3,2016-06-12 04:35:00,3922,189,613,3522,265,37,98,0,0
182736663312_10154362711208313,"Paul #OneOnOne in 360° at Vicente Calderon Stadium in Madrid, 2nd June 2016.

If you're coming to see Paul play live, post your 360° photos on Facebook using the hashtag #OneOnOne360",Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154362711208313/?type=3,2016-06-11 16:37:00,8689,150,688,7798,731,146,13,0,1
182736663312_10154360947073313,Let's go England! #EURO2016 #ENG,Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154360947073313/?type=3,2016-06-11 08:06:00,14749,198,414,13958,683,70,34,1,3
182736663312_10154361560538313,"Happy band of brothers! (Olympic Stadium, Munich, Germany)",Timeline Photos,photo,https://www.facebook.com/PaulMcCartney/photos/a.488766413312.281294.182736663312/10154361560538313/?type=3,2016-06-10 17:11:04,22478,391,831,20780,1613,30,49,4,2
