status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
11777366210_10154186729191211,"When Mata Hari arrived in Paris she was penniless.
Soon she was feted as the most elegant woman in the city.
A dancer who shocked and delighted audiences, as a confidant and courtesan she bewitched the era's richest and most powerful men.
But as paranoia consumed a country at war, Mata Hari's lifestyle bought her under suspicion. Until in 1917 she was arrested in her hotel room on the Champs Elysees and accused of espionage.
The Spy tells the unforgettable story of a woman who dared to break the conventions of her time, and paid the price.
RELEASE DATE: NOV 22 (UK, AUS, NZ, INDIA, CANADA)",Timeline Photos,photo,https://www.facebook.com/paulocoelho/photos/a.241365541210.177295.11777366210/10154186729191211/?type=3,2016-06-23 12:44:51,7884,218,608,7368,390,117,8,1,0
11777366210_10154183770776211,,Timeline Photos,photo,https://www.facebook.com/paulocoelho/photos/a.241365541210.177295.11777366210/10154183770776211/?type=3,2016-06-22 09:05:01,64487,359,10623,61050,2713,63,657,2,2
11777366210_10154183744796211,Choosing the way we will depart — http://bit.ly/UcpC6q,Choosing the way we will depart,link,http://bit.ly/UcpC6q,2016-06-22 08:52:28,2524,61,337,2385,113,16,5,4,1
11777366210_10154182730506211,La Bamba!,,video,https://www.facebook.com/paulocoelho/videos/10154182730506211/,2016-06-21 22:11:10,27659,1755,1332,23946,2514,92,1103,4,0
11777366210_10154182712711211,By Rea Siochi,Timeline Photos,photo,https://www.facebook.com/paulocoelho/photos/a.241365541210.177295.11777366210/10154182712711211/?type=3,2016-06-21 22:06:08,15102,155,237,14158,602,335,7,0,0
11777366210_10154182432601211,"Worrying is a waste of time, it doesn't change anything.
It messes with your mind and steal your happiness",Timeline Photos,photo,https://www.facebook.com/paulocoelho/photos/a.241365541210.177295.11777366210/10154182432601211/?type=3,2016-06-21 19:19:06,54576,674,14692,52236,1871,84,30,341,14
11777366210_10154181278556211,2 min walk,,video,https://www.facebook.com/paulocoelho/videos/10154181278556211/,2016-06-21 09:57:17,46543,8476,2518,36200,9316,790,184,25,28
11777366210_10154181177791211,,Timeline Photos,photo,https://www.facebook.com/paulocoelho/photos/a.241365541210.177295.11777366210/10154181177791211/?type=3,2016-06-21 09:08:39,23744,200,3807,22784,855,68,20,13,4
11777366210_10154180147396211,@yess_duenas gift from her cousin #great,Timeline Photos,photo,https://www.facebook.com/paulocoelho/photos/a.241365541210.177295.11777366210/10154180147396211/?type=3,2016-06-20 21:01:23,4792,68,66,4387,268,19,118,0,0
11777366210_10154179095386211,Life: a metaphor,Timeline Photos,photo,https://www.facebook.com/paulocoelho/photos/a.241365541210.177295.11777366210/10154179095386211/?type=3,2016-06-20 11:58:15,10194,83,333,9817,313,47,14,2,1
11777366210_10154177600341211,Relax,"Instagram video by Paulo Coelho • Jun 19, 2016 at 3:42pm UTC",video,https://instagram.com/p/BG12slOFqIi/,2016-06-19 20:32:40,4643,127,389,4340,280,15,8,0,0
11777366210_10154176177641211,Daily walk,,video,https://www.facebook.com/paulocoelho/videos/10154176177641211/,2016-06-19 10:02:46,40284,8332,1907,31620,7975,449,191,24,25
11777366210_10154174190166211,,Timeline Photos,photo,https://www.facebook.com/paulocoelho/photos/a.241365541210.177295.11777366210/10154174190166211/?type=3,2016-06-18 15:00:40,55851,362,9197,53561,1568,104,23,591,4
11777366210_10154173294431211,,Timeline Photos,photo,https://www.facebook.com/paulocoelho/photos/a.241365541210.177295.11777366210/10154173294431211/?type=3,2016-06-18 07:56:31,36362,211,5497,34572,1687,88,13,2,0
