status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
5956341397_10153678461846398,"My wish is for every outcast and delinquent cast aside kid to know in their imaginary crystal ball, that one day, they will have the ability and choices to create a village for themselves. A village of all walks of life, all orientations, all ethnicities. A village of love and acceptance and a safe place to be themselves. It is a choice they will have and if they just hold on.... I love my village ❤️👊🏻🙏🏾",Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153678461846398/?type=3,2016-06-23 10:11:00,21388,270,1223,18641,2704,10,33,0,0
5956341397_10153678465426398,"Like father, like daughter",Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153678465426398/?type=3,2016-06-19 08:33:01,289260,1365,2214,268417,19459,248,1124,11,1
5956341397_10153678460246398,"Back to the 1920's, gladly",Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153678460246398/?type=3,2016-06-17 13:20:03,130436,835,964,121786,8097,495,50,3,5
5956341397_10153670023931398,Love letter from London,Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153670023931398/?type=3,2016-06-13 17:12:17,120489,575,6865,107715,10635,69,44,1964,62
5956341397_10153667995951398,"I'm absolutely heartbroken about the events in Orlando. I cannot believe that this is our world. My heart goes out to all of those affected, family and friends and loved ones. I will be praying that we all find a different way to co-exist in this world together. I will be praying for love and tolerance and peace. 💔",Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153667995951398/?type=3,2016-06-12 16:44:52,278487,1855,65707,236909,19652,85,38,21609,194
5956341397_10153660855461398,"Women fought and died for the right to do this. Still, in many places, women cannot do this. Raise your voice. Be heard. Even if you don't agree with the choices, choose. Respect your rights so they remain your rights. #vote",Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153660855461398/?type=3,2016-06-09 10:29:45,254583,1680,9240,237067,17075,343,68,20,10
5956341397_10153656544581398,"Thank you to all of everyone on the whole planet if you had anything to do with me getting my 15th Top 10 song on Billboard with ""Just Like Fire"". Now I shall eat cake. And if I remember correctly, there's a leftover bday cake with Matt Damon on top of it around here somewhere.",Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153656544581398/?type=3,2016-06-07 11:20:11,93140,880,1110,84914,7085,119,1021,0,1
5956341397_10153651994526398,Happy birthday baby girl. I carry your heart with me. -💞,Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153651994526398/?type=3,2016-06-05 09:08:25,304807,3030,1678,278020,26281,389,104,11,2
5956341397_10153633330071398,Don't forget! See my music video for #JustLikeFire on the big screen when you catch the new film Disney Alice #ThroughTheLookingGlass this weekend at Regal Cinemas! 🔥,Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153633330071398/?type=3,2016-05-28 09:43:00,24127,366,437,21975,2090,50,9,1,0
5956341397_10153633613086398,Shazam my new single Just Like Fire for a behind-the-scenes look of my music video! 🔥 ✨ Get Shazam here: http://bit.ly/PinkGetShazam,Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153633613086398/?type=3,2016-05-27 08:56:00,6046,138,163,5544,464,29,7,2,0
5956341397_10153632967536398,"Performing #JustLikeFire at the Billboard Music Awards this year was so much fun!   
Check it out now in full on Vevo if you missed it <3 http://smarturl.it/JLFBBMA",P!nk - Just Like Fire (2016 Billboard Music Awards Performance...,video,https://www.facebook.com/pink/videos/10153632967536398/,2016-05-26 14:08:25,33640,933,3454,27983,4946,682,26,0,3
5956341397_10153628896566398,I have to brag on my family. They make me the luckiest girl in the whole world.,Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153628896566398/?type=3,2016-05-25 11:17:00,449985,3169,2364,409302,39783,744,138,5,13
5956341397_10153629189891398,"Catch the music video for my new song, Just Like Fire on the big screen when you see Disney Alice Through The Looking Glass this weekend at Regal Cinemas!",P!nk - Just Like Fire (Behind the Scenes) [SNIPPET],video,https://www.facebook.com/pink/videos/10153629189891398/,2016-05-24 17:30:00,7159,90,394,6407,710,37,5,0,0
5956341397_10153628856026398,And the incredible cast and crew of Disney Alice #ThroughTheLookingGlass! I'm not even sure why I'm in this photo. And then there's Johnny. #JustLikeFire 🔥,Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153628856026398/?type=3,2016-05-24 13:53:00,169449,1023,2292,154405,13812,803,420,4,5
5956341397_10153628805751398,"THANK YOU Disney for a wild ride! Everyone go see Disney Alice #ThroughTheLookingGlass! Willow and I can't get enough!!! 
Thank you to my amazing team @karlawelchstylist @pamwiggy @kathyjeung @_michellesaunders dress and jewels by @rosie_assoulin",Timeline Photos,photo,https://www.facebook.com/pink/photos/a.10150550373556398.372732.5956341397/10153628805751398/?type=3,2016-05-24 11:10:34,120034,902,1500,110748,8785,445,48,6,2
