status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
53855227667_10154497844232668,Sunshine. Weekend. Two open seats. How would you choose? 1 or 2?,Timeline Photos,photo,https://www.facebook.com/porsche/photos/a.101994492667.92245.53855227667/10154497844232668/?type=3,2016-06-24 11:00:01,7737,989,735,7212,449,70,5,1,0
53855227667_10154497394062668,Our 18th overall victory at Le Mans is an achievement of the entire Porsche Motorsport family. Thanks to all of you making this historic moment possible.,Highlights of Le Mans 2016,photo,https://www.facebook.com/porsche/photos/a.10154497393777668.1073742025.53855227667/10154497394062668/?type=3,2016-06-24 05:09:57,8355,49,485,7942,351,48,9,2,3
53855227667_10154493874492668,It takes courage to break a record. Be prepared for the fastest luxury sedan on earth. More information: www.porsche.com/panamera,Breaking a record. The new Panamera is coming. (Trailer),video,https://www.facebook.com/porsche/videos/10154493874492668/,2016-06-23 03:11:10,2355,44,441,2200,117,35,3,0,0
53855227667_10154489097397668,"At 17 you are full of dreams. One has just become reality:
Our 18th overall victory at the 24h of Le Mans. 

We´re incredibly proud of our team and applaud Toyota on a tremendous fight.",Porsche at Le Mans 2016.,video,https://www.facebook.com/porsche/videos/10154489097397668/,2016-06-21 11:43:08,50533,1282,8182,48648,1432,355,57,23,18
53855227667_10154469848047668,"The Porsche lighting systems are a perfect combination of sportiness, performance and optimum illumination of the road. Need proof for this? Take a look at this video and learn more: www.porsche.com/radiant-power",Like daytime. At night. The Porsche lighting systems.,video,https://www.facebook.com/porsche/videos/10154469848047668/,2016-06-20 04:00:01,1745,35,271,1638,74,29,4,0,0
53855227667_10154483813457668,"Competed together for 24 hours.
Head to head for 24 hours.
Gained our respect forever.",Timeline Photos,photo,https://www.facebook.com/porsche/photos/a.101994492667.92245.53855227667/10154483813457668/?type=3,2016-06-19 10:57:44,33482,1020,5918,31395,1724,276,19,62,6
53855227667_10154483405082668,"Past. Present. Future.
Combined in one single moment.

Porsche wins the 24h of Le Mans. For the 18th time.",Timeline Photos,photo,https://www.facebook.com/porsche/photos/a.101994492667.92245.53855227667/10154483405082668/?type=3,2016-06-19 08:11:10,9946,710,2421,9156,644,125,8,3,10
53855227667_10154482051377668,"Halftime at the 24h of Le Mans 2016: The Porsche 919 Hybrid is fighting for the lead at the Circuit de la Sarthe. There are still 12 long hours to go. Follow us live at www.porsche.com/lemanslive

#PorscheLeMans #LeMans24",Timeline Photos,photo,https://www.facebook.com/porsche/photos/a.101994492667.92245.53855227667/10154482051377668/?type=3,2016-06-18 20:05:00,2601,437,221,2459,126,16,0,0,0
53855227667_10154480329347668,"Don´t miss the most thrilling motorsports event of the world: The 24h of Le Mans.
Be sure to follow our team with the 919 Hybrid and 911 RSR today from 15:00 CEST at: www.porsche.com/lemans

#PorscheLeMans #LeMans24",Timeline Photos,photo,https://www.facebook.com/porsche/photos/a.101994492667.92245.53855227667/10154480329347668/?type=3,2016-06-18 07:01:12,1793,408,141,1708,76,8,1,0,0
53855227667_10154477465377668,"Both of the Porsche 919 Hybrid will start from the front row into the 24h of Le Mans 2016. Difficult and unpredictable conditions promise a captivating race for tomorrow. Take a look at the best pictures of the qualifying sessions in this gallery.
#PorscheLeMans #LeMans24",Photos from Porsche's post,photo,https://www.facebook.com/porsche/photos/a.101994492667.92245.53855227667/10154477426917668/?type=3,2016-06-17 06:29:49,3307,333,360,3165,117,22,1,1,1
