status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
222401665690_10157170798495691,Au Revoir France. And thank u #M6 for being such wonderful hosts in Paris #QuanticoInFrance ...Hola Madrid...! #iifa,Timeline Photos,photo,https://www.facebook.com/priyankachopra/photos/a.227411120690.296347.222401665690/10157170798495691/?type=3,2016-06-23 06:48:00,196698,1215,489,190834,4982,759,87,23,13
222401665690_10157169977950691,Being Parisian in #DionLee #fashiondiaries #desigirlinParis,Timeline Photos,photo,https://www.facebook.com/priyankachopra/photos/a.227411120690.296347.222401665690/10157169977950691/?type=3,2016-06-22 16:30:00,376848,2502,881,366230,8614,1811,132,22,39
222401665690_10157169906345691,Pure love. Love u #MadhuChopra Eiffel kiss #PCInParis #QuanticoInFrance #parisInfatuation,Timeline Photos,photo,https://www.facebook.com/priyankachopra/photos/a.227411120690.296347.222401665690/10157169906345691/?type=3,2016-06-21 19:30:00,201260,872,353,197229,3469,451,84,14,14
222401665690_10157165638870691,Eiffel at my finger tips.. #PCInParis #QuanticoInFrance congrats #turkey,Timeline Photos,photo,https://www.facebook.com/priyankachopra/photos/a.227411120690.296347.222401665690/10157165637385691/?type=3,2016-06-21 17:30:00,376848,2502,1195,366230,8614,1811,132,22,39
222401665690_10157165275310691,"Heres another ""pit-stopping"" picture to add to the debate. #WillTheRealArmpitPleaseStandUp #nofilter #armpitdiaries",Timeline Photos,photo,https://www.facebook.com/priyankachopra/photos/a.227411120690.296347.222401665690/10157165275310691/?type=3,2016-06-21 11:10:00,297102,3675,927,286331,8088,1666,917,23,77
222401665690_10157165292110691,And it begins... My romance with Paris.. #parisdiaries #traveldiaries #nomad,Timeline Photos,photo,https://www.facebook.com/priyankachopra/photos/a.227411120690.296347.222401665690/10157165292110691/?type=3,2016-06-21 03:40:00,145729,687,196,142674,2612,341,70,12,20
222401665690_10157160713390691,Met one of my faves at a shoot today. Thank u Jodie Foster for being so amazing.. #teenagecrush,Timeline Photos,photo,https://www.facebook.com/priyankachopra/photos/a.227411120690.296347.222401665690/10157160712210691/?type=3,2016-06-20 13:30:00,145729,687,643,142674,2612,341,70,12,20
222401665690_10157156616575691,Bff. #MadhuChopra #londondiaries #birthdayweek,Timeline Photos,photo,https://www.facebook.com/priyankachopra/photos/a.227411120690.296347.222401665690/10157156615980691/?type=3,2016-06-19 01:30:00,266215,1405,620,261174,4281,575,139,13,33
222401665690_10157149333320691,Finally done with work.. #londondiaries #londonDarshan lol #mommysdayout #likeaboss #fashiondiaries,Timeline Photos,photo,https://www.facebook.com/priyankachopra/photos/a.227411120690.296347.222401665690/10157149333320691/?type=3,2016-06-18 10:36:26,264607,2515,711,258001,5160,1047,310,37,52
222401665690_10157143366230691,Thank u Maxim India .. Here's my new cover!! #MaximHot100 #PCTopsMaximHot100,Maxim India,photo,https://www.facebook.com/MaximIndiaOfficial/photos/a.10150257167169524.381878.181111559523/10154216457774524/?type=3,2016-06-17 02:39:11,95213,1976,0,87928,4945,2197,69,23,51
222401665690_10157143031830691,Birthday night in London Town. Love u #MadhuChopra,Timeline Photos,photo,https://www.facebook.com/priyankachopra/photos/a.227411120690.296347.222401665690/10157143026855691/?type=3,2016-06-16 19:30:00,109432,1131,155,107890,1288,207,30,8,9
222401665690_10157143086165691,Thank u .. To be in this August company.,2016 Emmys: The Standout Dramatic Performances of the Season,link,http://et.tv/1Ywitml,2016-06-16 11:30:00,41524,335,117,40816,592,101,10,3,2
222401665690_10157139235335691,Thank you Maxim India third time's a charm... Much love  #MaximHot100 #PCTopsMaximHot100,Maxim India,video,https://youtu.be/4n6aIGChjc0,2016-06-16 04:49:18,8805,161,0,8561,209,30,1,1,3
222401665690_10157139038060691,"Something awesome is definitely in store! Priyanka Chopra on her way to slay! #MaximIndia #MaximHot100

- From Team Priyanka",Maxim India,video,https://youtu.be/4n6aIGChjc0,2016-06-16 02:36:01,3961,110,0,3816,118,22,4,0,1
222401665690_10157132038335691,"Loving your enthusiasm! Lets make this happen #Vote4PC 

- From Team Priyanka",Timeline Photos,photo,https://www.facebook.com/priyankachopra/photos/a.227411120690.296347.222401665690/10157132038335691/?type=3,2016-06-14 08:08:32,148978,1568,964,144507,3785,587,68,14,17
222401665690_10157115297405691,"""Emmy Quickie: What You Should Never Ask 'Quantico' Star Priyanka Chopra in an Airport"" Find out right here The Wrap

- From Team Priyanka",Emmy Quickie: 'Quantico' Star Priyanka Chopra on What You Should Never Ask a 'Brown Girl' in an...,link,http://bit.ly/1PjJG4E,2016-06-10 01:32:48,49105,704,225,48115,852,94,33,4,7
