status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
19034719952_10151053976544953,"🇧🇷😎⚽
Keepie uppies, Brazilian-style!

¡Aún recordamos estos toques con estilo brasileño!

Marcelo M12 Casemiro

#RMCity #HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10151005936039953/,2016-06-23 06:55:33,45732,386,1,43876,1244,191,417,2,2
19034719952_10151053924684953,"In September 1957, we played at the opening of Recre's old stadium. The #OldestSpanishClub cannot die. Join the campaign to save them: http://buff.ly/28jTnvD

En 1957 jugamos en la inauguración del antiguo Estadio Colombino. El #Decano no puede morir. Colabora en la campaña y sálvalo: http://buff.ly/28jTnvD

#RMHistory #TBT #LíberosDelDecano",Timeline Photos,photo,https://www.facebook.com/RealMadrid/photos/a.74265819952.19583.19034719952/10151053924684953/?type=3,2016-06-23 05:00:01,17591,95,251,17270,253,14,8,46,0
19034719952_10151053897594953,"🎂🎁🎊
Happy 44th birthday to our first-team coach and club legend Zinedine Zidane!

¡Feliz 44 cumpleaños a nuestro entrenador y leyenda Zinedine Zidane!

Nous souhaitons un très bon anniversaire à notre entraineur et légende Zinedine Zidane!

#HalaMadrid",Timeline Photos,photo,https://www.facebook.com/RealMadrid/photos/a.74265819952.19583.19034719952/10151053897594953/?type=3,2016-06-23 02:49:38,246870,5181,6560,237920,8257,505,149,7,37
19034719952_10151053717214953,,Real Madrid Basket,video,https://www.facebook.com/realmadridbaloncesto/videos/10154142051470726/,2016-06-22 16:03:42,17452,255,1,16808,551,26,62,3,2
19034719952_10151053697949953,"🏆🏀🙌
¡¡¡CAMPEONES de Liga!!! ¡Enhorabuena Real Madrid Baloncesto!

LEAGUE CHAMPIONS!!! Congratulations, Real Madrid Basket!

#HalaMadrid",Timeline Photos,photo,https://www.facebook.com/RealMadrid/photos/a.74265819952.19583.19034719952/10151053697949953/?type=3,2016-06-22 15:56:10,113596,812,4697,109750,3502,121,209,4,11
19034719952_10151053698514953,,Real Madrid Basket,video,https://www.facebook.com/realmadridbaloncesto/videos/10154141968590726/,2016-06-22 15:25:01,27347,410,2,25969,1232,34,99,3,10
19034719952_10151053660489953,"🇨🇴⚽🔥😯

James Rodriguez golazo! 🎥👇

#HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10151024603899953/,2016-06-22 13:24:02,65886,501,1,63029,1870,927,53,3,4
19034719952_10151053524369953,"Más de un centenar de leyendas del club blanco para coleccionar, entrenar y añadir a tu plantilla.
Descárgalo ya 👉 http://bit.ly/26uxmcy

More than 150 Legends to collect, train and join your team. Download now! 👉 http://bit.ly/26uxmcy",realmadridlegends.com,link,http://bit.ly/26uxmcy,2016-06-22 08:00:00,18090,130,133,17788,259,36,5,0,3
19034719952_10151053506949953,"🗣⚽🙌
Relive one of the best nights of the 2015/16 season!

¡Así vivimos la noche del Clásico con remontada incluida!

#RMClasico #HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10151017548509953/,2016-06-22 05:57:08,60382,383,0,58019,2050,72,224,4,14
19034719952_10151053252854953,"🇨🇦✈🇺🇸
This is how we will get our pre-season underway!

¡Así arrancará la pretemporada de nuestro equipo!

#HalaMadrid",Real Madrid pre-season 2016/17,video,https://www.facebook.com/RealMadrid/videos/10151053252854953/,2016-06-22 03:30:00,39649,390,885,38591,859,166,25,4,4
19034719952_10151053174314953,"Gareth Bale at #Euro2016:
v Slovakia ⚽✅
v England ⚽✅
v Russia ⚽✅

#FirstNeverFollows #HalaMadrid",Gareth Bale goal against Russia at Euro 2016,video,https://www.facebook.com/RealMadrid/videos/10151053174314953/,2016-06-21 15:00:00,44022,289,493,42739,1065,181,29,3,5
19034719952_10151053141219953,"Comunicado Oficial: Morata
👉 http://bit.ly/comunicado_Morata

Official Announcement: Morata
👉 bit.ly/Morata_Announcement

بيان رسمي: موراتا
bit.ly/MorataRM
#RealMadrid",Official Announcement: Morata | Real Madrid CF,link,http://www.realmadrid.com/en/news/2016/06/official-announcement-morata,2016-06-21 11:51:53,116604,3587,5701,109523,5257,436,263,135,991
19034719952_10151053018154953,"Mateo Kovačić's skills = 👌🔝

¡Increíble destreza de Kovacic con el balón!

#HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10150980459689953/,2016-06-21 05:43:06,93690,1127,1,90477,1951,1146,85,14,17
19034719952_10151052979319953,"Cristiano Ronaldo, Gareth Bale, Marcelo M12, Luka Modrić y Sergio Ramos quieren llegar al Santiago Bernabéu! ¿Les ayudas? 🏃
👉 Acepta el desafío aquí bit.ly/1P9rLgU

Our players want to arrive at the Santiago Bernabéu, Can you help them? 🏃
👉 Accept the challenge now at bit.ly/1P9rLgU

#RMRunner #HalaMadrid",Real Madrid RUNNER,link,http://bit.ly/1P9rLgU,2016-06-21 03:09:42,34137,266,294,33572,451,58,40,3,13
19034719952_10151052684054953,"¡Cristiano Ronaldo ha marcado el mejor gol de la Champions 2015/16!
🎥 bit.ly/CR7_GolUCL1516

هدف رونالدو ضد روما، الأفضل في دوري الأبطال 2015-2016
للمشاهدة: http://bit.ly/HadafCR7

Cristiano Ronaldo's strike away at Roma has been voted as the best goal of the 2015/16 Champions League campaign!
🎥 bit.ly/CR7_UCL_goal

#LaUndecima #HalaMadrid",Click to watch the best goal of the 2015/16 Champions League campaign!,link,http://www.realmadrid.com/en/news/2016/06/ronaldos-goal-in-rome-chosen-as-the-best-in-the-2015/16-champions-league,2016-06-20 15:30:01,81263,621,765,79237,1716,238,49,6,17
19034719952_10151052745364953,"😃💪🗓
05/01/2016: Zinedine Zidane's first session as Real Madrid coach.

05/01/2016: Primer entrenamiento de Zidane como entrenador del Real Madrid.

#RMCity #HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10150960349894953/,2016-06-20 12:00:53,45143,274,0,43694,1284,124,34,2,5
19034719952_10151052655759953,"🇨🇦💦👌
#RMFans enjoying the view at Niagara Falls.

#RMFans disfrutando de las vistas en las Cataratas del Niágara.

#HalaMadrid",Timeline Photos,photo,https://www.facebook.com/RealMadrid/photos/a.74265819952.19583.19034719952/10151052655759953/?type=3,2016-06-20 10:00:01,140550,520,567,137496,2428,522,75,14,15
19034719952_10151052641289953,"🔝⚽👌
Do you remember this Karim Benzema golazo in training?

¿Qué os parece este golazo de Benzema en #RMCity?

#HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10151013077629953/,2016-06-20 05:34:26,75050,865,0,72417,1481,999,137,3,13
19034719952_10151052607039953,"¿Quieres acabar la temporada igual de bien que nosotros? Participa en nuestro QUIZ y podrás ganar la camiseta conmemorativa de la final de Champions. http://bit.ly/261XF8I

Do you want to finish the season as well as we did? Take part in our QUIZ and you could win a commemorative Champions League final shirt. http://bit.ly/261XF8I

هل تريد انهاء الموسم كما أنهيناه نحن بفوزٍ رائع؟ شارك في مسابقتنا وسيكون بإمكانك الفوز بالقميص التذكاري لنهائي دوري أبطال أوروبا. http://bit.ly/261XF8I",Real Madrid,link,http://bit.ly/261XF8I,2016-06-20 03:55:34,19786,205,128,19458,256,46,13,3,10
19034719952_10151052379199953,"😍⚽💥👏 

Gareth Bale
Karim Benzema
Cristiano Ronaldo

#HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10151005103739953/,2016-06-19 14:31:44,106597,658,2,102060,3566,843,98,8,22
19034719952_10151052211249953,"⚽ 🏆 📱
Get fantastic prizes playing Real Madrid IMPERIVM. Remember: the more games you win, the more chances to go through the leagues Bronze, Silver and Gold, to reach the Champions League, where the real Emperors are! 

👉  DOWNLOAD now: goo.gl/4yM0bm

Consigue fantásticos premios jugando a Real Madrid IMPERIVM. Recuerda que, cuantos más partidos ganes, más pronto podrás progresar en las ligas Bronce, Plata y Oro, hasta llegar a la Liga Champions, donde están los verdaderos Emperadores.  

👉  Descárgatela gratis ahora aquí: goo.gl/4yM0bm

#HalaMadrid",Real Madrid IMPERIVM 2016,link,http://goo.gl/4yM0bm,2016-06-19 10:00:00,44196,262,210,43581,515,68,22,2,8
19034719952_10151052200824953,"🎥⚽🔥
¡Disfruta con los mejores goles de la temporada!
👉 bit.ly/Goles_temporada 

Watch the BEST goals of the season!
👉 bit.ly/GoalsOfTheSeason

#HalaMadrid",The best goals of the season | Real Madrid CF,link,http://bit.ly/GoalsOfTheSeason,2016-06-19 08:00:01,66850,361,508,65430,1047,74,274,5,20
19034719952_10151052193644953,"😊⚽💪
Cristiano Ronaldo enjoys playing at the Bernabéu...check out his goals!

A Cristiano le gusta jugar en casa... ¡Mira qué goles!

#HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10151019467099953/,2016-06-19 04:56:50,99546,853,1,95018,3435,930,120,16,27
19034719952_10151051795329953,"🎥⚽☝
¡Mira los 10 goles de nuestros defensas en esta temporada!
👉 bit.ly/10gDefensasRM 

Watch the 10 goals scored by our defenders this season!
👉 bit.ly/RMDefenderGoals 

الأهداف ال10 التي سجلها لاعبو الدفاع هذا الموسم
http://bit.ly/Defa3_10

#HalaMadrid",The 10 goals scored by defenders this season | Real Madrid CF,link,http://bit.ly/RMDefenderGoals,2016-06-18 10:00:01,88621,624,482,87197,1198,157,57,3,9
19034719952_10151051438484953,"Your effort is rewarded! Share your records with #RMRunner and challenge your friends to win prizes!
Download now: http://bit.ly/1P9rLgU

Tu esfuerzo tiene recompensa! Comparte tus records con #RMRunner y gana premios!
Descarga ya Real Madrid Runner: http://bit.ly/1P9rLgU",Real Madrid RUNNER,link,http://bit.ly/1P9rLgU,2016-06-18 09:00:00,18189,289,214,17783,338,19,42,2,5
19034719952_10151051774604953,"🎤🏆😀
Watch the team sing the new version of la Décima song!

Así interpretó el equipo la nueva versión de la canción de La Décima.

#HalaMadrid #LaUndecima",The new la Décima song / La canción de La Décima,video,https://www.facebook.com/RealMadrid/videos/10151051774604953/,2016-06-18 07:00:00,75392,655,3821,71526,3502,247,95,8,14
19034719952_10151051773539953,"🎥🎩⚽⚽⚽

Cristiano Ronaldo ❤s hat-tricks...

#HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10150990425579953/,2016-06-18 03:12:49,80500,849,5,76507,3205,670,97,3,18
19034719952_10151051389219953,"Nueva colección de gafas del Real Madrid
http://goo.gl/IBfL7o

New Real Madrid glasses collection
http://goo.gl/oKcpCq",The Official Real Madrid Store,link,http://goo.gl/IBfL7o,2016-06-17 19:30:00,24377,167,114,24011,298,51,10,5,2
19034719952_10151051578974953,"🇨🇴⚽🚀

Enjoy these James Rodriguez golazos!

Disfruta de estos golazos de James Rodríguez!

#HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10150997197404953/,2016-06-17 15:00:20,119154,1057,0,113102,4586,1293,120,16,37
19034719952_10151051465614953,"⚽🔥☝
Gareth Bale, two golazos in two matches!

¡Gareth Bale, dos golazos en dos partidos!

#FirstNeverFollows  #HalaMadrid",Gareth Bale golazo!,video,https://www.facebook.com/RealMadrid/videos/10151051465614953/,2016-06-17 11:00:00,55132,364,945,53336,1412,332,38,4,10
19034719952_10151051341999953,"⚽🚀👍
Can you remember these superb Gareth Bale free-kicks?

¿Recuerdas estos golazos de falta directa de Bale?

#HalaMadrid",Gareth Bale free-kicks / Golazos de falta direca de Bale,video,https://www.facebook.com/RealMadrid/videos/10151051341999953/,2016-06-17 07:00:01,148140,1324,2882,143055,3870,1044,141,7,23
19034719952_10151051350209953,"🎥⚽☝
Turn the clock back and enjoy these Sergio Ramos goals!

¡Mira estos goles de Sergio Ramos y disfruta de un excelente cabeceador!

#HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10151032139014953/,2016-06-17 03:50:36,73373,657,1,71128,1904,263,63,4,11
19034719952_10151050930284953,"Conviértete en leyenda con los mejores de la historia. Descarga Real Madrid Legends http://bit.ly/RMLstores

Be a football legend. Be part of history. Download Now! http://bit.ly/RMLstores",realmadridlegends.com,link,http://bit.ly/RMLstores,2016-06-16 22:00:01,47343,347,398,46533,686,86,24,2,12
19034719952_10151050935744953,"Sigue disfrutando del mejor fútbol en Real Madrid Fantasy Manager. ¡Juega ahora! http://m.onelink.me/c15eb5cd

Keep enjoying the best football in Real Madrid Fantasy Manager. Play Now! http://m.onelink.me/c15eb5cd",Real Madrid Fantasy Manager 2016,link,http://m.onelink.me/c15eb5cd,2016-06-16 18:01:07,16935,513,118,16635,254,29,13,0,4
19034719952_10151051133664953,"➡⚽👌

Check out some of James Rodriguez's best assists for us!

¡No te pierdas algunas de las mejores asistencias de James Rodríguez!

#HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10150973823589953/,2016-06-16 16:01:13,103507,1231,1,99124,3589,591,148,18,37
19034719952_10151051045129953,"Real Madrid have finished the season on a high, do you want to join them in taking home the biggest prizes? Take part in our QUIZ! And win a commemorative Champions League final shirt. 👉 http://bit.ly/261XF8I

El Real Madrid ha terminado la temporada por todo lo alto, ¿y tú? ¿Quieres acabar con los mejores premios? ¡Participa en nuestro QUIZ! Y consigue la camiseta conmemorativa de la final de Champions. 
👉 http://bit.ly/261XF8I

اختتم ريال مدريد الموسم بأفضل شكل ممكن. وأنت؟ هل تريد الحصول على أفضل الجوائز؟  شارك في مسابقتنا واحصل على القميص التذكاري لنهائي دوري أبطال أوروبا. http://bit.ly/261XF8I",Real Madrid,link,http://bit.ly/261XF8I,2016-06-16 15:00:00,50729,365,366,49985,644,36,54,3,7
19034719952_10151051024094953,"🎥⚽☝
Enjoy this golazo from Toni Kroos again!

¡Vuelve a disfruta de este golazo de Toni Kroos!

#HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10151033627154953/,2016-06-16 11:02:51,120087,1237,0,113752,3705,2466,142,8,14
19034719952_10151050974859953,"🏆9⃣🌟 #RMHistory
Zidane, hero of La Novena...

Zidane, el héroe de La Novena...

#HalaMadrid",Timeline Photos,photo,https://www.facebook.com/RealMadrid/photos/a.74265819952.19583.19034719952/10151050974859953/?type=3,2016-06-16 10:00:01,308441,1282,2737,300797,6747,603,198,26,70
19034719952_10151050882229953,"🆚🐲💪
Today Gareth Bale plays in another big match! His opponent? England!

Hoy Gareth Bale jugará un partido trascendental. ¿Su próximo rival en la #EURO2016? ¡Inglaterra!

#FirstNeverFollows adidas Fútbol #HalaMadrid",Gareth Bale is ready to face England / Gareth Bale listo para ...,video,https://www.facebook.com/RealMadrid/videos/10151050882229953/,2016-06-16 05:00:00,37396,339,852,36237,978,144,28,2,7
19034719952_10151050882229953,"🆚🐲💪
Today Gareth Bale plays in another big match! His opponent? England!

Hoy Gareth Bale jugará un partido trascendental. ¿Su próximo rival en la #EURO2016? ¡Inglaterra!

#FirstNeverFollows adidas Fútbol #HalaMadrid",Gareth Bale is ready to face England / Gareth Bale listo para ...,video,https://www.facebook.com/RealMadrid/videos/10151050882229953/,2016-06-16 05:00:00,37396,339,852,36237,978,144,28,2,7
19034719952_10151050509519953,"¡Llega el verano! - Colección de moda del Real Madrid    http://goo.gl/gM1fgh
Summer is coming! - Real Madrid fashion collection
http://goo.gl/2M9s3c",The Official Real Madrid Store,link,http://goo.gl/gM1fgh,2016-06-15 23:00:01,25044,143,91,24715,268,36,17,2,6
19034719952_10151050470069953,"Tu esfuerzo tiene recompensa! Comparte tus victorias con #RMRunner y gana premios!
👉 Descarga ya Real Madrid Runner: http://bit.ly/1P9rLgU 📱

Your effort is rewarded! Challenge your friends and share your victories with #RMRunner to win prizes!
👉 Download: http://bit.ly/1P9rLgU 📱

#HalaMadrid",Real Madrid RUNNER,link,http://bit.ly/1P9rLgU,2016-06-15 16:00:00,33362,197,179,32816,481,20,36,3,6
19034719952_10151050694334953,"⚽ :o ☝
Can you remember these golazos from our #Euro2016 star Luka Modrić?!

¿Recuerdas estos golazos de nuestra estrella de la Euro 2016 Luka Modric?

#HalaMadrid",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10150976658559953/,2016-06-15 15:02:13,70548,439,0,68193,1794,487,58,4,12
19034719952_10151050649089953,"Comunicado Oficial: Cheryshev.
bit.ly/1UjXLU5

Official Announcement: Cheryshev.
bit.ly/1ZRFj6C 

#RealMadrid",Comunicados oficiales del Real Madrid | Real Madrid CF,link,http://bit.ly/1UjXLU5,2016-06-15 13:25:27,72916,445,604,71239,1023,83,90,410,71
19034719952_10151050575364953,"📷💪❓
Can you guess who was continuing their recovery at #RMCity?!

¿Sabes quién siguió hoy con su recuperación en la #RMCity?

#HalaMadrid",Timeline Photos,photo,https://www.facebook.com/RealMadrid/photos/a.74265819952.19583.19034719952/10151050575364953/?type=3,2016-06-15 13:00:00,87890,1054,266,86261,1139,414,56,4,16
19034719952_10151050565154953,"👻 Snapchat: realmadrid

📱 Scan the Snapcode / Escanea este Snapcode 👇

👉 www.snapchat.com/add/realmadrid

#HalaMadrid",Timeline Photos,photo,https://www.facebook.com/RealMadrid/photos/a.74265819952.19583.19034719952/10151050565154953/?type=3,2016-06-15 09:27:35,62072,319,673,60602,1251,52,151,2,14
19034719952_10151050483094953,"⚽👊✨
We can't wait to see Keylor Navas back making these kind of saves alongside Kiko Casilla!

Keylor Navas sigue recuperándose y esperamos volver a verle hacer estas paradas junto a Kiko Casilla.

#HalaMadrid #RMCity",Real Madrid C.F.,video,https://www.facebook.com/RealMadrid/videos/10151037826099953/,2016-06-15 05:03:20,64901,448,0,62865,1473,496,48,11,8
